,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
40,Catndog ..,"Streamwood, IL",17,15,1.0,2.0,2012-01-23,Does anyone know if their pizza crust recipe has changed???  Went yesterday and it was flavorless and flat.  Check out the photo - Christy's pizza vs ours - suppose to be the exact same thing!,https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=80,3.48,3.48,3.48,2.6640000000000006,3.4800000000000004
126,Farzana P.,"Kenosha, WI",30,2,,3.0,2012-01-31,So me my sister and her friend wanted some pizza! And my sis suggested this place. So we started with appetizers and got the crispy fried mac-n-cheese. It didn't take very long and looked pretty good. But there were only 4 on the plate and they were bite size. I took a bite and it was a bit bitter. We also ordered the 5 cheese pizza and it kind of a meaty taste to it. And it didn't have much taste. The last thing was garlic noodles. They smelled WAY too much like garlic. And there wasn't enough sauce. I am not sure if I will come back to this place since I live so far.,https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=100,3.48,3.48,3.48,2.732,3.4800000000000004
50,Jeremy C.,"Chicago, IL",63,336,1.0,3.0,2012-02-15,I now consider myself the worlds foremost expert critic of cpk's.... In the last year I feel like I've been to more cpk's than the rest of my whole previously combined.. Anyway... This is a super suburban location in the suburbs right across from woodfield. Expect lots of families here doing the post mall shopping eating here.  Let me give this place an unusual comment.. Usually at EVERY cpk you get the sourdough bread with some packets for solid cement frozen butter packets.. This place actually had room temp packets. I liked that for once... :) Service here hasn't as good as I've had at other cpk's but I def thought the food quality was very good.. This is a safe one..,https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=80,3.44,3.44,3.44,2.732,3.4400000000000004
42,Jeremy L.,"Streamwood, IL",54,53,58.0,4.0,2012-03-06,"Dined here so MANY times! I am not an Italian pizza lover. BUT I love CPK! I love their Thai chicaken pizza and the Jamaican jerk pizza those are my 2 favoraite pizzas from here. I also love thier tortilla soup, which I typically order along with my pizza. Love this place!",https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=80,3.44,3.44,3.44,2.8640000000000003,3.4400000000000004
90,Somchai S.,"Hoffman Estates, IL",121,302,124.0,3.0,2012-04-08,"Came here to celebrate my fiance's birthday. overall the place is generally pleasing. We had: Chicken quesodila (sp chk) from their small plate menu. it was tasty but overpriced for $5 for 4 small triangles. Hawaiian BBQ pizza- the star of the dinner. Ive had it frozen but never fresh and I would definitely go back for more! Im excited to try their other pizzas. Fish tacos - i am a fish taco feen and unfortunately both my favorite locations to get fish tacos are no longer serving it. This was the worst of the items we ordered. The cabbage that came on top was quite bitter and there was just not enough flavor from the fish, coleslaw or ranchito sauce. Broccoli and sundried tomato pasta- our waitress accidentally brought us the  tomato basil dish, which looked quite appetizing. She was the one who suggested we get the broccoli and tomato pasta. well she corrected the error. The pasta tasted much better the next day. overall it was good. they are lacking in the sides they offer. There was no sides that came with the pasta or chicken.",https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=40,3.36,3.36,3.36,2.7960000000000003,3.3600000000000003
121,Elise M.,"Chicago, IL",0,35,5.0,5.0,2012-05-13,"CPK is quickly becoming my new favorite restaurant in the area. My food always tastes great and seems like it was prepared well. Service is a little hit-or-miss at lunch, but the place is usually packed so I guess it can't be helped. I guess I should mention I haven't even tried the pizza yet; I have so much fun going down the menu with everything else that I often forget they serve pizza!",https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=100,3.52,3.52,3.52,3.0600000000000005,3.5200000000000005
113,Guido M.,"Chicago, IL",0,5,,1.0,2012-06-30,Got food poisoning from chicken salad with goat cheese on 6/30/12.,https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=100,3.4,3.4,3.4,2.6600000000000006,3.4000000000000004
46,Megan O.,"Hoffman Estates, IL",5,36,,4.0,2012-07-12,"To start off--- obviously this is a popular CHAIN restaurant- but in my opinion they do a good job. I like their pizza- service is always friendly.  They're really great about refilling your drinks without having to ask.  If you want bread you'll have to ask, but I like the sourdough that they have there. For starters I like the small portion white corn guac and the spinach artichoke is good as well.  they also have a pretty good drink menu-- i like the mojitos.  For non alcoholic drinks the strawberry lemonade is a good choice.",https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=80,3.4,3.4,3.4,3.056,3.4000000000000004
120,Shawn F.,"Saint Louis, MO",0,15,,4.0,2012-07-16,"Oh, this place is much better than ordering from Pizza Hut. I've been to CPK (not necessarily this CPK) about 10 times and have ordered a traditional cheese pizza every single time. It never gets old (maybe because I only eat here occasionally). And I'm able to finish the entire pizza in one sitting (about an hour in the restaurant), which is pretty impressive since I'm such a slow eater and I get full very easily. I took off one star, because the place is so busy every time I go there. The wait is never too long, maybe 15 minutes tops.",https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=100,3.44,3.44,3.44,3.024,3.4400000000000004
26,Frank A.,"Schaumburg, IL",57,186,422.0,3.0,2012-07-30,"It's an A-OK for me.  I'm more of a deep dish Giordanos, Pequods, Lous, Ginos East type of guy, but since I've never been here, I decided to give it a shot. Ordered a jerk chicken pizza with bits of bacon, chicken and veggies on it.  It was ok, but didn't really blow my socks off.  Was a bit lacking with the sauce, but overall, not really sure I'd order it again.  It really sort of made me not really want to try any other pizza on the menu.   I ordered Korean steak tacos... (who does that at a pizza joint??).  Evidently, I was on some weird stuff that day, but I did it anyway.  It was actually not bad, however for two small tacos and almost 6 bucks, it's really not worth it. What really surprised me was the garlic cream fettuccine with shrimp and chicken.  My wife and I found ourselves chowing down on that more than the pizza, appetizers or anything else.  It was actually quite good. Overall, I should have probably just gone somewhere else for pasta, which was really what I didn't come here for.  It's ok though.  It was a decent meal.   Liked the key lime pie...",https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=60,3.48,3.48,3.48,2.9240000000000004,3.4800000000000004
30,Pari S.,"Schaumburg, IL",45,72,41.0,3.0,2012-08-20,"Drove by this place many times... and always thought... why would I want California Pizza when I can have Chicago style pizza??   However, lots of people have raved about this place and I had to find out for myself. Went here on a weekday during the dinner hours.  It appeared pretty busy but we were seated in less then 5 minutes.  This restaurant is located across the streets from Woodfield Mall in Schaumburg.  So it can get quite busy. Nice clean place... very family style and lots of kids.  Lots of booths. We ordered korean steak tacos for appetizer.  Which was ok.  I don't know if I will order them again.  But was something interesting that popped at me when I first read the menu.  It was actually $6 for 2 very small tacos.  When it was served, I almost wanted to say.. ""thats it?""  For our main dish, we ordered a jerk chicken pizza and a fettucine with shrimp and chicken.  The pizza was thin crust and was ok.  Chicken kinda dry and was just missing some sauce.  However, the fettucine was awesome.  Who would've thunk!!! Was nice and creamy... that gave u that warm homely feeling.  The shrimp and chicken was cooked perfect.  Made everything melt in your mouth.  We also had a dessert here.  We chose their key lime pie... and I must say, it was pretty good.   I may have to come here and try another pizza and see if I like it.   But will definitely give the key lime pie and the pasta a go again.",https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=60,3.44,3.44,3.44,2.9560000000000004,3.4400000000000004
83,Matt M.,"Forest Park, IL",1163,1163,27.0,3.0,2012-08-28,Hey CPK don't lie about your menu on both the menu you hand to people AND your website. Particularly when you get there and they tell you that they dont do that salad anymore.  But besides that - we are doing ok CPK. You have mildly tasty food and pretty good service. I dont see your widespread appeal but my dining companion does so I guess thats how you make your money.  I do love the location and how bright/clean the place is.,https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=40,3.4,3.4,3.4,2.9560000000000004,3.4000000000000004
36,Ariel W.,"Madison, WI",65,136,658.0,3.0,2012-09-06,Ok. Not a big chain fan. The staff were nice. Have had better pizza elsewhere. Salad was crisp. In no hurry to return.,https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=60,3.36,3.36,3.36,3.0200000000000005,3.3600000000000003
35,Mark B.,"Palatine, IL",27,130,82.0,4.0,2012-09-11,"As a rule I don't write reviews for chain restaurants.  They have their own advertising engines to get you through the door. However, over the weekend, we were in the Schaumburg/Hoffman area and it's nearly all chains at this point.  In deciding where to grab a quick bite for lunch it was burger this, sports bar that.. and so on. We haven't been to CPK in a while and it seemed like it would be a nice change of pace from the typical places we go. Gotta say, they've upped their game since the last time I was there. We split a nice white corn guacamole appetizer and a really tasty roasted artichoke and spinach pizza.   Some interesting and unique food, done well. The guac was fresh and the flavors on the pizza were really excellent.  Full without being overpowering. I was really pleased with each dish and the meal overall. When we are in the Woodfield area again, we'll definitely have CPK at the top of our list versus the other chain restaurants in the area.",https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=60,3.48,3.48,3.48,3.184,3.4800000000000004
89,Richard C.,"Streamwood, IL",29,17,24.0,1.0,2012-10-08,"I will no longer go to store #74 (Schaumburg) normally I love this establishment, however after our last experience I am boycotting this location and will be ""blasting"" them negatively. The on call manager Bruce Marvin needs to be re-educated in customer service. We have been going to this location for over 5 years, & almost every time my wife orders the fish tacos with a simple substitution of their salsa & chips for a side Caesar salad at no extra charge. Bruce is under the impression that this dish priced $10.75 should have a $2 up charge for the salad, when other sandwich dishes offer the salad as a side item already. He stated bluntly & rudely that the up charge had something to do with their price point cost difference. I know from my experience that the salad's ingredients are cheaper than the salsa and chips, when purchased in bulk from the supplier.  I have ample experience as a restaurant manager from my days at Denny's, obviously ""the customer is always right,"" does not apply for this restaurant. I refuse to pay their stupid up charge. We simply got up and left. I hope you get retrained or let go Bruce. I put in a call to your corporate office, and will continue to call until something is done to fix this situation. On a side note, my wife visited another location today and they did not even hesitate in the slightest to give her the side salad without even batting an eye.",https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=40,3.4,3.4,3.4,2.8840000000000003,3.4000000000000004
21,Sandra Y.,"Chicago, IL",292,146,349.0,1.0,2012-11-20,"I would give it 0 stars if that were an option. Went in here at 9pm. Stood in front & waited.... We were never seated. Nobody looked at us or acknowledged us. I thought maybe we came in too late, but I checked the door while we were waiting & it said 10, so I figured we had plenty of time. I guess not... The place wasn't even busy. So.... We left & went to Olive Garden across the street.",https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=60,3.32,3.32,3.32,2.9800000000000004,3.3200000000000003
117,Sarah M.,"Fort Wayne, IN",2,80,,2.0,2012-12-10,"I'm not generally a fan of CPK in general, but I LOVED their greek pizza. I haven't been in a few years, but one night a really had a craving for it, I was so disappointed when we got there and found out that they took the greek pizza off the menu :( I would have left if I could have. I got a white pizza instead, it was fine, nothing great. The service was a little slow and our waitress was a bit rude.  Now that they don't have greek pizza, I don't think I'll be coming back for mediocre pizza and rude service.",https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=100,3.24,3.24,3.24,3.0800000000000005,3.2400000000000007
111,Amy X.,"Chicago, IL",240,44,127.0,3.0,2013-01-30,"This is an okay restaurant. We did felt a bit rushed because they were about to close. Food was decent. Had cedar salmon, a shrimp and zucchini fettuccine, and a salted chocolate pudding. I liked the salmon. It tasted a little like wood. But i thought it was pretty good. All that including tax and tips, we payed $50. I do believe its a bit towards the expensive side.",https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=100,3.16,3.16,3.16,3.1800000000000006,3.1600000000000006
18,Jen J.,"Chicago, IL",1154,398,1729.0,2.0,2013-03-12,"I've eaten here before several times back when I was in high school. The items that I remember trying are the fettucini, mac & cheese, garlic chicken pizza, thai pizza, thai salad, bbq pizza. I remember that they were good, but not great. That was years ago though. Today, we had their chicken & shrimp lettuce wraps ($12.75) and works thin crust pizza ($15.25).  Lettuce wraps - 2.5 stars. Good, but not worth $13 Works pizza - 1 star at that price. The crust was crisp on the edges (good), floppy elsewhere. It reminded me of a non-toasted tortilla, in a bad way. Cheese and sauce were a huge letdown. Flavorless cheese and not enough sauce! I only ate a few bites of my slice. The max I would pay is $10, but even then, it'd rate lower than Home Run Inn's frozen pizza that I'd get for $6. Easily can make a better pizza. Can probably buy a better frozen pizza too, which shouldn't be the case for a restaurant that has the word 'pizza' in its name lol. The service was good, but then there were only two other tables at that time.",https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=20,3.04,3.04,3.04,3.0800000000000005,3.0400000000000005
34,Irene S.,"Miami, FL",12,2,8.0,4.0,2013-03-30,Order Sedona tortilla soup and four cheese fresh tomatoes with ham. The soup was great and the pizza was delicious. I will definitely come back and recommended.,https://www.yelp.com/biz/california-pizza-kitchen-schaumburg?start=60,3.0,3.0,3.0,3.3120000000000003,3.0000000000000004
