,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
97,Michele B.,"La Mesa, CA",20,9,1.0,1.0,2012-02-29,"No Happy Hour. No French Fries! Okay, I admit... I am not prone to writing reviews. But this place nerved me so here goes. I stopped by after work thinking I'd have a nice Hop Head Red that they once had on tap over the summer. No such luck. Okay, I'm flexible. But also no Happy Hour Specials? At all?  Okay, fine....with all the little kids in the place - I can see it. I had the caramelized peach salad with chicken which was pretty okay. The chicken was nicely grilled, hot, moist, tender - the salad was served with a nice white balsamic vinaigrette. Only one piece of undesirable greens - I can live with it. The side of bread was really unmentionable - cold and tasteless. But free, so... I asked for a side of French Fries and was told they don't have French Fries. Really? With all the little kids in this place? And no happy hour ...  Sorry but next time I'll go to Pizza Nova.",https://www.yelp.com/biz/california-pizza-kitchen-solana-beach?start=80,3.16,3.16,3.16,2.372,3.1600000000000006
107,Jessica H.,"San Diego, CA",113,166,6.0,3.0,2012-03-04,"It is what it is - if you've ever been to a CPK, you know what you'll get here. Try the Carnitas pizza. :)",https://www.yelp.com/biz/california-pizza-kitchen-solana-beach?start=100,3.12,3.12,3.12,2.7,3.1200000000000006
106,Shamus T.,"Vallejo, CA",14,65,4.0,4.0,2012-07-17,"A large group of us went to the California Pizza Kitchen on a weekday to celebrate the birthdays for two 8 year olds. I was pleasantly surprised when the host came out to welcome us as we gathered by the outside benches. The food was delicious, and our server Durwood was professional and went the extra mile to make sure we had everything we needed. I would definitely go back, and I recommend it to others.",https://www.yelp.com/biz/california-pizza-kitchen-solana-beach?start=100,3.16,3.16,3.16,2.7359999999999998,3.1600000000000006
83,Jeff J.,"West New York, NJ",4,41,,3.0,2012-09-04,"Notable stars sprinkled throughout this menu. After moving to the east coast, there's not much that stands out about the pizza from this place. Then again, there's a couple things I'll admit I miss a little bit. The BBQ chicken pizza was always a big hit with me. It's sweet, tangy and a real good pizza.  Growing up, this was always the place my mom wanted to go for her birthday. At night, it gets crowded, so try to make a reservation. She raved about their salads. Since I haven't tried one, I can't give any other insight into it.  What stood out to me was their chicken caesar sandwiches served on herb cheese focaccia bread. Note to self: I got to find out how to make this bread. Anyways, it's served with a cup of soup on the side; they used to offer this awesome one, the adobe chicken chowder -- a tad of spice, not too much chicken and some crispy tortilla chip strips laid on top added a nice crunch to it. My school was close to this place, so for lunches, we often ordered it to go. It became the usual go to place for a quick pick up and affordable, yet delicious, lunch. This brings me to my next point. My favorite part about CPK: roadside service. Simply pull up to the tent marked as such, and that's it. Let the waiter/waitress come to you. It's easy, convenient and best of all, fast. No waiting for a table. Only friendly, curbside pick up. If only everything was this easy. Just remember, try to leave a small tip. These waiters/waitresses/curbside hosts/hostesses need some lovin' too.  I'm proud to say to my east coast friends that I'll be back when I'm in the area. Probably just to pick up a chicken caesar sandwich on that focaccia bread.",https://www.yelp.com/biz/california-pizza-kitchen-solana-beach?start=80,3.24,3.24,3.24,2.54,3.2400000000000007
90,Austin S.,"Carlsbad, CA",316,13,1.0,2.0,2012-11-14,"Well last time I went in with my girl they said they didn't have Gluten Free pizza anymore and they tried to sell her on other options - that weren't gluten free! HORRIBLE.  Overall, the pizza was awful, overcooked, and didn't have much flavor.  Customer service was whack as hell too, maybe got water refill once out of our hour dining experience.",https://www.yelp.com/biz/california-pizza-kitchen-solana-beach?start=80,3.16,3.16,3.16,2.504,3.1600000000000006
85,Alain G.,"Encinitas, CA",3,29,,2.0,2012-12-01,"I kind of wish I could enjoy California Pizza Kitchen (CPK) more than I really do.  Because there are just so many good things about this restaurant!  However, every time I go I just end up thinking ""meh."" Let's start with the pros.  The food isn't bad.  The menu is a nice mix between standard pepperoni pizza choices and slightly more adventurous Gorgonzola/pine nut/pear pizza options.  I like adventurous pizza so this aspect to the restaurant appeals to me.  CPK is also a chain located in several areas around San Diego including Solana Beach, La Jolla and downtown San Diego area (off Friars Road).  These locations make it a reliable, convenient choice.  I've never had to wait longer than 20 minutes at any location.  So if you're starving, it's the kind of place you know you could get into on a Friday/Saturday night in areas of San Diego that normally tend to be more crowded. The cons?  While the food isn't bad, it's not great either.  Nothing I've had at CPK has been especially memorable.  I don't mind eating the food but there's really nothing ""signature"" about a CPK pizza.  I would just as soon get a pizza from any other place. However, I will admit that CPK is a great place to take kids.  It's definitely a step up from Pizza Hut but still has the kind of things that kids like to eat.  So as a family outing it's a good option.  As a going out on the town with your date option?  Meh.",https://www.yelp.com/biz/california-pizza-kitchen-solana-beach?start=80,3.08,3.08,3.08,2.472,3.0800000000000005
102,Roslyn B.,"San Diego, CA",0,15,,1.0,2013-02-06,"Words cannot describe how utterly horrific it is to make a togo order from this place. They have some train wreck of a call center in Colorado that takes your order, then sends it to your specific location. That is, if you can understand to which location they are referring and if your order will ever make it to the one that you ""called"". The operators call Solana Beach by the name of the shopping center (did anyone know that center even had a name??) and pronounce La Jolla ""luh jawla"". And that's honestly just irritating; the truly bad part is that they ALWAYS MESS UP YOUR ORDER: I ask to substitute shrimp, I end up with chicken still tossed into my salad and a side of hot shrimp. I ask for bread, nope, no bread. When every single person insists dressing comes one the side, the one time I finally stop requesting dressing on the side, my salad comes drenched. The other part of the call center that drives me insane is how many times the call has cut out in the middle of ordering. You then have to call back, hope you remember the person's name, and try to confirm that your order made it to the restaurant and wasn't lost somewhere over the rockies. Then, to top it all off, they try to upsell you some ""delicious slice of key lime pie"" or an ""iced cold beverage' its like no, thanks, if I wanted that I'd order it, please just listen to what I DO want and maybe you'll get it right for once. Either every single person in that call center has had a lobotomy or is enjoying Colorado's newly passed marijuana laws a little too much because I have yet to come across one who is competent. Bottom line: wish I could count how many times I've just gone home to eat frozen deli-mex taquitos from 1998 over having to deal with CPK's togo issues. The service inside is equally as bad so dining in isn't exactly a viable option either. I wish I didn't love those few menu items and the bread as much as I do because i would honestly never even look at the place ever again.",https://www.yelp.com/biz/california-pizza-kitchen-solana-beach?start=100,3.0,3.0,3.0,2.468,3.0000000000000004
51,Craig W.,"San Diego, CA",502,1129,650.0,3.0,2013-02-28,"It's CPK.  Portions are pretty good, food is pretty good, service is pretty good.  The pizzas and salads are all fairly decent and the place is family friendly.  This location seems to be quite popular, in fact. It's CPK.  Nothing more, nothing less.",https://www.yelp.com/biz/california-pizza-kitchen-solana-beach?start=40,2.96,2.96,2.96,2.7960000000000003,2.96
80,Rebecca C.,"San Diego, CA",33,72,13.0,3.0,2013-04-10,"This was one of the first places I ate in California ever. and it was good. Not great but good. Perhaps it was the long flight, lack of sleep, general exhaustion, but I felt the service was slow. Like fall asleep slow.  I've eaten here subsequently and still a little slow.",https://www.yelp.com/biz/california-pizza-kitchen-solana-beach?start=80,3.04,3.04,3.04,2.8600000000000003,3.0400000000000005
101,Melissa I.,"Alexandria, VA",69,309,43.0,3.0,2013-05-21,"This is just your average CPK.  Nothing special, but consistent.  It wa spretty busy but only had to wait 15 minutes on a Saturday night.",https://www.yelp.com/biz/california-pizza-kitchen-solana-beach?start=100,3.04,3.04,3.04,2.7960000000000003,3.0400000000000005
