,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
87,Mell R.,"Sunrise, FL",2,28,132.0,5.0,2013-01-06,"New to the Sawgrass Mills mall. California Pizza Kitchen is a great addition to the facility. Everyone loves pizza! The menu includes other items that I have not tried. The tiramisu is excellent. I have 2 kids and their kids menu is extremely affordable. Lots of choices. Free refills on all kids drinks, including chocolate milk and apple juice. The kids desserts are $1 and include a choice of a brownie or Sundae. Good service. Great food. Check them out!",https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=80,3.668,3.668,3.668,3.668,3.668
61,Barry E.,"Hollywood, FL",1,49,,4.0,2013-02-01,Excellent and friendly service. Large variety of sandwiches and pizza. Food very good.,https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=100,3.568,3.568,3.568,3.568,3.568
103,Brandon L.,"Sunrise, FL",13,20,8.0,2.0,2013-03-10,"The front attendant completely skipped us in line, which I fixed. Our party of 5 was placed at a table for 4. Not a good start. Food was good otherwise. Would only come back if there was nothing else available. First impressions are everything!",https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=80,3.3360000000000003,3.3360000000000003,3.3360000000000003,3.3360000000000003,3.3360000000000007
47,Marvin C.,"Palm Beach, FL",45,45,171.0,3.0,2013-03-18,"The decor is great, very modern & welcoming.  Great place to hang out or meet for business. However the service is HORRIBLE.  Could possibly be the one time I went but it was unacceptable we were kept waiting over 5 minutes to sit while half the restaurant was empty, later the lady at the door points to a table ""this is your table"".  Waiter takes our order. 2 pizza, one water & one cocktail(which he recommend as the best cocktail in the house). Minutes later we get 2 pizza, one water. I hint at my drink to see if he would recall, but he brings me water. At this point I wasn't even in the mood for a drink anymore. We get the bill, 2 pizza, one water & one cocktail. When I point it out he apologizes & removes the cocktail. The California pizza was great, my water on the rocks cocktail was ok :) Service needs to improve. I will give them one more try & will update my review.",https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=60,3.404,3.404,3.404,3.404,3.4040000000000004
93,Luisa C.,"Fort Lauderdale, FL",828,237,467.0,2.0,2013-03-26,"Wow - this pizza was not good. Let me first talk about the positive things: - they do offer whole wheat/grain crust, which is a big plus; - they do have healthy menu options like split pea and quinoa on their menu; - their customer service was great, maybe even excessively nice; - their salted caramel pudding was good, but not the greatest. Negative:  - pizza toppings either too little or too much, with too many sauces - pizza just did not taste good. My fiance could not not finish his pizza and did not even want to box it. They provided us with free dessert, which was nice on their part.  We will not be coming back .  We were really hoping for a good pizza joint but I guess California Pizza Kitchen is not the one.",https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=80,3.3360000000000003,3.3360000000000003,3.3360000000000003,3.3360000000000003,3.3360000000000007
104,Katelyn T.,"Pompano Beach, FL",68,110,10.0,5.0,2013-05-05,"Wow. Boyfriend and i hated this place, first time went to Boca (separate occasions) and hated it since. We decided to give it one last try and was blown away. Pizza, service, beer. Wow blown away. Best pizza place i know in south Florida and what tops it is they have rogue brutal ipa. If you dont know what it is its a strong amazing beer served in 650ml. So thank you wolf gang puck for going out of business, thank you.",https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=80,3.732,3.732,3.732,3.732,3.732
106,John P.,"Fort Lauderdale, FL",43,20,,5.0,2013-06-08,"My wife & I come here often. It's one of our favorite restaurants. We often sit at the counter & can't believe what a great, hard working team. The pizza guys are machines. Eyron the Asst GM introduced himself & couldn't have been nicer! Great food! Great restaurant!",https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=80,3.7,3.7,3.7,3.7,3.7000000000000006
100,Jessica C.,"Pembroke Pines, FL",1,14,2.0,5.0,2013-07-11,I was really surprised and impressed! I had never eaten here before but I'm glad my friend insisted because it was great! Their Sangrias are amazing and you have to try their egg rolls! We will definitely be back!  The Manager was super nice too! She kept coming by to check on us.,https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=80,3.7,3.7,3.7,3.7,3.7000000000000006
95,Mari S.,"Pembroke Pines, FL",10,73,170.0,4.0,2013-07-13,"Service is a little slow but if you love fresh, fire oven baked style pizza (with out the burned crust) then you will love the pizza here. Love their drinks (frozen mango lemonade and sangria), atmosphere and over all the food is good. I always skip the dessert here and that is why I rated it 4 stars.",https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=80,3.568,3.568,3.568,3.568,3.568
97,Pammi K.,"Ashburn, VA",1,10,,4.0,2013-07-19,"I know, its a chain but we really enjoyed a wonderful lunch while visiting the area. First the bad ...  The service was rather slow.  We waited almost 25 mins for our food after we ordered. The server was new and she overcharged us and it took 3 tries to have the check corrected! Other than that there were no issues so moving on to the good part...  The kids picked pizza and pasta from kids menu which was standard but they liked it. We ordered the guacamole and chips as a starter and it was fresh and flavorful.  For our main entrees we got the roasted veggie salad and the roasted veggie pizza on whole grain crust.  Hubby and I shared the two items and they were both tasty.  I love it when restaurants don't skimp over ingredients in a salad.  You know, some places its 70% lettuce and only 30% main components. This one didn't, there was a good quantity of roasted veggies and avocado on the salad along with the lettuce.  It was tossed well in the dressing.  Just perfect.   The pizza was excellent and the best part is my kids asked to try a slice because it looked so appetizing.  And then they asked for seconds!",https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=80,3.568,3.568,3.568,3.568,3.568
102,Carol S.,"Pompano Beach, FL",16,3,,2.0,2013-08-13,"Pizza was only Ok this time. But what I came here to 'complain' mainly was POOR service and hygiene! Went for late lunch on a monday, so was empty. Server was very slow. Didn't bring water refills and didn't come back to check on us, or to give the check. He was too busy talking to his co-workers. Servers look very inexperienced or lazy (?), bringing your HOT pizza without a glove, rubbing against his shirt... the other guy picking his nose... servers checking a girl out when she walks in because she has almost no clothes on... lol Maybe, only maybe I'll be back. I've had much better experiences at other locations.",https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=80,3.3680000000000003,3.3680000000000003,3.3680000000000003,3.3680000000000003,3.3680000000000003
58,Mary W.,"Denver, CO",83,78,25.0,5.0,2013-09-08,"Today my fiancé and I went in for lunch and were AMAZED at the professionalism of the staff, the quality of the ingredients, and the promptness of the service. We have been to many CPKs in the area but this one is the best! Bread was delivered to our table fresh from the oven. Our server Catherine was knowledgable on both the food and drink menu, and made two wonderful suggestions. Our food came out freaky fast and was deliciously crisp and flavorful. I had the jerk chicken and spicy carnitas pizza, while my fiancé enjoyed the Kung Pao Spaghetti. The manager even stopped by to see how we were liking out adage of sangria. Truly a 5 star experience! Kudos and we will be back again!",https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=60,3.732,3.732,3.732,3.732,3.732
105,Safiya B.,"Marathon, FL",0,7,3.0,5.0,2013-10-11,Food is very good. We go all the time.  I love the barely and pea  soup and the chicken and arugula dish.  Pizza is great too of course!,https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=80,3.732,3.732,3.732,3.732,3.732
60,Lacey S.,"Broward County, FL",8,20,9.0,4.0,2013-11-20,The pizzas here are amazing! Def worth going to if you want a variety of different kinds of yummy pizzas.,https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=100,3.504,3.504,3.504,3.504,3.5040000000000004
43,Marla G.,"Centreville, VA",36,58,39.0,4.0,2013-12-26,We had a very nice late dinner after spending the afternoon doing after Christmas shopping. The service was great. Our waitress was very attentive. We had people in out party that had a gluten sensitivity. Management was accommodating and allowed us to have a gluten free pizza crust as our bread for an up charge. It was delicious! So I would recommend that you make that an options for those with gluten sensitivities.  This was my first visit to this CPK and I will definitely come back again for another visit.,https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=60,3.536,3.536,3.536,3.536,3.5360000000000005
66,Stefanie K.,"Willow Beach, AZ",0,24,4.0,5.0,2014-01-01,"We hadn't been at a California Pizza Kitchen in a long time, our visit was great. The wait staff (Keith)!is outstanding, drinks and food were very good.",https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=100,3.604,3.604,3.604,3.604,3.6040000000000005
88,Lynette P.,"North Lauderdale, FL",11,12,13.0,4.0,2014-01-22,"I love the wild mushroom pizza, the pear something-something and redvelvet for dessert. If you like starters, the white corn guacamole is awesome. The mac and cheese we didnt like. If you like to keep on the healthy side, the whole wheat dough i great, and ask for pizzas that have many leafy greens on top.. All awesome!",https://www.yelp.com/biz/california-pizza-kitchen-sunrise-2?start=80,3.504,3.504,3.504,3.504,3.5040000000000004
