,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
37,Alvin D.,"Covina, CA",26,74,22.0,3.0,2012-01-03,"It's good.  Good enough to come back for your gourmet pizza fix.  The kids like it, so that will guarrantee a return visit.  I recommend the Sicilian pizza.",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=60,3.28,3.28,3.28,2.668,3.2800000000000002
42,Ivan L.,"Walnut, CA",564,28,4.0,4.0,2012-01-04,"3 stars, +1 more for the excellent customer service from Manuel. You already know what you're going to get from CPK when you come here. My gf and I decided to try something different, she went with the Chile blah blah I don't even remember what it's called but I went with the sun dried pasta penne cream thing. The Chile thing was different, but it was good! Something I've never had before. My penne pasta was ok at BEST. Ordered chicken with it ($3 more ok no big deal right? Except, I counted like 7 TINY pieces of chicken. That coupled with a mediocre sized plate of pasta = I'm still hungry). My GF loves the mango/strawberry-iced-teas but our server mixed and matched them to perfection. He frequented our table and was always making sure we were satisfied with everything (I wasn't with the food but his exceptional service was a difference maker). Honestly, I can cook the pastas and the pizzas at home for far less than what CPK charges. However, the service here is fantastic, thanks to Manuel. Real cool, down to earth dude. Hopefully all the other wait staff is just as attentive and caring as he is.  It's been a while since I tipped +30%. Well deserved.",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=40,3.36,3.36,3.36,2.7039999999999997,3.3600000000000003
106,Marie V.,"West Covina, CA",24,18,3.0,4.0,2012-01-16,CPK west covina has awesome service!! great food!!,https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=80,3.36,3.36,3.36,2.7359999999999998,3.3600000000000003
6,Aimee B.,"Austin, TX",226,185,49.0,4.0,2012-01-30,"I got the BBQ chicken pizza and tried their fettucini alfredo. Both were absolutely delicious. Our server was prompt, filled up my friend's drink quickly as he had a spicy dish, and was accommodating to a small child we had with us as well. (Thanks, Gio!) BOTTOM LINE: It was a nice, casual dinner. Definitely one of the best CPKs I've been to.",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=20,3.36,3.36,3.36,2.7359999999999998,3.3600000000000003
68,Angel L.,"Baldwin Park, CA",536,140,349.0,3.0,2012-02-04,"mmm.. 3.3 stars?? Came here a couple nights ago with a friend to catch up over some dinner. We got there at about 830 pm ish. (I ended up eating a little before getting there so I didn't order anything.) It was my friend's first time so I was really excited to have her try some of my favorite dishes... so much for that!! Looks like CPK is undergoing some changes with their menu.. my beloved cranberry walnut chicken salad sandwich is no longer available along with a couple other dishes! ): DEEEVVASSSTATTTIONNNN! boo. Our server, Eric, was very informative, funny, and patient with us. I guess he's been with the company for about five years now? he gave us the whole run down of the menu as to what was more popular and which ones he preferred. I would totalllly hire him I had a restaurant. just saying! Anyways, it took them a while to take our order this time around too ): My friend was STARVING! and it was funny cause we were joking that Eric could've put my friend's baby in danger! (she's prego :D ) but Eric was a really good sport about it. He kept us laughing and smiling the whole time. We ended up ordering the spinach artichoke dip and the california club pizza. Their dip just doesn't seem to come out as hot as I'd like it... everrr. But it was creamy and not too heavy. My friend liked it, lots. The california club pizza looked amazinggggg! I've had it before but I didn't have any this time around since I ate already. It comes topped with avocado, and shredded lettuce. Let's just say I got a thumbs up from m'friend (: yay! The score remains at 3 stars and the only reason why I even bothered mentioning the 0.3 is because of Eric's capability to dissect each and every dish we talked about as well as making us laugh.  It seems that service is one of this location's weak points.. I think I'll stick to the CPK in Arcadia ): sorrryyy!",https://www.yelp.com/biz/california-pizza-kitchen-west-covina,3.32,3.32,3.32,2.572,3.3200000000000003
89,Misty P.,"Los Angeles, CA",4,48,3.0,4.0,2012-02-08,"The spot is conveniently located and the service is great.  They have a great selection of salads and even better free bread.  If u like oil and vinegar, you have to ask for it.",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=80,3.32,3.32,3.32,2.6719999999999997,3.3200000000000003
7,Sara M.,"Covina, CA",34,11,,5.0,2012-02-22,"this is my place to go on a Friday night. Me and my best friend have been going for a couple months now. its so bad they know us by name and have our seats saved. We didn't even have to order, they already knew! food is delicious. when i fist was going it was peperoni pizza and these macaroni things that are BOMB...but also extremely against my diet hahaha! so then i tried the grilled chick Caesar sandwich is even better! and one night i was confused on what to order and my favorite waiter suggested the avacado egg rolls ( and i looked confused like i had never had them before my friend said you have had them at Bj's ) so i ordered them.......and wow just wow! so now i am hooked!  & when i was drinking, their drink were delicious and strong. Great friendly staff! one of the managers is the best! especially on my birthday :D",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=20,3.4,3.4,3.4,2.676,3.4000000000000004
20,Maria C.,"Walnut, CA",1,37,6.0,1.0,2012-02-24,"This location I found out changed their menu for the worst.  They removed some of their best dishes (i.e. sauteed slamon with grilled asperagus and delicious lemon caper spaghettini, and the awsome baby clams spaghetti plus others) and surely because they are focusing exclusively on economics without regards to clients.  I was told that fortunatelly not all CPK's changed their menu only those that are franchises, so I have to travel further to CPK Brea, but it will be well worth it.",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=60,3.28,3.28,3.28,2.148,3.2800000000000002
38,Matt P.,"San Gabriel, CA",8,24,8.0,4.0,2012-02-29,"Didn't bring lunch again and decided again for a healthier choice. so i ordered on-line curbside pickup which was great. i didn't even have to call during my work hours i just clicked the time i needed to pick up my lunch at what i wanted and that was that, i got the CPK Cobb salad which was great. the service was perfect i parked my car at the parking spots of curbside service waited 2mins and BAM they brought my food out to my car. i placed my order on-line around 11:50am and i set pick up time around 1pm. i will be ordering again if i don't bring my lunch it was perfect. plus the salad was good like always CPK has great food from pizza's to salads to sandwich's. Forgot to take a picture but i bet you can tell through my words it was great.",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=60,3.28,3.28,3.28,2.512,3.2800000000000002
54,Silvia B.,"West Covina, CA",7,32,3.0,1.0,2012-03-03,"If i could give zero stars i would-the food i ate was good but unfortunately accompanied by horrible service. Waiter forgot to place my order and when he only brought three plates out i asked if there was a fourth entree and was i told I REPEATED THE ORDER FOR YOU..as if it was my fault-he mumbled everything so i couldnt even tell you if he got it right or not but definitely not couteous at all.  Then while serving water he wanted to suddenly be funny  and told me ""no water for you"" it was inappropriate.  Waiters name is Luis and he should be ashamed of his srvice!!!",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=40,3.2,3.2,3.2,2.148,3.2000000000000006
