,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
24,Reena D.,"Euless, TX",516,808,939.0,4.0,2013-07-26,"This is a really nice Chili's!  The ambience is really nice and modern.  The El Nino margarita is really good.  We usually swap out the GranGala for Grand Marnier.  The skillet queso is still fantastic.  The chipotle chicken flatbread is pretty good.  I do enjoy the nachos here.  If you want something to eat on the healthier side, the Mango-Chile Tilapia and Margarita Grilled Chicken are really good.  Service here is always a hit or miss.  Our last time here, we never saw our waitress after getting our food.  We had to flag someone else down which was really annoying.  There are plenty of parking spots here. P.S.  This is my 400th review!",https://www.yelp.com/biz/chilis-bedford?start=20,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997
47,Tom H.,"Euless, TX",1,36,,2.0,2013-07-27,"Absolutely the worst hamburger I have ever had.  Service was crazy bad.  Waiter left and bill and disappeared.  We had to hunt someone down to pay the bill.  The waitress we finally found couldn't accept our payment because the area we were in was not hers.  A few minutes later, the waiter (our waiter) showed up and offered no apology.  This is a new store and has some obvious management problems.  The restaurant that was across the street, before the highway construction, was always pretty good.  What happened ???  I'm thinking the guy was out back smoking dope.",https://www.yelp.com/biz/chilis-bedford?start=40,2.536,2.536,2.536,2.536,2.536
38,Somchai I.,"Haltom City, TX",288,461,69.0,4.0,2013-08-02,"this is a generous 4 star lol. i took in account it was new and wasnt highly staffed. walking in it looks really nice. i did not like that i had to wait 30min just for a hostess to even get on the list. apparently theres only one and she is also bussing tables. thats not cool. when i finally got to see a hostess i even asked, are you guys hiring? her reply. NOPE. lol maybe they should reconsider. anywho it took about 15min to get a table for 12. but we had to sit in 2 different booths, which made no sense because we saw a long table ready for 12 it just wasnt clean. they need to get it together. but i digress i was just being nice i guess. our server did the best she could for us and thats all i can say lol. she was very nice and kept refills she deserved many tips and we accommodated. food took forever to come out and the restaurant was maybe half full. im not sure if ill come back here.  very nice bathrooms everythings clean. be careful though i got a splinter from the booths as they are partially wood. no bueno. anywho the food over all was good price is the same and portions are good and consistent.",https://www.yelp.com/biz/chilis-bedford?start=20,2.8320000000000003,2.8320000000000003,2.8320000000000003,2.8320000000000003,2.8320000000000007
45,Chris J.,"Bedford, TX",4,4,,2.0,2013-08-06,"I've been to this chili's twice now. The first time it had just opened, so I gave it the benefit of the doubt when lunch took an hour and a half, and then my 2 out of the 3 orders at my table were wrong. I just went again, and this time dinner took an hour and a half, my appetizer never showed up, and the service was even worse (if that's even possible) . We sat at the table for 10 minutes with it dirty(because they asked us too) while other tables that sat after us were cleaned. Then I ordered ordered my food, and tables that sat after us got the same appetizer before us(the one that never showed up). The food was OK, standard chili's quality, but not worth the service.",https://www.yelp.com/biz/chilis-bedford?start=40,2.536,2.536,2.536,2.536,2.536
48,Kate K.,"Euless, TX",9,72,54.0,5.0,2013-12-24,"Been here three times now and the service is always so wonderful! The flatbread was a little burnt the first time, but not inedible. The cajun pasta was great and cooked perfectly and hot when it came out! The Margarita Chicken was also cooked perfectly and the rice and beans were nice. The flatbread is my absolute favorite, also something to brag about. We had the best waitresses/waiters each time and the host was always attentive. Love this place!",https://www.yelp.com/biz/chilis-bedford?start=40,2.836,2.836,2.836,2.836,2.8360000000000003
41,Wayne W.,"Euless, TX",141,49,,1.0,2014-01-14,"I have had 4 experiences with this new location and EACH and EVERY one have been bad to horrible.  The food has been sent out cold, my to go order (that I placed online) was wrong and to top it all off, the staff is very lackadaisical and customer skills are lacking a great deal! Why go back you ask?  Answer, I will not go back and I rather choose to drive an extra 5 minutes up to the 121/Glade location.  Senior management might want to step in and do something about this poorly run location...",https://www.yelp.com/biz/chilis-bedford?start=40,2.34,2.34,2.34,2.34,2.34
44,El S.,"Watauga, TX",491,51,37.0,3.0,2014-02-21,"Pretty standard, slow service on a Friday night.  Beer was cold, food was ok. Skillet queso is a weird color...but tastes good.",https://www.yelp.com/biz/chilis-bedford?start=40,2.54,2.54,2.54,2.54,2.54
46,Randi K.,"Keller, TX",62,7,,1.0,2014-03-07,"I came in and sat at the bar.. TONS of dirty drink glasses and plates with napkins I asked the short brown hair bartender if these were done and she said ""yeah no ones there"" and went back to her customers and didn't even acknowledge me (as a single patron at the time) I never got offered a drink, nothing... I asked the man behind the bar for a drink; ""oh I'm not a bartender.. I can't serve drinks"" yet he asked the bartender ""hey she wants a blue moon is it cool if I serve her one?"" The bartender nodded. SOMEONE NOT ALLOWED to serve, served me. Once my friends arrived and drinks started being ordered the bartender was MUCH more attentive. Also? The glasses aren't clean bc the other bartender w/ blond hair made sure to tell the ""bar back"" ... ""Let's make sure these glasses are clean before serving (looking at the dirty glass)."" And she served it to the patron. AFTER THAT? why go back? Do not come here for good service. People were asking the ""bar back"" for help on their checks and to deliver their checks and he can't be he's LEGALLY not allowed-- yet did. This place is unorganized and when speaking to the manager He had nothing to do or say but DEFEND his unlawful employees. I've been in the business... Don't come to this place for good service (unless you want soggy cheese fries)! You'll just get a debate and not an apology on customer service and LAWFUL ETHICS ""being new"" doesn't excuse for ""he just doesn't know what is right and wrong.""",https://www.yelp.com/biz/chilis-bedford?start=40,2.372,2.372,2.372,2.372,2.372
36,Michael W.,"Bedford, TX",1,11,6.0,1.0,2014-03-08,"Nasty smoke filled bar, had to seperate and wash my clothes in laundry seperately. I should have left immediately upon entering. Will not be back until they clean up the place. Why ruin a brand new restaurant? ""It's a bar"" does not make my rights not to have my personal space infringed.",https://www.yelp.com/biz/chilis-bedford?start=20,2.404,2.404,2.404,2.404,2.404
31,Charles H.,"Fort Worth, TX",0,97,66.0,2.0,2014-05-08,"The food here is good, the service friendly. So why the low score?  The smoke, the dirty dishes and the general unkept appearance of this place.  I've been here twice and each time (6:00 PM) there were a number of tables around me that remained un-bused through my entire meal. The bathroom is overflowing with used paper towels, counters filled with trash.  I think someone else said it best:  this place needs retaining from corporate.",https://www.yelp.com/biz/chilis-bedford?start=20,2.536,2.536,2.536,2.536,2.536
