,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
25,Police Lives Matter ..,"Greenville, SC",0,187,17.0,2.0,2012-05-30,"I had the steak & ribs which was not good. My server, Cory obviously has never been trained. He stood around in a daze, never checked on me and never asked how the food was. He did not receive a tip which always needs to be earned.",https://www.yelp.com/biz/chilis-birmingham-5?start=20,2.44,2.44,2.44,2.44,2.44
20,Joshua S.,"Trussville, AL",62,106,614.0,2.0,2014-04-01,"If you were recently released from prison, you will love it! Chilli's is great. Just not this one... The food isn't bad, then again it's hard to screw up a bacon burger.  I normally frequent the chain when traveling as the menu is excellent; I wouldn't stop here on HWY 11 unless my appendix ruptured and needed a phone. Ok, maybe too harsh...  The bottom line is that it's inconsistent due to the overwhelmingly ""service without giving a sh^t"" attitude. You can tell when people love work, this group doesn't. I can't blame them, but I can avoid the disappointment. There is a mix of great wait staff and cooks, but don't cross your fingers for them.  If I want superior customer service, I will go to chick-fil-a, Publix, or establishments listed under adult services on craigslist. If I want a bacon burger and some methamphetamine, I will come here.",https://www.yelp.com/biz/chilis-birmingham-5?start=20,,,,,
22,Buck B.,"Trussville, AL",1,44,,1.0,2015-05-08,"The food is not worth the price and the three times we've been here in the last two months, the service has been terrible!  Last night our waitress treated us like an after thought.  Not ever again!",https://www.yelp.com/biz/chilis-birmingham-5?start=20,,,,,
23,Susan T.,"Bossier City, LA",0,3,1.0,5.0,2015-05-15,"Even after reading some of the less than glowing reviews, since they were not recent, we decided to give it a try.  The staff was outstanding.  Robbie and others were extremely helpful and met all my of our requests with a smile and genuine helpful attitude.  And the food was on point!  We frequent Chilis and similar places and this was by far the best service and food in over one hundred visits throughout several cities and states!  I hope this is the norm and not an exception!  It looked like other patrons were having good experiences as well and the lot was packed with cars.",https://www.yelp.com/biz/chilis-birmingham-5?start=20,,,,,
21,Whitney G.,"Moody, AL",0,29,,1.0,2015-07-14,Just stay away. Restaurant was dirty. There was a bug on my margarita!!  The server brought me another lime in his bare hands!!  Gross. Food was NOT as appeared in the menu.,https://www.yelp.com/biz/chilis-birmingham-5?start=20,,,,,
12,John S.,"Trussville, AL",34,275,142.0,4.0,2015-10-05,"Picked up a Quesadilla Explosion Salad and appetizer trio (Southwestern Egg Rolls, Cheddar Bites and Boneless Buffalo Wings) to share for supper. Online ordering was easy and order was ready and accurate when arrived. I definitely recommend the car side to-go option. Allows for an easy dinner and movie date night at home.",https://www.yelp.com/biz/chilis-birmingham-5,,,,,
15,Laronica C.,"Birmingham, AL",158,93,533.0,4.0,2016-01-17,"I can understand why this place has such low reviews in the past, but the last two times I've been to this location on Gadsden Hwy have been on point! Now, to be fair I had stopped going here a couple of years ago, except maybe to pick up a cheeseburger to go. And admittedly they previously had problems with being too slow when no one was there and food being lukewarm. But this location recently underwent a major renovation, which includes the menu, not just the building. This updated Chili's (atmosphere) reminds me of the Chili's of old and that's a good thing because I was always a fan. Years ago when I lived in other cities, Chili's was the fun, go-to place for large groups for economical eats and drinks. Maybe they listened to the complaints of bland food and slow service.   When I first moved to this side of town in '08 there weren't many sit-down restaurants and Bham wasn't really the foodie town it is now. There were more chain restaurants and for this area Chili's was pretty much it.  As other restaurants began popping up, the service here declined and so did the patronage. The parking lot was always empty and rarely was it ever busy. Then a few months ago I noticed new paint and a completely revamped building. It looks really good! So about a month ago we decided to check it out. Not only was I impressed with the updated menu options, but the prices totally agreed with my budget! They have several meal options 2 for $20 and 2 for $35 (which includes 2 Presidente margaritas).  They also have ""7 meal choices for $7 in 7 minutes"" during lunch. Normally when you have specials like that you don't get great meal choices, but those specials include some of their popular items. Chili's has gone back to its original Tex-Mex roots and incorporated a lot of flavorful dishes one might find in a regular Mexican restaurant.  The place was busy and bustling with activity and it was lively and fun! New tv's and layout give it a true sports bar feel on the bar side. And there are several tv's on the restaurant side but they aren't intrusive or loud. The service was excellent; our server Jeremy was really good and he was backed up by Nigel so we never needed anything.   Today I had chicken enchiladas and my friend had chicken burrito with beans. Both meals were excellent in taste and quality. The burrito was HUGE! My enchiladas came with rice and beans, topped with pico di gallo and a sweet corn and pepper mixture. Yum! It was a lot of food. The beans were spicy and very tasty and the rice was flavored with lime and cilantro. Yes, I was shocked to enjoy a true Mexican meal at Chili's but it happened! And I LOVE Mexican food and I would not steer you wrong!  Each of our meals were only $9.99 each. We did not get any alcoholic beverages, but the next time we will. I recommend giving Chili's another shot if you haven't been recently.  It's very obvious they worked hard to make some positive changes. Sometimes I don't feel like going to another side of town and I just need to eat without all of the extra-extra-ness! Next time I'll take pics!",https://www.yelp.com/biz/chilis-birmingham-5,,,,,
18,Brandon J.,"Birmingham, AL",89,5,,2.0,2016-01-29,Was seated and order drinks and appetizer pretty quick. Waited for close to an hour for entrees to come out and when they did they were luke warm.  Didn't want to send it back in fear of waiting a long time again. My fiancé got a Coke and something was in the glass. It looked like soggy bread. I am not one to complain so i didn't get any discounts for poor service. The waitress did apologize but told us several times our food was coming out and the. We waited longer.,https://www.yelp.com/biz/chilis-birmingham-5,,,,,
10,Rikesha F.,"Birmingham, AL",175,216,1363.0,2.0,2016-02-06,"This used to be my favorite location. Quality and service has really declined over the years.  On this visit I ordered the triple dipper as my meal. I chose the big mouth bites, southwestern egg rolls and crispy chicken crispers. The egg rolls were fine, but the chicken crispers were hard and looked more like nuggets or popcorn chicken instead of tenders. The cheese on the big mouth bites was hardened and there was hardly any bacon on the sliders.  My date ordered the avocado sirloin something. He got a small piece of beef that didn't resemble steak. No avocado either. In fact, he didn't even get the correct meal. When asked about it, the waitress told him that our server was new and he thought he wanted the regular sirloin. He ate it like a champ without complaining.  We ordered the caramel toffee brownie skillet for dessert. They didn't have any  toffee toppings nor nuts since ours didn't come with it. The waitress didn't tell us they were out, but she did apologize and asked if she could take it off of our ticket. We told her no, because to be honest, the entire meal was disappointing anyway.  Chili's, please do better. You are about to lose one of the last few loyal customers you have left.",https://www.yelp.com/biz/chilis-birmingham-5,,,,,
17,Shonda W.,"Birmingham, AL",63,163,33.0,4.0,2016-02-10,"Sad to see all the terrible reviews. I have always had great service at this location and the food is always very good. They always have some special going on which is nice, drink specials most of the day, and I usually have a free app coupon in my email. I always get the carnitas fajitas with extra chipotle garlic butter and it's excellent!",https://www.yelp.com/biz/chilis-birmingham-5,,,,,
