,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
37,Dustin N.,"Peabody, MA",3,26,,1.0,2012-01-30,"Hadn't been here in somewhere around 5 years.. I vaguely remembered not liking it and that being the reason for not being there in so long (but eating at Fridays right across the road numerous times) but I wasn't totally sure so decided to give it a whirl. First thing we see when we walk in is a drunk man slightly aide stepping out of the bar area cursing to himself... Ok weird (its thursday at 7pm). Then there's more drunk guys still at the bar. Wouldn't think this as a ""bar hangout"". So we are seated quickly and the waitress came over rapidly. And took our drink order. 2 margaritas... Now I realize we aren't in a place expected tp have the beat margaritas... But I should have just ordered blended ice with lime juice. It was extremely sour and I'm almost positive an eye droplets worth of tequila. At this point I take a bathroom break, and now the bathroom isn't necessarily dirty but is definatly in need of an annual scrubbing to ride the floor of the buildup of grime (mold?) On the floor around the sinks and under the paper towel dispenser.  So now put food shows up. My girlfriend got a chicken that they absolutlu drowned in a sauce. It came with corn on the cob that was so mushy it fell apart when she picked it up and french fries that were decent (gotta earn that half a star somewhere)  My burger wasn't terrible... But I would be able to get a better one basically anywhere else.  As for the staff. They were all very nice from hostess to waitress and even who I assume to br a manager of some sort who brought our food out. (There's your other half star)  Needless to say I remember why I stopped going there and I'm not gonna forget this time around. Peace out chili's. Its been real... I guess i hate giving bad reviews... but it is what it is. a lot of people i know like it here but its definatly not for me. i would prefer fridays across the street any day, its cleaner better food and drinks and just a better layout",https://www.yelp.com/biz/chilis-danvers-2?start=20,1.988,1.988,1.988,1.988,1.988
41,Justin S.,"Peabody, MA",7,36,,2.0,2012-06-08,"The first time I ever came here was absolutely terrible. Took forever to be seated in spite of the fact that nobody else was waiting ahead of us, and there were plenty of open tables. Waitress took forever to do anything, starting with taking 15 minutes to come get our drink order. Food came out cold. Waitress brought the wrong check over when we were done. A catastrophic failure, all around. Over a year later, I decide to give this place a second chance. I will say the service was MUCH better, though, in my opinion, still only qualified as ""adequate"". The men's room, however, was a disaster. It looked like it hadn't been cleaned in weeks. Overall, they seem to be doing better than my first visit, but still not well enough to merit regular return visits.",https://www.yelp.com/biz/chilis-danvers-2?start=40,2.216,2.216,2.216,2.216,2.216
43,Michael G.,"Lynn, MA",10,42,5.0,1.0,2012-06-27,"To much salt, The chef has a heavy hand when it comes to salt. Steak sandwich was very greasy,",https://www.yelp.com/biz/chilis-danvers-2?start=40,2.084,2.084,2.084,2.084,2.0840000000000005
45,Amy C.,"Peabody, MA",0,2,,1.0,2013-03-22,"I went to Chili's in Danvers on March 22, 2013.  When I first walked in I noticed a foul odor.   But I was there to meet a  friend and didn't want to disrupt my meeting with her so I went in anyway.    I was there for about an hour.   The entire time I was there the place smelled foul -- like a room that hadn't been cleaned well in a very long time.   It was really gross.   I couldn't tell exactly where it was coming from.   I suspect lack of cleanliness in and around the seats and  tables was the problem.    I didn't eat much of my lunch.   The smell was so unappetizing.   I didn't want to eat anything.  Really gross.",https://www.yelp.com/biz/chilis-danvers-2?start=40,2.116,2.116,2.116,2.116,2.116
40,J P.,"Beverly, MA",17,167,159.0,4.0,2014-01-08,Stopped in tonight for dinner and drinks. Our waitress Kelly was very attentive and friendly. We had the blackberry patron margarita which was awesome. Dinner was pretty good the trio fajitas and dessert was super yummy.,https://www.yelp.com/biz/chilis-danvers-2?start=40,2.512,2.512,2.512,2.512,2.5120000000000005
38,Allen T.,"Lynn, MA",29,11,,1.0,2014-08-25,"First time going with my friend and here's how it went. Walked in, stood for five minutes no one came to greet us to a table so we decided to give them the benefit of the doubt grabbed the menus ourselves and take a seat. It was a beautiful quiet Monday evening with two people eating at the otherwise of the restaurant and a somewhat decent crowd hanging at the bar side. We sat there for 10 minutes as waitresses and waiters passed by and gave us eye contact, and not a single one came up to us. 10 minutes passed by and we decided to get up and leave. I could have called a waiter over but why should that be my responsibility if I'm going to pay them at the end of a meal and forced to be generous and tip? Not a single way did I want to call them over. So the 15 minute mark came by and we decided to leave the menu on the table and leave. Sorry not sorry, not coming back. Thanks chilis you've been the best at slow restaurant service on a slow day.",https://www.yelp.com/biz/chilis-danvers-2?start=20,2.116,2.116,2.116,2.116,2.116
36,S I.,"Beverly, MA",20,42,9.0,1.0,2014-09-27,"Dirty dirty restrooms. Ladies and men's room, in ladies room sign hanging said let us know if it needs attention. What? Do no employees use it? It is absolutely disgusting.",https://www.yelp.com/biz/chilis-danvers-2?start=20,2.148,2.148,2.148,2.148,2.148
35,Clarice C.,"Danvers, MA",7,26,5.0,5.0,2014-10-05,"Was very pleasantly surprised! My fiance and I got a gift card which is the only reason we went and were not expecting much, we thought it was going to be like The 99 or Applebee's only with Mexican food. It completely exceeded our expectations! There was more than just Mexican on the menu which we were happy with, the food was very good and tasted very fresh, the prices were very cheap and the wait staff was honestly the nicest we've come across. For phenomenal service ask for Melisa or John, both are super nice!",https://www.yelp.com/biz/chilis-danvers-2?start=20,2.58,2.58,2.58,2.58,2.58
34,Sha D.,"Medford, MA",0,149,,2.0,2014-10-06,"Normally I like Chilli's. But this one is pretty bad. My friends and I came in around ten p.m. to take advantage of happy hour & needless to say our hour here wasn't so happy.  I think who ever was working in the kitchen that night had to have been drunk, because everyones food was messed up in some way. We started off with four appetizers(bottomless chips&salsa, potato skins, burger sliders, and classic nachos.) The potato skins were burnt, the nachos were missing beans, and the sliders only came with cheese when they were supposed to come with onion and bacon. Our waitress offered to re-make the sliders, and the new order came out finally came out ten minutes before they closed. Atleast the chips and salsa were good, but we devoured them in less than two minutes and were never offered a re-fill. The manager took the potato skins and sliders off of our bill, which was nice. The original chicken crispers that I got for my meal made me confused. I have gotten the same thing at other Chillis and these were just different. The batter had a different texture and kept falling off the chicken. Also my fries were completely unseasoned. My friends liked the steak and fajitas they ordered, so good for them.",https://www.yelp.com/biz/chilis-danvers-2?start=20,2.152,2.152,2.152,2.152,2.152
30,Donna K.,"Woodbridge, VA",0,54,24.0,2.0,2014-10-18,We stopped in for a quick lunch.  That did not happen.  The waitress was nice but the food took forever and then came out burnt and tasteless. I had the $8 carnitas frajitas.  Others were getting verbal about leaving.  I hope this a one time problem. I won't be taking that chance.,https://www.yelp.com/biz/chilis-danvers-2?start=20,2.2,2.2,2.2,2.216,2.2
