,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
41,Tony C.,"Forney, TX",0,1,,1.0,2012-10-20,"Curbside is a joke! I showed up on time and watched the staff mess around for 20 minutes or so. I sat there just to see how long it would take. I saw two other curbside folks wait and eventually walk in. They got there food as soon as they walked in. I waited another 10 minutes. Eventually I walked in and he said ""oh, I didn't see you there"". Are you serious??! Grabbed my cold food and threw them a one dollar bill!! I want my dollar back!! Y'all are terrible!!!!!",https://www.yelp.com/biz/chilis-forney-3?start=40,1.988,1.988,1.988,1.988,1.988
39,Kenneth P.,"Terrell, TX",1,35,8.0,3.0,2012-12-02,"This particular Chili's has had its ups and downs. I ""like"" it, and I ""don't like it""; all at the same time. I guess it depends on what time of the day you go and who's working there when you go. I've had both, good and bad experiences here. It's 'hit and miss' with me as far as the service that I get when I do go.",https://www.yelp.com/biz/chilis-forney-3?start=20,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998
34,Karl B.,"Forney, TX",27,111,14.0,2.0,2013-08-25,"I'm not a huge fan of Chili's to begin with. I used to work at one and went through the menu several times while there so I'm pretty burned out on it. But I have to say, some of the things they are supposed to do best are just mediocre. I had the fajitas. The tortillas were stale and the meat was tough. The service was decent and our server was pleasant. If you like Chili's then this is about as good as any of them. If you're looking to find a new experience, try something else.",https://www.yelp.com/biz/chilis-forney-3?start=20,2.056,2.056,2.056,2.056,2.056
26,Kate C.,"Dallas, TX",930,147,31.0,1.0,2013-12-03,"I guess when businesses are in a small town, the service goes downhill because there is no competition. This is exactly how this Chili's operates. I'm pretty sure the lackluster service starts from the top down, considering the manager just adopted a new rule of only filling the beer glass up to the top of the handle and the rest is head. His excuse? ""It's company policy."" Hey, don't lie to me, I go to other Chili's. The other thing that really ticked me off about this location, was when I went for lunch and ordered water with lemon. The waitress told me they were out of lemons and get this, ""they were too busy to go and cut some more."" Fail.",https://www.yelp.com/biz/chilis-forney-3?start=20,1.988,1.988,1.988,1.988,1.988
17,Jonathan E.,"Indianapolis, IN",36,78,38.0,1.0,2014-01-03,"So, I'm updating from 2 stars to 1. My brother and I decided to go out for lunch.  Only God knows why, but I decided on the Chili's in Forney.   It was about 2 pm on a very slow weekday and as we enter there was no hostess, so we just waited and talked.  We waited and waited for 10 minutes and no one came.  Teenage waiters looked disinterested and disappeared into the kitchen.  Don't eat here.  Bad service, mediocre food (even for the already low Chili's standards).",https://www.yelp.com/biz/chilis-forney-3,1.988,1.988,1.988,1.988,1.988
36,Kenneth W.,"Kaufman, TX",3,12,2.0,1.0,2014-02-17,"Forney, Texas. Food was good. Service was lousy. Once we got our food, didn't see waitress again until we were finished. She asked if we wanted more tea. Not now, we're finished. Our waitress wasn't even the person we paid. Won't go back.",https://www.yelp.com/biz/chilis-forney-3?start=20,2.116,2.116,2.116,2.116,2.116
25,Eddie F.,"Forney, TX",4,38,5.0,4.0,2014-04-18,"This a followup review after the disaster we encountered the first time. The district manager said the staff was getting retrained. He gave us a bunch of gift certificates to try them again. When it comes to restaurants I'm a forgiving person once...never twice. Well we gave the Forney Chili's another try and I was surprised by the turnaround on our latest visit. People in party: 6 (3 adults, 1 teenager and 2 kids) Day: Sunday Time: 5:00pm Drink Arrival: Very fast, refills were on the spot Appetizers: Ordered 20 wings (which were tasty but a little on the small size) and the Southwest sampler platter (very good) Our waiter was Great, orders were right and drinks were refilled promptly. The wait staff didn't look so confused like the last time and they were organized. We really enjoyed our dinner this time.",https://www.yelp.com/biz/chilis-forney-3?start=20,2.448,2.448,2.448,2.448,2.4480000000000004
38,Delane M.,"Plano, TX",27,13,,2.0,2014-06-21,Would rather hit Applebees everytime... Nothing is great here. Food is so so and service is less than memorable.,https://www.yelp.com/biz/chilis-forney-3?start=20,2.248,2.248,2.248,2.248,2.248
33,Jim L.,"Royse City, TX",66,5,1.0,2.0,2014-06-22,"Unfortunately I need to add on the pile of bad reviews. This is the worst Chili's we have been to yet. The food was mediocre, drinks were not refilled unless you asked and we were served food that definitely sat under a heat lamp way too long. See the picture of the pickles I uploaded. We tried this location 3 times and each one was worse than the next. This was the straw that broke the camels back. We will just make the trip out to Rockwall.",https://www.yelp.com/biz/chilis-forney-3?start=20,2.248,2.248,2.248,2.248,2.248
30,Kaycee D.,"Dallas, TX",3,22,2.0,1.0,2014-06-24,"This is probably the worst Chili's I have ever been to.  The service is really what killed it.  I asked for the guacamole burger because I could not remember exactly what it was called.  The server told me they no longer had that burger.  So I asked if they had avocados and she said ""oh yes of course!"" So I asked if she could just add avocados to my burger and that just blew her mind, I had to spell it out for her.  Especially whenever I place an order over the phone, I am always leery as to if it will be correct at all.  Food is great, but if you want service- don't go here.",https://www.yelp.com/biz/chilis-forney-3?start=20,2.212,2.212,2.212,2.212,2.212
31,Steven S.,"Forney, TX",1,1,,1.0,2014-07-26,Worst service I've ever had in a restaurant. Servers were slow or non-existent. I'm usually very understanding and I'm used to busy nights but the entire time I was there there were 4 to 6 servers standing in the back talking.,https://www.yelp.com/biz/chilis-forney-3?start=20,2.2760000000000002,2.2760000000000002,2.2760000000000002,2.2760000000000002,2.2760000000000002
40,Angie G.,"Forney, TX",0,2,,1.0,2014-10-23,"Awful service! Went for dinner at 10pm to find the hostess on his phone and told us to sit ourselves in the bar area. We then walked over to the bar area which had about 8 empty tables, all of which were dirty. My husband asked someone to clean a table, who did so begrudgingly as he told us his shift was almost over. We then sat down for 10 minutes as servers walked by us and never stopped. We finally left when it became clear no one was going to wait on us. Clearly the management was not supervising staff or the quality of service. We have had several experiences at this location getting wrong orders but this was by far the worst. Next time we will go to Applebee's and skip the whole ordeal.",https://www.yelp.com/biz/chilis-forney-3?start=40,2.404,2.404,2.404,2.404,2.404
27,Joy E.,"Arcata, CA",65,218,126.0,4.0,2014-11-02,"Sufficient, with efficient customer service. I had no problem tipping 20%. The California flat bread was also, sufficient, and I love that they had fresh cut pineapples as an option for the kids side, instead of only french fries.",https://www.yelp.com/biz/chilis-forney-3?start=20,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003
37,Lori S.,"Terrell, TX",0,3,,3.0,2015-04-05,The food was alright and the service was pretty slow. I wouldn't go back unless I had too.,https://www.yelp.com/biz/chilis-forney-3?start=20,2.668,2.668,2.668,2.668,2.668
23,Kayla H.,"Flower Mound, TX",8,26,2.0,1.0,2015-04-18,Ever gotten food poisoning before? You will never forget it after the experience is over! This place doesn't even make sure the dishes are clean during the daytime!,https://www.yelp.com/biz/chilis-forney-3?start=20,2.436,2.436,2.436,2.436,2.436
29,Trace C.,"Forney, TX",0,32,13.0,5.0,2015-05-22,Food is great menus updated nice change.,https://www.yelp.com/biz/chilis-forney-3?start=20,2.9320000000000004,2.9320000000000004,2.9320000000000004,2.9320000000000004,2.932000000000001
14,Lupe J.,"Dallas, TX",135,41,64.0,1.0,2015-06-28,Food cold and not fully cooked... Asked for salsa didn't get it till after we got our cold food. Needless to say I do not recommend this place,https://www.yelp.com/biz/chilis-forney-3,2.404,2.404,2.404,2.404,2.404
