,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
4,Larry T.,"Gulf Breeze, FL",0,80,,2.0,2012-03-30,"On the way back to FL, road fatigue was setting in so I picked this exit for an overnight stay based on the choice of hotels and restaurants.  Across from the Hampton where I was staying (that's another story!) is a Chilis.  OK, I was always fond of their tequila lime chicken breast and they make decent margaritas, so let's give it a go.  Restaurant is crowded including the booths at the bar area but the bar is fairly open.  Bar keep is also waiting tables which is never a good sign when busy, but he gets to me fairly quick.  I have a top shelf Margarita.  Tasty but served in a small glass for $9 bucks.  No wonder they don't put drink prices on the menu!  Anyway, ordered my fave and he says kitchen is backed up.  No problem: no where to go and I'll switch to $3 drafts and watch some B'Ball.  Salad comes with no problem; getting an extra dressing was a problem.  That was a 10 minute ordeal.  When the food finally arrives it looks like dog food.  A char grilled breast floating on a sea of watery black beans, mixed with rice and soggy chips.  This is a non starter.  I ask to speak with the manger but she's in back helping to cook!  I decide to swap this for a steak with loaded mashed potatoes and broccoli.  Another long wait.  Steak arrives and manager says she will be right back with bread.  Never see her again!  To my surprise, the steak was cooked as requested and was tender but had been heavily seasoned (to be expected at these chains).  Still good and the sides were well prepared so you get a two.  By this time I've lost track of time and (beers) and I'm ready to chill out in my room and for this ordeal the bar tender comped me a beer!   So, if you're traveling on I65 and you want to make a stop either for overnight or dinner, I would advise you to push on to the next exit!",https://www.yelp.com/biz/chilis-fultondale?start=20,,,,,
3,Ashley M.,"Birmingham, AL",114,367,563.0,2.0,2012-04-11,"The poor rating is solely based on the poor service we always receive. I've always liked the menu selection and most of the time love the food, but the service is always horrible. But it stays crowded so apparently not everyone feels that way.",https://www.yelp.com/biz/chilis-fultondale?start=20,,,,,
2,Susan B.,"Birmingham, AL",42,12,23.0,4.0,2012-10-09,Baby back ribs and guacamole  were good did take out and food was ready when I arrived still miss Ruby Tuesday that was in Vestavia but this was good,https://www.yelp.com/biz/chilis-fultondale?start=20,,,,,
0,Steve E.,"Antioch, CA",5,26,,1.0,2014-02-13,"Last night Birmingham was hit by a snow storm. Five of us made it back to the hotel after a long day, looking for a hot meal. Almost all restaurants in the area were dark, but Chile's beckoned with cars in the parking lot and televisions glowing. Wait - the doors are locked?! The man inside gestured ""no"", but wouldn't speak.  Sent us away into the night. Thanks for nothing,  Chile's.  :-(",https://www.yelp.com/biz/chilis-fultondale?start=20,,,,,
21,Brittany F.,"Nashville, TN",129,235,79.0,2.0,2014-03-16,"Stopped by on a Sunday afternoon for a quick meal of soup and salad. It was not a quick meal at all. They were busy but not crazy busy when we got there, only on about a 5 minute wait, which was nice. Service was okay; the waitress was training someone and had more tables than she probably should have on such a busy day. She did the best she could given the circumstances.  The food is why this location is getting such a low rating. All 3 of us at the table ordered the same thing, soup and salad. That order is usually is very fast and good. It took about 15 minutes before the waitress told us the soup was ready but not the salad and if we wanted to get our soup. Totally okay with that coming out first so we went ahead and got our soup. We finished and then waited to get salad...it took about 30 minutes from sitting down to finally get a side Caesar salad and when it came out it just wasn't that great.",https://www.yelp.com/biz/chilis-fultondale,,,,,
17,Stephanie B.,"Nashville, TN",63,2,13.0,3.0,2014-05-27,"Overall an average experience. Server was nice but could have been a little faster in his service. My husband & I got the 2 for $20 deal. We had the Texas Cheese Fries for an appetizer. For the meal I ate the Cajun Chicken Pasta (normally a miss at other Chili restaurants) and it was fantastic! My husband got the Bacon Chicken Ranch Quesadillas, which tasted fine but my hubby struggled to find any chicken and didn't taste the ranch. He would have gone with the chicken crispers had he known it would have turned out like that. Also some of his silverware was dirty, so watch out for that. We were also intrigued by Chili's new touchscreen tablets at each table. It's a neat concept as it includes menu information, jukebox, games & apps (for a fee of course), but we mostly liked the ability to pay at the end of the meal so we didn't have to wait for the server. Very convenient. Random commentary: one of their TV's had the lifetime movie network on. Don't know why they think their guests would want to watch that. The other TV's I saw had TNT and Fox News. Those I get.",https://www.yelp.com/biz/chilis-fultondale,,,,,
24,Robinskii G.,"West Covina, CA",33,77,430.0,1.0,2014-07-05,"So far....4:42pm sitting at the table for after 6 mins a server still has not even come to our table to take our drink order.  Pressed the call server button on this electronic kiosk sitting on every table. Still no one has come. But workers are walking by just staring at us.   Finally!!! 5:56 After 10additional mins, (by now i was ready to get up and leave.) A waiter walked passed and asked if we been helped! My response. NOPE!  He takes  our drink and food orders, and says he'll just be serving us today, way to step up!! You get a star for stepping up.   Drinks come.... no straws...hmm.  5:06 appetizer comes out, no plates. Flag down the server again... ask for plates, he comes back with dirty ones, asked if he can get a clean one, he says ""sorry I didn't see that"".... I didn't know if you grabbed plays from a clean pile you have to ""see"" it.  5:21 food comes out.... it's room temp. my husband got the chipotle chicken bowl. Its loaded with rice and cheese... so disappointing. I got the chicken cajun pasta, it has never failed me at other locations.... I couldn't take a second bite how salty it was.  Over all experience... poor! I really love chili's too. One of my favorite restaurants. But this location has failed me.  Only uplifting thing about this place was being able to check out at the table. Which was the fastest this evening.",https://www.yelp.com/biz/chilis-fultondale,,,,,
22,Dana N.,"Kentwood, LA",1,4,,1.0,2015-04-12,"Bartender waited on us and had a very short snooty tone throughout our entire meal. She acted as if we were inconveniencing her....not to mention food was horrible.  Tacos were so dry they weren't edible until u doused them with sour cream and salsa, also...triple dipper was brought out cold and dry as hell also.  Hard to find a chilis worth a flip anymore:/",https://www.yelp.com/biz/chilis-fultondale,,,,,
23,Howell L.,"Gardendale, AL",0,14,7.0,1.0,2015-04-29,VERY SLOW service. My wife's food was cold. My kids didn't get the fries we ordered until they were almost done with their entrée and my food came once everyone else was finished eating. #nevergoingback toChili'sagain,https://www.yelp.com/biz/chilis-fultondale,,,,,
16,Neoview N.,"Birmingham, AL",2,6,126.0,3.0,2015-07-26,"My visit to Chili's was surprisingly nice. We took advantage of the 2 can eat for $20 promotion. We started out with the onion ring appetizer and got an order of the eg grills. They were both tasty and we got them fast. We had the Cajun chicken pasta and the mango chicken. Both were pretty good. The margaritas were decent - they went a little heavy on the salt on the second round though. Overall, a good experience at Chili's.",https://www.yelp.com/biz/chilis-fultondale,,,,,
