,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
85,Hari S.,"Palo Alto, CA",4,32,,1.0,2012-03-22,"We went on a Wednesday night so it wasn't too crowded, but the restaurant was FILTHY. They took ages to prepare a table for us, and the seats were full of crumbs, the table was unclean and the floor was full of used napkins. The cutlery hadn't been cleaned properly, and the mugs of water looked like they had been spit into. Food was alright but not great, service was reasonable, but the lack of hygiene was appalling.",https://www.yelp.com/biz/chilis-goleta-2?start=100,1.8600000000000003,1.8600000000000003,1.8600000000000003,1.8600000000000003,1.8600000000000005
80,Philip A.,"Goleta, CA",2,30,,3.0,2012-07-02,"The food is pretty tasty, but like couple reviews have mentioned, the service is a little wishy washy but if you get a decent waiter, you will find that if you get there 2 for twenty deal it won't be an expensive date after all.",https://www.yelp.com/biz/chilis-goleta-2?start=100,2.0600000000000005,2.0600000000000005,2.0600000000000005,2.0600000000000005,2.0600000000000005
82,Joy E.,"Goleta, CA",24,64,1.0,3.0,2012-07-08,"All day Sunday Happy Hour with yummy, decently strong, and reasonably priced margaritas! Food is terrible, but you already knew that. (Okay, so after a few 'ritas we always end up with the Texas cheese fries, you can't go wrong with hot fries, cheese, bacon, jalapeno and cool ranch when you've had a few). We come here for booze before heading to an afternoon matinee movie at the theater a few doors down. That is what I call a good Sunday afternoon!",https://www.yelp.com/biz/chilis-goleta-2?start=100,2.0600000000000005,2.0600000000000005,2.0600000000000005,2.0600000000000005,2.0600000000000005
81,Bonnie B.,"Columbus, OH",43,39,,4.0,2012-07-09,"I've pretty much always had good experiences at this Chili's.  The service can be a little bit slow in general, but depending on when you go, sometimes it isn't too bad.  The food is pretty typical of any Chili's, which is to say it's pretty good overall.  The margaritas are strong, which I like.  Another thing to note is that if you get Chili's To-Go, no matter when you get there, you'll always have to wait a few minutes, which is a little annoying.  But overall, I'm pretty happy with this location and I'll keep coming back.",https://www.yelp.com/biz/chilis-goleta-2?start=100,2.192,2.192,2.192,2.192,2.192
56,Steven L.,"Encinitas, CA",1,10,,5.0,2012-09-02,I LOVE Chili's restaurants in general but this location is the best. Manager John made sure that me and my sweetie pie had a great dinner for our anniversary. Would recommend it to anyone.,https://www.yelp.com/biz/chilis-goleta-2?start=80,2.2600000000000002,2.2600000000000002,2.2600000000000002,2.2600000000000002,2.2600000000000002
46,Martin J.,"Irvine, CA",149,106,44.0,2.0,2012-09-04,"Came here a couple of days ago with some professors who I haven't seen in ages. We arrived in the early evening. It wasn't packed, but it was busy. The hostess greeted us and seated us immediately. We sat outside in one of their large tables. We ordered some of their appetizers: mozzarella sticks, artichoke dip, cheesy nachos, chili fries and chips n salsa. The appetizers were the best microwavable food I've tasted in a while. They were warm enough to pass off as fresh. The chili fries, on the other hand, got cold as soon as the breeze from our hand reached for a fry. The artichoke dip was the best tasting appetizer.  The drinks did arrive promptly. One of my professors ordered one of their margaritas that comes with an additional Corona beer. The tequila they use for the margarita is Jose Cuervo, which scared by itself, but with the addition of corona I immediately took away her keys... and she wasn't even driving I was that scared. My Dos Equis came with a cold mug that actually warmed up my beer when I poured it in the mug.  I ordered their cajun chicken pasta that was your run-of-the-mill pasta that wasn't impressive. There was nothing in my dining experience that impressed me or for that matter just say, ""ok"". They do have good happy hour prices and I did try one of their margaritas that was strong, which I do like. They're not skimpy with their alcoholic beverages. Other than that nothing that really stood out for me. But it's a corporate chain so what can you expect.",https://www.yelp.com/biz/chilis-goleta-2?start=80,1.9280000000000002,1.9280000000000002,1.9280000000000002,1.9280000000000002,1.9280000000000004
29,Michelle H.,"Los Angeles, CA",766,219,325.0,1.0,2013-05-07,"Seriously, Chili's is always my last resort. I already wrote my review from last year but jesus christ I thought you couldn't get any worse.  I ordered my togo order... 2 burgers with fries. I literally got my food about 25 min after I called (which they said it would only take 10-15 min). When I got there, my order was still not ready. And I told the girl to make sure she gives me ketchup and ranch. But I had to wait another 10 min wtf? Total of 35 minutes? You guys weren't even busy. And i had to remind her again about my condiments cause she forgot to pack it. Then i came home... opened my food. NO TOP BUNS TO BOTH MY BURGERS. WTF? u just wasted my time and money. u literally made my order when I got there and still forgot the bun? Are you guys stupid? We called them and they said they would fix it for us. So we drove all the way back.... only to be greeted by 2 buns in a foil. wtf bitch make me another burger. EVERYTHINGS COLD NOW and u think a warm bun is going to fix everything???! if they made us new burgers and added an appetizer or osmething i wouolnt mind but buns in a foil? REALLY? I told her I wanted my money back. So the manager came and said ""you really dont want your burger?"" NO I DONT. I JUST TOLD the damn server I wanted my money back.  every damn time I come to Chili's they mess up on my order or they have really disgusting service. they should be closed",https://www.yelp.com/biz/chilis-goleta-2?start=40,1.8280000000000003,1.8280000000000003,1.8280000000000003,1.8280000000000003,1.8280000000000005
28,Bunny G.,"The Woodlands, TX",840,1160,3986.0,1.0,2013-06-01,"TERRIBLE WAITRESS We were tired from a long day and it was late so we chose this restaurant since it was located near our hotel. We stopped in to grab some dinner and the restaurant was empty so we were grateful thinking we would be in and out. Not! We waited 15 minutes for the waitress to stop by and take our order.  Her follow up was terrible too.  She never came around to fill up glasses or check on us.  I had to ask three different waiters to find our waitress.  It seems like it was just our waitress because EVERYONE around us got their food first and they sat down after us. Pains me to give such a low score, because we frequent Chile's back in Vegas and get excellent service but this was ridiculous. Never again.",https://www.yelp.com/biz/chilis-goleta-2?start=40,1.924,1.924,1.924,1.924,1.9240000000000002
49,Avery E.,"Goleta, CA",89,70,42.0,1.0,2013-06-17,"Came here for happy hour with friends and ordered drinks and appetizers. While we were waiting for those to come out, we were getting ready to order and asked if the potato soup was made with chicken stock or vegetable stock. The guy who seemed not to be out real server but was trying to take out order anyway replied, ""why, are you vegetarian or something?"" When we confirmed that yes, we are, he said usually vegetarians order it without the bacon on top and that we should just do that and we would ""Survive."" yes, those were his exact words. We asked if he could ask the chef, and he said ""okay, I'll look in the computer. It comes out of a bag and we heat it up."" Ummmmm, in that case never mind. I guess I should have realized because I mean, it's Chili's, but it was one of the only places open. But really, why would you tell your customers that your soup comes out of a bag that you heat up? Then, when we got our appetizers, there was a hair in our dip. Thank goodness the server was properly horrified at this and took it off our bill.  Anyway, after eating chips and a side salad and being very dissatisfied, we paid the bill and left, never to return.",https://www.yelp.com/biz/chilis-goleta-2?start=80,2.24,2.24,2.24,2.052,2.24
94,F Y.,"Thousand Oaks, CA",1,47,,2.0,2013-07-03,"Hahaha, forgot I had previously written a review, and it still holds! I just don't understand how this place stays in business with such lousy service (or why I keep getting pressured to come back!). The food is ok (I should have remembered my own review of the queso), but the service...Argh.",https://www.yelp.com/biz/chilis-goleta-2?start=100,2.2,2.2,2.2,2.152,2.2
53,Nicole C.,"Encinitas, CA",182,92,32.0,3.0,2013-08-27,Service was good. What can I say it's Chilis Bar and Grill. If you check in with Foursquare they offer a free basket of Chips and Salsa. Too bad Yelp does not offer that..,https://www.yelp.com/biz/chilis-goleta-2?start=80,2.28,2.28,2.28,2.2199999999999998,2.28
52,Melanie G.,"Los Angeles, CA",7,161,4.0,4.0,2013-09-03,"I like Chilis because they are open later than anywhere in the area, it's close to our home and their Gold Margaritas are blended to perfection!  I love their appetizers (the pretzels and sweet potato fries are soooo good!).  The service is kinda hit or miss, but I think you will get that at any restaurant.",https://www.yelp.com/biz/chilis-goleta-2?start=80,2.4,2.4,2.4,2.256,2.4
75,KENN C.,"Seal Beach, CA",4,15,6.0,1.0,2013-09-30,"Where do I begin...came here for a quick bite and left after horrible service. It was my first time ever leaving a restaurant, and without even ordering. Our server was awful and cocky.  Sat for over 20 minutes and waited, and waited. He finally walked by and we told him we were in a hurry....he replies, WHAT?...you have to catch a plane? What airline are you flying on? DUDE....REALLY ?  What makes it worst..he shouts it from across the restaurant so everyone heard.  Sooo unprofessional!",https://www.yelp.com/biz/chilis-goleta-2?start=60,2.4,2.4,2.4,1.8600000000000003,2.4
91,William R.,"Haleiwa, HI",107,8,18.0,2.0,2013-10-23,"walking around the marketplace before a movie looking for maybe a cool place to hang, have a beer, maybe an appetizer. several places to choose from. This location would be ideal for some happy hour wars. school town, shopping, movies etc. restaurants in close proximity to each other. walked into chili's, now normally I don't have a problem with chili's, they've always been fairly good. this one, however, near ucsb, was less than stellar. no host(ess) at the front, which was fine, Cus I went to the bar, the bartender said hello, I looked at the dirty bar where it looked like two or three people just left. he didn't bother to clean or clear the bar area so I could sit down, I had to ask him where to sit. he never wiped down the area where I was sitting. in fact, as I'm writing this, the bar is still dirty with newspaper, used napkins, coasters, straw wrappers,  and the bartender is somewhere in the back doing who knows what. two other guys walked in, Sat down, and were joking that they had to get up and look for help after a good 10 minutes. I ordered a beer, pulled out my phone to tell the powers that be that they failed miserably and I'm sorry I ordered a beer, because I'm now leaving to go to your competitors next door. a big fat BUB BYE!!",https://www.yelp.com/biz/chilis-goleta-2?start=100,2.44,2.44,2.44,1.9600000000000002,2.44
90,Josh W.,"Santa Barbara, CA",0,3,,1.0,2013-11-11,"I have ate at a lot of chilis and this one is the worst by far...I got the classic bacon burger and the patty was well over done, no juice left in it. My fries were soggy and we had horrible service...our host only talked to us when we ordered our food and then again to give us the bill.",https://www.yelp.com/biz/chilis-goleta-2?start=100,2.32,2.32,2.32,1.8600000000000003,2.32
54,Douglas I.,"Corona, CA",1,6,,1.0,2013-11-27,"Worst experience I've had in a restaurant in a long time. Mind you that my wife and I frequent our Chili's (Corona CA) and it's never like this. As if the mutiple hairs in the burnt fajitas (that took 42 minutes to arrive) was bad enough...5 other tables got there food first, even though they were seated  10 minutes after we already received beverages. We were compt the fuzzy fajitas, and then given a free desert. The table next to us also had major complaints regarding horrible service and 38 minute wait time (not to mention no utensils for her children to eat with). I now understand the other posts that state...""what did you expect from a Chili's""....",https://www.yelp.com/biz/chilis-goleta-2?start=80,2.32,2.32,2.32,1.988,2.32
