,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
35,Drake B.,"Waterloo, Canada",7,59,80.0,4.0,2012-01-14,"Never been to Chili's? Think south western. The place is great. The food is consistently good. It has that Tex-Mex comfort that goes beyond nachoes and burgers. Have you been to Chili's? This is just like the others. Being in Canada hasn't screwed it up. It is normal.  While I was there, I checked in using YELP and I was given a free coupon. I showed my phone the waiter and I was given complimentary tortilla chips and salsa. Thanks YELP!",https://www.yelp.com/biz/chilis-grill-and-bar-vaughan-2,2.416,2.416,2.416,2.416,2.416
10,S M.,"Thornhill, Canada",21,20,,1.0,2012-01-27,i used to go to this location a fair bit then something changed. The portions were smaller and the service was slower. One time I waited 15 minutes for the server to come to the table. When I complained the manager was abrupt and rude. Won't be going back anytime soon.,https://www.yelp.com/biz/chilis-grill-and-bar-vaughan-2?start=20,2.02,2.02,2.02,2.02,2.02
11,Vince A.,"Woodbridge, Canada",0,1,,1.0,2012-02-24,Horrible overpriced food. Service even worse. Go to McDonalds instead it's way better!,https://www.yelp.com/biz/chilis-grill-and-bar-vaughan-2?start=20,,,,,
32,Linda M.,"Toronto, Canada",89,112,2.0,1.0,2012-06-11,"On a fun day of random-adventures with a rental car, my grew-up-in-the-States boyfriend saw the sign for Chili's.  I decided not to be my usual restaurant-snob self and let him choose.  Unfortunately neither of us left happy. Warning: the following review is very restaurant-snobbish.  This reviewer is clearly spoiled by Toronto choices When we walked in, I was immediately struck by how so many chain restaurants look so similar.  Big signs all over the huge space, cartoon-y images, even the tables.  Opening the menu I was kind of surprised though - for lunch, there was nothing under $10.  I was really hoping to get something light (to save money for future better restaurants), and figured since it was a chain there was a good chance they would have cheaper options.  I ordered the cheapest thing that looked appealing and somewhat filling: a turkey club sandwich.  The boyfriend ordered the Grilled chicken sandwich.   We got our meals shortly after...and wow.  Flavour, presentation, uniqueness....all completely absent.  I could have made that club sandwich when I was 12 years old.  It was basically on Wonder bread!  The fries, I'll admit, had good seasoning.  It's too bad they were completely undercooked and limp.  Not undercooked to the point of being raw, just not at all crispy - they drooped when picked up.  I didn't try my DP's sandwich, and I'm usually all over everyone else's food.  Zero interest this time.   The boyfriend kept apologizing for the choice, but it wasn't his fault.  Apparently they've gone seriously downhill in the last few years.  All in all...if you're thinking of stopping in here, keep driving.",https://www.yelp.com/biz/chilis-grill-and-bar-vaughan-2,,,,,
13,Chipmmunk J.,"North York, Canada",0,5,,4.0,2012-07-09,"I am a big fan of the Chili's in New York and was very excited when it moved to Toronto.  It's definitely not the same, but it's not bad.  I still love my Presidente Margarita.  I usually get the veggie burger (they are quite good with accommodating vegetarians), and I heard that their regular burgers are also delicious.  In the summer, the patio is a nice place to chill and have a drink.",https://www.yelp.com/biz/chilis-grill-and-bar-vaughan-2?start=20,,,,,
6,David H.,"Mississauga, Canada",30,83,,3.0,2012-07-27,"Chili's is pretty good as far as those apostrophe chain restaurants go (i.e. Montana's, Kelsey's, Casey's, Jack Astor's, Turtle Jack's.....). Of the times I've eaten here I like their burgers the best.  The jalapeno burger is my personal favourite.  Also the deconstructed ice cream bar is a great dessert.",https://www.yelp.com/biz/chilis-grill-and-bar-vaughan-2?start=20,,,,,
26,Abbas N.,"Richmond Hill, Canada",381,272,68.0,3.0,2012-08-22,"If someone asked me what I thought of Chili's, I'd say ""Chili's reminds me of my childhood. Walking on Jumierah Beach, we'd go here after for the unlimited chips and salsa...and for every occasion we had to have the molten Lava Cake... Seriously though, Chili's was my favourite place growing up in Dubai. It's everyone's . We love it there. (Too bad they don't serv the alchz there) So when I heard that they opened up here in Canada, I got mad teary eyed and grabbed all my friends from Dubai and we headed over here. The menu was almost the same,  I was so happy. So we got the trio appz to start (called The Triple Play)  which was the texmex egg rolls, wings and chicken crispers) Firstly, In Dubai you get wings, the egg rolls and the dip. WTF with the crispers.  They were okay. Definitely not what I remembered. To eat, I got the Chicken Crispers meal with the Corn on cob, mashed potatoes, and Chicken Gravy. The Chicken was maaaad salty. The Gravy tasted like despair. But I think that's just how I feel abut chicken gravy anyways. My friend got th fajitas, which were relaly good. And ofcourse, we had to have the piece du resistance, the MCLC (Molten Choco Lava Cake) It was a tad bit burnt, but otherwise...just like we remembered it. We've been back a few times...mostly for the MCLC. And the Sangria in the summer. I drank like three pitchers of that in one sitting. Also, the friend I was with at that time didn't drink. I'm not an alcoholic.",https://www.yelp.com/biz/chilis-grill-and-bar-vaughan-2,,,,,
33,Melissa a.,"Toronto, Canada",3,26,,1.0,2012-08-27,"I've never even been to this restaurant in the US but we were in the mood for burgers and after looking at their menu online it sounded appeitizing. We order the Smokehouse burger and the Jalapeno Smokehouse. First off, the place and the cutlery/glasses/plates are dirty. We order a pitcher of beer and the glasses had what looked like BBQ sauce on the rim. I took my napkin and wiped it along and sure enough it was some sort of sauce. I mentioned it to the server and she brought me another one and the second one was clean-er... it has less BBQ sauce along the rim but nevertheless it had to be wiped off. The cutlery/plates looked banged up as if this place had been around for 100 years, its only a few years old I dont know why everything appeared so run down. As for the food, it was alright. The burgers were decent. If it werent for the bacon, which was very flavorful, the burgers would be nothing. Btw, my boyfriend ordered onion rings, and instead got a side of onion straws, you know the same topping that was in his burger- which didnt make any sense. Would I go back? Nope",https://www.yelp.com/biz/chilis-grill-and-bar-vaughan-2,,,,,
16,Sherif S.,"Mississauga, Canada",0,1,,1.0,2012-10-22,"the Worst experience ever we have, when we have been seated we mentioned to the waiter that we have someone birthday and she mentioned that she will get her people to say HBD but nothing happened and we did not ask again by the end because we were already frustrated with the very very poor service, we ordered a soup and entree and they got both of them on the same time with the soup cold and then the waiter asked us to take the entree and put it in the kitchen so it will not become cold and he said that he will bring later a new one and will be hot after we have our soup, we said to him be honest as u will take it back to the kitchen and they will bring it again after they heated it in the microwave, these guys have a lot of problems and very poor service don`t buzzer to go there just go to chilli's in USA and see the service these guys in USA are amazing, the manager came with a five dollars coupon by the end of this stay to say he is sorry for anything and that we can use this coupon on our next visit, he is dreamer we will never ever go back there and will never recommend to anybody.",https://www.yelp.com/biz/chilis-grill-and-bar-vaughan-2?start=20,,,,,
28,Canchi M.,"Markham, Canada",115,97,199.0,4.0,2012-10-24,"Chili's experience was great! we start of with a tequila pop. it's something I haven't seen for a long time. (when I first started drinking, me and my friends always do tequila pop...) then we are back on the right track with the Presidente margarita, we were shown what kind of tequila were used, and the way they serve it was great (for both side of the business and customer) we learned a lot about what great margarita is. then we get to try the Blackberry Margarita and Strawberry Margarita. I like them all! XD ranking would be  1. Presidente Margarita 2. Strawberry Margarita 3. Blackberry Margarita then we were served the best of the best, the Platinum Presidente Margarita!!! it's much smoother than the Presidente Margarita (it's already smooth, I didn't know it can be better!) oh, and I wanted to get the Platinum Presidente Margarita glass shaker as a water bottle... XD (I forgot to check-in to the place, so I forgot about the check-in offer that they have, it's free Tostada Chips + House made Salsa) (we did have food afterwards, that's the Savour York Region Restaurant week, from Oct 18 to 28, 2012. I will probably write that one when I get a chance to try more from their menu.) 10/15",https://www.yelp.com/biz/chilis-grill-and-bar-vaughan-2,,,,,
