,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
27,Eric A.,"Manhattan, IL",10,147,10.0,3.0,2012-04-23,"Just your average Chili's.  The food was what you would expect.  I got the bottomless lunch (soup and salad with chips and salsa.)  The chips and salsa were excellent, the salad itself was great and was pretty ""fancy"" (for Chili's anyway)  The only problem was the ranch dressing was watered down considerably.  It even had consistency of water.  The broccoli cheddar soup was good but didn't come with the pico de gallo on top that I've gotten at any other Chili's location.   The waitress started off OK but then failed at the end.  She disappeared for at least 10 -15 minutes and left us waiting for more soup and chips.   The cool thing is if you don't need anything else and you're paying with a credit card  you can pay right at the table using their wireless terminal located on each table.  Your receipt even prints out the bottom.",https://www.yelp.com/biz/chilis-hobart?start=20,2.0600000000000005,2.0600000000000005,2.0600000000000005,2.0600000000000005,2.0600000000000005
25,Alexa E.,"Palatine, IL",71,154,16.0,4.0,2012-07-07,"My server must have been new because he kind of took his time with things and you could tell he was focusing on what to do next. Regardless, no complaints about the service I received and the food was great!  This place also has fancy electronic computers at each table. You can let your kids play apps, look up the menu, pay your tab, or read up on news headlines (as I did). Pretty cool, but I'm not sure there's a solid reason for those to be there.",https://www.yelp.com/biz/chilis-hobart?start=20,2.192,2.192,2.192,2.192,2.192
11,Kayla M.,"Sedona, AZ",438,237,832.0,3.0,2013-04-11,"You'd think you'd pretty much know what you're getting when it comes to Chili's - but would you be surprised when an 'entertainment fee' shows up on your bill? I was. There's nothing special about this particular Chili's location. It's what's you'd expect. It's clean, it's always reasonably packed and the menu is updated frequently. Our waitress was very nice - big plus, but shortly after we were seated a large group of loud women were seated across from us which set the tone for dinner. My girlfriend and I both ordered Salads - she the Santa Fe Chicken Salad and I the Caribbean Chicken Salad. You can never go wrong with a salad here, they are all good! My friend didn't expect the spiciness of the Santa Fe salad but remedied that by asking for a side of ranch as well. When the bill came we were shocked to see a $.99 charge listed as an 'entertainment fee'. Okay sure, there's the saying ""but shit it was 99 cents"".. so call me a cheap-o, but quite frankly I wouldn't say there was any entertainment provided, if anything it was obnoxious ambiance. We inquired about it with our server who explained they have handheld trivia games on the tables that you can play while you eat. If you play it you're automatically charged $.99 for it. Okay that'd be fine, if we'd had one of these so called games on our table but we didn't. She removed the charge from our bill and all is well. But who knew? Note to self: always check your bill before paying... even if it's only 99 cents.",https://www.yelp.com/biz/chilis-hobart,2.1239999999999997,2.1239999999999997,2.1239999999999997,2.1239999999999997,2.1239999999999997
20,Beto D.,"San Francisco, CA",149,128,13.0,4.0,2013-05-31,"I asked my three boys....""where do you want to go eat?"" They said ""Chili's"", I said ""Ok"" mainly because I really like their Americanized fajitas and they used to have the boneless buffalo wings which were awesome, not sure if it's still on the menu as I did not order them this time around... As it turns out my boys like to come here for the little machine that they have on each table, kind of cool as it has all sorts of apps that they can use ... also you'll have to pay a 99 cent charge to use, no bid deal as they get to sit and play games - you can also look at menu items and pay your bill using the machine as we did. Ok...service was good (prompt and checked-in several times as we ate), restaurant was well-maintained (actually pretty sure they did some upgrading both outside and inside) and the food was also good - we had chicken tenders, burgers, and some sort of chicken chili dish that my wife really enjoyed ... of course, we had dessert and it was good...vanilla ice cream covered with caramel on a warm skillet - it was good.   I rate it above other Chili's I've been to...Enjoy",https://www.yelp.com/biz/chilis-hobart?start=20,2.16,2.16,2.16,2.16,2.16
26,Dawn R.,"Chicago, IL",0,15,6.0,1.0,2013-06-29,"I was greeted by a host who was sweating profusely. I mean sweat was dripping from his face.  After he wiped his face with his arm/hand, he picked up the menus with the same hand and handed them to us.  I was immediately disgusted.  This place was filthy.  There were dead flies in the window, the window sill that I rested my arm on was sticky, the menus were crusty, and the bathroom was in need of repairs. My empty appetizer plate was dirty.  When I walked to the bathroom, I saw the kitchen...the kitchen floor had food spilled on it and the staff was just working around it. Actually, it appears the place is in need of a total wipe-down.  Why can't the franchise owner spend a little $$ and clean up/repair the place? My husband even commented on these conditions. Honestly, this place was awful.",https://www.yelp.com/biz/chilis-hobart?start=20,1.7640000000000002,1.7640000000000002,1.7640000000000002,1.7640000000000002,1.7640000000000002
18,Gerry H.,"Naperville, IL",64,262,22.0,3.0,2013-07-11,"We ate here at the conclusion of some meetings in the greater Valpo area. And although I would normally give any Chili's a wide berth, I wasn't the decision maker this time, and I had a pleasant experience. The hostess was cordial and of good humor; she joked around with us and set a positive mood.  The service was good, but I think there was a problem in the kitchen-It took a really long time for the food to arrive. I ordered the California Turkey club.  The turkey had a processed lunch meat quality (or lack there of) but it was tasty.  And the fries were piping hot and very nice.   I like the addition of the fancy electronic device, the Ziosk, at every table.  Especially because you can pay your bill with it.",https://www.yelp.com/biz/chilis-hobart,1.9640000000000002,1.9640000000000002,1.9640000000000002,1.9640000000000002,1.9640000000000002
13,Leslie L.,"Schererville, IN",64,366,371.0,3.0,2014-02-27,"Went there today for my birthday and I would have given this review a photo but my mom was already mad I had my phone out to do a tip about the iced tea!  The server was nice enough. I ordered unsweetened tea and the server said they have blackberry and a mango tea. They are not sweetened... But then I mentioned that I am diabetic and she said the syrup has sugar. I looked it up online and it shows there are 20 carbs in the glass. Pop has more sugar but still 20 carbs does not an unsweetened drink make!! We ended up ordering 2 steaks. My mom requested medium well 6 oz and mine rare 10 oz (the only way to eat a steak, sorry)! When we got our food I knew right away it was wrong. I was told to cut it open. I've had enough steaks where I can tell you the way it was cooked just by looking at it.  Mine was overly done and I was told that I ordered a medium well (ewww) and I told her I ordered rare. My mom confirmed I will not eat a steak unless it's practically still mooing. The waitress told me to keep the steak so at least I had something to eat while waiting. My mom's 6 oz looked better so my mom took my 10oz flavorless cardboard and I took her 6 oz with some flavor. They brought me a 6 oz rare steak to make up for it... They charged us for a 6 oz and a 10oz which is what we had ordered but my mom was supposed to have a 6 oz. and me a 10. I know technically they left the 6 and brought me 6 so I had 12 oz... But only 6 of it was what I wanted to eat.  I took the rest home because someone will still eat it.  I know the waitress was trying to help by getting me a 6 oz rare steak and leaving the overlooked brick with me but that isn't really what I ordered. I know this review might seem silly but I'm serious about my steak, today is my birthday and I just wanted a good steak since I cannot have any cake today (I'm diabetic and my blood sugar is off TMI) I must say they didn't have a problem substituting more broccoli for me instead of mashed potatoes and the broccoli was cooked wonderfully. *** also on another note the bathroom was a little dirty looking and the toilets are so close to the floor I almost fell over.",https://www.yelp.com/biz/chilis-hobart,1.9320000000000002,1.9320000000000002,1.9320000000000002,1.9320000000000002,1.9320000000000004
30,Nicholas W.,"Chicago, IL",38,12,,1.0,2014-10-13,"Looking to have a decent meal while trying to enjoy a beautiful fall afternoon, myself, a family and friends party of seven, were in the vicinity of Hobart's Southlake Mall, which is flush with chain restaurants of all types and a few independents. Most of them were full up customers on a Saturday late afternoon, with wait times before seating and service pushing well over an hour. We were about to drive to another municipality when we noticed that the Chili's restaurant didn't seem that crowded. We didn't really consider why. A vote was taken on what we should do and the majority vote - myself in opposition - was that we should go to the Chili's rather than wait an hour or more to eat. So, we parked, went inside and inquired as to the length of the wait. We were told 15 minutes. We waited, and waited, and waited - over 45 minutes, all while watching other groups of 5 or less be seated and observing a number of larger tables open. My spouse approached the maitre de and asked if we had been overlooked. She responded that there were no openings and that we would be next. By this time there were moans and groans among our party, my daughter starting to become ill (she requires nutrition due to a medical condition).  My wife mentioned to the staff that there were tables available where they could accommodate 5 plus adding two more chairs, rather than allow others to go before us who had not been waiting as long. The maitre de refused to respond, choosing to send a waitress - of the same race - to placate us. This was not about that - it was about poor service. We continued to wait into the first hour, determining that we might as well stay because we would have to start all over again somewhere else. Finally, after more than an hour wait we were seated - mostly at the insistence of my spouse. Once seated, it was another 15 minutes before a waitress provided us with a menu and the table had not been bussed, but was still dirty with grease and food refuse left by the previous customers. Our assigned waitress finally took our order, but did not provide us with table utensils, napkins and took her time giving us water. When we finally got our appetizers, we STILL had to wait a full 35 minutes before our entrees were served - and then she ignored and did not put in one particular entree order, did not provide the order of one of our party for another 30 minutes! We ended up sharing our entree and appetizers with a member of our party because her meal was still being prepared (we believe it was not put in with the main order). Obviously we complained, a manager appeared and offered a reduction in our bill, but refused to take off the ""late"" entree which our group member was forced to put into a carry-out container because of the late hour and the time we had already spent in this restaurant. This is the kind of service - or lack thereof - of which comedies are made. Had I been a comedy writer and produced this scenario for amusement, no one would believe that this kind of thing had actually taken place. The food, by the way, was certainly not the best. But by that time it was simply a matter of having something to fill the void in one's stomach. I wouldn't eat at this place if it were the last place on earth - or any other Chili's establishment.",https://www.yelp.com/biz/chilis-hobart?start=20,1.7960000000000003,1.7960000000000003,1.7960000000000003,1.7960000000000003,1.7960000000000003
23,Jonathan S.,"Lowell, IN",0,12,,3.0,2014-10-17,Good food and friendly service; just takes WAY too long for food. Went for lunch on a Tuesday and waited 40 minutes to get our meal.,https://www.yelp.com/biz/chilis-hobart?start=20,,,,,
31,Dan L.,"Elmhurst, IL",79,10,,2.0,2014-10-22,"My two friends and I arrived at this location on Tuesday, October 21st at about 12:20. The restaurant was not at all crowded by any definition. Despite this, we waited about 10 minutes for someone to come to the front to recognize us. Despite the bartender being in perfect view, he didn't acknowledge our presence at all or inform any waiter that we were there. After 5 minutes of waiting, my friend sought a waitress to ask if we were supposed to seat ourselves. She said we should wait. It takes another 5-7 minutes for someone to come up to us. Even during busy times, there should be someone at the front to take care of the customers. This was not a busy time, and we and the other party who came in after us felt very unwelcome due to apathetic glances from the bartender and other waitresses. The waitress who seated us was surprised no one had helped us and was kind and apologized. We asked to be seated in her section, and then a different waitress came to take our order. Waitress no. 1 came back to take our order, not realizing another waitress had taken our order. I understand being part of the waitstaff is not easy work and there is much to keep track off, but this service was very much below average. I give the experience two stars because the ability to use the table computer to pay/leave tip was convenient, and allowed us to get to our work in a timely manner after having experienced delays.",https://www.yelp.com/biz/chilis-hobart?start=20,,,,,
