,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
45,Jonathan D.,"Springville, UT",140,24,31.0,5.0,2012-01-04,"I love Chili's.  They always have food I enjoy.  The chips and salsa are good, the chips and queso are tasty, the burgers are great, fajitas are yummy, quesadillas mmmmm.",https://www.yelp.com/biz/chilis-orem?start=40,2.388,2.388,2.388,2.388,2.388
51,Mike B.,"Somerville, MA",2,70,2.0,4.0,2012-01-30,"Since I had a good experience here last summer, I decided to come back, with my wife this time. We got the two meals for $20 deal which turned out to be a really good deal! An appetizer and two entrees for $20. She got the sirloin which she really enjoyed and it came with a side of mashed potatoes which was surprisingly good. I got the crispy honey-chipotle chicken crispers which were way good! Just thinking about them makes me hungry! Anyway, I'd say this place is surprisingly good for this kind of a chain.",https://www.yelp.com/biz/chilis-orem?start=40,2.256,2.256,2.256,2.256,2.256
52,Jessie M.,"San Diego, CA",334,125,67.0,2.0,2012-05-15,I don't really like the food there. Every time I go (cause of friends) I try something new to see if they can change my mind about the food but I always end up disappointed. I never go there by choice. I just feel like their food is a waste of my money and horrible way to kill my appetite.,https://www.yelp.com/biz/chilis-orem?start=40,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.9600000000000004
50,Jessica C.,"Matthews Beach, Seattle, WA",0,3,,1.0,2012-06-16,"The jalepeno burger was pretty tasty, but the service was super slow (not to mention the fact that my fiance and I were ignored once we placed our order, and the servers seemed really confused about what food went to what table) and the restaurant was incredibly dirty. It seemed like the floor hadn't been swept since that morning which isn't exactly appealing. It's just not worth the money, and definitely not a place to go on dates.",https://www.yelp.com/biz/chilis-orem?start=40,1.956,1.956,1.956,1.956,1.956
41,Felipe Z.,"Salt Lake City, UT",372,450,48.0,4.0,2012-07-06,"As long as I lived in Provo, i went to Chili's once a week, or every two weeks (I'm not even joking) I know their whole menu, even when they change it, I can still own it and maybe even work as a server... their 2 for 20 menu is the shit. It has all you need from Chili's at a great price for two. When picking the appetizer in the 2 for 20, always go for the chips and salsa, a smarter idea is get chips and guac (same price, get the whole chips&salsa + GUAC) and obviously go for the Honey Chipotle chicken crispers. Delish. the corn is okay, but very well seasoned, and the fries are to the die for usually, and the chicken with that sauce... MMMM... and the crunchiness.... AHH. im heading to Chili's now.",https://www.yelp.com/biz/chilis-orem?start=40,2.352,2.352,2.352,2.352,2.352
47,Josh G.,"Provo, UT",140,5,,4.0,2012-11-15,Awesome. My wife and I get the Chili's to go thing all the time and love it. Food is pretty great.,https://www.yelp.com/biz/chilis-orem?start=40,2.288,2.288,2.288,2.288,2.2880000000000003
48,Justin G.,"Lindon, UT",16,42,,4.0,2013-03-21,"Chili's is an awesome chain dinner restaurant. Fair prices, full flavor, and well-prepared meals.  Nothing extraordinary, but if you're looking for good food at a decent price, chili's is the place for you.",https://www.yelp.com/biz/chilis-orem?start=40,2.288,2.288,2.288,2.288,2.2880000000000003
49,Stephanie B.,"Red Bluff, CA",0,52,,1.0,2013-04-01,"We went here on a Sunday, and were ignored after we placed our order.  We saw the waiter walk past us several times and look at us, without asking if we needed anything.  After 45 minutes of waiting for our food to be served....we walked out.  Will never go back again!   There was a table in which a large party was seated...but this was the ONLY table our server was paying any attention to....TIP FISHER!!!",https://www.yelp.com/biz/chilis-orem?start=40,1.988,1.988,1.988,1.988,1.988
31,Charles S.,"Salt Lake City, UT",929,1299,1079.0,3.0,2013-06-28,"It's a Chili's. They're typically 3-star establishments and this one is no different. They serve up GIGANTIC portions of pre-made, never fresh, food that's loaded with salt and tastes great! I always feel bloated and a little sick after a meal here, but that might be because of the two giant beers and the bottomless chips and salsa, which make me almost too full before my meal even arrives. They have a full bar, which is fantastic considering that it's in Utah County.",https://www.yelp.com/biz/chilis-orem?start=20,2.316,2.316,2.316,2.316,2.316
39,Jason S.,"Salt Lake City, UT",48,57,,1.0,2013-09-08,The service was sub-par to say the best. My server was worried about a bigger party and another waitress was taking up his slack. She was great.  The ribs were the worst I have ever had. They tasted like they used ketchup in place of bbq sauce. I will not be coming back to this location again.,https://www.yelp.com/biz/chilis-orem?start=20,2.084,2.084,2.084,2.084,2.0840000000000005
