,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
53,Marc C.,"Snellville, GA",0,4,,5.0,2013-04-06,"Have not been out for dinner in a long time.  The restaurant is clean, the servers are excellent, and I loved the blueberry iced tea.  It was an excellent experience and will go back any time!",https://www.yelp.com/biz/chilis-snellville-2?start=40,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004
50,The S.,"Stone Mountain, GA",1,119,33.0,3.0,2013-07-06,Margarita-grilled chicken is very tasty. Chicken fajitas a bit disappointing. Great service.,https://www.yelp.com/biz/chilis-snellville-2?start=40,2.7,2.7,2.7,2.7,2.7
43,Adrianne R.,"Atlanta, GA",926,239,295.0,3.0,2013-08-10,Eh..... Went on a Monday evening not too crowded but for some reason our first waitress too forever to come to our table. Moved to another table because we wanted a booth. But our second waitress was really attentive and sweet. Not really a Chili's fan but the food was good.,https://www.yelp.com/biz/chilis-snellville-2?start=40,2.636,2.636,2.636,2.636,2.636
46,Mechel C.,"Snellville, GA",39,50,8.0,4.0,2013-09-25,Im liking the new menu. Or new to me since I haven't been there in awhile. The Margarita's are awesome! The service is friendly and eager to please. Menu choices are good and like the lower fat items as well. Did I mention the Margarita's are awesome?,https://www.yelp.com/biz/chilis-snellville-2?start=40,2.768,2.768,2.768,2.768,2.768
45,Maranda F.,"Buckhead, Atlanta, GA",1,12,30.0,1.0,2013-12-29,Worse service ever experience at a chillis. The waitress was not friendly at all which can ruin your whole visit at chillis. The waitress (Jaimie v) never checked on our table. When we had to send back ribs because they looked bad the waitress and manager were at the computer talking clearly about our table and was the most outrageous thing I have seen for customer service. Def will not be going back to this location.,https://www.yelp.com/biz/chilis-snellville-2?start=40,2.436,2.436,2.436,2.436,2.436
35,Gino M.,"Lawrenceville, GA",38,342,79.0,1.0,2014-04-23,Writing the review as I sit here waiting on my food.  Thirty minutes have gone by since we last saw our waitress.   Blech.  Never again.,https://www.yelp.com/biz/chilis-snellville-2?start=20,2.5000000000000004,2.5000000000000004,2.5000000000000004,2.5000000000000004,2.5000000000000004
47,Kyle E.,"Norcross, GA",0,8,,5.0,2014-04-27,I personally love this Chilis. The wait staff are professional and friendly. I have honestly yet to have a bad experience there which is surprising because I am a hard customer to please,https://www.yelp.com/biz/chilis-snellville-2?start=40,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004
49,Don H.,"Gainesville, GA",0,13,,4.0,2014-05-08,"Much cleaner and much better service than the Snellville location. It is further for me to drive to this location, but worth it.",https://www.yelp.com/biz/chilis-snellville-2?start=40,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997
26,brad h.,Fair Play,64,403,79.0,1.0,2014-06-19,"Worst service ever... disinterested staff, dirty tables, super long wait for our food... Walking around, we could see into the kitchen which looked like a mess... Ifwe had not been there with interesting frends, we would have walked out. Bottom line, unless they call me, refund my check, offer a free meal and promise me that they have completely restaffed the place; I'm not going back. I would give them a negative rating if I could.",https://www.yelp.com/biz/chilis-snellville-2?start=20,2.308,2.308,2.308,2.308,2.308
48,T D.,"Philadelphia, PA",0,11,,1.0,2014-07-20,"I went to have a Sunday lunch/dinner at this Chili's . First, no one approached my table for 10 minutes.  I had a server approach us ( Megan). I am a frequent customer of Chili's and signed up for email. I received several codes for free appetizers and desserts. However, every time I have gone to a Chili's and dine, I would forget to bring the code, and they expired.  I went on this day and informed the server, Megan, what happened about the codes and asked if I could still use them. She got nasty with me, said, ""You can't have both!"" She didn't even let me finish my sentence saying, ""You telling you you are trying to use expired codes!"" She then said, ""As far as I know, you could have wrote any numbers down!""  She said this in a nasty tone. I told her that I was leaving, and I asked for a manager. She whispered something to the manager about me; the manager then walked in the back kitchen and never came out to speak with me.  We left .  Do not go here, go to a different Chili's",https://www.yelp.com/biz/chilis-snellville-2?start=40,2.308,2.308,2.308,2.308,2.308
38,Paul C.,"Lawrenceville, GA",0,16,1.0,4.0,2014-07-21,"Let me say this, if I was giving this review a year ago it would be two stars.  But after taking a year off, we decided to go back and see if things have changed, and I am happy to say, they have. We have been there four times in the past two months so here goes: Service: I have yet to get a waiter/waitress that we haven't liked. Not pushy but always considerate.  Drinks: LOVE the variety of their marguerites, and they are great too.  Food: mixed reviews depending on what you order. I LOVE their hamburgers with yummy fries and their classic nachos with steak or chicken or both. You can't go wrong with either entree any time any day. Now, where you might not get maximum pleasure is their sirloin steak.  I never order steak here but my wife has and complains either about the flavor or the toughness.  Honestly, for under $12 you get a 6 ounce sirloin plus steamed broccoli and loaded mash potatoes. Maybe in this instance the old adage is correct- you get what you paid for. Or maybe the next steak might be better. (Shrugs shoulders). Sorry I can't review their famous ribs- I don't eat porky pig.  Management: Fantastic! My 90 year-old mother in-law ordered a hamburger medium- rare, but got it medium- well. She did not want to take it back because she didn't want to wait, so she ate it rather grudgingly.  But when I mentioned this to the manager, he gave her a coupon for one free meal. Nice touch. (Who orders hamburgers rare anyhow?)  Oh, did I mention how easy it is now to order and pay your bill?  Love it.  So, when you are done and in a hurry to leave, no waiter, no problem. It's right there on your table.  Shalom, Paul",https://www.yelp.com/biz/chilis-snellville-2?start=20,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997
25,Adrian C.,"Dallas, TX",283,257,168.0,4.0,2014-09-04,"This location has really good customer service! It's always super busy when I come in (usually in the weekends) and I sit in the bar.  The food is consistent at this location. It's not like one time the food will be good and the next time is disgusting, you can expect the same quality of food every time.",https://www.yelp.com/biz/chilis-snellville-2?start=20,2.6079999999999997,2.6079999999999997,2.6079999999999997,2.6079999999999997,2.6079999999999997
36,Joe P.,"Gainesville, GA",2,7,2.0,3.0,2014-09-13,"Our waitress was great and if I were basing my review on her alone, I'd probably give her 5 stars. But we used the kiosk to order dessert and a coffee for my mom, but no one in the kitchen seemed to pay attention to what the kiosk says because we had to repeat our order to our waitress in order to actually get anything. Also, when my dad asked for the check the waitress directed him to the kiosk to pay. Are thru just phasing out physical checks now?",https://www.yelp.com/biz/chilis-snellville-2?start=20,2.54,2.54,2.54,2.54,2.54
42,Kelly Q.,"Smyrna, GA",0,10,1.0,2.0,2015-01-19,Could have gotten a better chicken sandwich at Wendy's. Bread was wet and vegetables were mushy,https://www.yelp.com/biz/chilis-snellville-2?start=40,2.504,2.504,2.504,2.504,2.504
40,Armando U.,"Las Vegas, NV",3,33,31.0,5.0,2015-02-17,Service is ALWAYS great the bacon burgers n guacamole ones are by far their items n the Margarita with a corona inside ate bomb!!!,https://www.yelp.com/biz/chilis-snellville-2?start=40,2.836,2.836,2.836,2.836,2.8360000000000003
27,Stephen S.,"Snellville, GA",64,29,3.0,5.0,2015-07-25,"Out of all the local Chili's restaurants, this is the best in terms of food and service. Occasionally they'll have an off night, but it's fairly rare. This is also one of the better casual-food restaurants in the Snellville area.  Burgers are typically hot and fresh. The fries are really good (if they're not hot, I ask for fresh ones and they don't give me a hard time). The new pickles they introduced a few months ago, along with several new BBQ sauces, make for a great burger. I always ask for the sweet and spicy burger, no tomato, add jalapeño, extra BBQ sauce, and I've never been disappointed. (Tip: Eat the burger upside down and it will hold together better. Also ask for extra napkins!) My wife typically gets the Triple Dippers combo and always enjoys it (usually the little burgers and Southwestern Egg Rolls). She always gets two meals out of it.  Oldest kid gets the chipotle-style chicken fingers, which have an amazing sauce and taste great when they're fresh. They reheat pretty well too.  Youngest kid typically gets grilled chicken on the kids meal. They have some really healthy options for the kids.  Great service, great food--this location can't be beat!",https://www.yelp.com/biz/chilis-snellville-2?start=20,2.836,2.836,2.836,2.836,2.8360000000000003
34,Jernard W.,"Ringgold, GA",606,16,92.0,4.0,2015-10-24,Quick service ok food for something hot nothing out of the box on the menu nice drinks though it's cool spot for after work Monday's,https://www.yelp.com/biz/chilis-snellville-2?start=20,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997
16,Ashbeezy B.,"Suwanee, GA",1586,375,6404.0,2.0,2015-12-01,"Good but not GREAT! I had to seat myself which I usually don't have to do. My waitress was a little scatter brained. Took her 10 mins to bring me water . Yeah. I wasn't upset, I know the drill. I got Cajun shrimp pasta. It was alright. Sauce was thicker than what I'm used to. And my friend has been telling me to try the Oreo sundae there. I did. I told them to hold the ice cream cuz I was cold enough. When they brought it, the middle had a marshmallow like middle. I tried one bite & could determine the cake was MICROWAVED....BADLY! It was so dry that I couldn't enjoy it. When I told my server she said yeah that's why people get the ice cream. To moisten the dry cake?! Yuck! No thanks! I sent it back. Overall good location but disappointed in how the food is prepared.",https://www.yelp.com/biz/chilis-snellville-2,2.504,2.504,2.504,2.504,2.504
33,Doug E.,"Lawrenceville, GA",0,4,,1.0,2015-12-06,Came in after receiving coupon. Always sit at bar for better service. Coupon would not work. Service was slow... bartender overwhelmed. Food not worth it. Will not be back after years of patronage.,https://www.yelp.com/biz/chilis-snellville-2?start=20,2.372,2.372,2.372,2.372,2.372
32,Tanica-Nicole B.,"Snellville, GA",17,1,,1.0,2015-12-27,Worst customer service ever!! In there over an hour. No one checked on up. Never got any food. Leaving still hungry,https://www.yelp.com/biz/chilis-snellville-2?start=20,2.404,2.404,2.404,2.404,2.404
30,Khuram D.,"Lawrenceville, GA",27,249,1.0,4.0,2016-01-06,"Came here with a large group of 15 people. The food was decent. I wasn't impressed with the food but I am never impressed with chained restaurants like this. They have a standard menu with a reasonable amount of variety at reasonable prices - burgers, fries, pasta, chicken, etc. The four stars are for the friendly service and quick food on a busy night.",https://www.yelp.com/biz/chilis-snellville-2?start=20,3.2,3.2,3.2,2.8320000000000003,3.2000000000000006
37,Mary H.,"Grayson, GA",0,3,,1.0,2016-02-29,This location is terrible. Ordered 4 meals to go (waited 20 mins for someone to show up in the take-out area) they gave me 4 of the same thing...2 orders were the correct order but the other 2 was basically duplicates of the first two which were incorrect (but not enough sauce) ordered extra sauce thank goodness or the pasta would have been very dry... The manager on duty Tiffany didn't care. lol Apparently understaffed and was having a bad day. Go somewhere else if you want friendly customer service and what you actually ordered.,https://www.yelp.com/biz/chilis-snellville-2?start=20,3.12,3.12,3.12,2.5640000000000005,3.1200000000000006
22,Victor M.,"Snellville, GA",95,56,112.0,3.0,2016-03-29,Good ole Chili's!  It's nice that they change the look of the menu periodically. The food is tasty and what you would expect from Chili's. The bar area is nice with multiple TVs on various channels. The servers are pleasant and attentive. The food was hot and the wait was minimal. Definitely will return.,https://www.yelp.com/biz/chilis-snellville-2?start=20,3.04,3.04,3.04,2.7640000000000002,3.0400000000000005
31,Warren M.,"Atlanta, GA",0,15,6.0,4.0,2016-04-07,Arrived. Seared promptly. Appetizer came out. Not the fastest.  My Sons enjoyed it. Food arrived. Orders perfect. Food hot. Tasted good. We enjoyed it. Server was nice and attentive.,https://www.yelp.com/biz/chilis-snellville-2?start=20,3.04,3.04,3.04,2.9280000000000004,3.0400000000000005
39,Beth M.,"Lawrenceville, GA",13,23,1.0,4.0,2016-04-15,"So far so good, prices are good, blake the server was great. They ran out of the beer my husband was drinking, we will go back sometime.",https://www.yelp.com/biz/chilis-snellville-2?start=20,3.0,3.0,3.0,2.8320000000000003,3.0000000000000004
28,Casaundra B.,"Social Circle, GA",84,3,1.0,5.0,2016-06-26,"Chilis in the Avenue is our favorite lunch and dinner spot. We are always welcomed with the wonderful staff and our favorite server Christina. The food is always fresh and delicious and the drinks are amazing. The 2 for $20 is a great decision for families , they have many great choices to choose from.",https://www.yelp.com/biz/chilis-snellville-2?start=20,3.0,3.0,3.0,2.9320000000000004,3.0000000000000004
15,Joseph A.,"Duluth, GA",56,1,1.0,1.0,2016-10-11,"My wife got served RAW chicken on her sandwich today, was her favorite sandwich until this happened. Never thought this would happen, she can't even stomach the site of chicken as a meal for a while.  The sad part is she actually took bites of it before she knew because it was completely RAW PINK in the middle. Check your food people and second think going there. I'm a so disappointed and disturbed. They need to check their meat before serving!",https://www.yelp.com/biz/chilis-snellville-2,2.92,2.92,2.92,,2.92
29,Kim D.,"Lawrenceville, GA",0,3,,4.0,2017-01-26,Came here with my husband and we both loved the service but the food was really good!,https://www.yelp.com/biz/chilis-snellville-2?start=20,2.96,2.96,2.96,,2.96
23,Alma K.,"Lawrenceville, GA",1,13,1.0,3.0,2017-01-26,"When we go to this Chili's location we never know what to expect. It's as though some days they're amazing, and then other days we promise never to go back again. The most recent time we went was for my birthday and we had a table of 10 people with us. Our server messed up half of our drinks, served two plates of food, made us wait 10 minutes for the other 4 plates to come out, and another 10 minutes for the remainder of the food to come out. By the time one part of our group was done eating (we told them to eat so it wouldn't get cold), we would just be getting served our food. Some of the food came out burnt, while other food came out pink (my mother in laws chicken for example). We were really disappointed although the server apologized numerous times, it wasn't the service we were having issues with. The food was the thing that has always been the breaking point whenever we went back. Whenever I would order the sliders I would ask for NO BACON, when the food arrives...there's bacon on the burgers (religious reasons as to why I can't eat bacon otherwise it wouldn't be an issue). If my husband would order wings they would come out and they wouldn't be cooked well, or there was a hair on them once, or they were still cold. I hope they do change and start to improve, they have a great menu and great staff, the food just needs to be better prepared.",https://www.yelp.com/biz/chilis-snellville-2?start=20,2.92,2.92,2.92,,2.92
21,I H.,"Duluth, GA",0,72,23.0,3.0,2017-02-25,"Food is good, staff is usually friendly but they are very slow. Our food took about 30 minutes and they were 2 simple meals.",https://www.yelp.com/biz/chilis-snellville-2?start=20,3.0,3.0,3.0,,3.0000000000000004
6,Sara H.,"Snellville, GA",42,30,1.0,1.0,2017-03-25,"Against my better judgement we ordered from here.  * An Old Timer with Cheese ordered well done with no tomato, came blood raw with tomato. No onions, no extra pickle. * A bacon burger came similarly undercooked, with tomato and pickles. No onions. * The one piece of a quesadilla was hidden under pounds of lettuce and included ingredients not advertised. ^ The cheese dip was stone cold and all over the bag. * My ear of corn, nowhere to be seen. An anomaly in otherwise great service? Nope. It's always a complete and total disaster. I called about it. A bored manager collected no info from me, told me ""Catch you next time"" and hung up.",https://www.yelp.com/biz/chilis-snellville-2,3.0,3.0,3.0,,3.0000000000000004
19,Doe J.,"Smyrna, GA",114,11,,2.0,2017-04-20,after waiting an hour we STILL don't have our food. Seen our server twice and it's nothing but apologies when she comes by. The restaurant not even busy. Beyond hungry & frustrated,https://www.yelp.com/biz/chilis-snellville-2,2.88,2.88,2.88,,2.88
24,Judy R.,"Atlanta, GA",9,92,12.0,1.0,2017-04-22,Gave it a try used to live in Dunwoody the one on ashford Dunwoody rd was bad this one is worst cold food bad service bad management never returning done with Chilis,https://www.yelp.com/biz/chilis-snellville-2?start=20,2.76,2.76,2.76,,2.76
18,Ian M.,"Lilburn, GA",0,10,,1.0,2017-04-24,"I don't know how this place remains open. Staff is slow to respond. Chips are drenched in greasy oil. Separate checks are always incorrect and have to be redone-sometimes twice. Don't just walk away, RUN.",https://www.yelp.com/biz/chilis-snellville-2,2.76,2.76,2.76,,2.76
9,Tenita F.,"Snellville, GA",63,56,49.0,4.0,2017-05-07,"So came here to pick up dinner and they forgot part of my order!!!  Had to come back. They were nice enough but of course I was not pleased. My recommendation is to check your bag before you leave. Food was ok typical Chili's. I will be back because this can happen to anyone. On a good note, I see that they now deliver but I doubt I will have a $125 order for a typical night in!!",https://www.yelp.com/biz/chilis-snellville-2,2.88,2.88,2.88,,2.88
17,Vanessa R.,"Lawrenceville, GA",77,3,,1.0,2017-05-21,"We have frequented this restaurant for years, both dine-in and take-out. This last few months, it has been very disappointing. We have had to return to the restaurant multiple times with incomplete orders. Tonight we had to send back chicken, it was spoiled/rubber and inedible. There was also about a tablespoon of rice for the dish that is ""served on a bed of rice"". These are just some of the incidents but, unfortunately, bad chicken is the final one. No more visits from my family.",https://www.yelp.com/biz/chilis-snellville-2,2.76,2.76,2.76,,2.76
14,Matt L.,"Athens, GA",0,10,10.0,5.0,2017-06-17,Super fast service and food and drinks were out in 20 mins. Consistently way better than loganville chilies.,https://www.yelp.com/biz/chilis-snellville-2,2.8,2.8,2.8,,2.8
20,Kristin F.,"Atlanta, GA",158,16,,5.0,2017-07-13,"This place is great. The food is delicious, the service is awesome, & even better - BOTH are consistent! The staff is super friendly & always goes above & beyond.",https://www.yelp.com/biz/chilis-snellville-2?start=20,2.88,2.88,2.88,,2.88
7,Teneka H.,"Lawrenceville, GA",79,7,15.0,3.0,2017-08-12,Went to the restaurant around 5pm. Before sitting down I noticed a few flies at the table. We sat down anyway because there was no other booth available. Waitress was very pleasant and took my kids order first so they could eat before our food came. She checked on us often to make sure we had what we needed. The food was good. No complaints. Just the cleanliness of the table and floor. Plus I spent my whole time swatting flies.,https://www.yelp.com/biz/chilis-snellville-2,2.92,2.92,2.92,,2.92
13,Jasmine P.,"Snellville, GA",0,5,,5.0,2017-08-19,"I'm here so much, we're like family! Mesha always takes care of my family! Shot out to the manager who ALWAYS takes time to speak to my son!",https://www.yelp.com/biz/chilis-snellville-2,2.92,2.92,2.92,,2.92
12,Jeff E.,"Lawrenceville, GA",0,11,,4.0,2017-08-23,"Delicious burgers and good fries. I love chilis because of its consistency, I've never gotten a bad burger there. The molten cake dessert is delicious as well. In the Snellville area Chilis is my go to for burger and fries...they also do a great margarita when I'm in the mood.",https://www.yelp.com/biz/chilis-snellville-2,2.88,2.88,2.88,,2.88
10,V W.,"Grayson, GA",25,25,16.0,4.0,2017-08-27,"Chilis is a good value with consistent quality food and large portion sizes so you can take some home, particularly the fajitas.",https://www.yelp.com/biz/chilis-snellville-2,2.88,2.88,2.88,,2.88
11,Karen T.,"Loganville, GA",0,5,2.0,1.0,2017-09-23,Worst experience I've had in awhile. Food was terrible. Even the salad was off. Then the kiosk try's to get you to tip an incorrect amount. Seems a bit shady to try to get extra tips that way.,https://www.yelp.com/biz/chilis-snellville-2,2.84,2.84,2.84,,2.84
