,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
22,Clinton S.,"Tyler, TX",5,16,3.0,2.0,2013-01-03,why even bother asking how i would like my burger cooked??  it seems that either the expo cook has no idea how to cook a burger any other way except well done or he just doesn't care.  on MANY occasions i've tried ordering my burger medium rare only to see it come to my table looking like a hockey puck. as a long time patron i'm extremely disappointed that they just can't seem to do this right.,https://www.yelp.com/biz/chilis-tyler?start=20,,,,,
23,Chowderbug W.,"Plano, TX",0,7,,2.0,2014-01-04,"I'm not a huge fan of chili's in the first place but this is where my friends wanted to go so we did. The food was its normal blah tasteless food but the service was horrible. Our waitress takes our drink order and a friend asked for tea in a large to go cut with extra ice. She comes back with a child's small sippy cup size tea. My friend said to her oh can I get that in a large cup and the waitress snapped back, oh we'll we can only give those out if you specifically ask for it. My friend says well I'm specifically asking for one knowing that she asked for one the first time. I order a margarita and she asks for my ID. I start giggling because I look really young and still get carded for r-rated movies. She goes into this long story of how they have to ask because they have secret shoppers and if they are caught not asking they get fired, ok that's fine, I don't mind. After she brought our food out we literally saw her 2 times. We sat there for 10 minutes waiting for refills on our drinks. While we were still eating she brings the check and slaps it on the table and says whenever you're ready. The whole experience was unpleasant, she was short, rude, rushed, and disappeared for long periods of time.",https://www.yelp.com/biz/chilis-tyler?start=20,,,,,
20,Wesley D.,"Tyler, TX",1,5,,2.0,2014-01-18,"Come in for lunch around 12:45 on Saturday. Was greeted at my car by a very friendly lady telling us that their transformer blew so they have no power.  So I get a coupon for free chips and queso, which expired 12/31/13....thanks.",https://www.yelp.com/biz/chilis-tyler?start=20,,,,,
15,Danny B.,"Tyler, TX",289,129,25.0,1.0,2014-04-11,Service here was terribly slow. Kept having to flag down waitstaff to get service. Food took forever to arrive and they were not that busy.,https://www.yelp.com/biz/chilis-tyler,,,,,
24,Summer C.,"Tyler, TX",164,6,,1.0,2014-08-19,"I used to love this place and the food. I was there a couple weeks ago and decided to sit at the bar. I brought a couple of my coworkers in with me after we had finished my shift. There was 4 seats available but a lady was in the middle of some of them. I politely asked if she mind moving down one she rolled her eyes at me and moved anyways. She ended up telling the bartender that I cursed at her and told her "" to move the f**k down. I most certainly did not. Then I learned later that she called back said the same thing but said the bartender had was laughing at the event and she got kicked out of the bar. But the reason I will never go back is that the manager didn't give her the benefit of the doubt. This girl lied on both of us for absolutely no reason! For her to get kicked out of the bar was ridiculous. On that note u lost myself and about a dozen or more customers. I would like to give u a zero but I guess one has to do.",https://www.yelp.com/biz/chilis-tyler?start=20,,,,,
17,Elizabeth J.,"Houston, TX",5,85,7.0,3.0,2015-03-28,"C'mon yall. It's a Chilis and they are all about the same, as most chains! Decent food.. Typically get a big salad or some chicken crispers tacos and never had a problem with our to go orders.",https://www.yelp.com/biz/chilis-tyler,,,,,
19,Amanda K.,"Tyler, TX",67,17,,1.0,2015-05-10,"The fried pickles were disgusting.  So much salt - inedible.  The hot sauce was so watered down, we couldn't dip it with a chip.  When our food arrived, they forgot our daughters meal. We had to wait for it to be prepared.  Nothing was comp'ed.  Just apologies.  Won't be back.",https://www.yelp.com/biz/chilis-tyler,,,,,
11,Michael B.,"Tyler, TX",48,49,42.0,3.0,2015-07-10,Picked up a to-go order.  It was the first time anyone at Chili's has ever taken the food out of the bag to show me that it was all there and all correct.  The girl who helped me was very nice.  The chips were hot and fresh but the salsa was too watery (and not at all hot).,https://www.yelp.com/biz/chilis-tyler,,,,,
12,Connie M.,"Tyler, TX",0,3,,2.0,2015-08-12,Ate there yesterday around 3 PM in a party of three.  All ordered from the Express Lunch.  Two tables were seated after us and left before we even got our food. I ordered Enchilada soup and was served Potato Soup at room temperature.  Was told they wouldn't charge for the Potato Soup.  Kind of funny because I ordered the Bottomless soup and salad. The other 2 guest's orders were served at room temperature.  Was never asked if I wanted a refill.  Drinks weren't refilled until we were ready to leave. After we paid the bill we were asked if we wanted dessert. Is staffing that bad in the middle of the afternoon that neither the service nor the food is tolerable that time of day?,https://www.yelp.com/biz/chilis-tyler,,,,,
18,K T.,"Tyler, TX",0,9,1.0,5.0,2015-09-03,"Had a great meal on Father's Day. New tacos were good and spicy. Service was awesome and timely, Connor should be commended. I understand there was an equipment problem in the kitchen but it never showed in our experience. Momma loves the Tropical Sunrise Margarita.",https://www.yelp.com/biz/chilis-tyler,,,,,
16,Shack S.,"Whitehouse, TX",14,2,,1.0,2015-11-01,If I could only give zero stars this is awful place   this should be closed by health inspector. I'm not the only one you hates this place.,https://www.yelp.com/biz/chilis-tyler,,,,,
14,Stacy D.,"Athens, TX",0,1,,1.0,2016-03-08,"This happened in February 2016-Worse experience EVER! We took our out of town guests to lunch and received the worse service I have ever experienced at a restaurant.  1. There was no host or hostess when we entered the restaurant and a sign that said ""Please wait to be seated.""  So naturally we start looking for any staff that works there and if the restaurant is packed; it was not. I looked at my guests and ask if they want to eat somewhere else and they said no. The hostess who finally came over never acknowledge us during our wait by saying, ""I will be right with you,"" make eye contact, or a simple hand gesture.  2. The waitress who took our order was nice, but seemed to take longer than usual with our drinks. She finally took our order for the appetizers and main dishes and was gone for quite awhile. Finally, she brought us refills and our two appetizers with small plates for everyone. The first two small plates were dry the rest were still wet and still had food on them. Could not find the waitress to send the small plates back. We decided to divide the two appetizers on their original plates and share them that way. 3. The main dishes arrive. My steak and another's were well done when we clearly ordered them to be medium rare. Waitress took them back. Another 30+ minutes and the steaks arrive and are perfect. By then we were ready to go and asked for to-go boxes.  Our kids were grumpy, fussy, and tired after being there for that long.   NEVER AGAIN!",https://www.yelp.com/biz/chilis-tyler,,,,,
13,Jay K.,"Tyler, TX",0,1,,1.0,2016-05-26,Cant say much about the food as we arrived we here we were never seated we walked into the store about 2pm waited for a host but none ever came we did see several waiters just look at us like a deer  in the headlights we waited for around 10 min then decided to just leave as apprently we were not welcomed there.,https://www.yelp.com/biz/chilis-tyler,,,,,
9,Brett B.,"Dallas, TX",5,5,1.0,1.0,2016-07-27,If I could post the pictures I would. Mold growing over the salt shakers. Got here at 11:15 a.m for lunch didn't get our food for 50 minutes and then broccoli was not cooked salmon over cooked shrimp under cooked and it looked like a 3 year old put the food on the plate. Never again will I ever come here,https://www.yelp.com/biz/chilis-tyler,,,,,
