,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
49,Eric C.,"Graham, NC",1,30,,4.0,2012-03-01,"Lately I've been a fan of local burger joints, not chains. But, I've had two great burgers in a row from Red Robin, so maybe this place is good after all. The last two times I've been to Red Robin I decided to get their special burger. This time it was the Big Melt Bacon Cheeseburger and last time it was the Oktoberfest burger. Both were very good. They serve thick patties, the burgers are juicy, and they are a bit greasy (which I like). The chefs at Red Robin's headquarters seem like they really put in some thought when creating a new burger. They choose cheeses that work well, the right type of bun, and condiments and ingredients that complement the burger. The only other thing I've had off the menu that wasn't a burger or fries was their onion rings and I liked them. Their fries are just OK, but they are unlimited and the burgers are priced pretty well (at least the specials are). My big 'ol bacon cheeseburger with unlimited fries was $7.99. I'd go back.",https://www.yelp.com/biz/red-robin-gourmet-burgers-burlington?start=40,2.544,2.544,2.544,2.544,2.544
33,Ben H.,"Danville, CA",301,360,247.0,4.0,2012-03-22,"We were impressed when we found that not only was there a gluten-free menu, but the manager made sure it was prepped on separate cutting board and utensils so that the food wasn't cross contaminated.  That care made it especially nice since we had just found out that my wife had the allergy that day. Bravo on the above and beyond service.  Food? Same yummy burgers you come to expect from RR.",https://www.yelp.com/biz/red-robin-gourmet-burgers-burlington?start=20,2.448,2.448,2.448,2.448,2.4480000000000004
46,Kelly K.,"Mooresville, NC",120,380,60.0,4.0,2012-09-18,We were on our way home to VA and needed dinner. Thank goodness the GPS showed us there was a Red Robin nearby! We know we can count on Red Robin for fast service and good food. This place was no exception. We were in and out quickly and left with full bellies.,https://www.yelp.com/biz/red-robin-gourmet-burgers-burlington?start=40,2.448,2.448,2.448,2.448,2.4480000000000004
42,Andrea P.,"Burlington, NC",12,50,,1.0,2012-11-01,"Now, let me say this, I love the food there, and I have eaten there time and time again. My 5 year old LOVES it and normally eats really well for us, but this one experience has totally changed my opinion of this place... On October 19, 2012, my husband and I went in for lunch and ordered 2 Tavern Doubles (their 6.99 burgers) with 2 sodas...I presented my RedRoyalty card to the waitress with my money for the bill. I normally pay with Credit, but this time I had cash, so I used it. Well, I had a free burger on my Royalty card, BUT when she brought me my change for the order, she brought change for the ORIGINAL AMOUNT, not the amount after the free burger. I left her a hefty tip as it was in addition to the money she pocketed from my payment.  I just discovered this information after going to RR last night and looking at my bill and it said that I was still so far away from my next free burger (which I felt was due at any time). I looked on the RR website to view my card history and I saw that I had a free burger on that day, and was very disturbed by the fact that this waitress had pocketed my money. I am now waiting on RR to contact me back to resolve this issue.  I just hope that they don't hire these types of people normally and this was just a bad apple.  Other than this one person, one bad experience, most of our experiences at Red Robin have been good.",https://www.yelp.com/biz/red-robin-gourmet-burgers-burlington?start=40,2.084,2.084,2.084,2.084,2.0840000000000005
47,Dalton C.,"Winston-Salem, NC",4,4,,2.0,2013-10-19,"I had high hopes from the reviews. Unfortunately i dont think I will be back. The food was eh, and the table we sat at was not clean. We stuck to everything we touched. On the up side the staff was great. Very friendly and attentative. I think ruby teusdays has better burgers by far. Best ive had in town so far is Harpers at friendly shopping center",https://www.yelp.com/biz/red-robin-gourmet-burgers-burlington?start=40,2.184,2.184,2.184,2.184,2.184
44,Jonathan S.,"Morganton, NC",13,89,170.0,2.0,2014-03-16,"I've been to Red Robins over a half dozen times over the years.  Quite honestly I don't see what the allure is of this place.  I've had about 5 different burgers, including the chicken burgers and I just haven't found anything that taste like its worth a premium for a hamburger.  Quite honestly I prefer the Hardee's burger over these.  The only reason I give it two stars is that the service and friendliness of the restaurants is really good.",https://www.yelp.com/biz/red-robin-gourmet-burgers-burlington?start=40,2.216,2.216,2.216,2.216,2.216
19,Jennifer P.,"Wilmington, NC",322,243,1091.0,3.0,2014-08-03,"My husband and I stopped here tonight for dinner while driving home from Raleigh. We were sat right away, and our waitress was very nice. Our sweet teas arrived quickly.  I ordered the avo-Cobb-o salad and a small stack of onions rings. (I know, I know-but they have really good onion rings!) My husband ordered the bacon cheeseburger. The onion rings came out quickly and were delicious.  Our food took a little longer. My salad was huge! Grilled chicken strips were on top of a huge pile of lettuce, with all the other ingredients in colorful sections of the salad (tomatoes, hard boiled egg, bacon, avocado, black olives, etc). It also came with two ramakins of salad dressing. The salad was really good. I was only able to eat half of it, so I hope the other half will last until lunch tomorrow. My husband enjoyed his bacon cheeseburger. The waitress was attentive but not pushy. She got our check quickly, and a to-go box, and she even offered us a sweet tea to-go.  If you're hungry while driving on I-40, you should stop in!",https://www.yelp.com/biz/red-robin-gourmet-burgers-burlington,2.284,2.284,2.284,2.284,2.284
43,J S.,"Burlington, NC",0,6,,5.0,2014-09-10,"One of my favorite places to get a burger! I also enjoyed the fish n chips. My only draw back is its so terribly loud in there. My daughters and I go there quite a bit for a quick bite. Staff and service are great, never had any problems!",https://www.yelp.com/biz/red-robin-gourmet-burgers-burlington?start=40,2.484,2.484,2.484,2.484,2.484
37,John Mark I.,"Cary, NC",535,199,483.0,1.0,2014-10-13,"This place might be good the rest of the time, but a Friday night was not the time to go. Despite being crazy crowded, we were seated fairly quick for a Friday evening. Our waitress Charyssa was not having a good day even though I didn't see her waiting on a ton of tables. Maybe she was new or this isn't her day job. She brought half the meals, but gave them to the wrong people in our party. By the time she realized her mistake, I had already touched what I thought was my burger, and she proceeded to give it to its rightful owner. Is that allowed? ""Hope you don't mind ketchup with that!"" My party was all cool about the switched dishes but Charyssa should have been more apologetic. We didn't see much more of her. My Diet Coke glass was so empty, the manager who was trying to help out thought it was a water glass. Usually the food makes everything better but most of us were less than thrilled with our meals. This was only my second time at a Red Robin so hard to say if it's just not for me. Regardless, don't go at a peak time.",https://www.yelp.com/biz/red-robin-gourmet-burgers-burlington?start=20,1.956,1.956,1.956,1.956,1.956
38,Kena B.,"Burlington, NC",20,7,1.0,1.0,2015-01-08,Every single time we go they mess or order up and twice I've found a hair on my plate.  Never eating there again!,https://www.yelp.com/biz/red-robin-gourmet-burgers-burlington?start=20,2.02,2.02,2.02,2.02,2.02
