,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
116,Kristy R.,"New York, NY",368,1402,155.0,3.0,2012-01-05,"I admit that I am one of those people who flips out (in a good way) when a food chain from another region makes it way to the Northeast.  Yes, I was one of those people who was super-giddy when Sonic popped up (better than driving to Jersey) and now when Red Robin appeared.   Last night I visited this location for the second time.  Surprisingly, there wasn't a wait which is unusual since this place is usually pretty packed no matter when you go.  Their heat was malfunctioning but I had a fleece on so I survived.  The waiter took awhile to take our order but I let that slide, too.  The tower of onion rings was good but I could only finish two since they're huge and fried, and let's be honest, I barely (if ever) eat fried food anymore.   I got the burnin' love burger.  The only spicy part were the jalapeno chips.  The rest of the burger was juicy and good but definitely not spicy.  My friend had the whiskey BBQ burger.  He enjoyed his but he doesn't pick apart food the way that I do.  With that said, this place is pretty cool and laid-back but the service is lacking.  Your waiter will pass your table three or four times before they even take your drink order.   I do like the variety of burgers here, though.",https://www.yelp.com/biz/red-robin-gourmet-burgers-carle-place?start=140,2.48,2.48,2.48,2.2199999999999998,2.48
257,Samuel C.,"Oakland, CA",68,148,64.0,2.0,2012-01-08,"I ate here almost 3 weeks ago, and it took me up until now to get over the horrible experience. The hype was crazy but we went late at night so the wait wasn't too long.  The staff was friendly and informative.  The fries can be seasoned So what's the problem? The burgers. I'd give it 2 stars but the rewards system is pretty good.",https://www.yelp.com/biz/red-robin-gourmet-burgers-carle-place?start=240,2.48,2.48,2.48,2.088,2.48
228,Sarahla S.,"New York, NY",75,15,,3.0,2012-01-15,"Awesome burgers overall, I'm a sweet potato fry fiend and their sweet potato fries are good. They don't really sog up like other ones might... But for your own good don't order their Boca burger. I wanted to be a little healthier since I got their chocolate shake (great btw and so are their alcoholic bevs) and my first order of Boca burger was still cold! Obviously frozen so they took back the burger and I kept my sweet potato fries. They returned with a hot new veggie burger and a boat of fresh normal fries which was really nice of them. I expected a better veggie burger warm but it was still like downing bread on bread on bread. Service was good but just stick with the real meat for this one. I usually do but idk what came over me lol. The guacamole burger is my failsafe staple! And ask for their sweet chilli sauce on the side u won't regret it. I took off two stars bc of the fact that the service can be a little inconsistent. Three stars bc their burgers  and the bottomless fries are deathly but oh so good!",https://www.yelp.com/biz/red-robin-gourmet-burgers-carle-place?start=300,2.44,2.44,2.44,2.2199999999999998,2.44
324,Monica T.,"New York, NY",209,1803,21.0,1.0,2012-01-16,"Wow, based on reviews I'm reading I'm glad we left.  At 1:40 in the afternoon, there was a line to get to the hostess stand & loads of people.  What the heck?!?!?!  Not to mention the horrific traffic in getting to the location as well as getting a parking space in the miniature parking lot in front. I didn't even get to try the food & I've never been to Red Robin.  However, when people are hungry & need to eat at once it doesn't do your business any good to have no seating area for customers, a line to the hostess stand + expect people to wait God knows how long for your food i.e not bothering to post anything telling us about the wait time.  I'll pass.   Maybe next time you should try posting how long the wait is so folks will actually be swayed into hanging around instead of fearing they're blocking someone's path.",https://www.yelp.com/biz/red-robin-gourmet-burgers-carle-place?start=160,2.36,2.36,2.36,2.02,2.36
311,Laura C.,"Farmingdale, NY",33,97,,2.0,2012-01-28,"My best friend & I were excited to try the Carle Place installment of Red Robin.  We had been to a location in PA and enjoyed it. I've been to a NJ RR and enjoyed the ""bottomless steak fries"".  Well, in short , Carle Place left me cold.  The service was really uneven.  The lighting was like a cafeteria, glaring down on you like a rotisserie chicken, I kid you not!!! lol Our server, although sweet , completely jumped ship, although she passed us no less than 6 times as we attempted eye contact for a refill of ""Bottomless fries"" or ""bottomless beverages"".  There seemed to be issues with her section, but at least 5 or so other employees were nearby that clearly could have helped our table & section out.  Finally got those refills from another server.  If they dimmed the damn lights and straightened out the service, it would no doubt be a better experience.  The food was tasty but one definitely needs a beverage to wash all that salty, albeit yummy grub down!!!!",https://www.yelp.com/biz/red-robin-gourmet-burgers-carle-place?start=320,2.24,2.24,2.24,2.12,2.24
310,Wolf G.,"Delray Beach, FL",272,228,185.0,3.0,2012-01-30,"After Red Robin came to Long Island and my friend who used to enjoy Red Robin when he lived in Colorado, we decided to go this Red Robin when he was visiting me from Florida along with his girlfriend. Walking into Red Robin, you will find that the atmosphere is clean and cheerful, with all sorts of kitschy items like posters hanging on the wall. After we were seated, I decided to order a Banzai Burger wrapped in lettuce due to my gluten allergies with fries and a Diet Coke. Within fifteen minutes, our burgers and fries arrived and I was ready to dig in. While the burger was seasoned well and was complimented by the sweet and sour pineapple and the fresh and crisp lettuce and tomato, I found the burger to be somewhat disappointing as it was kind of dry and crumbly. The burger may have been disappointing, but the fries (which are unlimited) were thick, wide, and filled with potatoey goodness and were complimented the spicy seasoning at the table. Service from our waitress was friendly and accommodating as well. As far as the prices, they are OK, at about $9 for a burger and fries. While I would go back to this Red Robin as my friend is a huge fan of it, I prefer Bobby's Burger Palace at Roosevelt Field or Five Guys for a better burger.",https://www.yelp.com/biz/red-robin-gourmet-burgers-carle-place?start=320,2.24,2.24,2.24,2.1879999999999997,2.24
268,Joel D.,"NY, NY",22,119,5.0,3.0,2012-02-12,"Ok so there was ONE person who told me that Five Guys was NOT the best chain burger they've ever eaten and they told me Red Robin was so I had to check this place out.  Upon entering Red Robin I had wait for a seat. My first thought: ""Am I here for a burger or a 5 course meal?""  Ok so my friend and I were seated after a few minutes, and then a few more minutes later our waitress came to our table only to mutter ""I'll be right with you."" All I wanted was a damn burger, and it was too much trouble already.  Finally when the Burger came I was pleased. I ordered their signature ""Red Robin Burger""  The bun was fresh, the meat was tender and evenly cooked although the meat patty itself lacked seasoning and was bland and too me that was a big downer.  The burger was less greasy and oily than Five Guys, and the whole presentation of the burger in itself was great, but the quality of the meat I have to say Five Guys tastes better.  Here is an analogy:  -Five Guys is like high performance sports car that might lack air conditioning, comfortable seats or even sound dampening material for weight reduction. This high performance sports car runs loud and the right is stiff and uncomfortable, BUT the car is there to serve one purpose: GO FAST.  -Red Robin in the luxury sedan. Its good for the family, its safe, it has comfort features like heated seats, quiet interior, etc. BUT its is SLOW.  In short, Red Robin has an great look and feel. The presentation of the food is good, the restaurant is nicely decorated, and their whole ""gourmet"" them is played though very well. What they lack is the meat and potatoes (pardon the pun) of a GREAT tasting burger spot. I give them a B+",https://www.yelp.com/biz/red-robin-gourmet-burgers-carle-place?start=220,2.28,2.28,2.28,2.1879999999999997,2.28
240,Elly F.,"Nassau County, NY",49,89,9.0,2.0,2012-02-15,"This is a painful update because I truly LOVE Red Robin.  The past three times I have been here the service has been horrible. Appetizers arriving with the entrees, orders filled wrong and twice having to request utensils. The most recent time we were told that they did not have any clean utensils and that we had to wait for them. Mind you, we were already served our meals.  I waited three additional visits before downgrading my rating in hopes that I just visited on a bad day. Sadly, that was not the case.",https://www.yelp.com/biz/red-robin-gourmet-burgers-carle-place?start=240,2.32,2.32,2.32,2.12,2.32
223,Anna L.,"Huntington, NY",12,52,106.0,3.0,2012-03-09,Fancy presentation of your good ol-burger and fries.  Nothing special - except the price and how you eat off  a china versus paper plates or burger wrappers. :D,https://www.yelp.com/biz/red-robin-gourmet-burgers-carle-place?start=300,2.36,2.36,2.36,2.252,2.36
237,E S.,"Hempstead, NY",0,3,,1.0,2012-03-10,"I agree with what other have said about the service. it was horrible. The host was not friendly at all when seating us, the waiter took forever to take our order and when they brought us our food it was overcook and missing some of the things we had asked for. Also they gave us no napkins or sliver ware we had to take napkins from the table next to us until our waiter came back and we could ask him for some of our own. The food was just ok. The mushroom burger had only a few mushrooms and there seemed to be a cheese sauce on the burgers rather than real cheese. We asked for our burgers medium rare and they were well done. My wife and I agreed Burger King would have been much better. Stay away from Red Robin!",https://www.yelp.com/biz/red-robin-gourmet-burgers-carle-place?start=300,2.36,2.36,2.36,2.116,2.36
