,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
38,Travis B.,,107,58,4.0,4.0,2012-04-01,Was extremely busy on Valentines day. Had a wonderful waiter who offered us a free appetizer if we guessed his age and a second chance 10% off the bill if we guessed the bill. Food took a little bit but was good as usual.,https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003
33,John D.,"Knoxville, TN",1,67,2.0,1.0,2013-01-18,"Extremely mediocre burger in a plastic basket . . . no way that was worth $10. I did enjoy the black beans that I substituted for the fries, but they charged me 49 cents for that too . . . WTF? The floors were sticky, 60% of the customers were under 10, and the service was inattentive (also got my special order wrong, but at that point it had been so long, I just ate it). Won't be back.",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,2.436,2.436,2.436,2.436,2.436
31,Melissa H.,"Christiansburg, VA",53,21,15.0,1.0,2013-08-24,"Went out to lunch during work with my supervisors. Waited over an hour and a half for 2 burgers and a salad. Now I understand mistakes happen, something about dropping one on the floor, but when reaching almost 2 hours we started to get up and flagged the waitress to get the check. She brought out the food like we were just supposed to still sit there and eat. We asked for it to go. The manager came by, didnt say sorry. They gave us a discount....$4. Took my burger back to my desk. It was greasy, cold, and nasty. After 3 bites I gave up on the thought of eating lunch. NEVER again will I go to this red robin, and you can bet on that!",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,2.5640000000000005,2.5640000000000005,2.5640000000000005,2.5640000000000005,2.564000000000001
27,Jeremiah F.,"Aurora, IL",43,138,86.0,4.0,2013-09-26,"I've been here several times with family and friends. I'm even a member of their Red Robin Club, whatever it's called. The deals I get through the club are fairly decent so when we're looking to save a little money and have a good burger we head out this way with a coupon or two. Red Robin has a family-friendly atmosphere and as with all chains you know exactly what to expect when you eat there. The service is friendly and the food is always tasty. Having recently changed my eating habits I'm a little sad there's not a bottomless option of something else for me that's not potatoes but that's all on me, not on them.  (EDIT: A member of the Red Robin team has informed me that they DO have other bottomless things that fit into my new way of eating perfectly! I'm looking forward to going again and enjoying one of the options that she lists below in her response!) They're usually happy to substitute a salad for the fries, for which I'm grateful. One of their best deals is the bottomless root beer float. If you like a good root beer float, this one never ends! This is one of the few chain restaurants of which I'm a fan. I'll definitely be returning soon!",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,2.9280000000000004,2.9280000000000004,2.9280000000000004,2.9280000000000004,2.928000000000001
22,Chris M.,"NC, NC",16,5,5.0,3.0,2014-06-01,"Food was a little slow coming out. It was cooked perfectly. The manager was awesome, our waiter was not. If the service was better I'd have no trouble recommending this place.",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,2.8600000000000003,2.8600000000000003,2.8600000000000003,2.8600000000000003,2.8600000000000003
29,Brent H.,"Bluff City, TN",1,15,1.0,4.0,2014-07-16,Great burger. Cold beer. Great service. First visit to a red robin and all I have to say is Yumm!,https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,3.024,3.024,3.024,3.024,3.024
34,Dakota M.,"Woodlawn, VA",0,6,,5.0,2015-02-14,"Red Robin, in my opinion, makes the best burger in the United States. I've ate at hundreds of burger joints but none compare to the gourmet burgers that this restaurant has. I've ate at the Red Robin in Christiansburg, Virginia, many times. The food is always cooked to perfection and seasoned well. The service is usually quick, even on crowded nights. If you plan to eat there I would recommend the whisky river barbecue burger. It has breaded onions that offer a perfect crunch. The patty is extremely juicy and the barbecue sauce offers a perfect tangyness. To sum it up. I LOVE RED ROBIN! I strongly recommend eating there.",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,3.0920000000000005,3.0920000000000005,3.0920000000000005,3.0920000000000005,3.092000000000001
23,Renee A.,"Christiansburg, VA",2,19,1.0,1.0,2015-02-28,"By far this is the most craptacular restaurant I have been to in years. I have just moved to the area and thought how bad can a chain restaurant be? I should have ran out of the door and not looked back when there was a 20 minute wait.  I have been a waiter and I understand being sat back to back big parties. We sat and waited for 40 minutes before a manager came. 20 minutes later our food came and it was not only cold but the cheese was congealed. Gross! But after waiting an hour with two kids we had to eat something. The waiter and manager tried but at some point failed and don't even get me started on the unkept bathrooms. Gross! Don't let the chain restaurant lights fool you, this restaurant is not worth anything penny in your wallet. We will never go back...",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,2.6600000000000006,2.6600000000000006,2.6600000000000006,2.6600000000000006,2.6600000000000006
26,Roofus G.,"Christiansburg, VA",0,15,,4.0,2015-05-25,If you're a fan of burgers this is your place in Christiansburg. Their gourmet burgers are the tits and the fries are bottomless.,https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,2.9600000000000004,2.9600000000000004,2.9600000000000004,2.9600000000000004,2.9600000000000004
19,Ernest P.,"Christiansburg, VA",0,1,3.0,3.0,2015-06-21,"Cool atmosphere but better bring a flashlight if you want to actually see your food and slip resistant shoes if you plan to walk across the room. However, the Blue Moon Can Crafted Cocktail was delicious.  The place was kind of dead on Father's day (possibly because the students were still out of town) but our service was still less than what I'd call quick.  The Tavern burger tasted fine but the patties had an unusually soft texture similar to cheap patties augmented with soybean.  Overall the experience was less than impressive.",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg,2.8920000000000003,2.8920000000000003,2.8920000000000003,2.8920000000000003,2.892000000000001
15,Zack B.,"Shawnee, KS",78,8,95.0,5.0,2015-08-30,"Food: great burgers, fries, and everything else we've tried. Haven't found anything that wasn't good. With both a consistent, high quality permanent menu as well as a constantly rotating special/seasonal menu you can anyways try something new! While somewhat expensive, you definitely get what you pay for! Atmosphere: lively, American and recently renovated but not gaudy or over done it's just the right mix for everything from a casual family lunch to a relaxing night out if you want to catch the game at the bar. Service: fast, friendly, efficient and attentive but not overbearing, we never had to ask for refills or table service, but it was easily available through the Ziosk table top device (where you can also order appetizers and refills or request your server in the off chance they don't show up frequently enough because they're busy.",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg,,,,,
25,Marcus M.,"Christiansburg, VA",0,8,,2.0,2015-10-25,"The two stars are for the decent food. Burger was good, fries were undercooked. The service was terrible! Waited 30 minutes after ordering to receive our meal! No apologies or reasoning for the wait. I immediately reordered more fries anticipating a wait and I was right, 30 minutes later received them along with my check. Had to catch other servers for refills, and Kayla our server blatantly ignored our ""call server"" light at the table. If you're selling $15 dollar burgers I would expect much better service!",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,,,,,
24,Josh C.,"Charleston, WV",0,1,,2.0,2015-11-02,"Went here two nights in a row because it was close by and I like a good burger. The first evening everything was ok. I ordered a med-rare burger and they got it pretty close which was good for me, and ordered some to-go items to munch on later. The burger did take much longer than I thought it would, and I had no idea that the salad I had substituted for my fries would be served as a literal side to my burger. Being a restaurant manager myself I can say that was a failing effort on the kitchen's speed and the bartender's communication with their guest. All that said, the burger was freshly cooked and pretty damn good.  On to the next day; I had just got off of my 10 hr shift and hadn't had a proper meal all day so I figured I'd order a burger and wings to-go. The phone rang 10-15 times before I had gotten an answer. Told the gentleman on the phone I wanted my burger as rare as you'll cook it, to which he replied, ""medium?"" Either he was uninformed or the bartender the previous shift didn't tell me that med-rare was not an option. He told me 15-20 min and didn't not give me a total for the bill. I arrived 20 min later and had to wait about 5 min for the food. Needless to say it was dead that night and the night prior. Once I got back with the food I looked at the ticket on the bag and the burger said ""no pink."" Of course it was well-done and I'll was quite pissed that I paid $15 for a well burger. Also did not receive the cole slaw even though it said it on the ticket. Moral of the story is that the food, after a long wait for it is not bad, but the overall pace and service are almost unbearably bad.",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,,,,,
20,William N.,"Plano, TX",79,100,24.0,5.0,2015-11-06,This place is a great place to go to get a monster burger made fresh that is not the norm.,https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,,,,,
28,Sandra R.,"Watkinsville, GA",0,4,,1.0,2015-11-19,"This was probably the worst food I have ever had.ordered Two different burgers and fries.  Burgers were cold and extremely soggy. The meat was mealy and pasty tasting. One order of fries hot, the other one was not even warm, they were cold. To beat it all they weren't even busy. I do not recommend Red Robin, I have found other ones in my travels to be equally as bad.  What a waste of money and calories.",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,,,,,
21,Dawn W.,"Tysons, VA",25,1,,3.0,2016-01-17,First time at Red Robin order Black and Blue with a wedge salad it was delicious staff were helpful but extremely over price!,https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg?start=20,,,,,
16,Angela H.,"Blacksburg, VA",39,20,6.0,3.0,2016-01-30,Sevice is okay and food is what you expect.  Prices are expected for the size of the burgers that you get. The only great thing is the endless fries. I would much rather go to a local place and pay less and have a better experience.,https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg,,,,,
18,Mary C.,"Haverhill, MA",2,20,,4.0,2016-05-03,Love Red Robin. Got off the highway during our roadtrip to avoid the regular fast food fare at the exit ramp. Worth the detour. Reason for 4 stars: i didn't get my burger wrapped in lettuce. They sandwiched my burger into half a head of iceburg lettuce. Kitchen should be trained in the fine art of wrapping!,https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg,,,,,
14,Larry B.,"Chesapeake, VA",9,51,1.0,2.0,2016-07-01,"4 adults 3 kids burgers ok. Fries not crisp.  One order of the seafood basket produced cold fries.  Waiter wanted to replace the entire dish.  He said  that he pirated an order for another table,  but biting into the fish revealed very dry OVERCOOKED fish.  Shrimp extra grease.  Clam strips extrs grease.  Obviously he just dumped the origional otder in the deep frier for a warm up.  Bottom line good but expensive burgers.  And you can get better fries at ANY FAST FOOD JOINT. Don't get anything but a burger.",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg,3.0,3.0,3.0,,3.0000000000000004
13,Mahon M.,"Atlanta, GA",5,2,,1.0,2016-09-03,"The waiter was extremely rude. To make matters worse, the manager basically told us not to ever show up again.",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg,2.92,2.92,2.92,,2.92
12,Tommy C.,"Christiansburg, VA",76,6,,2.0,2016-09-14,It really posses me off when I'm waiting on my food and the table next to me gets theirs who came in after us!,https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg,2.92,2.92,2.92,,2.92
9,Kelly F.,"Kansas City, MO",43,83,59.0,3.0,2017-01-02,"I tried the new burger with mac n cheese. It was more like plain macaroni with some cheese sauce on the bun, not at all what I was expecting. The noodles were actually white and plain. The service was not great. My boyfriend went about 15 minutes without a refill. If it's cold out, don't sit next to a window because the draft is horrible. I asked to not sit near the door because of the cold and then was sat next to a window. Not the smartest choice she could've made since the place was almost empty but then again, I could've asked to sit somewhere else agin but shouldn't have to as my first request should've been clue enough that I don't like a draft. I guess I'm just a stickler for outstanding customer service. The people I was with loved their food and I usually do but decided to try that new burger. It's Red Robin. Just sit in the middle and stick to the regular menu. :)",https://www.yelp.com/biz/red-robin-gourmet-burgers-christiansburg,2.92,2.92,2.92,,2.92
