,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
120,John H.,"Oviedo, FL",0,17,11.0,4.0,2012-08-18,"Went to this new location during the it's 1st week .  40 minute wait with a text message to tell us the table was ready.  We could walk around the mall while waiting.  Big crowd but very well managed.  Our server, Christa, was fabulous, always attentive to our needs.  The food came as as ordered fairly quickly for such a large crowd.  We had the BBQ Chicken sandwich and the Teriyaki Chicken sandwich and substituted for sweet potato fries.  Both sandwiches were very good, and the fries great.  Had a second helping of fries.",https://www.yelp.com/biz/red-robin-gourmet-burgers-clearwater?start=120,3.12,3.12,3.12,3.12,3.1200000000000006
39,Duane D.,"Clearwater, FL",77,554,211.0,5.0,2012-08-19,"My first time at a Red Robbin -- and this was opening weekend in Clearwater. The place was crowded, but they will send you a text when your table is ready, so you are fee to walk around the mall area (just watch to bad cellular reception areas). Once inside the service was good and the food came quickly even with a big crowd.  The burgers were very good, and lots of choices.  All burgers come with bottomless steak fries -- and they are generous with them.  Some speciality drinks are bottomless too, including a Barqs rootbeer float, which is only $3.19 for as many as you want--and they even offer you one to go. There are lots of non-burger options too, including chicken, salads, and even hummus. Biggest problem here is parking.  This end of the mall has been really over-developed at the expense of parking spaces.  There is a lot of free parking, but you might not be very close. The prices are reasonable, but not cheap -- remember this is not fast food.  All in all, a great experience and we will be back!",https://www.yelp.com/biz/red-robin-gourmet-burgers-clearwater?start=40,3.2520000000000002,3.2520000000000002,3.2520000000000002,3.2520000000000002,3.2520000000000007
118,Sarah B.,"Littleton, CO",4,85,6.0,4.0,2012-08-19,"Location just opened and this was our first time ever at a Red Robin. As packed as it was for lunch, the wait was only about 15 minutes for 2 of us. We were sat at a table barely a foot away from the table next to us,  so the lack of privacy was a little uncomfortable. Being vegetarians, we were pleased that there were 2 different veggie burgers (Morningstar Veggie or Boca Vegan) that could be subbed on any burger! I tried the just the regular Veggie which had carmelized onions and zucchini on it....delicious!  Next time I will try subbing a veggie patty on one of the other burgers. Fries were also fresh and piping hot. Was a big portion, so I had leftovers for dinner. Maria was our server and was terrific, especially given how busy it was. Overall,  we thought it was a little pricey - cost us almost $40 for 1 appetizer, 2 sodas, 2 burgers and tip. But we will be back since the food was good and it is difficult to find restaurants that have such great vegetarian options....which says a lot since this is a burger place. :)",https://www.yelp.com/biz/red-robin-gourmet-burgers-clearwater?start=100,3.152,3.152,3.152,3.152,3.152
117,Nanci C.,"Clearwater, FL",138,98,19.0,5.0,2012-08-29,This location just opened  few weeks ago and the service is wonderful. I've been here twice now and the staff is on top of things. The food is wonderful and it's a fun time. I think it was a fantastic addition to Countryside Mall.,https://www.yelp.com/biz/red-robin-gourmet-burgers-clearwater?start=100,3.2840000000000003,3.2840000000000003,3.2840000000000003,3.2840000000000003,3.2840000000000003
110,Jimbob K.,"Palm Harbor, FL",0,15,9.0,1.0,2012-08-29,"I've been to Red Robins before, first time at this one. It was packed!! 45 min to an hour wait. They took our name and my cell number. They NEVER called!!! So don't brother leaving your number.",https://www.yelp.com/biz/red-robin-gourmet-burgers-clearwater?start=100,2.8520000000000003,2.8520000000000003,2.8520000000000003,2.8520000000000003,2.8520000000000008
84,Lisa K.,"Pinellas Park, FL",5,20,2.0,5.0,2012-09-24,"Went to Red Robin yesterday afternoon after seeing Resident Evil: Retribution. Wonderful!!! Best hamburgers we've all ever eaten!! The hamburgers are not the biggest out there, but they are the tastiest! The steak fries were hot and taste real good with that Red Robin special seasoning (that we purchased, by the way, for $3 for a huge bottle). The sweet tea was very good! (It's hard to find good sweet tea out there!)  My son got one of the beer milkshakes and he was completely impressed. He actually wasn't expecting it to taste so good. He did say that he'd ask them to leave off the caramel next time around though, it was a bit much as far as flavor clashing. They did tell us that they also do a milkshake using Bailey's and that was tempting, but my hubby was driving and I didn't wanna drink it in front of him...lolll. The milkshakes are $4.95. It wasn't crowded and since it was so cold in the mall, we opted to sit outside. The outside patio was nice and clean and the server kept regular check on us. Our food was at out table in less than 15 minutes, good and hot! I had the double cheeseburger and steak fries for $6.99, which as far as I could tell is one of the cheaper meals, but it wasn't disappointing!",https://www.yelp.com/biz/red-robin-gourmet-burgers-clearwater?start=80,3.3800000000000003,3.3800000000000003,3.3800000000000003,3.3800000000000003,3.380000000000001
126,Tony R.,"Clearwater, FL",13,136,15.0,2.0,2012-10-11,Don't get the smaller tavern burger! It's a different patty that taste like the 49 cents McDonald's special.,https://www.yelp.com/biz/red-robin-gourmet-burgers-clearwater?start=120,3.0480000000000005,3.0480000000000005,3.0480000000000005,3.0480000000000005,3.048000000000001
88,Will C.,"St. Petersburg, FL",12,101,11.0,3.0,2012-10-15,I love a good burger and Red Robin makes a fairly good burger. But I have trouble giving a restaurant that serves its food in plastic baskets and charges 10-12 dollars a meal more than 3 stars.  I ordered a burger with a special set of toppings and it came out exactly as ordered. My wife the vegetarian even was able to get a vegan burger (made by boca) with avacado and other toppings. The food was delivered almost to quickly. We were barely able to enjoy our drinks before they arrived.  Overall we had a good experience and we just wanted something cheap and quick so it is a winner for that reason.,https://www.yelp.com/biz/red-robin-gourmet-burgers-clearwater?start=80,3.2440000000000007,3.2440000000000007,3.2440000000000007,3.2440000000000007,3.2440000000000007
109,Deirdre O.,"Orlando, FL",98,123,37.0,2.0,2012-10-23,"As many times as I've seen the commercial for Red Robin in Orlando, we don't have a location.  I happened to be in Clearwater for a mini getaway and saw one at the Mall.  Incidentally, I had to try it.  Unfortunately, I was not impressed.  I ordered the Red Robin Classic (I think that was what it was called).  I like other burger establishments better.  But glad I satisfied my curiosity.",https://www.yelp.com/biz/red-robin-gourmet-burgers-clearwater?start=100,3.1120000000000005,3.1120000000000005,3.1120000000000005,3.1120000000000005,3.112000000000001
105,Lane R.,"Dunedin, FL",53,118,4.0,2.0,2012-11-05,"Having seen commercials for Red Robin forever, this was my first experience at one. For the longest time I honestly thought it was a fast food restaurant and by the end of our meal we agreed the food was about on par with fast food. For a chain burger joint I suppose this place is alright, but there are plenty of better local restaurants to grab a fresh burger at.  We stopped in around 8:00pm on a Saturday and it appeared they were just coming off of a wait. We only had to wait a few minutes for them to clean a table. Our server was a little hard to keep at our table. We ordered our drinks and before we could ask for an appetizer she was off. I hate when I order an appetizer and it comes out at the same time as my meal (this looked like the kind of place it would happen at) so I always try to give them a good 10-15 minutes between ordering. For an appetizer we picked the fried jalapenos and mushrooms. The jalapenos were good and fresh. They were pretty spicy, but the mushrooms could have been better they were soggy.  I got the bleu cheese burger and my husband ordered the only spicy one on the menu. They were alright, but the patty looked like it was previously frozen, as most chains are.  The fries were decent. We paid with a gift card which apparently you can't leave a tip on. Well our server just dropped our card off at the table and ran. We only had a $20 and had the hardest time getting her attention to get change. Apparently she didn't want a tip, because I tried to flag her down 3 times and finally I just grabbed another server. I doubt we will be back anytime soon, but we wanted to say we had tried it.",https://www.yelp.com/biz/red-robin-gourmet-burgers-clearwater?start=100,3.208,3.208,3.208,3.208,3.208
