,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
334,Scott D.,"Norco, CA",3,79,2.0,1.0,2012-01-15,"Food is below average for a Red Robin, there are better ones. At our last visit, we sat very close to the kitchen area. I suspect their shift just started. The manager did this ""rah-rah"" thing for the employees where he/she gathered them all together. Fine. The problem was is that he distracted our waitress who forgot most of our order. I point it out to the waitress when the meal came and suddenly the manager is apologizing for the waitress. They tried to make it right, but frankly, too little too late. Your mileage may vary. This was in 2011.",https://www.yelp.com/biz/red-robin-gourmet-burgers-cypress?start=300,3.28,3.28,3.28,2.5320000000000005,3.2800000000000002
262,Danny N.,"West Covina, CA",2226,1421,50514.0,4.0,2012-01-29,This Red Robin was pretty good service and the burgers were great as usual!,https://www.yelp.com/biz/red-robin-gourmet-burgers-cypress?start=260,3.36,3.36,3.36,2.9280000000000004,3.3600000000000003
333,Margaret H.,"Long Beach, CA",65,6,,5.0,2012-02-23,"My husband, two teenage girls and I are probably in here about 4 times minimum a month and  have only once been disappointed in the food.  When I brought it up to the manager (Bernice), she graciously removed the cost of meal from our bill and gave us certificates for appetizers and desserts. Bernice is always hard working and has a super positive attitude about dealing with most everyone she everyone she interacts with.  The waiters there are pretty efficient and really do not make us wait too long.  I invite anyone who gripes about customer service to try working for customers just to see how frustrating it can be.  One finds that not everyone can be made happy and are just doomed to be miserable and are rarely satisfied.",https://www.yelp.com/biz/red-robin-gourmet-burgers-cypress?start=300,3.4,3.4,3.4,2.9960000000000004,3.4000000000000004
342,Josue M.,"Buena Park, CA",1,2,,2.0,2012-02-26,Went to eat with a couple friends was partly satisfied. The food was not bad it was actually pretty good I had the bbq bacon burger. The service was what made my experience horrible. Our server spent more time talkin to his coworkers then helping us out....To top it off homeboy was too busy touching his wiener instead of trying to get us our check. Not too sure I'll be back,https://www.yelp.com/biz/red-robin-gourmet-burgers-cypress?start=340,3.32,3.32,3.32,2.6640000000000006,3.3200000000000003
242,George Y.,"Cypress, CA",55,122,64.0,1.0,2012-03-15,Poor service at the bar  (late dinner hour:  8:30pm) Super-inattentive. Pass,https://www.yelp.com/biz/red-robin-gourmet-burgers-cypress?start=240,3.2,3.2,3.2,2.6280000000000006,3.2000000000000006
329,David R.,"Manteca, CA",80,44,8.0,3.0,2012-03-27,"What can I say, it's Red Robin. Nothing really sticks out about it and not really too much to hate on. The food is moderately priced and the mixed drinks are pretty good. I think the only real appeal to bring people in is the endless fries. Nothing really sticks out and wows me but I've never had bad service which is why I gave it a three star.",https://www.yelp.com/biz/red-robin-gourmet-burgers-cypress?start=300,3.2,3.2,3.2,2.9240000000000004,3.2000000000000006
296,Mike P.,"Anaheim, CA",27,30,81.0,2.0,2012-04-18,Soup came with meal instead if first. Pet peeve of mine.  Had film on it. No sharp knives. Beef on prime rib sandwich was very fatty.   Overall food quality was sub par.  This quality of the food and the service left much to be desired.  I will be back in hope that this was a one time occurrence.  This is not the best Red Robbin but it has never been this bad.,https://www.yelp.com/biz/red-robin-gourmet-burgers-cypress?start=280,3.12,3.12,3.12,2.7600000000000007,3.1200000000000006
319,Vicky J.,"Seal Beach, CA",42,3,,5.0,2012-06-06,"Went to dinner for my son's birthday.  No waiting for a table, service was wonderful and we had a very good and friendly waitress.  The food came fast; no mistakes and we never had to ask for a soda or coffee refill.  Even the manager stopped by to see how everything was.  My daughter loves the ribs and mac plate.  I love their avocado-cobb salad.  I would recommend this Red Robin and would definitely return.",https://www.yelp.com/biz/red-robin-gourmet-burgers-cypress?start=320,3.16,3.16,3.16,3.124,3.1600000000000006
178,Roy B.,"Anaheim, CA",762,793,6183.0,3.0,2012-06-06,"Went here after an award ceremony for my son. He picked it 'cuz he thought all his bros would be coming here too. OK I'm game. I've never been to this location and have only been to RR 's a couple of times in the past so I wasn't sure what to expect. As soon as we walked in we were greeted by a cheerful hostess who got us (8 ppl) seated quick. Once seated our waitress was quick to take our drink orders and on her return made a few suggestions and took our appetizer order.  Appetizer Got some kind of triple french fry deal that had steak cut fries, sweet potato fries and onion strings with 4 dipping sauces. Ranch, sweet chili, bacon aoili & chili aoili. Not bad but the sauces didn't work out so well with the onion strings or SP fries. Burgers & Stuff I ordered the buffalo bleu burger W/fries off the special menu (6.99) cooked med. Cooked just right, juicy and tasty 3.75 star. Others had.... Fish n chips ...so-so fish (cod?) crispy, steak fries Mac n cheese.... very cheesy very good Mac n Rib-let combo ......small rib-lets had nice sauce, nice combo Jr cheese pizza .... 6yo liked it Soup n Sammy ......  clam chowder was OK, turkey sammy OK A1 peppercorn burger cooked med W/fries... very good Whiskey River Burger cooked med W/fries... very good Over all decent meal for a quick dinner celebration. Nuthin' fancy. Priced OK. Clean restaurant + got to watch the end of the hockey and B-ball playoff games. Nice family place.",https://www.yelp.com/biz/red-robin-gourmet-burgers-cypress?start=160,3.08,3.08,3.08,2.8920000000000003,3.0800000000000005
298,Charlene M.,"Rancho Cucamonga, CA",9,20,20.0,4.0,2012-06-25,my boyfriend and i love red robin tried many of their burgers and salads and sandwiches and soup love freckled lemonade definitely sign up for their new red robin royalty because you get free food! we go here all the time one of our favorite restaurants staff is always friendly  i was even upset one time for a phone to go order and didnt expect anything just wanted them to know what happened and they took care of my meal they really care about their customers and thats why i always come back never had a bad experience at any red robin,https://www.yelp.com/biz/red-robin-gourmet-burgers-cypress?start=280,3.12,3.12,3.12,2.9920000000000004,3.1200000000000006
