,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
4,Jay B.,"Brazil, IN",3,167,66.0,4.0,2012-03-07,"Loved my Bacon Guacamole burger!  My milk shake as also excellent.  My only hang ups were the price and the service.  Weekday lunch, only 10 or 15 other people in the place, almost empty, but our food took almost 30 minutes.  Prices are a little high.",https://www.yelp.com/biz/red-robin-gourmet-burgers-evansville?start=20,3.152,3.152,3.152,3.152,3.152
3,Allen B.,"Washington, IN",2,3,,5.0,2012-09-12,Great service and good pizza.  Arrived a little after 4pm and they still let us order off lunch menu. Will be back.,https://www.yelp.com/biz/red-robin-gourmet-burgers-evansville?start=20,3.2520000000000002,3.2520000000000002,3.2520000000000002,3.2520000000000002,3.2520000000000007
29,Jeff N.,"Evansville, IN",0,35,4.0,3.0,2012-10-30,We stopped in for a quick burger while out getting ready for a halloween party on sunday.  45 minutes later we were still waiting for our order.  Our wait person seemed really busy but from all outward appearances she only had 3 tables to wait on. Food was good though.  I just wish we had more time to enjoy it.  We ended up being in the restaurant for about 1 hour and 15 minutes for something that usually takes about 20-25 minutes.,https://www.yelp.com/biz/red-robin-gourmet-burgers-evansville,2.9240000000000004,2.9240000000000004,2.9240000000000004,2.9240000000000004,2.9240000000000004
1,David M.,"Los Angeles, CA",29,84,13.0,4.0,2013-08-12,"Love their burgers. They're maybe a tad overpriced, but they've got some good service and a nice open dining atmosphere.",https://www.yelp.com/biz/red-robin-gourmet-burgers-evansville?start=20,,,,,
8,Louis F.,"Indianapolis, IN",0,5,,3.0,2013-09-28,Food was great but it took forever for anyone to welcome us or to be seated. The hostess just stood with their back to everyone coming in,https://www.yelp.com/biz/red-robin-gourmet-burgers-evansville?start=20,,,,,
5,Nolie P.,"West Lafayette, IN",1,30,3.0,4.0,2013-10-30,4 stars when comparing to other burger joints. Fantastic burgers- juicy and cooked perfectly. My kids loved the unlimited fries and I liked the fact I could sub a salad for my fries at no extra charge.,https://www.yelp.com/biz/red-robin-gourmet-burgers-evansville?start=20,,,,,
30,Eric H.,"Evansville, IN",13,11,,1.0,2013-12-01,"Way over priced for burgers and beer as well as horrible service, I took my mom out cause she'd never been there and ended up having to ask for a different server the first one took forever to even get to us and then I said something about it and she was so rude I asked for the manager got a different server and the original server made it a point to walk by our table and give us dirty looks and make us as uncomfortable as possible. I don't think I'll go back.",https://www.yelp.com/biz/red-robin-gourmet-burgers-evansville,,,,,
25,Dietrich D.,"Little Rock, AR",25,60,34.0,3.0,2014-01-03,"We came to Red Robin having never experienced what surely must be a great burger, being as we are bombarded by their advertisements in our home town and we don't even have a RR. I ordered an A1 peppercorn burger, my wife a fish and chips, and my kids both got kids meals.  We also got a tower of onion rings as an app and 2 beverages. Total:  $52. While my kids enjoyed their meals and my wife seemed to enjoy hers, I failed to see what the hype of this place is.  My burger, for which they pride themselves, was dry and tasted no better than something you would get at your local tavern.  The sauce was ok (A1 peppercorn sauce), but thats it.  It was small and wasn't worth the $11 they charged for it. The service was great, but nothing about the food was spectacular.  Save your money and hit up one of the other chains on this street.",https://www.yelp.com/biz/red-robin-gourmet-burgers-evansville,,,,,
23,Debbie M.,"Newburgh, IN",11,81,164.0,4.0,2014-08-17,"My husband and I stopped in so we could see the end of the Nascar race.  There are several tv's and they were all on the race.  I hadn't been here since they opened.  We got their smallest burger, which is 2 thin patties. It included endless fries.  The burger was just the right size.  We also shared a clam chowder which was very good.  We will come back again!",https://www.yelp.com/biz/red-robin-gourmet-burgers-evansville,,,,,
26,Todd L.,"Evansville, IN",0,11,2.0,3.0,2014-11-01,"11-1-14:  We arrived and were seated quickly.  Placed our orders and the food arrived within about 10 minutes.  One order was correct.  The waitress was gone before I realized my order was incorrect (ordered plain with no mayo/tomato).  Summoned waitress back and she brought the replacement within minutes.  This order also had mayo.  Had to re-summon her.  A few minutes later the manager arrived and brought me a plate of French fries.  The manager, Marcus, said my order would not be charged.  He delivered my correct order within a few minutes.   1 star for ordering efficiency and correctness. 2 stars for the waitress who didn't ask how I wanted the burger cooked (well, medium, etc), or wait any length of time to determine if the order was correct. 5 starts for customer service.  The manager made it right.  His actions will result in me returning to this establishment.  HIS attitude made the difference and was appreciated.",https://www.yelp.com/biz/red-robin-gourmet-burgers-evansville,,,,,
