,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
78,Ian P.,"Fayetteville, NC",0,268,23.0,4.0,2012-01-14,Really good burgers! Better than Chili's. This is a great family restaurant and the price is good for what you get. I like the burning love burger or the black and blue burger.,https://www.yelp.com/biz/red-robin-gourmet-burgers-fayetteville?start=60,3.056,3.056,3.056,3.056,3.0560000000000005
75,April B.,"Fort Collins, CO",1,31,,5.0,2012-06-15,I love this place! I always have great service and get burgers. I can never finish my burger. I do wish that they would bring back kettle chips and the pub burger those were my favorite. I hate that change the menu but what  can I do I don't own this place lol. Anyways back to the point we have a great time great rootbeer floats and the bar staff are quick,https://www.yelp.com/biz/red-robin-gourmet-burgers-fayetteville?start=60,3.124,3.124,3.124,3.124,3.124
74,Michael N.,"Joint Base Lewis-McChord, WA",161,37,36.0,5.0,2012-08-07,"One of my favorite places to get food. Bottomless cajun fries and the burgers are decent. Drinks and celebrating are definitely a plus. Pre game here with some food and drinks and head out to your next destination, to continue your boozing!",https://www.yelp.com/biz/red-robin-gourmet-burgers-fayetteville?start=60,3.0280000000000005,3.0280000000000005,3.0280000000000005,3.0280000000000005,3.0280000000000005
72,Christina B.,"Fayetteville, NC",131,41,32.0,3.0,2012-10-16,Big burgers and good service. The food was piping hot and fresh. i wouldnt say this was the best burger joint ever but its pretty good. my server was friendly and the food came quickly.,https://www.yelp.com/biz/red-robin-gourmet-burgers-fayetteville?start=60,2.7,2.7,2.7,2.7,2.7
69,Sarah M.,"Berwick, ME",13,66,9.0,4.0,2012-11-13,As a vegan this is one of the few places in town I can eat at. They have a vegan burger that you can substitute for meat AND they have bottomless fries!,https://www.yelp.com/biz/red-robin-gourmet-burgers-fayetteville?start=60,2.8640000000000003,2.8640000000000003,2.8640000000000003,2.8640000000000003,2.8640000000000003
71,Michelle A.,"Raleigh, NC",19,167,4.0,4.0,2012-12-10,"Serivce here is alway on top of their game.  Food is really good and love the bottom-less fries, especially for my teen.  The price is a little high for burgers so we don't go as often as we would like.  Food is always hot and fresh when it gets to the tables.  they did just revamp their menu and it's a little confusing to read unlike their older 2 page menu.  Anyway do recommend Red Robin!",https://www.yelp.com/biz/red-robin-gourmet-burgers-fayetteville?start=60,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003
52,Connie G.,"Dayton, OH",33,79,28.0,5.0,2013-10-12,Excellent service by Angela and the kitchen made my husband a special request wrap. Thank you to both. As always the food was great. Ordered sweet peach tea and it was good. Got to eat here every time I'm in town.,https://www.yelp.com/biz/red-robin-gourmet-burgers-fayetteville?start=40,2.868,2.868,2.868,2.868,2.868
53,Jeff B.,"Fayetteville, NC",48,251,581.0,4.0,2013-10-15,"Our family enjoyed carry out from Red Robin Fayetteville, NC tonight. A great experience. We ordered by phone, received a follow up call to confirm our order and picked up the order at the bar. The employee assisting was very courteous and attentive to our customer experience.  My wife picked our order up and raved about the lady at the bar who assisted with our order. The food was good and prepared to our specifications. It ia always great to feel appreciated and valued as a customer. We will be back! Four stars for attention to service and in market comparison to peers offering like menu.",https://www.yelp.com/biz/red-robin-gourmet-burgers-fayetteville?start=40,2.6399999999999997,2.6399999999999997,2.6399999999999997,2.6399999999999997,2.6399999999999997
62,Danyel A.,"Wahiawā, HI",50,16,14.0,2.0,2013-12-01,"Went to eat with my family, it was a nice atmosphere but I didn't think there burgers were all that people make them out to be and not worth the price. I most likely won't be going back.",https://www.yelp.com/biz/red-robin-gourmet-burgers-fayetteville?start=60,2.472,2.472,2.472,2.472,2.472
66,Wendy C.,"Fayetteville, NC",46,13,31.0,5.0,2013-12-09,This Red Robin Location is awesome. Our experience has always been good but Monday was exceptional.,https://www.yelp.com/biz/red-robin-gourmet-burgers-fayetteville?start=60,2.836,2.836,2.836,2.836,2.8360000000000003
