,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
108,Jake V.,"Littleton, CO",19,421,214.0,3.0,2012-01-06,Good variety of burgers. Love the guac bacon burger and bleu ribbon burger. Also love this location it's smaller than most RRs but less busy also.,https://www.yelp.com/biz/red-robin-gourmet-burgers-goodyear?start=100,2.8920000000000003,2.8920000000000003,2.8920000000000003,2.8920000000000003,2.892000000000001
106,J L.,"Las Cruces, NM",3,91,2.0,4.0,2012-03-25,"First time at a Red Robin. Went in for their specialty limited time only Oktoberfest Burger. It did not disappoint. Ingredients were fresh, and the burger itself was tasty. Lots of menu choices - I only wish the pretzel bun was a regular choice. Most of all we were impressed with the cleanliness of the restaurant. Perhaps because it was relatively new, it was not very busy at the beginning of the lunch ""hour"". Waitress was attentive, honestly friendly, and very helpful (wish I remembered her name). I really liked that the tables were high, so you don't have to bend over to eat. (Parents should love this as it keeps your children from leaning their elbows on the table! ;)",https://www.yelp.com/biz/red-robin-gourmet-burgers-goodyear?start=100,2.9280000000000004,2.9280000000000004,2.9280000000000004,2.9280000000000004,2.928000000000001
109,Dean S.,"Normal, IL",2,33,,2.0,2012-04-19,"We stopped in at the Goodyear RR last night for a quick bite, second visit to this location and only the second time in a RR. The service was average, my wife's burger was good, intructions on toppings was ignored by the kitchen. My soup came out cold, two visits, two bowls of cold soup, by the time it was heated my wife was done with her dinner, this is something they need to work on. I will give them one more try before deleting them from my options for dinner, it is really a shame that all sport bar type restaurants are cut from the exact same mold, nothing new here or exciting, just noisey and pretty good food for a premium price.",https://www.yelp.com/biz/red-robin-gourmet-burgers-goodyear?start=100,2.6320000000000006,2.6320000000000006,2.6320000000000006,2.6320000000000006,2.6320000000000006
103,Jeremy S.,"Litchfield Park, AZ",27,5,,5.0,2012-08-19,Always great. Try the Royal Red Robin Burger!!,https://www.yelp.com/biz/red-robin-gourmet-burgers-goodyear?start=100,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004
85,Lisa K.,"Flanders, NJ",18,43,3.0,4.0,2012-09-30,"It's a Red Robin. It's great for a chain restaurant and I love their Banzai Burger! Good selection of beers and even some local brews (try the Moose Drool or Epicenter from SanTan Brewing). The service here is really great and the staff is extremely friendly. What I do like about this particular location is that the bar is on one side and there are no kids allowed in the bar area, so if you're with a group of friends, you don't have to worry about screaming kids.",https://www.yelp.com/biz/red-robin-gourmet-burgers-goodyear?start=80,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997
111,Canyon T.,"Goodyear, AZ",0,44,,5.0,2012-10-03,The service is always awesome. Love the Banzai burger too. My family has been going to RR for years and its always a great experience.,https://www.yelp.com/biz/red-robin-gourmet-burgers-goodyear?start=100,2.804,2.804,2.804,2.804,2.804
107,Ly H.,"Round Rock, TX",10,75,,1.0,2012-10-31,Took forever for a salad to come out and when it did it came with all of the other foods? the cheese sticks were COLD and refills took a while.... not sure it was the waitress fault i get the feeling it was the cooks fault,https://www.yelp.com/biz/red-robin-gourmet-burgers-goodyear?start=100,2.2760000000000002,2.2760000000000002,2.2760000000000002,2.2760000000000002,2.2760000000000002
102,Erin D.,"Litchfield Park, AZ",81,52,226.0,4.0,2013-01-31,"Can I tell you how much I love this place?  Because I do!  it is a perfect place to take my kiddo's and I usually try to take them here for dinner once a week.  The staff is always friendly and helpful and the food is just right.  Sometimes it takes a little too long to get our order, but all things aside it has good family atmosphere.  My daughter loves ordering their Shirley Temple drinks with extra cherries! :)",https://www.yelp.com/biz/red-robin-gourmet-burgers-goodyear?start=100,2.6399999999999997,2.6399999999999997,2.6399999999999997,2.6399999999999997,2.6399999999999997
90,Humberto A.,"Buckeye, AZ",59,9,7.0,3.0,2013-02-07,"For a chain restaurant; Red Robin is a sure family & friends sit-down place for burgers & drinks. Endless Steak Fry's, now you can't go wrong with that!",https://www.yelp.com/biz/red-robin-gourmet-burgers-goodyear?start=80,2.444,2.444,2.444,2.444,2.444
31,Judy L.,"Avondale, AZ",440,1127,1324.0,4.0,2013-03-09,"I always enjoy their service, burgers, and ENDLESS fries.  I normally only can eat the amount the give you always.  But the thought of ENDLESS fries...  hum.... I changed to have a cheeseburger with bacon today (in honor of my nephew).  7 of us came to honor my nephew and celebrate my MIL's birthday.  Red Robin was his favie place and he LOVED the fries.   1 minor con..  They stuff 7 of us in this tiny booth.  We were a tight family unit!  =)",https://www.yelp.com/biz/red-robin-gourmet-burgers-goodyear?start=20,2.48,2.48,2.48,2.48,2.48
