,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
37,Mike L.,"Greensboro, NC",1,46,,2.0,2012-04-14,My family and I ate at Red Robin last night. The service was good. The wait staff was accommodating and attentive. The food was mediocre at best. The bacon on my burger was limp and lifeless. My sweet potato fries seemed to have been cooked hours before they were served to me.   This is the second bad experience at a Red Robin in a row. Good service does not make up for bad food. Don't believe I'll go back,https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=40,2.44,2.44,2.44,2.44,2.44
35,Sue P.,"Greensboro, NC",43,34,2.0,4.0,2012-06-09,"Red Robin is one of our standards and usually everything is just fine, including tonight. A few too many ""how is everything?"" interruptions, but the food was exactly what we ordered and tasted great. I loved the server's recommendation to try the ciabatta bun - I ate half of it and it was better than a ""plain"" bun. One of our reasons for going there is they offer gluten-free but we were told tonight that a gluten-free bun cost $1 more. I don't recall that from prior trips but perhaps we weren't told.  They're very careful with gluten-free customers and I applaud that. If a person is gluten allergic (I'm not), then a manager has to bring the food to that person. I just prefer gluten-free products but not for $1. Really, that's unnecessary. Again, we like the place. It's always clean, usually fast (not always so at lunch, which is surprising but tonight was great) and accurate and they refill our drinks and fries without our having to ask. They even offer a to-go cup of diet soda if we want one. Good service, meals that are always up to expectations and a reasonable price.",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=40,2.6399999999999997,2.6399999999999997,2.6399999999999997,2.6399999999999997,2.6399999999999997
23,Charlotte H.,"Wilmington, NC",92,197,32.0,4.0,2012-08-01,"Good chain restaurant. I have always ordered their veggie burger and added guacamole; but you can actually substitute a veggie patty for any burger on their menu. They've recently changed their veggie burger from having the ""regular"" toppings like lettuce and tomato to caramelized onions and grilled zucchini. It was tasty! Their appetizers are well priced and you can get a single order of mozzarella sticks for about $3. Rootbeer floats and milkshakes are about the same price as sodas.",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=60,2.6399999999999997,2.6399999999999997,2.6399999999999997,2.6399999999999997,2.6399999999999997
21,Danielle R.,"Greensboro, NC",46,381,145.0,4.0,2012-10-13,"I went to Red Robin a few years ago and wasn't impressed with the food and hadn't been back in a while. I decided to go all out tonight and get a 3 course meal. The appetizer was a pick two of onion rings and fried zucchini. The onion rings were yummy and the zucchini, not so much. For my meal, I ordered a burger with onion straws, horseradish mushrooms, provolone, and some sauce and it was so huge I could hardly fit it in my mouth. It came with big fries as a side, and I will say, Red Robin does know its burgers. For dessert, I ordered the Mudpie. Think ice cream cake with chocolate and cookies and cream ice cream, cookie crusts, fudge, and whipped cream. Definitely big enough for two, or two helpings when you don't feel like sharing. Service was good, and I have a ton of leftovers.",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=60,2.544,2.544,2.544,2.544,2.544
22,Uri R.,"Greensboro, NC",1,5,,4.0,2012-10-14,"We like the chain. It is very family friendly and our favorites are the pineapple-related sandwiches and burgers. The kids enjoy a very flexible variety of health side dishes, and the adults (OK, just me) like their hose seasoning.",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=60,2.448,2.448,2.448,2.448,2.4480000000000004
33,Ben H.,"Greensboro, NC",5,5,,1.0,2013-01-06,"Terrible service. Messed up my order twice before I told them to forget about it. My wife ended up eating lunch alone... We then asked for the check, for her meal, and it took them 10 minutes to get the manager to take my meal off the bill.  I think they should've given is my wife's meal on the house as well for all the trouble.  Won't ever go back to this Red Robin!!!!",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=40,2.084,2.084,2.084,2.084,2.0840000000000005
44,Jason W.,"Barnesville, OH",5,5,2.0,5.0,2013-07-02,"Being from up North I knew what to expect, great food, great service, ENDLESS fries for the potato fans( I personally like to add the fry seasoning to mine). Love the addition of the Rewards Club. Take my family when they stop in, always end up with a FREE entree.",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=40,2.516,2.516,2.516,2.516,2.516
61,Fleece P.,"Charlotte, NC",125,253,403.0,1.0,2014-03-16,"Went around 9:30 pm , waited bc they said they had to find seating for 8 . The place was almost empty?????? Took over 45 minutes to get food then the fries came out cold , burgers were burnt , we had little kids so we just ate it and asked for our checks . They did bring out more hot fries but it was so late we didn't eat them. We split the check one was with cash the other debit. Looks like the young staff chose to pocket my 40+ dollars and charge the debit card for both orders?! What a horrible first time experience for lil kids . First impressions are everything . Don't waste your money.",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=20,2.052,2.052,2.052,2.052,2.052
25,Rusty W.,"Kernersville, NC",0,6,,3.0,2014-03-25,"The burgers are clearly the star of this show. Our server was helpful with all the menu selections but after we ordered we didn't see much of him. We had to ask several other employees for refills and the special condiments we ordered. At the end of our meal we asked to have some of our plates removed. A bus person showed up with a bus tub and removed everything. Very unusual service. The food was delicious. Everyone loved the chili cheese fries. All of the burgers were hot, fresh piled high with toppings.  If you are ready for a great burger but don't mind poor service, then this place will be for you. I think it will be a while before we return.",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=40,2.348,2.348,2.348,2.348,2.348
24,Ashley S.,"Greensboro, NC",1,7,1.0,3.0,2014-03-30,"Server is very nice. They ran out of sweet potato fries so a little disappointed about that. And right now been waiting for the check for around 5 minutes, 30 minute wait for table, 20 minute wait for soup.",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=60,2.348,2.348,2.348,2.348,2.348
41,Krystal K.,"Jamestown, NC",0,21,,3.0,2014-05-10,"The burgers outshine everything in this restaurant. The service in the bar area is terrible. We usually don't let them seat us in there but we made that mistake again. All the tables have this sticky feel to them, kind of gross. This should get at least a 4 star because of the burgers but their service lowered it. Not saying I'll never return though. Why such a small serving of fries now?",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=40,2.284,2.284,2.284,2.284,2.284
28,Ryan P.,"Winston-Salem, NC",12,33,2.0,1.0,2014-08-03,"Burgers are good and the endless basket of fries is always nice but the service here is so poor it's not worth it. I don't care to waste a lot of time on this review, but every time I've been here, I've encountered the most in attentive staff.",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=40,2.084,2.084,2.084,2.084,2.0840000000000005
38,Ameer P.,"Greensboro, NC",2,22,5.0,2.0,2014-08-11,Food is just like any other burger joint. Prices are average. Has plenty of seating room. Service is hit or miss depending on your waiter. One day I had excellent service. The other day I was seated by the hostess and no one came by the table for another 23 minutes and I finally had to get the hostess to take my order.,https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=40,2.184,2.184,2.184,2.184,2.184
48,Lourdes E.,"Ramseur, NC",5,12,18.0,1.0,2014-08-17,"Service was slow, the food nothing remotely close to the food pictured or described. Dare to complain? You will be told ""that's the way it is"" I tried the location in Durham and liked it, but this one is one I will not be returning to.  Manager comes by after you are done eating, not much to show or do then.",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=20,2.116,2.116,2.116,2.116,2.116
47,Michael R.,"Greensboro, NC",546,161,13.0,1.0,2014-09-05,"I wish 0 stars was an option. I went to Red Robin at least 1 time per month back in 1991-2 when I lived in California. Over the years it's always been a ""safe"" stop in any city, especially with a young son. A burger and a beer, simple, easy. We decided to try the one in Greensboro about a year back when we moved here. Summary of 3 different visits: Visit 1: Waited 15 minutes to sit in a half-full restaurant. Finally ordered at the bar with my wife and son. Burgers took over 30 minutes to come out-this IS their specialty right? Visit 2: Ordered takeout and the order was completely messed up. Had to run back to get the right food. Visit 3: Restaurant is 1/2 full but there are at least 20 people waiting. We are told it will be 15 minutes. Empty tables with old meals sit everywhere. Finally we are seated after 30 minutes (too tired and late to go elsewhere). They seat us at a partially cleaned table-and finish cleaning. There is a steak bone that sits at the table next to us. We converse and are laughing with the other family sitting next to us. Nothing comes out right; all overcooked. We complain but nothing. Had left a message with corporate. Someone called our home phone but left no message (caller ID).  I hope the District Manager reads this (not the GM) as this is the worst Red Robin I've ever been too-and it's consistently bad. I'm not sure how they stay in business...",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=20,2.148,2.148,2.148,2.148,2.148
20,James M.,"Brentwood, NY",2,32,,4.0,2014-10-04,The burgers are pretty darn good. They are big and cone with the steak fries which are nothing to write home about. Service is quick and friendly. It's a bit pricey for a burger joint but worth it every once and a while.,https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=60,2.448,2.448,2.448,2.448,2.4480000000000004
36,Samuel C.,"Greensboro, NC",33,4,,2.0,2014-11-13,"I ordered chips, salsa, and guacamole on Wednesday night around 7:45 and they came out tasting stale. The guacamole was also brown and tasting like it was going bad. I ended up ordering a chilli burger with bottomless fries and it  took over 45 minutes before the server came and asked if I had reviewed my food yet. I ended up canceling the order and just paying for the chips and salsa. The server was really nice, but the experience just wasn't up to par with surrounding restaurants. No one came to apologize or make it right... I won't be going back.",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=40,2.152,2.152,2.152,2.152,2.152
32,chelsea b.,"Charlotte, NC",0,1,,5.0,2014-12-19,"Clayton is extraordinary, to say the least. I have been to Red Robin before and I never had such an amazing experience until I was served by Clayton, and get this; All he brought us was our drinks but he was such a joy in that short amount of time. People like Clayton are the people who make the restaurant experience worthwhile. My husband wanted to grill out today but I was like ""no, let's go to Red Robin, honey"". Best decision of my life. Wow. Awesome. Keep up the good work, Red Robin. The service was great, also. Shout out to Paris for that.",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=40,2.452,2.452,2.452,2.452,2.452
31,Hally B.,"Greensboro, NC",1,2,,5.0,2015-02-26,I definitely enjoy coming here. Being a server myself when I was younger I understand what these servers go through. I notice all of the asshole customers around and feel bad for the workers. I completely understand the wait times. I know that sometimes it is understaffed and one person cannot simply handle the stress of a lot of customers running them to death. If there were mor than 5 starts I would give it to this restaurant.,https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=40,3.0,3.0,3.0,2.42,3.0000000000000004
40,Kristi W.,"Kernersville, NC",32,1,,1.0,2015-03-23,"I decided to go to this location on my lunch break, which is a 15min drive from my work. Once I arrived, it took roughly 10min from the time I walked into the restaurant till someone actually took a drink order for me. Once my order was taken the food came out relatively quickly. I sat for at least 5 minutes before the manager came by and brought me silverware (my server had not checked on me). Then once I cut into my burger it was cooked well done and I had ordered it medium well. Now, this ""gourmet"" burger I had was the equivalent of a McDonald's $1 menu burger. It's really no wonder it was overcooked because it was so very thin! I had also asked for the relish to be on the side, which it was left off completely! When my server finally came by to check on me I informed her it was cooked improperly and she offered to have them do it again. By this time I had exactly enough time left to get back to work and so I declined and walked out. I will never ever eat at this restaurant and most certainly never this location again! Service was slow and on top of that, you can't even get what you order!",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=40,2.88,2.88,2.88,1.988,2.88
27,Amanda K.,"Morrisville, NC",35,74,84.0,2.0,2015-04-12,"When I first experienced Red Robin it was great. The burgers were big and juicy, and the garlic fries were amazing. Ever since my first visit, overall quality has gone down hill. My husband and I decided to eat here mainly for some bottomless garlic fries. We were seated promptly, but I noticed there were about 3-4 waitresses around the Hostess area. They were all talking and laughing, and it pretty much stayed that way the entire visit. They would go take care of customers, but then come back to their little station to talk. The worst part was that a manager (who I assumed to be the manager was in the middle with them) After we were seated we ordered our drinks and we took a minute to decide. Our waitress was nice enough, but after she took our order and brought our food, we didn't really see much of her. She checked on us once after our food came out but she was almost nonexistent after that. The food itself was just ok. I ordered the mushroom swiss on texas toast with garlic fries. The burger was cooked as I ordered, toast was good, and mushrooms were seasoned with a lot of fresh garlic. However my fries were not good at all. Since when does Red Robin skimp on the fresh garlic for their garlic fries? What I got was fries with sprinkled garlic powder and grated parmesan. The garlic seasoning even tasted off. My husband ordered their new Nacho Crunch Burger with garlic fries as well. His fries were the same, but his burger was incredibly thin (almost to the standards of McDonalds.) We usually save half of our meal for dinner at night, but his burger was so thin it wasn't filling enough and he ate the whole thing. We came for bottomless fries but ended up not getting any. Our waitress finally showed up after we sat not eating/talking for about 5 minutes. We paid and left quickly. It's becoming apparent that Red Robin is cutting corners with their food and is turning into the type of restaurant that wants to get you in and out as quick as possible. There are plenty of other places around Greensboro you can go to for a better burger than here.",https://www.yelp.com/biz/red-robin-gourmet-burgers-greensboro?start=40,2.84,2.84,2.84,2.12,2.84
