,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
60,Nicole R.,"Schaumburg, IL",79,198,34.0,3.0,2012-01-04,"Craving a burger... So we decided to try Red Robin. I got the bacon, egg and cheese burger and boyfriend got the guacamole burger. Meh.. It was okay, nothing to brag about I would have much rather gone somewhere better... Like Paradise pup! (MmMm) Bottomless Fries what!? I got a handful of fries and was never asked or told I could get more. I kinda thought they had the bottomless fries thing but by the time our server came around I was done eating. For $25 I felt like I could have got a better burger else where.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=60,2.316,2.316,2.316,2.316,2.316
45,Nikki S.,"Chicago, IL",31,208,48.0,3.0,2012-01-11,Went here for lunch with a friend and found their service to be S-L-O-W. I would have given our server the benefit of the doubt had it been packed but max in the restaurant were about 13 people including us. There were about 4 other servers working at the time. Burger and wrap we ordered were great.,https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=40,2.38,2.38,2.38,2.38,2.38
39,Sage E.,"Chicago, IL",831,35,8.0,3.0,2012-07-19,"Been to this particular location twice. Delicious burgers but MAN they take for f*cking EVER to cook that shit! I had the same issue at their location in Algonquin. Last time I was here I ordered take out. Bun-less burger w/o sauce and broccoli instead of fries. Guess how long it took. OVER THIRTY MINUTES. Are you serious. Other than that, like I said before the food is super tasty, servers and crew are always very friendly but the cooks could really use some damn coffee.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=20,2.444,2.444,2.444,2.444,2.444
66,Jak K.,"Park Ridge, IL",1,17,,2.0,2012-09-17,"Red Robin is a rip-off. Not a lot of food for the price. Not really even good food. We ordered burgers. Just so-so. Kids burgers  $5, extra $3 for a tiny shake. Will never go back.  i guess i thought it was more like a fast food, but was just a not so good full service restaurant.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=60,2.3120000000000003,2.3120000000000003,2.3120000000000003,2.3120000000000003,2.3120000000000003
47,Lisa S.,"Austin, TX",39,66,1.0,3.0,2012-09-20,"I went here with my man and I'll admit, I was skeptical. I'm not sure if my experience was tainted because of the company, but we enjoyed a delicious meal and had a super time. The zucchini sticks were so good, as was the BBQ chicken wrap.  Our waiter was nice enough, but he could not remember to bring out our dipping sauces to save his life.   Good food + ok service + slightly overpriced = 3 stars",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=40,2.38,2.38,2.38,2.38,2.38
56,Becca M.,"Chicago, IL",23,39,6.0,1.0,2012-09-27,"I've gone to this red robin location at least twice and have received awful service every time. Takes them forever to check up on you after you've received your food. I ordered the guacamole bacon burger here and they always forget to add the bacon or they forget to take out the mayo & onions for me! Idk if it's the servers or the cooks who keep messing up but the servers definitely don't make us feel like valued customers. So in the end, I'll just make my way to a smashburger if I want a cheap burger. At least they're nice enough to apologize if something happens.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=40,2.244,2.244,2.244,2.244,2.2440000000000007
64,John M.,"Hanover Park, IL",0,4,,1.0,2012-11-23,"Lousy service couldn't get refills had to go to the bar and the bartender ignored us. Server worried about bigger table save ur money and time Management no better!,,,",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=60,2.34,2.34,2.34,2.34,2.34
58,Jim T.,"Marengo, IL",10,229,81.0,2.0,2013-04-11,"Food was OK, service was 4 out of 10. The heat was broke in the section we were in and asked to move. Server tried to make it up to us, but I just did not feel the relaxed atmosphere I would have expected. No comps for the troubles. Not coming back. And this is not the only one I've been to so it must be the upper management that keeps people like me away.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=40,2.536,2.536,2.536,2.536,2.536
62,Scott L.,"Elgin, IL",0,57,,5.0,2013-07-08,"My family loves this place.  The staff is always very friendly and helpful, the food is delicious, and the bottomless fries are great.  There are tasty options available to everyone; from my 3 year old up to my parents.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=60,2.868,2.868,2.868,2.868,2.868
30,Sarah H.,"Pingree Grove, IL",66,365,27.0,4.0,2013-07-21,"Decided on dinner here one evening ... we've been to a couple Red Robin locations in the past, and we happened to be in the area & I had a craving for their pretzel appetizer. We ordered the pretzels and the wing/chips combo for our apps. I noticed right away that the beer cheese with the pretzels was a little on the ""old"" side. It was starting to dry out & just didn't seem right. But, since the pretzels were mainly for my daughter & I anyway (while my husband & son dined on the wings) - I didn't care much because I only use a tiny bit of cheese on 1 or 2 pretzels and then I eat the rest of the pretzels plain. A few minutes later a manager came by, and apologized for the cheese. Said they were in the process of making new cheese and that what came out was not up to their standards, and they were sorry and would bring out fresh soon. It wasn't a big deal and we finished the pretzels, so there wasn't a need for more cheese -- and the manager came back over later and told us he ""took care of the pretzels for us"" and apologized again. I thought that was awesome --- we didn't even complain in the first place -- it just wasn't a big deal --- but they recognized something wasn't up to par, and they went above & beyond rectifying it. The rest of our food was tasty -- and the new garlic fries are pretty good too (though, there is a 99-cent upcharge, which they don't exactly mention when they ask you what kind of fries you want to accompany your sandwich). Overall, they did great.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=20,2.6719999999999997,2.6719999999999997,2.6719999999999997,2.6719999999999997,2.6719999999999997
42,Lindsay K.,"Streamwood, IL",66,22,2.0,5.0,2013-09-14,"I love this place, I am not sure why it only has three stars. Maybe I have a different experience each time I come to Red Robin because I always ask for the same waiter, ED. Ed is great and my favorite waiter, period.  Furthermore, I love the food here, I usually have Chicken Ensenada Platter or a burger. I like how we can customize burgers here or get side salads/broccoli instead of fries. The environment is bright and colorful. The drinks and Ed's service is always superb.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=40,2.676,2.676,2.676,2.676,2.676
48,Kelsey N.,"Crystal Lake, IL",0,25,,2.0,2013-10-30,"This review has nothing to do with the food- which was great.   It's about the server we had at this location, KRISTEN. Everything was fine until I saw our server, Kristen act extremely mean and disrespectful towards the male host (I did not catch his name) right in front of our table. I was so horrified I thought I was on an episode of ""What Would You Do?"" for a minute. I was so upset I wanted to cry right there at the table.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=40,2.3440000000000003,2.3440000000000003,2.3440000000000003,2.3440000000000003,2.3440000000000003
67,J W.,"Hoffman Estates, IL",0,21,,4.0,2013-11-06,"We like this Red Robin restaurant. We also ask to be seated in Ed's section. He's courteous, fast, and consistent. this Restaurant is clean and server meals hot. Once in a great while we get luke warm fries. Great gourmet style burgers, with their large variety. Only ding is that the parking sometimes gets tight, usually from an overflow of Sears Centre attendees looking to grab a meal.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=60,2.576,2.576,2.576,2.576,2.576
49,Kevin K.,"Barrington, IL",26,19,,4.0,2014-04-08,"This red robin is better than the Deer Park one but not as good as the Woodfield one. The only thing worth getting is the red's tavern burger or the red's double, but that alone makes it worth going. It's buy one get one free during bears season if the bears get a turnover too",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=40,2.48,2.48,2.48,2.48,2.48
35,Avinash K.,"Elgin, IL",248,514,112.0,4.0,2014-04-21,"Ok, so the first time we were here and it was good. Nice diner - friendly service, good atmosphere and great food. So this a good burger joint - we started with the tower of onion rings, 5 of us we were gobbling up those, almost all of us got 3. So it was good. Then we ordered burgers, I ordered the Burnin Love with grilled Chicken, it tasted really good and ordered garlic fries with that. Really awesome burger, heavy stuff. I ordered the mudd pie for dessert - man this was a monster 5 in ice cream layer, which has major chocolate ice-cream, then vanilla with cookie layer, then hard chocolate and then cookie base at bottom, and topped with whipped cream. This is definitely good enough for 3 people to share easily. Definitely try this if you are a sweet tooth and have one more person for company to finish it. Really good service overall. Tip : With burger/entree , you can get unlimited steak fries or garlic/sweet potato fries for an up-charge.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hoffman-estates?start=20,3.28,3.28,3.28,2.48,3.2800000000000002
