,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
72,Heath B.,"Houston, TX",70,9,5.0,4.0,2012-02-15,Great burgers and endless fries. They have the largest selection of types to pick from.,https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=60,2.544,2.544,2.544,2.544,2.544
62,Steve K.,"CORTLANDT MNR, NY",56,525,1726.0,4.0,2012-03-22,"Upon return, I thought the food and service was better Good burgers and tasty fish sandwiches.  Good value drinks during happy hour, and applies to margaritas and beers as well",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=60,2.48,2.48,2.48,2.48,2.48
71,Gerald M.,"Tampa, FL",292,253,99.0,2.0,2012-09-22,"I'm not sure how this place stays in business.  The burgers are ok but everything on the menu is way overpriced. $15 for a burger, 5 onion rings and a soda plus tip. I will stick with Smash Burger.  Same burger at half the price.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=60,2.184,2.184,2.184,2.184,2.184
73,Gigi H.,"Richmond, TX",1,20,,2.0,2012-12-28,"We stopped by this restaurant because we had a $10 gift card. The restaurant wasn't very busy and we received very friendly service. Our server was sweet and helpful in making choices. She even recommended that my husband get a larger burger because the one he was going to get was pretty small. Glad he did. The portions were tiny. They do have ""bottomless"" french fries but we chose to just eat what we had and then leave. All in all this place was OK. I think it felt more like a sports bar and that if we were there with a group of people watching a game, it might have been better then ""date night"".",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=60,2.248,2.248,2.248,2.248,2.248
67,Amy C.,"Houston, TX",7,58,56.0,1.0,2013-02-25,"Like I said the standard of this place has gone down.  Wieht my family here on 2/17/2013 for lunch. I had the prime chophouse burger today; instead of fried I got the side steam broccoli.  I forgot to take a picture of it; about five pcs. Of tinny broccoli inside of sauce cup. For a $10 burger, I expect to get at least a cup size side order.  I had to ask kitchen to redo my burger.  It was left under the light too long. The bread was hard n dry.  I don't know what went wrong, I did not touch my burger about 5 ms after it arrived to my table; why my cheese wasn't melted? So, I touched the meat n yes; kind of cold.  You know, I could have just go to get a hot, warm n tasty burger from dollar menu.  I only visit this location once a year n I have my reason n you all should know why now.  I guess Red Robin just lost me n my family as customers. Let me know when you can make my $10 burger worth what it cost n I will be back.  Total bill today for 4: $74 before tip.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=60,2.212,2.212,2.212,2.212,2.212
31,Ada L.,"Sugar Land, TX",422,484,3169.0,4.0,2013-03-29,"Burgers and steak fries are same ol' good, and the Chili Chili Cheeseburger is back!   My chili burger is topped with flavorful chili with black beans, and the burger is well seasoned and perfectly cooked to medium with some pink inside! Yummmmm~  Equally worth mentioning is the great service!  My server Kathy is such a nice, helpful lady. I like her!",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=20,2.576,2.576,2.576,2.576,2.576
74,Norman N.,"Indianapolis, IN",0,37,,4.0,2013-04-30,"Good burgetrs, service is typically good, pretty croweded for lunch so make sure you get there before noon or you'll likely have to wait for a table.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=60,2.544,2.544,2.544,2.544,2.544
30,Robert S.,"Chicago, IL",161,1120,1197.0,2.0,2013-05-21,"Awful.  Do NOT order the Pretzel Bites--inedible.  They tasted like hot soggy pumpernickel dough balls overly salted to the point of being gross.  Served with a small pot of cheese that can't help the taste. As for everything else, the only things I like are the fish and chips and the fries.  Thank god the fries bottomless.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=20,2.3120000000000003,2.3120000000000003,2.3120000000000003,2.3120000000000003,2.3120000000000003
47,Paige S.,"Houston, TX",41,56,15.0,2.0,2013-07-11,"We go there regularly and service has progressively gotten worse to the point that tonight was the last straw. The food isn't worth the hellish service. We were seated, ignored for 15 minutes (only 1 other couple seated in our section, rest of the place was equally dead), finally a waiter named Chris realized we hadn't been waited on, took our order (Chophouse Burger combo and an Avo-Cobbo Salad) and then said he would figure out who was supposed to be serving our section. He brought us our drinks immediately. We then waited and waited and waited, until Laura, our actual server came by and said ""Your food will be ready in a minute"" and then walked off. And we waited. Food finally shows, not served by Laura. That server refilled our drinks.  Laura was walking around but never came to check on us. My boyfriend had to flag her down to get another drink refill and to ask for more fries. Those fries never came. We finally flagged her down and asked for a to-go container for my salad and our check. We waited. She comes back with the to-go container but said we had to wait for ""Someone else"" to get our bill. Beyond frustrated. We get our bill, I pay cash and we wait forever for change. This was just an absolutely horrible restaurant experience because we were just flat out ignored. I ended up tipping Chris instead of Laura, because at least he tried to help us!",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=40,2.3120000000000003,2.3120000000000003,2.3120000000000003,2.3120000000000003,2.3120000000000003
64,KElene D.,"Houston, TX",21,59,10.0,1.0,2013-09-01,"The food was good but the service was terrible. It took way too long for my food to come out. I also asked the waiter for a refill, which he never brought out to me. He kept checking on the other tables while ignoring me. I'd make eye contact and look right at me and he kept ignoring me. After about 30 mins of being ignored, I got antsy, got up, walked over to him at the bar, and asked him to give me my check. Totally unacceptable and he did not apologize. I complained to the manager and even the manager was abrupt and would barely let me talk although he did say he'd cancel the charge because of the lack of service. I'll never go to this location again.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=60,2.308,2.308,2.308,2.308,2.308
58,Lauri C.,"Friendswood, TX",5,5,2.0,5.0,2013-10-28,We went to Red Robin on Richmond with my family and the food was wonderful as usual. The service was a little slow but overall a good experience. I had the half wrap and soup and everything came out pretty and delicious. I will be back!,https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=40,2.7079999999999997,2.7079999999999997,2.7079999999999997,2.7079999999999997,2.7079999999999997
48,Larry R.,"Houston, TX",0,143,457.0,4.0,2013-11-05,One of the moist juiciest burgers ive had before the burnin love burger was my favorite and the raspberry limeade to die for,https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=40,2.512,2.512,2.512,2.512,2.5120000000000005
63,K B.,"Round Rock, TX",1,54,114.0,1.0,2014-02-16,"Stay away!!! The service is beyond slow!!!!!!! Been here almost two hours and only ordered 1 app and 1 burger! Took forever to have the order even place then waited forever for the app and again for the burger!!! It was not busy and have had wonderful service and faster when it was packed w/ a waiting line!! I'm just glad we decided to share a burger so we wouldn't have to wait even longer! The Lone Star burger was very good, the Yukon chips appetizer was too salty to eat. The restroom was soooo filthy I just turned back around and looked for someone to get our check. We will never go back to this location!",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=60,2.244,2.244,2.244,2.244,2.2440000000000007
35,Leslie T.,"Houston, TX",170,588,264.0,3.0,2014-03-05,"Burger patties have shrunk, prices gone up, service still the usual inattentive.  That pretty much sums it up. The meat patties used to be a lot thicker. They will still let you get it cooked medium rare though which a lot of places won't do. The burgers used to be a definite 2 handed meal. Now they have made them genuinely ""gourmet"" and shrunk them down to mere shadows of their former selves. I see that they want to make the toppings the star of the meal but you still want a decent sized patty of beef.  Every time they redo the menu they jack the prices up a buck or two. They now have a fancy topped burger with ciabatta bread for $13. I can get 2 Whataburger full meal deals with everything including a fistful of napkins because it's so damn huge for $15. So if you are looking for value THIS is not your best bet in the neighborhood. They offer lots of different burgers for $9-$13 and you can customize them with your choice of cheese, guac, bacon, gluten free rolls (upcharge) and sometimes this location gets those changes and additions right. Usually not, but sometimes they do on the first try! I would say 7 times out of 10 I have had to send my Sammy back to get it topped with what I ask to be on it. I won't deny that the food is tasty. I do like their relish, their cobb salad is still one of my favorites and am still a fan of the freckled lemonade ($5 bottomless). They have a full bar and usually some nifty cocktail ideas.  Their steak fries are bottomless too and if you want something besides ketchup now they have an assortment of dipping sauces for them - or to smear on your burger. I honestly tried the spicy ketchup (eh), Red's Secret Tavern Sauce (1000 island mixture) and the thai sauce (firey but sweet) and found none of them to be better than some good ol' ketchup. But it was nice to have the choices. You can get veggie burgers and chicken. The kids menu is a nice value for $5-$6. It includes corn dogs, pizza and the like with some nice side choices besides the fries...stuff like fruit and apple slices. Onion rings now come in the huge tower size and a smaller version which is much better for two folks to share. It's a sit down place where kids are welcome. It's clean and the food is good. But with prices continuing to go up and serving sizes continuing to go down I doubt I'll be frequenting this Red Robin as often as I used to.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=20,2.96,2.96,2.96,2.572,2.96
69,Stephanie G.,"Houston, TX",1,19,7.0,1.0,2014-03-19,The food is okay but the service at this location is absolutely terrible. I was delivered the wrong item twice (had to send it back repeatedly) and each time it was WAYYY off. By the time the rest of my family finished eating I was still waiting on my food. Impossible to get refills. Just ridiculous. Save yourself the time and headache and stay away from this location.,https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=60,2.84,2.84,2.84,2.404,2.84
75,Rastaman O.,"Houston, TX",15,9,2.0,3.0,2014-04-03,i like the fact that the fries keep coming i got to have unlimited sweet potatoe fries yum. burger was also tasty,https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=60,2.8,2.8,2.8,2.668,2.8
77,Pete B.,"Pearland, TX",0,126,2.0,2.0,2014-04-14,"My first visit, and I was pretty disappointed. The burger was so dang small, but the sweet potato fries were good! So essentially I paid $10.99 for good sweet potato fries! There are wayyyyy better burger joints all across Houston!!",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=60,2.76,2.76,2.76,2.6320000000000006,2.76
59,Keith O.,"Houston, TX",36,35,2.0,3.0,2014-05-04,"Red Robin is what it is - a chain burger place with okay burgers and some clever topping combinations. My kids love coming here and other than some inattentive servers, we pretty much have a good time. I do like their app which allows me to customize my food choices to reduce calories.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston?start=40,2.72,2.72,2.72,2.732,2.72
