,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
56,Melanie M.,"Indianapolis, IN",98,11,,5.0,2015-09-24,"We were lucky enough to get in on their sneak preview training celebration where we got a free dinner.  The staff were all very friendly, and the food was delicious!  I hadn't been to a Red Robin in years, so I had forgotten how delicious they are.  My boyfriend had the A1 burger, and I had the Banzai burger.  Both were great!  Our server - Jordan - was very friendly and provided great customer service!  The location of this restaurant is great since it's right off of I-69 in Castleton.  We are thankful for the free dinner, and we're excited for the restaurant to open on 9/28/2015 so we can go back!",https://www.yelp.com/biz/red-robin-gourmet-burgers-indianapolis?start=40,2.644,2.644,2.644,2.644,2.644
30,Chrissy C.,"Carmel, IN",145,218,2666.0,5.0,2015-09-24,"When I think of Red Robin I think loud and crazy, but they also have fun burgers and nice salads. I also really like the chicken sandwiches and unlimited fries. It's not often you need or even want more fries, but I like that option. A friend told me that a new one was opening in Castleton and we were able to go to one of the preview days.  So this new layout was far from loud and crazy. This did seem like a smaller location and the first thing you see is the bar and it just has a classier look than it does or did at other locations. There are still 2 large eating areas. And maybe it's just me, but one side seemed more adult like with these cool red lights cascading down and the other side seemed more family/child decorated.  We got an order of the Banzai chicken wings and the sauce was really good. It also came with some pieces of grilled pineapple. I like boneless better since I made a huge mess eating them, but they were worth getting with that yummy sauce. This sauce is also on a burger so I will have to get it next time since I liked it so much.  To drink I went with the Freckled lemonade and it was really good. I usually skip lemonades since I always think they will be too sweet, but this was perfect and it came with strawberries. Honestly I am not sure I would normally get it since it's almost $5. But our waiter kept our glasses full the entire time.  I went with the Avo-Cobb-o salad with blue cheese dressing. It also came with some thin sliced garlic bread that seemed to be grilled. I really liked it. The chicken it came with was grilled really well too. I found my salad refreshing. I was also still able to sneak a few fries from my husband's plate. He had the Ensenada chicken platter and he was able to get fries instead of the salad and it was a huge amount of fries so he didn't need or even want more.  We were excited to try the new Red Robin. I am glad to see it looking a little more grownup, yet it still had the same tasty food. I love the menu has so many options. There really is something for everyone.",https://www.yelp.com/biz/red-robin-gourmet-burgers-indianapolis?start=20,2.644,2.644,2.644,2.644,2.644
50,Darci M.,"Indianapolis, IN",0,1,,1.0,2015-09-28,"Asked for a take out order and they said they couldn't because they are to new!!!??? They said if I got one, more than likely it would be wrong. This wasn't delivery. I physically went to the restaurant.  So if I sat down and ordered food then asked for a Togo bag it would be wrong????? How is a take out order any different then a sit down order other than it goes in a bag? Bad service!!!!",https://www.yelp.com/biz/red-robin-gourmet-burgers-indianapolis?start=40,2.244,2.244,2.244,2.244,2.2440000000000007
34,Debbie B.,"Indianapolis, IN",259,47,82.0,3.0,2015-10-05,"This is actually my 2nd time in the past week, it's close to home so I really want them to do well. I have visited other red robins so I am confident that they will get the kinks worked out  Ordered the A-1 peppercorn burger to share with my husband, I ordered a bowl of tortilla soup and he ordered a salad. He liked the salad, the soup (which I've ordered from other red robins) was the consistency of paste and was awful. Couldn't eat that. The burger was good but not great, the onion strings were soggy but I just took them off.  We will be back in a few months because I am sure that it will be better",https://www.yelp.com/biz/red-robin-gourmet-burgers-indianapolis?start=20,2.476,2.476,2.476,2.476,2.476
51,Deb R.,"Indianapolis, IN",0,8,,2.0,2015-10-07,There were three of us.  Only one of three orders came out correct. Food was OK but was overpriced for what we got.  Hope they get their act together.,https://www.yelp.com/biz/red-robin-gourmet-burgers-indianapolis?start=40,2.3120000000000003,2.3120000000000003,2.3120000000000003,2.3120000000000003,2.3120000000000003
31,Richard P.,"Indianapolis, IN",256,537,123.0,4.0,2015-10-22,"I returned to Red Robin Gourmet Burgers almost two weeks after my first visit as I was on that side of town and had a rare afternoon outside my usual office routine.  It is probably important to note that my visit was in mid-afternoon, well past the lunch hour and well before even the early dinner hours. Thus, my experience was almost destined to be considerably different than my last visit when it was incredibly packed.  As I entered Red Robin, I must say that I immediately experienced a different and improved vibe from my first visit. While they once again greeted me at the door, the atmosphere seemed calmer and it wasn't just because of having a smaller crowd.  First off, I'm not completely certain what was different but they'd clearly tweaked their design just a bit. I found myself wondering ""Did they read my review?"" While the right side still had its several rows of two-tops, which I'd still contend are decently sized two-tops, they also had a couple rows that were spaced out differently and it looked like the tables had been moved ever so slightly so that the aisles between the rows of tables left room for both walkers and wheelers. While I was placed at a four-top this time around, I found myself feeling fairly certain that I would be able to get out much easier this time around. So, whether or not this adjustment was triggered by my review, it was a definite plus.  Secondly, the dividing wall that I mentioned in my first review is now in place. It's actually a 1/2 wall done in a wooden theme that fits nicely with the restaurant's decor. It is my understanding that this was an Excise decision - they needed a better division between the bar and the family dining area. I understand it, and I think they've done it nicely, but it's kind of silly.  Most of what I wrote about Red Robin with my initial review remains true. The dividers on both sides of the restaurant being the key difference. I also noticed, much to my pleasure, that they'd added another accessible parking spot and it appeared they were even adding another one even as I was there. Excellent. Trisha was my server this time. She was on the money. She was friendly, helpful, timely, got me my iced tea refill and made sure I got a french fry refill. Today, I kept it very simple with a plain burger and fries along with my iced tea. It came in right around $12 plus tip. I will note that their ziosk payment system apparently wasn't working when I was there and, as well, I was disappointed that the reward club that I'd signed up for nearly two weeks ago apparently hadn't gotten into their system and if I want the meal added to my rewards I have to go to the inconvenience of actually calling them. I really think two weeks is long enough to get something into your system.  The hostess today was top notch. The server was terrific. The staff seemed calm and helpful. The entire atmosphere just felt more positive and enjoyable. Despite the busyness of the atmosphere, I really was able to sit there, read, and enjoy my meal.  So, it's with a smile on my face that I up the Red Robin rating to 4 stars. It seems like they're getting settled in and they're starting to work the bugs out of their system. While I can't fork over the 5th star, this was definitely a visit that made me want to return in the near future (and hopefully actually get my rewards).",https://www.yelp.com/biz/red-robin-gourmet-burgers-indianapolis?start=20,2.576,2.576,2.576,2.576,2.576
33,Jose C.,"Kansas City, MO",23,115,37.0,4.0,2015-11-01,"Pleasantly surprised, good burgers at a good value.  I stopped by a couple of times on my last trip to Indy, since it was walking distance from my hotel. I was a little skeptical since I'd never been to Red Robin before, but it was actually very good.  The setting is very familiar, just like most other bar and grill casual dining restaurants. Their menu is limited to burgers, but that should surprise no one as it's right on the side of the building ""gourmet burgers and brews"". Their burgers are actually pretty good, I tried of their smoke and pepper which was above average good, I had their bacon cheeseburger at another time and it was also good. I liked their fries, they are thicker than the average frie AND you get bottomless fries with your orders which means you can have all the fries you want!  I was in the mood for something sweet and ordered their cronuts, which were good, but their chocolate dipping sauce wasn't.  They also have a good selection of beers.  Service was very good, even that one night I came in 30 minutes before closing (I alway feel bad about getting to restaurants close to their closing time and expect staff to be tired and in a rush) they were very nice and attentive.",https://www.yelp.com/biz/red-robin-gourmet-burgers-indianapolis?start=20,2.48,2.48,2.48,2.48,2.48
53,Christine M.,"Indianapolis, IN",127,304,1.0,2.0,2015-11-18,"I like the food at all Red Robins which is why I was happy to come here. I don't know if they had just opened or not, but it was bad news. First off, the place is way too small for the Castleton area. I'm used to them being much larger and with the mall and the hospital being so close, I would think this place would fill easily so why not make it bigger? Plus its the only place walking distance to the Drury. The waiter seemed like it was his first day ever waiting tables. He kept forgetting everything, straws, drinks, silverware. He put down the wrong sodas in front of us, and it's beyond me why he didn't just keep a wad of straws in his apron. They also only had beer and wine available and the waiter had not a single clue what was available at the bar. I went the healthier route with the tortilla soup and a southwest chicken wrap. He also forgot who ordered what, and forgot the ranch I requested. Seriously buddy, it's called a note pad, if you can't remember, write it down! If you need to go here, get takeout, otherwise the one off michigan road or in carmel at clay terrace is much better. I hope they get the kinks worked out. I try to give folks the benefit of the doubt as I've been there before but they weren't that busy and the service really missed the mark.",https://www.yelp.com/biz/red-robin-gourmet-burgers-indianapolis?start=40,2.184,2.184,2.184,2.184,2.184
37,Axl D.,"Indianapolis, IN",0,7,,4.0,2015-11-24,"I was pleasantly surprised for a chain restaurant. I ordered the Bleu Ribbon Burger that had bleu cheese crumbles and barbecue sauce. Despite being strong flavors on their own, it came together very well. The interior of the restaurant was really cool and different. My only complaint is the lack of a lunch menu, which is surprising given its location next to a major regional hospital.",https://www.yelp.com/biz/red-robin-gourmet-burgers-indianapolis?start=20,2.48,2.48,2.48,2.48,2.48
55,George C.,"Monticello, IN",1,16,,5.0,2015-12-30,This place is just fantastic! Our waitress (Lakeisha) was phenomenal! They even have a separate room for adults (no kids) simply BRILLIANT! Excellent burgers!,https://www.yelp.com/biz/red-robin-gourmet-burgers-indianapolis?start=40,2.548,2.548,2.548,2.548,2.548
