,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
61,Leticia K.,"Lawton, OK",1,87,28.0,2.0,2012-05-12,"This place is dirty. When you have food residue on the menus and utensils. GROSS! There is a greasy residue on the tables and menus, went there once to show my husband and won't be going back. Food was good, but not worthy of sitting in a dirty place.",https://www.yelp.com/biz/red-robin-gourmet-burgers-jacksonville?start=60,2.9840000000000004,2.9840000000000004,2.9840000000000004,2.9840000000000004,2.9840000000000004
64,Jennifer I.,"Tallahassee, FL",107,648,62.0,3.0,2012-06-11,"This place is ok, your typical Red Robin chain. Don't expect amazing, expect average, just like all of the other chain restaurants in Jacksonville. If you like Red Robin for what it is, you won't be too disappointed. If you enjoy real hamburgers, go to the grocery store, buy some beef, and make them at home. You won't find a good hamburger in Jacksonville.",https://www.yelp.com/biz/red-robin-gourmet-burgers-jacksonville?start=60,3.0520000000000005,3.0520000000000005,3.0520000000000005,3.0520000000000005,3.052000000000001
73,Kayla B.,"Beulaville, NC",2,52,,5.0,2012-08-04,"They do everything possible to make their customers happy.  I'm a fan!  If you dont like noise, I recommend not going on the weekends",https://www.yelp.com/biz/red-robin-gourmet-burgers-jacksonville?start=60,3.3160000000000003,3.3160000000000003,3.3160000000000003,3.3160000000000003,3.3160000000000007
67,Jen W.,"Wilmington, NC",0,9,,5.0,2012-09-11,"Really really enjoy the service there. We go there on lunch breaks, and they do their best to get us in and out of the door in a timely manner. Food is always HOT and quick, delicious and more than you could eat in one meal.",https://www.yelp.com/biz/red-robin-gourmet-burgers-jacksonville?start=60,3.22,3.22,3.22,3.22,3.2200000000000006
47,Delaney B.,"Jacksonville, NC",16,97,1.0,3.0,2012-10-23,"This place is pretty good. It taste the same at any Red Robin since its a chain.  The only thing is the service isn't very attentive. They have you waiting a while and if you order an alcoholic beverage, it'll take at least 20 minutes to get it. Even though you see it sitting there at the bar.  They have these cards now that earn you points every time you come in. It's cool. We haven't gotten anything yet but hopefully soon!",https://www.yelp.com/biz/red-robin-gourmet-burgers-jacksonville?start=40,2.9560000000000004,2.9560000000000004,2.9560000000000004,2.9560000000000004,2.9560000000000004
74,Heather G.,"New Bern, NC",0,19,,2.0,2013-02-05,"I have been going to Red Robins for years, but this is the first time I've been to this particular one and man was I disappointed. I always order the same thing - the crispy chicken tender salad with honey mustard dressing. I came in on my lunch break and ordered it to go. It took a while for me to get my food, even though it wasn't remotely busy inside. I was so hungry that I opened it on my way back to my office to steal a piece of bread that comes with it, only there wasn't any in there. And then when I went to eat the salad, ALL of the ingredients weren't even remotely fresh. The lettuce was on the verge of going bad, the bacon was gross, and the chicken tenders were cold (they usually come out hot and tasty). For an $11 salad, I expect fresh ingredients at the very least. The only thing that was good was the dressing.",https://www.yelp.com/biz/red-robin-gourmet-burgers-jacksonville?start=60,2.7920000000000007,2.7920000000000007,2.7920000000000007,2.7920000000000007,2.7920000000000007
62,Kylie J.,"Goldsboro, NC",9,35,,5.0,2013-05-05,"The onion ring tower is my favorite! The service has always been stellar, and the waitresses are so forgiving and helpful when it comes to hungry toddlers who can't wait for the food order. The recent waitress brought a small order of fries to avoid a terrible two's meltdown. We've always gotten fantastic service here. The place is clean and smells like good fresh food, not cleaning products or stale peanuts. I love the menu selection, and the waitresses know their products well when I asked questions. It's on the pricey side, but worth it.",https://www.yelp.com/biz/red-robin-gourmet-burgers-jacksonville?start=60,3.0600000000000005,3.0600000000000005,3.0600000000000005,3.0600000000000005,3.0600000000000005
58,Tim R.,"Jacksonville, NC",33,35,23.0,4.0,2013-10-10,Good food not extremely loud and not to expensive bottomless salad is awesome,https://www.yelp.com/biz/red-robin-gourmet-burgers-jacksonville?start=40,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004
57,Vinny S.,"Hubert, NC",1,6,9.0,4.0,2013-10-23,"Great family atmosphere during the day.  Service was ok, waitress waited until I finished the meal to ask if I wanted another beverage or just a water (lack of care for the most part).  They need more draft beers options added.  Both the BBQ chicken sandwich and the Fisherman's platter was served fast, fresh and delicious.  I will definitely be coming back.",https://www.yelp.com/biz/red-robin-gourmet-burgers-jacksonville?start=40,2.8320000000000003,2.8320000000000003,2.8320000000000003,2.8320000000000003,2.8320000000000007
55,Jenny K.,"Jacksonville, NC",225,109,86.0,4.0,2013-11-19,"Red robinnnn YUMMMM. Went here to get my free birthday burger (must sign up online first) even though Im not a burger kinda girl. But it was good, lots of burgers to choose from, nice family atmosphere, beer and alcohol =) , our server was very nice. This is a pretty big place and there are some games for the kids and lots of T.V's to stare at if you don't feel like staring with your dining buddies. Note; no entrance from inside the mall. I would definetly go again when Im in a burger mood! 4 stars because I think their burger loyalty rewards program is pretty COOL!",https://www.yelp.com/biz/red-robin-gourmet-burgers-jacksonville?start=40,2.7359999999999998,2.7359999999999998,2.7359999999999998,2.7359999999999998,2.736
