,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
14,Brittany S.,"Breaux Bridge, LA",38,26,64.0,4.0,2016-07-17,The seating is ridiculously cramped. Other customers kept bumping into other customers' chairs. We could barely pass between tables. The food was prepared right and was good but didn't meet my expectations. I asked for another round of fries that never came. But we will give them another chance and try it again.,https://www.yelp.com/biz/red-robin-gourmet-burgers-lafayette,2.7359999999999998,2.7359999999999998,2.7359999999999998,2.7359999999999998,2.736
25,Joseph A.,"Lafayette, LA",32,1,,3.0,2016-07-19,"Ehh.  Not bad.  Not great.  I had a banzi burger I think and it was like eating a whopper.  The Gf had the western burger and enjoyed it.  The waitress was nice and the food was OK.  Not the worse, but far from being the best.",https://www.yelp.com/biz/red-robin-gourmet-burgers-lafayette?start=20,2.572,2.572,2.572,2.572,2.5720000000000005
7,Ray C.,"Baton Rouge, LA",27,144,331.0,5.0,2016-07-22,Loved my visit here.  Great food and decor.  I was seated immediately with a restaurant full of people. I ordered the blazing burger. It was delicious and very spicy which I love.  There is a few different types of dipping sauces to choose from. I picked the sweet Thai. It was great with my fries.  Definitely will stop in again.,https://www.yelp.com/biz/red-robin-gourmet-burgers-lafayette,2.7079999999999997,2.7079999999999997,2.7079999999999997,2.7079999999999997,2.7079999999999997
28,Sean A.,"Ventura, CA",0,14,,1.0,2016-07-24,"Absolutely Wretched Service!!!! My family and I walked in at 9:40 pm Sunday evening..... When we told the hostess we needed a table for 5.... She went to go get someone else working there.... And the lady that she went to get, said all the servers had gone home for the evening and that it was closing time and there was nowhere to seat us..... That is absolutely poor customer service on all fronts!!! If you're open until 10pm on a Sunday evening..... Then you should be seating until then.... We are not looking for a free ride or meal.... Just wanted to try this place out.... Now our family has no desire to eat there and will inform many of our friends that the customer service here is poor!!! If y'all intend to thrive in Lafayette.... Y'all's game plan had better improve extremely fast!!!",https://www.yelp.com/biz/red-robin-gourmet-burgers-lafayette?start=20,2.18,2.18,2.18,2.18,2.18
12,Brooke S.,"Lafayette, LA",0,7,,2.0,2016-08-13,"My family and I went last night and our waiter didn't write our drink orders down which was fine bc i know they can remember that stuff easily, my mother asked if they had limes and he replied ""yea you want a water with lime right? Yea boo ive been doin this a long time dont worry about me, i see you"" None of us knew what to say because it was so incredibly awkward.  The refills didnt come until we got out check. The fries werent bottomless which is what i think of when i see red robin. They brought out the wrong meal on my sons order. All and all it was anxiety ridden and not a good experience at all.  Wouldnt recommend. They just really need some new help in there.  The burgers tasted fine. No problem with them.",https://www.yelp.com/biz/red-robin-gourmet-burgers-lafayette,2.408,2.408,2.408,2.408,2.4080000000000004
26,Stuart B.,"New York, NY",0,4,,3.0,2016-08-18,"No complaints about the food. But after we arrived & waited 10 min, I had to go to the bar to ask for someone to come wait on us. I had even pushed the Call Server button on the table device. The waitress who finally came I recognized as the same one who had been close by several times but never looked our way. The request for sugar for tea had to be done to another server because our server was gone for so long.  From what I could see, other wait staff were much more attentive. This girl needs to find another job!",https://www.yelp.com/biz/red-robin-gourmet-burgers-lafayette?start=20,2.54,2.54,2.54,2.54,2.54
10,Chanda O.,"Lafayette, LA",100,37,,1.0,2016-09-01,"This was one of the worst experiences I have had in a long time. For a new place in town, you have a lot to work on. I finally went to Red Robin after hearing rave reviews from my friends who have been to Red Robin Restaurants in other cities. I was extremely disappointed!  When I walked through the door, I did not receive a friendly greeting from The hostess. That should have been my sign to turn around and leave. I did not like anything I ordered. -Purple pear lemonade. (Awful) -Bold boneless wings. (Not hot. It's as if they were sitting out for a long time. -A1 Peppercorn Burger. (A burger place with terrible burgers!) -Garlic fries! (Less than okay) What you need to work on: -Friendly hostess. -Wipe down your sticky menus. -If you would like your customers to use the tablets at the tables, clears the screen, when you are cleaning the tables. I will not be back. I will not recommend Red Robin to anyone.",https://www.yelp.com/biz/red-robin-gourmet-burgers-lafayette,,,,,
6,Vicey R.,"Scott, LA",24,120,253.0,5.0,2016-10-06,"Was impressed! I read the reviews but still wanted to give this place a try. At 2:30 in the afternoon... Glad I did! Our waiter sorta looked like Chris Rock, he informed us about the menu, how the robins worked, he even joked about if our food didn't come out quickly he would go cook it himself, the place was clean and the bathrooms we very clean. The food was great! Loved the garlic fries with the garlic aioli. Whiskey burger was amazing! No complaints and excellent service. The manager came to our table to ask if we enjoyed our food and experience and we truly did. Red Robin was great.",https://www.yelp.com/biz/red-robin-gourmet-burgers-lafayette,,,,,
18,Eldred B.,"Lafayette, LA",18,11,,1.0,2016-10-07,"Finally got the chance to try this place out and I'm not impressed. We waited for 20 minutes to find out we couldn't have a table. Story below... We arrived around 7 and from the start I could tell it was going to be a rough visit. The host could not hear me  when I gave him my name for the wait because the music was too loud. I received a lecture about why it's important to give your name to the host so he can call you when your table is ready. Because he could not hear my question of ""do you want my last name or first name?"" (a question I only asked after realizing he was having trouble with my first name, Blake.) He apparently thought I asked why he needed our name. As if I've never been to a restaurant before.  So he tells us it will be a 15 minute wait. We sit down and watch as a few more couples and families walk in and then right back out. About 20 minutes pass and a different hostess approaches us. She rolls her eyes a few times during the conversation, clearly not happy to be at work and talking to people. She informs us that her manager has told her not to seat anyone else because the kitchen is getting backed up and needs a break. That it was up to us to decide if we wanted to wait and see what happens or leave and eat somewhere else.  So, we left. Thanks for nothing! I've been wanting to try this place for a few months and now I don't think I ever will. First impressions are the most important and y'all blew this one.",https://www.yelp.com/biz/red-robin-gourmet-burgers-lafayette,,,,,
21,Amy N.,"Houston, TX",5,63,39.0,1.0,2016-10-18,"Picked up a to-go order and they say my gift card didn't have a balance. Fine. (It had about $10 on it which is the entire reason I went there) but then they forgot my Mac and cheese. Drove all the way back (about 10-15 minutes away) and they didn't offer anything for the trouble. Just excuses. Terrible customer service. This is the second time I've gotten to-go from here. The first time, they took 30 minutes, I couldn't get help with the kiosk they use for people to pay, and the food was cold. Just awful.",https://www.yelp.com/biz/red-robin-gourmet-burgers-lafayette?start=20,,,,,
