,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
100,Patrick s.,"Gilbert, AZ",0,5,1.0,5.0,2012-01-06,Great customer service! We have had awesome servers every time we have gone & pretty darn good food too.,https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=80,3.604,3.604,3.604,3.604,3.6040000000000005
80,Jodi K.,"Gilbert, AZ",2,7,16.0,5.0,2012-02-01,"This res robin rocks.  Selena is our waitress, and is awesome!",https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=100,3.572,3.572,3.572,3.572,3.572
84,Charity S.,"Mesa, AZ",31,150,77.0,5.0,2012-04-18,"We left another Red Robin location after being treated like dirt & came over to this one. We weren't griping necessarily, just commenting to the server about our experience, and he had the GM & manager come over & talk to us. The food was great, as always, and then they took $20 off our bill just for the inconvenience that the other location had caused us. Great staff, great food, and high on our list of places to eat. We will be back!",https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=80,3.508,3.508,3.508,3.508,3.508
75,Lily L.,"Chandler, AZ",2,33,,5.0,2012-06-13,"The red royal burger is the best! Fried egg with bacon cheese burger Yes please! Service is always quick and attentive. One time we had to catch a movie, the waiter whipped out our food so quick that we were literally only spent the total of 30 mins in the restaurant. Great job! Ask for a rewards card. Every 8 burgers you buy get the 9th one for free. Also a free burger on your birthday month.",https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=60,3.4760000000000004,3.4760000000000004,3.4760000000000004,3.4760000000000004,3.476000000000001
97,Cheyenne R.,"Mesa, AZ",77,77,,4.0,2012-07-30,This is a place for families! They accommodate large groups easily and have a great family oriented atmosphere.  Their servers are always on top of their game and very friendly.,https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=80,3.3760000000000003,3.3760000000000003,3.3760000000000003,3.3760000000000003,3.376000000000001
86,Sanford R.,"Bloomingdale, IL",6,349,2.0,5.0,2012-10-28,Red Robin has awesome burgers for a good deal! I enjoy their unique gourmet burgers and I love the concept of free refills on fries. The service is usually pretty good. I come often because of the reasonable prices.,https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=80,3.4440000000000004,3.4440000000000004,3.4440000000000004,3.4440000000000004,3.4440000000000004
72,Kyle H.,"Queen Creek, AZ",57,136,41.0,4.0,2012-11-30,Visited 11/23/12... This is always a great place for a hamburger.  Endless steak fries.  And great shakes.   I have always had a good burger. Better than fast food with bar and ability to have a beer or other beverage if you desier.  Good service.  Quick food.  Always a reliable choice for a quick burger.,https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=60,3.3120000000000003,3.3120000000000003,3.3120000000000003,3.3120000000000003,3.3120000000000003
98,DJ B.,"Mesa, AZ",24,54,16.0,5.0,2012-12-16,"Great food, terrific service, reasonable prices. I definitely recommend.",https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=80,3.4440000000000004,3.4440000000000004,3.4440000000000004,3.4440000000000004,3.4440000000000004
71,Melissa T.,"Centennial, Las Vegas, NV",2,42,31.0,4.0,2013-01-22,"Red Robin is consistently good. This is the first time that we have been to this location, but we have been to several others and they are always good.  My husband and I sit in the smoke free bar area if the place is busy and it often is very busy!  I almost always get the whiskey river BBQ chicken sandwich and broccoli because it is great!",https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=60,3.3120000000000003,3.3120000000000003,3.3120000000000003,3.3120000000000003,3.3120000000000003
91,Michael H.,"Mesa, AZ",0,13,,5.0,2013-06-30,"RR is consistently a great place to visit.  It is clean and has really great food.  They don't even blink an eye when asked to customize a meal, no matter how odd.  This place is good for families, as well as elderly.  Alison is always a fantastic server; a ray of sunshine.",https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=80,3.3800000000000003,3.3800000000000003,3.3800000000000003,3.3800000000000003,3.380000000000001
68,Saul G.,"Mesa, AZ",3,39,22.0,3.0,2013-11-17,"Overall, I like this place because they allow me to bring my dog if I sit in their outdoor seating area. Dog friendly restaurant with good eats at a good price. The one gripe I have is that the awning over the outdoor seating area is not very good. Too much sun comes in during the summer months, making it hard to stay there very long.",https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=60,3.1800000000000006,3.1800000000000006,3.1800000000000006,3.1800000000000006,3.1800000000000006
95,Drew R.,"Phoenix, AZ",8,32,1.0,5.0,2014-03-12,"Service is just excellent, Daniel seated our family with care. The manager stopped by to ask if we needed anything...nice touch. We have 4 small kids under age 8. They made us feel welcome even though other places make us feel like we are intruding. Oh, and the food is excellent!",https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=80,4.0,4.0,4.0,3.3160000000000003,4.0
76,Paul S.,"Yorba Linda, CA",6,50,4.0,3.0,2014-03-18,"We sat for 10 minutes before being acknowledged by a server. Then it took another 10 minutes to get water. Good thing we weren't thirsty. A father and son sat next to us and received their drinks before us. Once the server recognized how upset I was, he got our order in quick. First impression is a lasting impression.",https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=60,3.92,3.92,3.92,3.0200000000000005,3.92
85,Frank S.,"Chandler, AZ",0,37,,3.0,2014-04-18,"We arrived at 11:30 with four people and were promptly greeted by Taylor who was very nice. Drinks came quick, then we ordered. I asked for a basket of fries and she said sure, no problem. We were busy talking and having a good time so it was at least 15 minutes before I thought about the fries, let alone our meal. I stopped the hostess as she walked by and asked her if RR still does free fries. She said yes, but only after someone orders. I told her we had already placed our order about 15 minutes ago and she said sorry and took off toward the kitchen. Within 20 seconds the manager stopped by with fries, apologized, and gave us silverware. He was very nice and I said it was no big deal at all.  Our food arrived about five minutes later, and everything was great, except the onion rings I ordered were overcooked and kinda greasy. Our sever stopped by a few more times but she was completely rude after the fry thing. I really like Red Robin and I know this was just a one-off deal, but it was more than a little off putting on how rude she was. So she forgot our fries, our silverware, let dishes pile up on our table and she was rude about it. lol She's young and I'm sure they'll coach her. RR is still my favorite chain burger joint.",https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=80,3.88,3.88,3.88,2.9880000000000004,3.88
88,Michael C.,"Mesa, AZ",230,22,16.0,4.0,2014-04-18,You're typical all American burger place. Aka Shenanigans. Quality burgers and great fries. The place to go when you can't decide where you want to eat.,https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=80,4.0,4.0,4.0,3.088,4.0
77,Victoria S.,"Laguna Hills, CA",3,30,,3.0,2014-04-25,"My Husband, my In laws & I came for dinner. We waited an hour to get our food & when we got our food it was cold. They remade our food & manager was nice & took half off our bill which was awesome but if we go somewhere to eat we don't want to wait an hour to eat & then get cold hamburgers.....",https://www.yelp.com/biz/red-robin-gourmet-burgers-mesa?start=60,3.96,3.96,3.96,2.9880000000000004,3.96
