,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
33,Todd S.,"Bradenton, FL",3,42,,2.0,2012-01-21,"When I crave a beer and burger, I want a large, juicy burger and a modest-sized, delicious beer. I honestly cannot stand places that cannot cook a burger to the right temperature. Medium = pink, moist, juicy center. Not brown and dry. Seriously, huge selection of burgers does not mean better quality. Portion size is also honestly small. Im no huge eater, but for the price you pay for the size and quality you get, go someplace else.",https://www.yelp.com/biz/red-robin-gourmet-burgers-orchard-park?start=20,2.6320000000000006,2.6320000000000006,2.6320000000000006,2.6320000000000006,2.6320000000000006
31,Bethany M.,"Buffalo, NY",157,370,109.0,5.0,2012-05-24,"5 stars based on service and their willingness to specialize your order alone!! This is one of the superior chain restaurants in Buffalo and one of the very, VERY few I will happily eat in. The food is good - predictable, designable, and the website has an awesome interactive nutrition calculator which will pretty much allow you to determine the nutrition of anything you can make up from the food in the kitchen. Admittedly, I can't comment on the burgers - I've only ever ordered the chicken breast ""burgers"" but I have never been disappointed. The one time something did go wrong, they made up for it PLUS some, and I was so pleased about it. I almost *want* something to go wrong next time! (ALMOST) They're really flexible about the sides, too. Don't assume you have to get fries - you can have veggies, salad, or - since they stopped offering cantaloupe for health reasons - they let me get apple slices.  They have a new program that rewards regulars and have started implementing happy hour specials and a few other things. We love the ""kick starters"" apps that let you choose small portions of apps. We never used to order any, even if we wanted them, because they're always designed and priced for at least 4 people. Now you can order a 2-person portioned app and not be full (or have eaten 1200 calories) by the time your dinner gets there.",https://www.yelp.com/biz/red-robin-gourmet-burgers-orchard-park?start=20,2.9960000000000004,2.9960000000000004,2.9960000000000004,2.9960000000000004,2.9960000000000004
37,Karen Z.,"Buffalo, NY",405,143,56.0,3.0,2012-09-26,"Short'ish take:  The service was decent...the atmosphere a bit annoying (I hate feeling like I'm in a cafeteria) and the food ""a-ok.""   Long'ish take:  If you want a burger, I spose you're headed to the right spot.  I personally don't ever set out looking for that perfect burger, so I could take or leave this place.  I got a french dip type sandwich..nothing to write home (or yelp) about.  The hubs got some monstrocity of a burger concoction--his silence while in attack mode attests to his satisfaction with the meal.  I'd much prefer Ruby Tuesday over Red Robin because they have decent drink specials and a freakin' fabulous salad bar (oh, and I guess they're known for burgers too. hah)  But Red Robin has never ending fries--which is an interesting concept to me because I rarely can ever finish one serving anyway.  Nonetheless, a respectable marketing tool, I guess.  They DO offer sweet potatoe fries...which made me happy.  I tend to consider myself a SP fry connosieur of sorts.  Red Robin's were middle of the road, but it wouldn't stop me from ordering them again when I'm there.  If I'm subjecting myself to a never ending stream of fries, I'd prefer them to be of the sweet variety.",https://www.yelp.com/biz/red-robin-gourmet-burgers-orchard-park?start=20,2.7,2.7,2.7,2.7,2.7
36,Veronica D.,"Allen, TX",3205,262,788.0,1.0,2013-01-08,"Poor service. Fly in my drink, waitress didn't bring dipping sauce for my wrap and than brought one tiny one when 3 people asked for one. This is the first time in 3 years I went to a red robin and I will most likely never be back.",https://www.yelp.com/biz/red-robin-gourmet-burgers-orchard-park?start=20,2.5640000000000005,2.5640000000000005,2.5640000000000005,2.5640000000000005,2.564000000000001
28,Carley M.,"Buffalo, NY",130,141,66.0,1.0,2013-02-15,"I've thought about this review all night.   When we finished eating, my dinner partner mentioned that he couldn't wait to read my review - we had, after all, just experienced the best waiter service that we've gotten in over two weeks - and from a chain restaurant.   And then my dinner partner looks over toward the kitchen and then turns to me and says ""Don't ever order the onion ring tower thing from here.""  This from a man who has worked in chain restaurant kitchens and who is not squeamish about ""exacting"" (read: no foreign objects)  food standards like me.   What's wrong with the onion rings?????  Apparently, the onion ring tower is TALLER than the kitchen service window area they have, so when the kitchen pushes the orders through, the onion ring towers brush and bang and scrape against the heating lamps that hang from the ceiling.  Collecting dust.  Probably never wiped off.  Probably sneezed on.  Soon to be on your plate. I initially wanted to say something to the manager - surely they didn't know this was being done???  My dinner partner told me not to bother.  Of course the manager knows about it.  They know what's on the menu and how big the kitchen delivery area is.  There probably isn't another good way to pass the food out.  What's a little bit of grime in your food anyway?   He also didn't want to risk causing a scene. I still feel like I should tell the manager.  Give them the benefit of the doubt and an opportunity to correct it. If they let this slide (out in the open where guests can easily see it because there are tables all along the kitchen line), what exactly ARE their standards for in the back, where we can't see, where they make the rest of the food??? We have $5 left on our gift card.  I'm not sure I can go back.  At least not to this one.  Ignorance is bliss.",https://www.yelp.com/biz/red-robin-gourmet-burgers-orchard-park?start=20,2.6600000000000006,2.6600000000000006,2.6600000000000006,2.6600000000000006,2.6600000000000006
29,Dominic L.,"Buffalo, NY",2,15,2.0,2.0,2014-01-02,"I've been to this particular Red Robin twice, and both times they refused to refill my drink and bottomless fries. Ever. At all. Even when asked. All I received were excuses as to why it couldn't be done. Uh huh. There are two stars instead of one because I did like the few fries that I did get.",https://www.yelp.com/biz/red-robin-gourmet-burgers-orchard-park?start=20,2.8880000000000003,2.8880000000000003,2.8880000000000003,2.8880000000000003,2.888000000000001
12,Tom D.,"Silver Creek, NY",1248,1245,460.0,4.0,2014-06-28,"Ok - I know it isn't fine dining nor is it a mom and pop place, but for what it is - its is darn good at it.  This place was crazy with patrons and yet the food was being served quickly and ours was very good. I cannot believe they have bottomless root beer floats and bottomless sweet potato fries. However, if you have blood sugar issues, I'd suggest NOT having three root beer floats even if they are bottomless and adding the fries doesn't help with blood sugar either, but they were both amazing! I must comment though on the floor - though everything appeared clean - the floor felt like it was mopped with grease water as it was extremely slippery! It might also had something to do with the humidity, but whatever the case - is even made standing in the bathroom difficult - I won't go into detail there! Our server was great - made all the right recommendations, the kitchen was spot on getting the food ready in a very timely manner and the endless stuff was indeed endless as our server really didn't even wait for us to ask for more - she just kept bringing it until we said STOP! Pricing was decent, seating was nice, selection was huge and parking was very ample! We would surely return to this place.",https://www.yelp.com/biz/red-robin-gourmet-burgers-orchard-park,3.184,3.184,3.184,3.184,3.184
27,Eric K.,"Orchard Park, NY",0,1,,1.0,2014-08-02,"My wife and I went to eat at the red Robbins in orchard park, and they royally screwed up our order multiple times and tried giving my wife a margarita without any alcohol in it.  Then they served our appetizer with our meal.  Which was wrong like I said.  But by the time we got our food we were already there for almost an hour. We were tired of waiting and after the second time my wife's food came back wrong, we decided to get what we did want to go.  I had lost my appetite by then.   Thru all of this the manager was nice enough to comp us for our meal.   Seeing as how this was our first Red Robbins experience, I'm afraid it we also be our last. It was our absolute worse restaurant experience ever. And will never return.   I give this restaurant a negative 10 out of 10.",https://www.yelp.com/biz/red-robin-gourmet-burgers-orchard-park?start=20,2.9160000000000004,2.9160000000000004,2.9160000000000004,2.9160000000000004,2.9160000000000004
22,Georgie D.,"Buffalo, NY",1,3,,1.0,2014-11-30,The food was ok... but I didn't like the service at all! I felt like if I was eating at McDonald's I payed $40.00 for 2 persons Dinner  and we couldn't enjoy  the food because the waitress was rushing us. She came with the appetizer and the entrees at the same time. No pop refill at all. We were there for 26 minutes when she came the bill. Definitely is just an expensive Fast Food restaurant.,https://www.yelp.com/biz/red-robin-gourmet-burgers-orchard-park?start=20,2.9160000000000004,2.9160000000000004,2.9160000000000004,2.9160000000000004,2.9160000000000004
30,Debi E.,"Buffalo, NY",17,3,,3.0,2015-02-21,Ok did anyone ever look up to the ceiling and cling fans? It so dusty!!! Isn't there some health code violation here? If we didn't have friends with us I would have walked out...disgusting...,https://www.yelp.com/biz/red-robin-gourmet-burgers-orchard-park?start=20,3.2120000000000006,3.2120000000000006,3.2120000000000006,3.2120000000000006,3.212000000000001
