,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
18,Mark D.,"Columbus, OH",38,74,16.0,4.0,2017-02-02,"Opening week, we are here on Day 2. No surprise that there were a few minor items that need tweaked as the staff gets up to speed. I love the new look of the space it is exactly what you'd expect. Much nicer than the Easton location which is looking a bit dated eve with their somewhat recent remodel.  Had a few issues with the food as it came out, but the staff was overly apologetic and the manager, Jeff was at the table immediately.  Our server Bree was highly attentive and took great care of us.  Food, once the right things arrived, was great.  Not bad for day 2! We will be back.",https://www.yelp.com/biz/red-robin-gourmet-burgers-pickerington,3.2800000000000002,3.2800000000000002,3.2800000000000002,3.2800000000000002,3.2800000000000007
0,Seth V.,"Columbus, OH",0,6,11.0,5.0,2017-02-04,"Located where Uno's used to be this place is everything you would expect it to be.  My wife and I had boneless wings, and two burgers.  Service was quick and friendly.   Food was excellent.  I plan to be back once they officially open.",https://www.yelp.com/biz/red-robin-gourmet-burgers-pickerington?start=20,3.4120000000000004,3.4120000000000004,3.4120000000000004,3.4120000000000004,3.412000000000001
16,Kenny D.,"Reynoldsburg, OH",182,149,536.0,4.0,2017-02-07,Tried out the new Red Robin in Pickerington today for lunch.  I finally broke my hamburger fixation here and tried the Cod.  It was fantastic!   Service was great and everything we ordered was delicious!   So glad to have them in Pickerington...,https://www.yelp.com/biz/red-robin-gourmet-burgers-pickerington,3.248,3.248,3.248,3.248,3.248
6,Steve H.,"Canal Winchester, OH",12,41,10.0,3.0,2017-02-08,"Food and shakes were good. Service on the other hand left a lot to be desired. The waitress took 23 minutes from the time we sat down to come and acknowledge us, another 10 minutes before our order was taken. I would be somewhat understanding if they were busy but it was not at 4pm on a Wednesday afternoon. The people sitting behind us waited so long they called a manager to take their order. Not sure I will return if this is how they provide customer service.",https://www.yelp.com/biz/red-robin-gourmet-burgers-pickerington?start=20,3.0520000000000005,3.0520000000000005,3.0520000000000005,3.0520000000000005,3.052000000000001
28,Emily D.,"Reynoldsburg, OH",47,153,13.0,4.0,2017-02-13,"OK, first off, I adore Red Robin, and I was so happy when this one opened in Pickerington!  The food is always five stars for me. This location I visited twice on opening week, so there were some bumps in service as they were getting things going, but I expected that. I want to give it five stars, but the service is still getting going, so I'm reserving the fifth star. :)  The decor is really fresh and appealing--it's the old Uno's location but it's a totally different look and feel. The TVs in the main dining room do make it sort of loud at peak times, but this would be a great play to watch OSU games or March Madness because of the TVs. When I went the second time I was with two others, and all of us enjoyed our sandwiches (two burgers, one chicken sandwich) and our various sides (French onion soup, southwestern black beans, and the classic steak fries.). I'll be visiting a lot!",https://www.yelp.com/biz/red-robin-gourmet-burgers-pickerington,3.152,3.152,3.152,3.152,3.152
10,Emma P.,"Canal Winchester, OH",65,2,,2.0,2017-02-13,the burger i got was overcooked and burnt. the coleslaw i got was soggy and didn't taste appetizing. overall just a bad experience and will not be going back.,https://www.yelp.com/biz/red-robin-gourmet-burgers-pickerington?start=20,2.9520000000000004,2.9520000000000004,2.9520000000000004,2.9520000000000004,2.952000000000001
9,Diantha W.,"Newark, OH",0,3,1.0,4.0,2017-03-07,"Burgers are the best, however the service is very slow. Plan to be there a long time.",https://www.yelp.com/biz/red-robin-gourmet-burgers-pickerington?start=20,3.216,3.216,3.216,3.216,3.2160000000000006
25,Devon J.,"Frisco, TX",37,165,187.0,5.0,2017-03-23,"What a great experience! He server was nice, the chairs and tables are comfortable, the food was awesome and the restaurant was very clean! We are so glad to have found a Red Robin close by because we love it!",https://www.yelp.com/biz/red-robin-gourmet-burgers-pickerington,,,,,
1,Rick M.,"Lancaster, OH",48,154,106.0,5.0,2017-03-26,This was such fun. Haven't been to a Red Robin in a while forgot how much I enjoyed them. Burgers are so delicious and always hot and tasty. We ordered the whiskey river bbq wings and yum!! The bbq sauce is da bomb. Underneath those scrumptious wings and onion strings was a bed of wavy kettle chips that soaked up the bbq sauce OH MY!!! I may have to ask for those chips and bbq sauce instead of fries next time!! Honestly folks for a chain it's tough to beat Red Robin they do what they do very well.,https://www.yelp.com/biz/red-robin-gourmet-burgers-pickerington?start=20,,,,,
3,Tracey B.,"Reynoldsburg, OH",1,22,3.0,5.0,2017-04-07,"Went to the Easton location they had a very friendly bartender, always attentive, great selection and had a delicious burger",https://www.yelp.com/biz/red-robin-gourmet-burgers-pickerington?start=20,,,,,
30,Dianna L.,"Pataskala, OH",5,56,12.0,4.0,2017-04-13,"Went for lunch at 1:00 today.  We got seated right away. Waitress came over right away. Our cocktails came quickly   The waitress gave us ample time to decide what we would like to order.  My avo cobbo salad was yummy.  Service was pretty good, food was great. My cocktail seamed to be light on the vodka.  I will go back.",https://www.yelp.com/biz/red-robin-gourmet-burgers-pickerington,,,,,
8,Deb M.,"Pataskala, OH",0,4,,1.0,2017-04-19,Horrible service!  We sat for 20 minutes and no one even made eye contact.  Even contacted corporate and didn't even receive a follow up email.  VERY DISAPPOINTED!,https://www.yelp.com/biz/red-robin-gourmet-burgers-pickerington?start=20,,,,,
