,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
143,Steph T.,"Whitefish, MT",0,25,4.0,1.0,2012-02-24,Lame! How do you serve something with NO flavor?   I had to dip my sandwich in ranch and ketchup just so I could taste something.$9 for a margarita which was pretty much all ice. Waitress was not overly friendly. Handed us our ticket  and not even a thank you.Waste of time and waste of $$. Blah- wont eat there again!,https://www.yelp.com/biz/red-robin-gourmet-burgers-portland?start=140,2.8840000000000003,2.8840000000000003,2.8840000000000003,2.8840000000000003,2.8840000000000003
140,Kelli H.,"Walla Walla, WA",0,4,,2.0,2012-04-01,"Terrible. Ordered take out. We got a salad, sandwich and 4 kids meals to take back to our hotel room. My husband returned with no forks and no drinks for the kids' meals. So, lesson learned.....check your bag! It was also way too expensive for the quality of food. We should have known better but wanted something quick to pick up.",https://www.yelp.com/biz/red-robin-gourmet-burgers-portland?start=140,2.6,2.6,2.6,2.9840000000000004,2.6
109,Amber F.,"Kelso, WA",15,158,411.0,4.0,2012-04-21,"Great burgers! Lot's of bun options, lo carb versions.. Not a fan of their specialy drinks, but the burgers are great!",https://www.yelp.com/biz/red-robin-gourmet-burgers-portland?start=100,2.72,2.72,2.72,3.248,2.72
149,Sarah F.,"Portland, OR",92,72,15.0,1.0,2012-05-01,"Yuck Yuck yuck!  The only thing that was good here was our 2 $7.00 22oz beers. I ordered a spicy burger that came with crispy fried Jalapeno discs, pepper jack cheese, tomato and lettuce, my husband ordered the $14 prime rib (I think not) French Dip.  We waited at least 20 minutes for a food runner to deliver the food.   The sweet potato fries were stone cold, they were the consistency of something straight out of a refrigerator.  The only thing crunchy on my burger was the salt crunching between my teeth. The rest of the lukewarm burger was just mush.  McDonalds puts out a better burger, and for only $1.   My husband ate half of his French Dip and could not eat anymore, it had salt and grease everywhere.  And for 14 bucks I would want my sandwich to be bigger, I think it probably had about 3 oz of meat on it, and there was nothing PRIME about the meat, it had the consistency of frozen beef product.  The only flavors we tasted were salt and grease.  On a positive note they did not charge us for the grease and salt dip, and we have the knowledge to NEVER EVER eat here again.",https://www.yelp.com/biz/red-robin-gourmet-burgers-portland?start=140,2.68,2.68,2.68,2.9480000000000004,2.68
108,Phil M.,"Portland, OR",40,179,,3.0,2012-05-25,"Much like Jules Winfield from ""Pulp Fiction"", I'm pretty much a vegetarian, but I do love the taste of a good burger. Unfortunately, their veggie burgers are standard fare (Gardenburger or Boca, not homemade), so I shied away and went with a full-fledged meat burger, the Prime Chophouse to be precise. It was pretty fantastic. The bottomless steak fries are a huge plus. The only cons I can think of are the priciness and the lack of decent veggie burger options. Heck, I'd be willing to put up with the priciness if they offer a fresh, homemade veggie burger option. Regardless, it's not bad and I'd definitely be back if there's one in the neighborhood.",https://www.yelp.com/biz/red-robin-gourmet-burgers-portland?start=100,2.64,2.64,2.64,3.2760000000000007,2.64
132,David G.,"Happy Valley, OR",26,5,,5.0,2012-05-27,"Working nearby this is my go-to lunch and happy hour local.  Liz (one of the bartenders) is top notch and provides excellent service. I'm always impressed with how willing all the staff is with my unusual paleo/primal/keto burger orders (hold the bun,no fries,salad,etc).  Overall Great service for a chain restaurant and a place I will go again.",https://www.yelp.com/biz/red-robin-gourmet-burgers-portland?start=120,2.68,2.68,2.68,3.508,2.68
152,vi a.,"Vancouver, WA",2,107,,5.0,2012-06-17,our experience is so much better than the first time. the waitress was excellent. the food was warm and good. not complaining this time.,https://www.yelp.com/biz/red-robin-gourmet-burgers-portland?start=140,2.76,2.76,2.76,3.4120000000000004,2.76
103,Brian R.,"Wilmington, DE",30,219,115.0,4.0,2012-06-27,"It's a cool place to stop into after shopping around Cascades Station, or flying into PDX Airport. There are TVs but I don't find it as loud as Buffalo Wild Wings, so you can carry a conversation with friends, (not shout to hear each other).  The burgers are fine, the fries I find will fill the belly quick, so I usually get the onion rings, (unless I just want fries). Love the Mint Brownie shake.",https://www.yelp.com/biz/red-robin-gourmet-burgers-portland?start=100,2.76,2.76,2.76,3.2800000000000002,2.76
51,Addie L.,"Honolulu, HI",361,401,571.0,3.0,2012-07-31,"My meal was pretty much slighty above average.  Ordered the mushroom burger, medium well which came out to well done.  The burger is very dry, not very juicy at all.  Funny how the pictures on the website and menu show the burger with tons of mushrooms but when you actually get it, not nearly as much.  The flavor was pretty good however, with the swiss cheese melted just right. I must say that the steak fries are good!  It's endless but how much fries can you eat?  The Red Robin seasoning is something that you should put on the fries. The service is quick and friendly.  Prices are about average.  This place is a good location and a place to go for a quick bite before going to PDX.",https://www.yelp.com/biz/red-robin-gourmet-burgers-portland?start=60,2.84,2.84,2.84,3.2120000000000006,2.84
46,Julie E.,"Boise, ID",195,326,264.0,2.0,2012-09-06,"We stopped at this Red Robin after my brother picked me up at PDX.  We were on the road out to Astoria and needed some dinner.  The parking lot seems small, and it's tough to park a compact car when there are giant SUV's squeezed into the spots.  Also, having a door near the parking lot that makes you weave all through other diners to get to the front desk seems kind of ridiculous- but we shook that off and got seated.  My brother asked to split  a meal with his daughter as she is not a big eater.  He EXPLICITLY asked to use is Red Robin Rewards card for the APPETIZER special.  The other two girls and I ordered our burgers, and away went our server.  Things were a bit busy, so we didn't fuss about having a bit of a wait for our food.  The food was well prepared and enjoyable. But when my brother asked for a refill of fries for his daughter (whom he was sharing with) he was informed (and rather shortly) that it would be $1.99 for a refill since he was sharing with her. He said okay, but as she walked away both he and his daughter mentioned that when they'd been there before, both with and without my sister-in-law that they'd NEVER been charged for more fries when sharing with a child.  We waited in hopes that the manager would come by to check in with us so he could bring it up, but one never arrived. The wait for fries (both for my brother and his girl, and the other girls) was long.  When the server picked up a plate near me she slopped stuff off it onto the table, and barely even apologized (she stained a birthday card that I was waiting to hand my brother. We just generally felt like we weren't paid much attention too, and certainly that we did not get th service we usually see at Red Robin.  My brother meant to email the company, but wound up losing his receipt.  Our server got her tip, but it could have been a much bigger tip had she paid us a it more attention. Oh, and my brothers' rewards card was dinged for his FREE BURGER (which he was saving) rather than the APPETIZER SPECIAL that he asked for.  Dissapointing indeed.",https://www.yelp.com/biz/red-robin-gourmet-burgers-portland?start=60,2.8,2.8,2.8,3.1440000000000006,2.8
