,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
39,Christian K.,"Schererville, IN",408,393,3182.0,3.0,2013-04-05,"Red Robin is a decent burger joint, kinda overrated sometimes but there's nothing to complain about. When this location opened up years back it was packed all the time, now it seems that folks kinda got used to it, even when we went on a Saturday night it just seemed kinda empty.  They've got a lot of different burgers, there's was one with ghost pepper ketchup - not sure if it's there all the time or if it was just a seasonal thing, anyways though it's pretty good if your into burning your face off.  The Royal Red Robin is my go to when there's a large hunger to be satisfied. Your basic burger topped with a fried egg and bacon. The egg yolk totally brings it. If you're not too hungry, you might opt for the Tavern Double, a lot smaller than the regular burgers but definitely not as tasty since it's just your basic cheeseburger... maybe ask 'em to add some toppings or something to kick it up a notch? The Onion Tower... cool, super fried but super greasy sometimes - hit or miss here.  They have a few craft beers, Upland, Three Floyd's and Angry Orchard. Ask the server about the other two... I can't remember them.  Speaking of servers - we've usually had pretty consistent service, quick, non rushed and friendly. Again, nothing super special, but consistently good. Red Robin is good, not amazing or anything but it's consistent. When my cousin comes into town we always seem to gravitate towards this one, call it tradition? or lack of creative choices available? Both maybe? Either way... it IS on the quick choice list - the one where if you can't decide where else to go... ""this'll do"".",https://www.yelp.com/biz/red-robin-gourmet-burgers-schererville,2.7960000000000003,2.7960000000000003,2.7960000000000003,2.7960000000000003,2.7960000000000003
0,Benita T.,"Little Elm, TX",111,160,270.0,1.0,2013-07-15,Bartender was horrible. She needs better customer service skills.,https://www.yelp.com/biz/red-robin-gourmet-burgers-schererville?start=40,2.5960000000000005,2.5960000000000005,2.5960000000000005,2.5960000000000005,2.5960000000000005
4,Thomas G.,"Dyer, IN",0,15,,1.0,2013-10-16,"I used to love going here. Great burgers and fries. Good family restaurant. Last 2 times at this location I've experienced awful service. VERY SLOW. My last visit was so bad that after speaking with the area manager he apologized and sent me a $20 gift card. I was very appreciative of the gesture and decided to use it for this current review.  CURRENT VISIT. When the restaurant is LESS THAN HALF FULL it shouldn't take almost 30 minutes to get 2 burgers.   HERE IS WHAT HAPPENED DURING MY LAST VISIT. At the time of arrival the restaurant was a little more than half full. 4 people in the party. We ordered 2 burgers a chicken sandwich and a salad. 25 minutes later the server brings a second round of drinks and says he's going to check on the order. More than 45 minutes after placing our order he comes up and says, ""Sorry it's taking so long but they're holding the order because they don't know what kind of cheese to put on the chicken sandwich."" (Seriously?) In the meantime other customers seated after us have eaten and left. While walking out I exercised common courtesy and told the manager what had transpired and that we were leaving. She said, ""Your food is coming up now. Would you like it to go?"" I told her to throw it away. She then said, ""Well...you don't have to pay for your drinks."" (Really? Gee thanks. You compted 3 sodas & a water) I said, ""I wasn't going to."" Then we walked out. The manager never even offered to pay for the food.  Not sure what's going on at this particular Red Robin but I know from my last 2 times there that the service is ridiculously and unexplicably slow.",https://www.yelp.com/biz/red-robin-gourmet-burgers-schererville?start=40,2.6600000000000006,2.6600000000000006,2.6600000000000006,2.6600000000000006,2.6600000000000006
6,John P.,"McLean, VA",60,5,,1.0,2013-11-06,Needs quality control. Mediocre food at best.,https://www.yelp.com/biz/red-robin-gourmet-burgers-schererville?start=40,2.6600000000000006,2.6600000000000006,2.6600000000000006,2.6600000000000006,2.6600000000000006
2,Robert B.,"Cedar Lake, IN",0,23,17.0,5.0,2014-02-27,My family celebrated my grandmothers birthday here and had an absolutely wonderful time. Josh the manager made room for our large party and our waitress Staci was as nice as could be. The food was perfect and the friendly staff really made the night. We have several relatives that cannot have gluten and they were very happy to bring out a gluten menu for them. 5/5!,https://www.yelp.com/biz/red-robin-gourmet-burgers-schererville?start=40,3.0600000000000005,3.0600000000000005,3.0600000000000005,3.0600000000000005,3.0600000000000005
11,Sharon M.,"Steger, IL",0,8,3.0,4.0,2014-03-26,I have been to this location several times and I've always had great service from attentive waiters. As much as some hate on chain restaurants I enjoy Red Robin's selection and prices. Free refills on root beer floats help a lot too :),https://www.yelp.com/biz/red-robin-gourmet-burgers-schererville?start=40,2.8320000000000003,2.8320000000000003,2.8320000000000003,2.8320000000000003,2.8320000000000007
5,Jim B.,"Peotone, IL",1,7,,2.0,2014-06-15,"The burgers and fries were great once they showed up but the service was excruciating slow...our wait time was a minimum of 20 mins. Also,all 3 water glasses were sent back because they were dirty.  Unacceptable considering we were there at 3 on a Saturday afternoon.",https://www.yelp.com/biz/red-robin-gourmet-burgers-schererville?start=40,2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005
57,Kelly A.,"Chicago, IL",70,37,4.0,4.0,2014-08-07,Not my first choice for today's lunch but it wasn't that bad... Food was really good but the waitress wasn't. She barely came to check on us and wasn't that nice.,https://www.yelp.com/biz/red-robin-gourmet-burgers-schererville?start=20,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004
7,Adriana P.,"Chicago, IL",22,12,,5.0,2014-08-25,"I had a very pleasant experience here. We were a table of 5. So when our food was being served, my daughters pizza was missing. I thought no biggie, it'll probably be right up. Well it took a little longer so we started eating and I was just telling my oldest daughter how they had most likely forgotten the pizza when the nice manager came to my daughter and said no little girl should be waiting for her food while everyone eats. You just earned your pizza! & asked if I wanted more fries. I really thought that it was nice of him to come to us instead of waiting to see if I complained. Great job!!!",https://www.yelp.com/biz/red-robin-gourmet-burgers-schererville?start=40,2.9640000000000004,2.9640000000000004,2.9640000000000004,2.9640000000000004,2.9640000000000004
58,Rosa J.,"Chicago, IL",373,1007,3544.0,4.0,2014-09-19,"Before I begin the review, I have a disclaimer to make: I'm writing this review under my own free will.  I know it sounds extremely strange as my introduction to this review, but the upper management from the Red Robin headquarter was visiting the store.  I know what that means.  It's time to put out a show.  The server friendly informed us that because she was a bit over the top in terms of service.  I wanted to emphasize that she did a great job.  I manage a retail store so I know this wasn't the most comfortable situation when the executives and upper management were scrutinizing you.  You need to deliver!!  Regardless whatever was going on, my D. G. B. Burger was delicious.  It comes with the garlic mayo dip that goes well with the bottomless fries.  Everything was cooked well, and overall, I was satisfied with the service.  I wish the upper management didn't watch the server and guests with their giant hawk eyes and gave us more peaceful time to munch our meals.  I hope the day went well for the server and she received great accolades from her bosses.",https://www.yelp.com/biz/red-robin-gourmet-burgers-schererville?start=20,2.8640000000000003,2.8640000000000003,2.8640000000000003,2.8640000000000003,2.8640000000000003
