,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
44,Meredith E.,"Portland, OR",169,501,175.0,2.0,2012-06-05,"I got sat at a comfortable booth with a fantastic view of the dish room. Instead of reading my book during my meal, I watched the servers pre bus their tables and throw away leftover burgers and fries. The manager also had some entertaining discussions while rushing around next to my table.  I ordered the bleu burger. Like the photo in the menu, I was expecting large crumbles of bleu cheese covering my burger with a spicy chipolte mayo and fried onions. The burger itself was delicious. However, the kosher salt like sprinkling of bleu cheese was disappointing. Why even call it a bleu burger? Service started out great with an immediate water refill. As soon as my burger arrived, the server handed me the bill and I never saw him again.  I noticed they now have a bar in this location. In fact, I saw my neighbor enjoying himself with a few brews.  Word on the street is the happy hour is a good time. I may be back for that, but not for a burger in the restaurant area.",https://www.yelp.com/biz/red-robin-gourmet-burgers-troy?start=40,2.408,2.408,2.408,2.408,2.4080000000000004
43,Nikki C.,"Detroit, MI",134,348,24.0,3.0,2012-08-14,"My co-worker and I ate in here with an hour for lunch. Granted, we went at noon (not our choice), so it was bound to be busy. But we sat at the bar (cut out the middle man, went straight to the bartender for ordering), but it took quite a while for our entire process, anyway. Apparently, someone called off (that's what I could gather from the chatter between the staff) during a heavy lunch time.  We scarfed our food down very quickly, but from what I could tell, it was tasty, as expected from Red Robin! I had the turkey burger and added avacado slices. It was hot and ready and so was I (for the food!) The seasoned fries were as good as they usually are, as well.  I definitely wouldn't go during lunch rush hour again.",https://www.yelp.com/biz/red-robin-gourmet-burgers-troy?start=40,2.508,2.508,2.508,2.508,2.508
51,Carolyn C.,"Morris, MN",2,106,,2.0,2012-12-21,Let me start this review by saying that I love Red Robin. My fiance and I met at Red Robin and whenever we want to have a fun inexpensive date we find the nearest Red Robin eat until we're in a burger coma. So why the low review? This particular Red Robin is definitely sub par. The fries were mushy and over salted. The burgers were cooked well but if you top a piping hot burger with FROZEN vegetables and cold condiments it ruins the whole thing. The server was attentive and it was actually quiet when we went. If you want delicious Red Robin Burgers I suggest going to another location.,https://www.yelp.com/biz/red-robin-gourmet-burgers-troy?start=40,2.44,2.44,2.44,2.44,2.44
48,Josh B.,"Auburn, MI",10,15,1.0,5.0,2013-03-30,Been to this Red Robin twice now. The waitress the first time was ok. But the second time was great! Great food lots of fries. Got seated right away!,https://www.yelp.com/biz/red-robin-gourmet-burgers-troy?start=40,2.836,2.836,2.836,2.836,2.8360000000000003
31,Jim E.,"Belleville, Canada",455,286,1086.0,3.0,2013-04-21,"It took us a while to try Red Robin but when we did we were pleasantly surprised.  After a long day in the D we wanted something fast with a fun atmosphere, inside it is decorated nicely and lively.   The service was average, and the food was pretty good.  I like the Steak fires (most places do not have then) and the Blue Cheese Cheeseburger with an Onio bun was good to and better then I have had other places for sure (Logans, TGI Fridays).  The Mile High Pie dessert was pretty good, I find most desserts do not compare to the Olive Garden and Cheesecake Factory and Red Robin is no exception. We would go to a Red Robin again.",https://www.yelp.com/biz/red-robin-gourmet-burgers-troy?start=20,2.604,2.604,2.604,2.604,2.604
33,Richard F.,"Bloomfield Hills, MI",85,512,10.0,3.0,2013-05-02,"I was to meet a buddy for lunch and he gave me the wrong address.  I am lost if I can't use my GPS, so when the address turned out to be useless, I called him on the phone and asked him where I really should be.  He realized his mistake and he offered to meet me at this great place he knows and gave me that address.  So I ended up at the same Red Robin I visited last time. Well it was better and it was worse.  The burger was a bit rarer than the medium rare I ordered.  But I guess that is better than the other way around. I had a Royal Burger that includes a fried Egg, bacon cheese and more.  That too was tasty.  I tried a different kind of bun that I have not had at this chain before.  It was a Jalapeno Kaiser bun and I really liked it.  I also appreciated the frequent refills on our beverages and the offer and delivery of more nice hot fries.  We sat and munched them as we chatted. What was a bit hard to take was the cost of the meal.  We each had a burger and fires and nothing to drink other than water.  Yet the tab with tip and tax was over $ 13.00 each.  I don't mind spending that amount for a great meal at a fine place, but for a burger an fries?  I think Red Robin has drifted out of control. Yeah, I would go back, but I certainly am not rushing back.",https://www.yelp.com/biz/red-robin-gourmet-burgers-troy?start=20,2.604,2.604,2.604,2.604,2.604
50,Diana S.,"Troy, MI",3,4,,5.0,2013-05-26,"I have worked in quite a few roles in the restaurant industry, and also dine out frequently.  I am always astonished at how friendly, accommodating, and efficient the staff is at this Red Robin restaurant in Troy. These days, there are so many people in the service industry who don't know what good service is.. who act like they are doing you a favor when you go to their restaurant or sit in their section. The staff at this Red Robin is wonderful, and I am very happy with the service and the food.. The burgers are always good, and I am very picky about my burgers. The only other place I get burgers in the area is Red Coat Tavern, so to be on the same level as them, this Red Robin deserves a lot of credit.  Keep up the good work!",https://www.yelp.com/biz/red-robin-gourmet-burgers-troy?start=40,2.868,2.868,2.868,2.868,2.868
54,O S.,"New York, NY",0,39,,4.0,2013-06-03,Good food good drinks but service seems to suck every time!! Maby just get carry out nextime,https://www.yelp.com/biz/red-robin-gourmet-burgers-troy?start=40,2.768,2.768,2.768,2.768,2.768
47,Kara D.,"Village of Clarkston, MI",31,215,272.0,4.0,2013-06-05,"Red Robin used to be a very popular place for my friends and I to go out to eat at in high school. Nowadays I will go a few times a year, mostly with family. I really like all of the bun and patty options available for their burgers. You can customize your sandwich with a wide variety of buns, including wheat and a lettuce wrap. You can also select your type of patty, from beef to turkey to veggie. Combined with various side options, along with the standard bottomless fries, Red Robin is usually a fine place for an easy dinner. Are their burgers mind-blowing and awesome? No. But they're consistent at what they do.",https://www.yelp.com/biz/red-robin-gourmet-burgers-troy?start=40,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997
46,Robert P.,"Rochester, MI",5,56,10.0,4.0,2014-04-03,Its not often I would consider a franchise to be such a great restaurant but this place has great burgers. They also have gluten free buns for my wife. She thinks they are the best gluten free buns ever. I gave them four stars because their tap water tastes weird.,https://www.yelp.com/biz/red-robin-gourmet-burgers-troy?start=40,2.7359999999999998,2.7359999999999998,2.7359999999999998,2.7359999999999998,2.736
