,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
244,Juan A.,"Lansing, MI",65,298,134.0,3.0,2012-01-10,Decent food like it's too expect from Red Robbin. I would give it a four just for the service. Our waitress and waiter were very friendly and helpful. They accommodated all the requests from my friends with a big smile in their face and I think that's a hard thing to find in a restaurant like this one specially in a busy Friday night. My only complaint was my almost 14 dollars shot.... It was just a shot of Jack and one of Jagger... Not worth it that much.....,https://www.yelp.com/biz/red-robin-gourmet-burgers-vacaville-3?start=260,2.252,2.252,2.252,2.252,2.252
209,Michael D.,"Sacramento, CA",5,39,53.0,4.0,2012-02-12,I love red robin and this place is pretty good overall. The staff is friendly but slow most of the time in getting you drink refills or anything else you ask for.,https://www.yelp.com/biz/red-robin-gourmet-burgers-vacaville-3?start=220,2.32,2.32,2.32,2.32,2.32
240,Amanda M.,"Vacaville, CA",51,245,42.0,4.0,2012-02-26,As chain burger restaurants go this one was not bad. It's clean with fast service. Our waiter was nice and officiant. We got our drink and app quickly and our entrees not long after. We got the tower of onion rings which were really good. Hot crisp and crunchy. I got the bleu burger with blue cheese and onion straws on it. Overall it was cooked well and had good flavor. My SO got a burger with jalapeños on it and he seemed to enjoy it. He said it would have been better if raw jalapeño was put on it and not the fried coins but he still enjoyed it. Plus they had a fresh keg of Racer 5. I would come here again,https://www.yelp.com/biz/red-robin-gourmet-burgers-vacaville-3?start=260,2.256,2.256,2.256,2.256,2.256
250,Renee W.,"Fairfield, CA",0,20,2.0,1.0,2012-03-10,"How would you LOVE to wait nearly an hour and forty-five minutes after placing your order to be presented with a cold, less than desirable looking meal? Or better yet would you LOVE to have a waitress with a snobby attitude? If you answered yes to any of these questions, Red Robin in Vacaville CA is the place for you!      My family and I foolishly came to this establishment to celebrate my father's 60th birthday and boy was this a mistake!  Upon being seated,we were promptly greeted by a snooty waitress who rushed us to place an order. 45 minutes go by and nothing, no food, no refills, and no waitress.  As my family and I grow curious we notice other parties (some) with far more people than ours quickly getting their meals and even leaving. We wait another 15 minutes and still nothing. So we finally track down our waitress to politely ask about our meal and why parties after us were served before us, she snapped ""well it's Saturday and I put their orders in first"" and shrugs her shoulders.  Upset we decided to give it a few more minuted,30 minutes go by and we decided enough was enough. We gathered our things and began exiting our table. Just as we were getting ready to walk away the manager lazily came up to us with a tray of food that looked as if it had been sitting on the counter for an hour,forgotten, and ran through a microwave in an attempt to reheat.  By that time my family and I were extremely upset, and had no desire to continue our horrible dining experience.  Both the manager and waitress were condescending and tried their best to be little my family and I. If i had to choose between returning to this resturant and starving, I would choose starvation in a heartbeat. Word for the wise, you would probably recieve better customer service at McDonalds.",https://www.yelp.com/biz/red-robin-gourmet-burgers-vacaville-3?start=260,1.956,1.956,1.956,1.956,1.956
155,Cindy S.,"Sacramento, CA",461,489,436.0,5.0,2012-04-17,"After a long anticipated wait to visit this location and giving up red meat for the Lenten season there couldn't be a better place than Red Robin for our Easter brunch. We arrived at 11:00am right when they opened and to our surprise unlike all the other place in the area there were no lines or wait times. We were seated right away and water was brought out shortly after. Our server (I wish I remembered her name now) was very friendly, checked on us often and provided above and beyond service. She took the time to explain the different between a vegetarian and boca burger to my mom, helped us place an order to go with appropriate timing and hooked us up with my refill to go. Who doesn't want a raspberry limeade to go?!? As always I ordered the Royal Red Robin Burger and it was fantastic. It was a perfectly medium cooked patty, stacked with applewood bacon, cheese and all its burger glory with a fried egg (the best part) between toasted buns. With the bottomless fries and raspberry limeade I truly enjoyed my meal and left with the most fulfilling feeling ever. Mmm!!! I know where I'm going for lunch today... Needless to say the food and service at Red Robin was superb and I had a food coma later that day.",https://www.yelp.com/biz/red-robin-gourmet-burgers-vacaville-3?start=140,2.452,2.452,2.452,2.452,2.452
277,Nancy E.,"Travis AFB, CA",23,8,4.0,2.0,2012-04-22,i have a diasease that does not allow me to process food containing gluten. Red Robin claims to have a GLuten free menu wich i ordered from and got deathly ill from. when i complained to a manager days latter they told me a manager shouyld of come to the table and assure me he or she would make sure it was prepared GF. he then sent me a $20 gift card to re try. i eventually did and didnt get sick but service was horrible and the manager that day never came to the table i had to ask to speak to the manager to aasure my food was safe. not worth my tummy ache!!!,https://www.yelp.com/biz/red-robin-gourmet-burgers-vacaville-3?start=240,2.056,2.056,2.056,2.056,2.056
231,Bruno P.,"San Francisco, CA",31,16,1.0,2.0,2012-06-01,"The food was pretty good but the service could have been better. To start off, we ordered salsa, guac, and chips to which there was a hair hiding in the salsa (yuck!). The meal was very good and very well prepared.  The Bleu Ribbon burger was fantastic as always. Our server was quick with refills for our drinks which is always a plus, however, toward the end of our meal the service started to fade.  Strong start but poor finish.  We had to ask several times for a box before we finally got one.  We ended up waiting 15-20 minutes for our server to finish up the whole process of getting us our bill, taking our money, and giving us a togo box.  Normally, this wouldn't be a problem but the place wasn't very busy.  Perhaps they are understaffed? Either way, customer service shouldn't be overlooked, especially in today's economy with the amount of choices each patron has. My advice, get your food togo, or else you will wait an unusually long time for mediocre service.",https://www.yelp.com/biz/red-robin-gourmet-burgers-vacaville-3?start=200,2.12,2.12,2.12,2.12,2.12
247,Jolene L.,"San Francisco, CA",16,47,,2.0,2012-07-15,"Went there for lunch with friends.  I ordered the vegetable soup after the server told me that there was no cheese in it (I'm lactose-intolerant).  When it arrived, lo and behold, there was a cheese on it!  So I asked the food runner to send it back and get me a new one.  20 minutes or so passed and still nothing!  My friends all got their food and I didn't mind as much because I ate their fries.  I finally just told the server to remove the soup from the bill because it took too long and I didn't want it anymore.  She asked, ""Oh you never got it?""  Um...no.  Do you see a freaking bowl in front of me?   She was polite, pleasant, and quick with out refills, but she definitely did not get a good tip.  Her section wasn't even full; she wasn't double-sat with tables, so I don't understand how she could not have realized that a guest at one of her few occupied tables didn't receive their order.   I shouldn't have to flag her down to tell her.  I'm not a hardass customer, but I've worked at a much busier restaurant before and I've seen servers give much better service when they're being slammed with diners.",https://www.yelp.com/biz/red-robin-gourmet-burgers-vacaville-3?start=260,2.184,2.184,2.184,2.184,2.184
275,Thomas H.,"Chico, CA",4,35,24.0,2.0,2012-07-31,Service was fast. Went for birthday and couldn't get the advertised free burger. Was told to call contact the rewards merchant to resolve issue at another time. Ordered sweet potato fries that came with about 10 skinny fries and two big cups of dip. Food was not bad.,https://www.yelp.com/biz/red-robin-gourmet-burgers-vacaville-3?start=240,2.248,2.248,2.248,2.248,2.248
206,Kirstie E.,"Kansas City, MO",24,45,12.0,1.0,2012-08-10,"Don't do take out from here. Apparently manners, customers service and an ability to count aren't requirements for most of the staff working on take outs. We actually had get get help from a waitress who was on her way out the door  to go home (thnx BTW! You were super helpful when you didn't need to be :) ) The other TWO people we had spoken to were worthless.....total FAIL.  We will NOT be going back.",https://www.yelp.com/biz/red-robin-gourmet-burgers-vacaville-3?start=220,2.244,2.244,2.244,2.244,2.2440000000000007
