,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
42,Matt G.,"Newport, RI",115,167,6.0,3.0,2012-02-09,"Chain restaurant is a chain.....same atmoshpere same food same price. This place was okay from a service side, the waitress and hostess were friendly and fast.  It was only lunch time, but we orderd and food was out in 10 mins. It'd be interesting to see how this place holds up to a full house.....but okay none the less",https://www.yelp.com/biz/red-robin-gourmet-burgers-wareham?start=40,1.9960000000000002,1.9960000000000002,1.9960000000000002,1.9960000000000002,1.9960000000000002
44,Timm M.,"Boston, MA",5,2,1.0,3.0,2012-03-21,"My burger was exactly as I ordered it... but the service at the bar was absolutely atrocious. By the time the bartender returned with a napkin and a knife, my food was cold. I don't need to be waited on hand and foot, but basic set-up is somewhat necessary. Afterwards she put the check in front of me (I guess I didn't want dessert after all) and didn't return to get me change for at least 10 mins. Beware the bar. Been here a few times in the dining room without a problem, but definitely will not sit at the bar again.",https://www.yelp.com/biz/red-robin-gourmet-burgers-wareham?start=40,1.9320000000000002,1.9320000000000002,1.9320000000000002,1.9320000000000002,1.9320000000000004
47,L. F.,"Middleboro, MA",0,19,,1.0,2012-04-01,"Basic chain restaurant food - nothing special.  But for being a restaurant that touts its burgers they shouldn't use frozen patties. The services was absolutely horrendous.  It took 10 minutes to get drinks and luckily we ordered right when our drinks were served because it took another half hour for our food to be delivered.  Then when we had no silverware our waitress said she would get some, but did not.  We had to go find another waitress in the restaurant to ask for napkins and silverware.  This was the poorest service I've had in a LONG time.  As a result, I will never be visiting the Red Robin in Wareham again.",https://www.yelp.com/biz/red-robin-gourmet-burgers-wareham?start=40,1.7640000000000002,1.7640000000000002,1.7640000000000002,1.7640000000000002,1.7640000000000002
4,Jeff K.,"Boston, MA",187,542,27.0,5.0,2012-12-02,"We went for an early lunch. Bartender was still kinda setting up, a short spunkly awesome bartender that went way over the top for everything but I think she does this for everyone, she's that good.  We had a great meal, great service that other places should and could only strive to attain and thoroughly happy with everything and will return.",https://www.yelp.com/biz/red-robin-gourmet-burgers-wareham?start=20,2.228,2.228,2.228,2.228,2.228
10,Heather B.,"Rochester, MA",3,30,,2.0,2013-01-16,"Pros: The burgers are great, and so is the Whiskey River BBQ salad.    Cons:  - There really aren't a lot of appetizing options for people who don't eat meat and/or people who don't like burgers.  I don't fall into either of those categories, but I sympathize with people who do who find themselves in the situation of eating at this restaurant. - Most of the times I've been to this particular location, the service has been really slow, even when there were hardly any customers.   - The Bailey's shake is not a shake.  It's the consistency of a Frappuchino and you can taste the ice crystals in it.  They should market it as a frozen beverage, not a shake.  I was expecting a milkshake, and got this instead, and hated it. Despite all these cons, I will continue to go here whenever I'm in the mood for a good burger, or that salad I mentioned.",https://www.yelp.com/biz/red-robin-gourmet-burgers-wareham?start=20,1.832,1.832,1.832,1.832,1.8320000000000003
8,Evan L.,"Westport, MA",92,36,1.0,1.0,2013-04-20,"My friend and I went to this restaurant on 4/19.013.  We were sitting at the bar and was being waited on a girl at the bar. We ordered two milk shakes and a chicken sandwich.   When she delivered the milkshake my glass base was cover in ice cream. It did not seem like care was taken when she was making my beverage. The place was not that busy, however it took 20 mins to get a over cooked chicken sandwich, and forget the sauce that we specifically ordered on the side.  I have been to this restaurant a before and never had this kind of experience. It cost us 20 dollars for two milkshakes and a gross chicken sandwich.  It also took us almost a half an hour to receive the tab to leave. I had better service at a burger king.",https://www.yelp.com/biz/red-robin-gourmet-burgers-wareham?start=20,1.7320000000000002,1.7320000000000002,1.7320000000000002,1.7320000000000002,1.7320000000000002
41,Steve W.,"Wareham, MA",23,5,,1.0,2013-11-20,"I'll never understand the fascination with this place. The few times I have eaten there the food is always saturated in grease and the it's almost always overcrowded and uncomfortable in the joint. I also got food poisoning after eating there once a while back. Avoid this place at all costs, not worth it.",https://www.yelp.com/biz/red-robin-gourmet-burgers-wareham?start=40,1.7640000000000002,1.7640000000000002,1.7640000000000002,1.7640000000000002,1.7640000000000002
7,Paul F.,"Cordova, TN",26,161,12.0,3.0,2013-12-18,"Just ok, typical mass franchise food. Nothing bad nothing great. If you are a big eater the bottomless fries are certainly a big bonus. Lots of options if you don't want fries and some things like side salads are bottomless too.",https://www.yelp.com/biz/red-robin-gourmet-burgers-wareham?start=20,2.0280000000000005,2.0280000000000005,2.0280000000000005,2.0280000000000005,2.0280000000000005
19,Suzanne T.,"North Attleboro, MA",24,100,5.0,2.0,2013-12-24,"This place has definitely gone down hill. Fries were under done, my burger was subpar. I used to come here often but lately the service is pretty crappy. Combine that with the food and it leaves for a very crappy experience.",https://www.yelp.com/biz/red-robin-gourmet-burgers-wareham?start=20,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.9600000000000004
48,Bee E.,"New Bedford, MA",2,44,1.0,2.0,2014-05-23,They asked how I want my burger cooked. We had a group. All burgers were cooked the same way. The service was extremely slow. Some people got there food really late.,https://www.yelp.com/biz/red-robin-gourmet-burgers-wareham?start=40,1.9920000000000002,1.9920000000000002,1.9920000000000002,1.9920000000000002,1.9920000000000004
