,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
78,Niyant S.,"Collegeville, PA",29,162,96.0,3.0,2012-08-19,"A group of us came to this brand new Red Robin after my fiance got an offer to go for their ""soft opening""/""training"" dinner. Basically, they offerred a free appetizer for the table and free entrees so their cooks and servers could get the opportunity to train and prepare. It was a pretty cool experience getting to go for this, plus it gives me a chance to be the first person to review them on Yelp! Upon seating, we looked around and liked the vibe in the place. Our waitress came over promptly and took our drink orders (had to pay for these, but no big deal). She did a good job with this, got a few drink descriptions mixed up, but gotta expect some sort of learning curve. Our drinks did also take a while to come out, but they were also fairly busy so we'll let it pass. At first I got the Blue Moon pumpkin (yes, they already started their Octoberfest line!), and the glass had brown sugar on the rim! The drink was great, and much needed for the end of the week. We also got one free smoothie/shake for the table, which my fiance took advantage of (got some fruity drink that I thought tasted like a mix between pepto and robitussin). We got the chips with salsa and guacamole, which was great and came out timely (the chips were even hot). For dinner, I was torn between a few different options, but ended up getting the Royal Red Robin, a burger topped with bacon, lettuce tomatoe, cheese, and a fried egg. My few critiques on this, it wasn't really medium, the bacon wasn't crispy enough, and it was lacking a sauce. The latter issue was fixed by asking for chipotle mayo, but the others I'll let slide again since they are still training (hey, it was a free meal so I can't complain much. If not, I would have made this a lot lower stars...). The fries were great though and definitely on point with their signature seasoning mix. All in all, everyone enjoyed their meal, and in the end, we were very pleased to see our $75 bill come down to almost nothing! They do have a little work to do to get up to par with other gourmet burger joints, so in the future if I have to pay for a meal here I'll expect a better burger. Our server did a good job to, though a little more personality would have been nice as well...",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodbridge?start=60,2.0280000000000005,2.0280000000000005,2.0280000000000005,2.0280000000000005,2.0280000000000005
118,Steven C.,"Asbury Park, NJ",204,56,,4.0,2012-08-22,"I came for their soft opening, having already been to another nearby Red Robin location previously in the past. Red Robin is delicious! They have a large variety of burgers, and their fries / drinks are bottomless so if you still manage to be hungry after your gigantic entree keep the refills coming! Their trademark spice container gives a good kick to your food too, I usually put it on my fries but not on the burger as much because I feel like it detracts from the true taste of the burger. Getting to their burgers, which is the main entree of Red Robin, they are absolutely delicious. Lots of varieties. You can also substitute Chicken or Turkey pattys for any of the burgers on the menu. My favorite part of the burgers is that they have less of a commercialized, chain restaurant feel (even though this is a chain restaurant) and more of a fresh off the grill taste, as if you were getting a burger at a diner or a burger joint. Instead of steak fries, you can substitute for their other sides such as mac and cheese. If you get the fries, be sure to try some of the sauces they may have in the kitchen if you are interested (I usually get a side of campfire sauce when I order fries, delicious!). Also try their freckled lemonade, its delicious and also bottomless. Or their giant tower of onion rings. It is way too early for me to review on the service of this location, mostly because it has just opened a few days ago. But based on my first experience here, I highly recommend trying it out and I will sure be back!",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodbridge?start=100,2.192,2.192,2.192,2.192,2.192
103,Jessica S.,"Woodbridge, NJ",1,1,,1.0,2012-08-25,"A one star only because no stars isn't an option. Friendly waitress. Not well trained. Asked for a bunless boca burger. She didn't had no idea what it was and thought I said bacon. Yes, a vegetarian would love a burger made out of bacon. I corrected her and she asked how pink I would like my burger. It's a veggie burger... I would like it cooked. The bunless option is on the bottom of the burger menu. Go bunless and they'll wrap it in lettuce! Wow! I received a plate with a gummy veggie patty, shredded lettuce, tomatoes and mayo. Set out like a platter with seven fries. We talked to a manager ( talk, bald black gentleman walking around thanking customers with the same speech. No name tag how nice) gave us an attitude  Told us that the way they served it is an option on the salad page in a very challenging way. Vegetarians rejoice. A place with option that come with confused faces and management that would rather fight you than apologize.",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodbridge?start=120,1.7960000000000003,1.7960000000000003,1.7960000000000003,1.7960000000000003,1.7960000000000003
73,Alyssa M.,"New York, NY",232,246,78.0,4.0,2012-09-04,"Red Robin has changed so much since I first started going; I love how many options they give you for toppings, sides, buns, and protein choice. Surprisingly enough, this is a perfect place for vegetarians (they have both Morningstar and Boca Vegan patties!). This location is brand new, very clean, and huuuge. Tons of seating and very open considering there are two entrances (one from the street, the other from inside the mall). Sweet, accommodating service. They also have a system where they put your phone number into an automated waiting list and text you when your table is ready. Pretty neat! Most of all I really enjoyed my meal; I ordered the Veggie--Morningstar patty with grilled zucchini, caramelized onions, tomatoes, and a balsamic cream sauce. I also asked for it bunless, instead opting for a lettuce wrap. What a great choice! They cut the lettuce so it basically forms a ginormous bun around your patty. While it's completely impossible to eat unless you have the mouth of a giant, it's easy to peel away and craft the size you like. The modification went perfect with my veggie burger as well.  I don't frequent chain restaurants often, but I definitely wouldn't mind coming here again.",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodbridge?start=60,2.096,2.096,2.096,2.096,2.096
112,Christopher O.,"Fords, NJ",128,75,14.0,3.0,2012-09-17,"First time ever eating at this chain. there is one about 10 mins from me in south plainfield, but never went. The food is pretty good.I had the burning love burger which is a burger seasoned with cayenne topped with salsa,beer battered jalepeno slices,pepperjack cheese on a jalepeno kaiser   was delicious.spicy but not overpowering  I subbed the steak fries for sweet potato fries. my only complaint was the fries was cold and soggy, they must of thrown on some leftover stuff, but I'll cut the place some slack.they just opened and are working out the kinks still.I know how it is. But otherwise I was satisfied with my first ever visit here and will repeat.",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodbridge?start=100,1.9960000000000002,1.9960000000000002,1.9960000000000002,1.9960000000000002,1.9960000000000002
102,Stephen G.,"Staten Island, NY",1,19,,1.0,2012-10-07,"Although this restaurant is on the lower priced side of casual dining, I still felt compelled to write about how bad the food and cleanliness was at this restaurant.  The food was horrible and the place was filthy.  The young kids working at this restaurant are so inexperienced, it would not even matter to complain to them.  They were nice, but basically clueless.  Stay away from this place that advertises that they have gourmet burgers.  They do not.  If you want a great burger go to either Johnny Rockets or Five Guys Burgers, but definitely stay away from Red Robbins.  I'm still waiting to see if I got food poisoning from this place.  I'll be shocked if I don't.",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodbridge?start=120,1.7320000000000002,1.7320000000000002,1.7320000000000002,1.7320000000000002,1.7320000000000002
120,Jen R.,"Old Bridge, NJ",70,33,1.0,4.0,2012-10-11,"Went here with hubby and two small children. Burgers and fries are the way to go, however o did try the italian chicken sandwich and it was delicious too. Service was a bit disorganized and inexperienced (didn't know beer list) but overall food and atmosphere were great for Saturday night family dinner.",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodbridge?start=100,2.064,2.064,2.064,2.064,2.064
106,J. K.,"Middletown, NJ",100,10,2.0,1.0,2012-10-11,"My husband and I visited this location on 10/6/12 & will NEVER go back. It was approx. 12:30 p.m. & the restaurant was only about 1/4 full of customers. It took nearly 10 minutes to be greeted at the door, the host brought us to a table & a waitress walking by told the host ""that's a closed section"" but the host left us there anyway & asked the server to do the table. Once the waitress gave us menus we ordered an onion ring appetizer & two drinks right away. We thought it was a bad sign that there was food sitting visibly on deck in the kitchen for 10 minutes with no runners or wait staff taking it. Sure enough we watched our onion rings sit there & could not find our waitress anywhere. After another 10 minutes we found a manager & he said he'd get a fresh order. We also had to ask the manager for utensils & a drink refill. Magically our waitress reappeared to apologize & said she'd take the onion rings off our bill b/c our entrees were now done. Big surprise, my burger was completely wrong. I ordered the ""pub crawl"" inspired burger that was being featured, well it didn't have any bacon or beer onions on it like the menu said/showed. To add insult to injury the ketchup bottle on our table was completely empty, my husband had to try 3 other empty tables before he found one with any ketchup in it. I really thought I was on an episode of Punk'd or Hidden Camera or something, it was a really bad experience. Naturally, the waitress showed up promptly to give us the check & take the folio with her tip in it.",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodbridge?start=120,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000004
119,Ed C.,"Fords, Woodbridge Township, NJ",3,67,4.0,3.0,2012-10-12,"Its a chain place for burgers, and it isn't bad.",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodbridge?start=100,1.9320000000000002,1.9320000000000002,1.9320000000000002,1.9320000000000002,1.9320000000000004
101,Dianne P.,"Scotch Plains, NJ",0,22,,1.0,2012-10-20,"If I could give this place a negative star I would.  The service and food were terrible.  We arrived at 8pm on Saturday night and were greeted warmly at the door and seated right away.  Things quickly went downhill from there.  We had a pretty simple order and the food took almost 45 minutes to arrive even though the place was not that busy.  My soup arrived cold and my husband's soup arrived after the entrees (and only then because we had to remind the waiter he had ordered soup).  I specifically asked for my salad dressing on the side.  The salad arrived with no dressing on the side and when I got it and poured it on my salad, I realized there WAS another dressing already buried at the bottom of the salad.  The combination of the two dressings was completely disgusting.  My son ordered riblets and received a plate with several CLEAN BONES and I do mean CLEAN as in NO meat on them at all.  While waiting for my family to finish, I ordered coffee, which came with no cream or sugar.  When I requested cream, I was told they were out of it. Over all a horrible experience and I will NEVER return to this place again.",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodbridge?start=120,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000004
