,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
151,Howard S.,"Snohomish, WA",0,1,,5.0,2012-03-05,This restaurant is consistently great & the service is top notch.  We were there on a busy Friday night.  The wait staff was constantly checking with us to apologize for our food being slow when it was understandable the kitchen was inundated with orders.  The manager gave us a free appetizer while we waited. At this restaurant customer service is a priority.,https://www.yelp.com/biz/red-robin-gourmet-burgers-woodinville?start=140,3.0280000000000005,3.0280000000000005,3.0280000000000005,3.0280000000000005,3.0280000000000005
111,JoAnn A.,"Bellevue, WA",80,319,32.0,3.0,2012-03-07,"I've been here twice over the last six months. The one thing I certainly don't like about this place (and it probably goes for all locations I'm guessing) is they told us they don't take reservations. So for the first time I came here, we had a party of maybe 8-9, and since reservations weren't allowed, we had to wait a very long time to be seated because I guess whoever had a large party was just sitting there. I get it, after you eat and pay you wanna talk a little more, that's fine, I've done it before too. I think if a reservation option was available, we wouldn't have had to wait as long because we'd already have seats for us, instead of having to stand around hungry for longer than we expected. The more recent time I came here, the wait for a table of about the same size was about ten minutes or less!  I don't have any problems with the servers here (both times they've been just fine) and the food here is fine (not my favorite, but there's decent stuff here) I was just very turned off with the no reservations thing.",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodinville?start=100,3.04,3.04,3.04,2.8280000000000003,3.0400000000000005
142,Jordan W.,"Woodinville, WA",260,5,,3.0,2012-03-29,"Pros:  The food is good, there a a lot of different burgers and things to pick, plus bottomless french fries.  The drinks are also yummy.  It is worth the money you pay, plus if it is your birthday you get free ice cream. The customer service is pretty good, although it is a bit slow because of how crowded it is, they will bring you free fries if you ask.  Cons:  It is LOUD.  There are a lot of kids, birthdays, and long lines if you go at the wrong time.   A good place to go every once and awhile for a nice meal, as long as you don't mind the crowds and the wait.  Not the best place for a date night.",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodinville?start=140,3.0,3.0,3.0,2.8600000000000003,3.0000000000000004
138,Jeff B.,"Seattle, WA",67,182,2.0,3.0,2012-04-03,Enjoyed a very decent burger here recently and my friends chicken sandwich was rated as average by him. Maybe my expectations were set to high for maybe I was thinking there were going to be some new exciting menu items but it was rather predictable. Don't get me wrong it was a good burger just wasn't one that would make me drive out of my way too far to try again. If I am in the area and hungry I would be back for sure it's just not a destination spot.,https://www.yelp.com/biz/red-robin-gourmet-burgers-woodinville?start=120,2.96,2.96,2.96,2.8920000000000003,2.96
74,Liz O.,"Seattle, WA",678,809,67.0,3.0,2012-04-08,"They've got such a nice staff - and even though I'm not the biggest fan of their food (it was served cold last time I came!), I still like the atmosphere and the prices are semi-reasonable.  I order the fries well done because I prefer crispiness :D   And aside from my food being cold the last visit, they had spilled sauce along the lining of my basket and it had gotten on my shirt.  The waiter was so quick to get me club soda which I was really impressed with.  He didn't just leave it at ""oh I'm sorry here are some extra napkins"".  Thanks!",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodinville?start=60,2.88,2.88,2.88,2.9240000000000004,2.88
123,Romeo S.,"Seattle, WA",371,575,18.0,2.0,2012-07-31,"We were here on July 31st, 2012 & spent $40.08 on lunch.  The kids like eating here.   Tayler was our server.  She looked tired and overworked.  She rarely smiled and had her head down most of the time we were eating there.  Its very difficult to give this place anything past a 3rd star....",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodinville?start=120,2.8,2.8,2.8,2.8880000000000003,2.8
145,Wampa C.,"Woodinville, WA",0,55,,3.0,2012-08-08,"We go to this Red Robin weekly and sometimes multiple times a week.  Although it is the worst Red Robin we go to - it is the most convenient one near our house.  They mess up our food about 25% of the time we go here - it always seems to be a problem with the cooks/kitchen.  Once I ordered a BBQ chicken wrap - after the first bite I knew something was different but didn't figure it out until I was halfway done - IT DIDNT HAVE ANY BBQ SAUCE IN IT!  Seems odd to leave out the BBQ Sauce in a BBQ Chicken Wrap.  I told the waitress who just said ""oh I will go get you some""  she arrived with a small cup of the barbecue sauce that I had to disassemble the wrap and apply myself - we didn't get any credit for the meal.  This is only one of the typical things that go wrong.  Since we go here enough we know that we should never order a cocktail unless we see a Bartender on duty - leaving this up to the general servers will always result in a bad drink.   Always make sure they give you napkins before you bit into your juicy burger and have it dripping down your hand - about half the time they forget to give us napkins or utensils with salads.  We have found that in the past 6 months they have some new staff that really make a difference.   The guy running the bar most days makes great drinks and is fun to talk to.  They have some servers too that seem to be more friendly and knowledgeable than the ones in the past.  They also extended the bar area (which in the past only included 2 person tables - which was horrible for happy hour if you had a group of more than 2) - now the bar booths can accommodate groups up to 6.  I am happy to see the Woodinville Red Robin improving and hope it continues into the kitchen.",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodinville?start=140,2.8,2.8,2.8,3.0840000000000005,2.8
135,J. R.,"Woodinville, WA",1,82,120.0,5.0,2012-08-13,"This is the best Red Robin i've been to. i've had a good experience every time i go to this location and keeps on getting better. the waiting times are fairly short. i've been here twice and both were fun times. one time i went to see The Amazing Spiderman in the theaters with some friends and came here when it was over. it was on the night that there was the midnight showing of the debut of the latest batman movie and the wait wasn't long. we were a group of 6 and decided to squeeze into a booth our desserts arrived shortly, even though there was a group of 50 people there. my most recent visit was on my mom's birthday when i was with my grandparents. we waited less than 10 minutes before we were seated into a booth. We got the best waiter we've ever had (named Jordan) and he's worked there since 2006.  He was very good and not as pushy as other servers. my food was very good. My burger wasn't piping hot, but that's the way i like it. the fries seemed underseasoned, but that's why they have the seasoned salt and ketchup on the tables the bottomless steak fries are one of the main reasons i love red robin so much. Most restaurants charge you for fries, and they aren't bottomless. Why i love Red Robin (especially this location) so much good portion sizes for the money bottomless steak fries that come with the meal irresistably good burgers (my faves are Burnin' Love and Banzai amazing service and their rewards program",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodinville?start=120,2.84,2.84,2.84,3.3480000000000003,2.84
110,Doug M.,"Kirkland, WA",90,2,,5.0,2012-09-13,Brandon our server was great. Gave my daughter a ton of baby oranges her favorite. Good food yum!...  I always love the food and although they were super busy our server took time to make us happy.,https://www.yelp.com/biz/red-robin-gourmet-burgers-woodinville?start=100,3.0,3.0,3.0,3.3160000000000003,3.0000000000000004
130,Angie B.,"Issaquah, WA",68,21,3.0,4.0,2012-10-13,"I've always loved RR, with rare exception. The one in Woodinville is very well managed. The food is always great when I've gone here, as are the drinks. If you want the best waiter ever, ask for Ryan. He's the waiter equivalent to a rockstar!",https://www.yelp.com/biz/red-robin-gourmet-burgers-woodinville?start=120,3.12,3.12,3.12,3.216,3.1200000000000006
