,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
49,Corinne M.,"Tacoma, WA",488,532,119.0,4.0,2012-01-06,"I grew up going to this place. I moved away 10 years ago, and I still manage to make my way back. I stopped at another burger joint on my way home last weekend, because it was closer to the freeway, and I regretted it.  The reasons that I love Yakima Red Robin: 1. There is usually a wait, not long, but I've learned that there is a wait for a reason, people want to be there, because they are doing things right.  2. ALL of the staff is ALWAYS friendly, you genuinely feel welcome.  3. No matter how busy they are, you get good service. 4. The prices and portions are appropriate.  5. The food is GREAT! 6. The atmosphere and the decor is PERFECT for a burger establishment. 7. They are the BEST for making special occasions important.  8. I leave feeling full, and happy, I get what I payed for.  I should have written this a long time ago, I should not have waited for a bad experience elsewhere to realize how much I appreciate my experiences here.  I have been, and will be a life long customer!",https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.7359999999999998,2.7359999999999998,2.7359999999999998,2.7359999999999998,2.736
57,Wayne R.,"Yakima, WA",1,153,,4.0,2012-01-29,Good place for a burger and beer. Can get a little loud at times,https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.6399999999999997,2.6399999999999997,2.6399999999999997,2.6399999999999997,2.6399999999999997
55,Lisa A.,"West Valley, WA",5,18,,5.0,2012-03-23,Ate hear last weekend for a family birthday party! The staff was amazing of course like they always are! Very accommodating to our big group we were with! Our waitress wish I could remember her name was amazing!! So for a great burger and awesome lemonade..lol come here!! Ohh their green beer wasn't bad either as we were there on st pattys day!! :),https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.644,2.644,2.644,2.644,2.644
44,Megan S.,"Pasco, WA",18,327,37.0,3.0,2012-08-17,"The food here was good, but the service was not. This is sad, because Mikayla started out so well. She brought fries for munching until our food came out and was prompt with refills (even though she switched some of our drinks). However, once the food arrived for 5/6 of us, she disappeared. Fifteen minutes after my mother-in-law insisted we go ahead and start without her, she was sitting awkwardly (and hungrily) without a salad. Since no server was in sight for several minutes, my father-in-law ventured to the kitchen to see what the deal was. Five minutes later, the salad arrived and my MIL started her meal as everyone else was finishing.  A few minutes later, the manager came over and offered to take $5 off the cost of the salad due to the delay, which was appreciated. Red Robin, please, if timing isn't your kitchen's forte, please know that I would rather everyone's food sit under the heat lamp for a short time than see my MIL sit without food for 15+ while everyone else eats. It's so incredibly rude to serve part of a table!",https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.412,2.412,2.412,2.412,2.412
54,Jay C.,"Baltimore, MD",105,153,42.0,4.0,2012-09-27,Its a Red Robin like all the other Red Robins only thing is that in Yakima this Red Robin gets BUSY AND PACKED WITH PEOPLE!,https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.448,2.448,2.448,2.448,2.4480000000000004
36,Ryan Q.,"Yakima, WA",33,65,3.0,1.0,2012-12-31,What a terrible experience this time around. Usually they're great but tonight was not good. Ordered the onion ring tower which we got AFTER our burgers came. Took the lady forever to get refills despite her section only having a few tables.  To top it all off we were sat near the kitchen and the foul language emanating from it. I'll strongly reconsider ever going there again.,https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=20,2.052,2.052,2.052,2.052,2.052
58,Dave P.,"Yakima, WA",15,23,6.0,2.0,2013-04-14,"A group of us went to the yakima red robin for a send off to the U.S. Army, while the food was good but the wait staff was not! The guest of honor order was not taken until after most people were served and I had to reorder my meal because it was lost somewhere in la la land which describes the service very well.",https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.152,2.152,2.152,2.152,2.152
39,Brittany B.,"Silverton, OR",0,3,,3.0,2013-09-17,The Good: Good food. Fast service despite the rush. Server was friendly and prompt.  The Bad: The women's bathroom was disgusting. Floor looked like it had not been cleaned in quite some time and there was toilet paper all over the floor.,https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=20,2.252,2.252,2.252,2.252,2.252
53,Marcus H.,"West Richland, WA",2,43,,4.0,2013-09-28,One of my favorite burger places in Yakima. Their service can get somewhat bad if they are packed. It happens sometimes.,https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.416,2.416,2.416,2.416,2.416
34,Love L.,"San Francisco, CA",6,39,171.0,3.0,2013-12-26,"We come here for lunch today around 2pm, I always come here during the Xmas time with my family, we got a great table, and food was fast, just the customer service was bad, we got our drinks and food but there are no Dinner Knives, Forks, and Spoons we have to asked 3 times to get that OMG! I only see the waiter 2 times he took the order and gave us the bill, next time we will try somewhere else, the food always the same just the customer service is not there anymore sad ...",https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=20,2.252,2.252,2.252,2.252,2.252
29,Karen D.,"Gig Harbor, WA",1,14,4.0,3.0,2014-01-22,"I will start by saying they are very busy!   On a business trip to Yakima and following a long drive wanted something quick and easy! Glass of wine took a long time.  I realized when my burger arrived that she hadn't asked me how I wanted it!   I would have asked for medium (it came well done) and was Luke warm!   Having said that it was still good, the fries were hot, and she did ask me if I wanted more fries (I was good and declined)! In and out in 45 minutes for less than $18 - I would come back!",https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=20,2.1879999999999997,2.1879999999999997,2.1879999999999997,2.1879999999999997,2.1879999999999997
43,Brian B.,"Yakima, WA",36,37,24.0,3.0,2014-05-04,"Food is pretty good here. Great fish and chips. The waitress nicole is s little bit short with us, not bad for yakima, but in a bigger city she would be eliminated from the team.",https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998
51,Bobbie Jo G.,"Bellingham, WA",0,10,,1.0,2014-05-22,"I'm sorry, but this was the worst hamburger I have ever had. I was so disappointed I could hardly speak. I wanted very badly to send it back, but we couldn't wait to leave. I'm old enough to remember the original Red Robin in the University district. The trick was you tried to eat the burger without asking for a fork to finish. Well, those days are gone. This thing was dry as a bone, no mayo, and the ""endless"" fries are a joke. I got 5, yes we counted, 5 to start with and never a mention of more. Service was just OK.",https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.052,2.052,2.052,2.052,2.052
50,Dalton P.,"Waianae, HI",4,1,,5.0,2014-05-23,Great family restraunt. :) glad i came to a restraunt with such amazing workers and grwat service!,https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.516,2.516,2.516,2.516,2.516
37,Mariah R.,"Everett, WA",107,40,170.0,1.0,2014-06-01,I came here for my 3 year olds birthday left w/o a happy birthday from anyone not our server or the hostess both of which we told! No song or balloon Nothing!!! Our meal took quite a long time as well 35/40 min wait and our server says it's because she was waiting on mandarin oranges??!!? Umm no! A burger a chicken burger Mac n cheese and cheese pizza should not take that long especially since 3tables that came in after us got their food before our table ?!??!,https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=20,2.02,2.02,2.02,2.02,2.02
23,Kelly J.,"Yakima, WA",1,45,16.0,3.0,2014-06-02,"I will begin this review by saying that I am a huge fan of red robin food. Their burgers are delicious every time!  Why only three stars? Because the service at this location is extremely hit and miss. Sometimes you get a really good, attentive waiter or waitress, but this is not always the case. For example, my boyfriend and I went here for date night. Our first disappointment came when they sat us between two children's birthday parties (despite the restaurant not being very busy). Then we waited for about 15 minutes before our waitress came over, the hostess had to take our drink orders! Then, when our absentee waitress did decide to show up, she was less than wonderful. She got snippy with me when I asked for no tomato on my burger. And then she took forever to bring refills, sauces, etc. Not cool.  Another thing worth mentioning, I used the rest room on this visit and it was DISGUSTING!!!! This usually isn't something I knit-pick because I know restaurants get busy but this was particularly bad especially considering it wasn't that busy! And like I said sometime you get lucky and get an amazing server but sometimes you have an experience like this. But in my opinion the food is worth it.  Bottom line: great food, spotty service.",https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=20,2.252,2.252,2.252,2.252,2.252
38,Pastor Ace J.,"Moxee, WA",22,21,10.0,2.0,2014-06-28,"Service is horrible,  portion sizes have been cut. They definitely don't live up to their promise of bottomless fries. Food was not as good as it used to be.  I had family come in from out of town and I was completely embarrassed by the lack of service and the quality of food. I won't be returning anytime soon.",https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=20,2.216,2.216,2.216,2.216,2.216
47,David W.,"Selah, WA",75,9,3.0,3.0,2014-07-06,Good food but the facility is scary old and run down all though looks like they might be moving to a new building soon. Service always seems to be a hit and miss some nights really good some nights it's horrible.  But all in all the food is good.,https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.412,2.412,2.412,2.412,2.412
48,Carl B.,"Yakima, WA",0,6,,4.0,2014-07-17,As with almost all red Robbins I've been to this place is really busy and loud. I give it four stars based on the quality of the food. The service is often hit and miss as the other reviews stated. This seems to be one of the only locations when I order a hamburger with no pink that I actually get a hamburger that is cooked instead of a hamburger that is rare.,https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.512,2.512,2.512,2.512,2.5120000000000005
42,Spencer H.,"Yakima, WA",0,15,1.0,4.0,2014-09-07,"Good food, okay service. I'd recommend this place to others. Seems like the prices are a little higher at this red robin than any other I've been to. The option for a quality gluten free burger has made this my wife's favorite restaurant.",https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.416,2.416,2.416,2.416,2.416
52,Trixie E.,"Seattle, WA",0,20,,5.0,2014-11-08,We called ahead for 25 people but actually had almost 50 and Teresa and her staff were INCREDIBLE and accommodating.  They got us seated in a timely matter and never lost their smile.  The food was great as usual and their customer service was top notch!,https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=40,2.42,2.42,2.42,2.42,2.42
33,Mike C.,"Mount Vernon, WA",0,19,,1.0,2014-12-08,Once again a chain comes to Yakima is good for a bit then declines. Thus is my 2nd visit since the reopen. All the pros brought in for the launch are gone. Our order took 25 minutes after seating. Food was average to slow in arriving. Three orders wrong including one that had to be redone for the b-day guest. Got fries instead of salad and after the switch had wrong dressing. No napkins or silverware until meals were on table for 10 minutes. Hey RR why don't you stop the clapping show and do some damn wait service. Get the basics down then you can try and clap and sing. Glad someone else paid tonight ir I'd really be unhappy.,https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=20,1.8920000000000003,1.8920000000000003,1.8920000000000003,1.8920000000000003,1.8920000000000003
30,Ace Sandman J.,"Seattle, WA",11,8,6.0,1.0,2014-12-08,"I used to love eating at this restaurant actually it used to be my ultimate favorite,  but now the food is absolutely disgusting.  The food has gone down hill fast.  I used to enjoy taking friends and family here to eat. But no more I have eaten here twice just to make sure it wasn't a fluke but it was sickening both times.   I will not be returning until I see good reviews.",https://www.yelp.com/biz/red-robin-gourmet-burgers-yakima?start=20,2.02,2.02,2.02,2.02,2.02
