,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
98,Yolanda M.,"Atlanta, GA",369,300,228.0,3.0,2012-10-19,"This particular location made me ban Fridays for atleast 3 years because the food and service was awful! Well I decide to give them another try. The spinach dip was a little cold.... But ok. My waiter was the best, she suggested a great drink... Um, Captain Jacks Island fruit punch... Delish! She even chatted a sec about football. My fried shrimp with Jack Daniels sauce was good but no where near the way it used to be years ago. Oh and my shrimp was like popcorn size. LOL Really.....",https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=80,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998
87,Lillian T.,"Jonesboro, GA",8,12,,3.0,2012-12-04,"Visited this location on Saturday to watch the Alabama vs Georgia football game.  Sat at the bar, good view of game from various Televisions.  Atmosphere was great, everyone geared up for their team.  Really crowded, but not too much of a wait for the food. Ordered Beef Craft Burger with Fries which had jalepenos and a spicey mayonaise with guacamole. The Burger was juicy, good flavor.  Also ordered a cocktail Long Island Ice Tea, not really strong. I also sampled some of the Jack Daniels Sampler, ate some Chicken and Shrimp, did not sample the pork. The shrimp was lightly fried decent flavor, the chicken was better with a sweet type sauce glazed over it.  The overall experience was good, Alabama won the game!",https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=80,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998
97,Danyel B.,"Newnan, GA",44,70,36.0,4.0,2013-02-19,Great service. We ate on the patio. Wonderful weather. Listing to the radio station broadcast next door. Food was excellent as well.,https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=80,2.256,2.256,2.256,2.256,2.256
95,J M.,"McDonough, GA",0,17,2.0,1.0,2013-03-06,Service was very slow!  Waited 30 minutes for my meal.  Order a turkey burger & sweet potato fries!!!  The turkey burger was dry and over cooked. Not impressed at all with the overall service.,https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=80,1.8600000000000003,1.8600000000000003,1.8600000000000003,1.8600000000000003,1.8600000000000005
60,Steve B.,"Atlanta, GA",12,777,203.0,1.0,2013-03-30,"J M. wrote on 3/6/2013: ""Service was very slow!  Waited 30 minutes for my meal.  Order a turkey burger & sweet potato fries!!!  The turkey burger was dry and over cooked. Not impressed at all with the overall service."" ---------------- This review is on 3/30/13 and it is no different than what J M. Wrote.  He was spot on from the very first sentence.  I am a huge fan of T.G.I. Friday's.  In fact, when it comes to those chains: T.G.I. Friday's, Applebees, Chilis, Ruby Tuesdays, etc...Historically T.G.I. Fridays has always been my favorite.  I will not let this particular location change my perspective because  I know there are great locations but the one on Camp Creek SUCKS!   Service is beyond slow as the aforementioned.  As far as the appetizers, they are o.k.  I always loved the mozzarella sticks but it wasn't the best thing in the world.  The mozzarella sticks you can buy from Publix or Kroger out of the box tasted better than that crap!  Ordered the Ribs & Shrimp.  The ribs were COLD!  GTFOH.  Jack Daniel's ribs....cold. Oh hell naw Tommy! #MartinVoice.  That's just the food itself.  My biggest knock is the service.  A)  Sat down in the booth, waited 10 minutes before a service came by to to take order for beverages (let alone food) and then another 10-15 mins just for the drinks to come to the table. Here's my wife's take on her experience as she is sitting right next to me as I type this review as if I'm a stenographer in court :  Wife - ""Ok, I thought this was the slowest service I've ever had in 28 years.  It took 30 minutes just to get a damn lemonade drink though it took an hour to get my food.  Though my food was good, it was kind of cold, I was choking on the shrimp while I had to wait another 15 minutes just to get another lemonade.  It took 15 minutes to get a frozen brownie to go.  The most retarded thing I saw was they gave out those reservation slips instead of the buzzer that most restaurants are accustomed to.  You had to listen in like a damn FBI agent just to hear your number called.  Don't waste your time going unless you like to wait 1-2 hours from the time you get there and to the time you leave"" I'm back at the helm.  If there is another T.G.I. Fridays within 30 minutes drive from East Point and you are craving, go to that other location for sure.  I know there's a T.G.I. Fridays in Concourse E at Hartsfield-Jackson.  If I have to get a boarding pass just to eat some Jack Daniels ribs, I rather go to that location and waste time at the one on Camp Creek.  I know reviews, this service sucks! Grade: F",https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=60,1.988,1.988,1.988,1.988,1.988
79,Michelle B.,"Birmingham, AL",51,231,1.0,2.0,2013-06-09,"Positively abysmal. I went with 2 stars instead of one just because the food was edible. We got a 20% off coupon in the mail, and while we don't normally eat at these types of restaurants, we couldn't resist the bargain. We would live to wish we had resisted. This was the slowest service I've experienced in Atlanta. We had two different servers, so that was confusing. The guy who ended up helping us was obviously working very hard and had tables all over the restaurant. Most of the rest of the staff was milling aimlessly. We were there for 2 hours and not because we were chatting. It took them 20 minutes to deliver a bottle of beer to the table, for God's sake. My burger was decent (NY Cheddar and Bacon with a turkey burger substituted) but it didn't have all of the toppings the menu described. By the time I got it, I was so hungry that I just ate it. Not that anyone was around to complain to, anyway. I was looking the whole time for a manager or someone who I could speak to about how terrible the service was, but no dice. Even my receipt was messed up so I couldn't see if or where they had discounted it 20%. I didn't short the guy on the tip because I felt that it was a management problem.  We will not be back.",https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=60,2.216,2.216,2.216,2.216,2.216
99,Q D.,"Marietta, GA",25,30,7.0,1.0,2013-06-20,"Apparently on order to get service here you have to know someone.  I came early on game night along with three others and lucked up and got some seats at the bar.  Well first the bar tender asked us was we staying there and we said we r about to switch seats with these wonderful gentlemen since they had a booth and it was two of them and four of us. She immediately said ""S@! T"".  Yup thats what she said. Unprofessional moment #1.    Then i heard her tell some old man, we shall call Mr Fridays, I tried to get your attn before they sat down so you can have these seats.  Humm I let it slide. Unprofessional moment #2. Then Mr Friday decides to tell me if I move he is taking my seat and there will b no table/seat switching in there.  We argue for a moment then some other server/bar tender say there is no seat saving in here and thatll b a $25 fee.  Unprofessional moment #3.  He proceeds to tattle to managment while the person who was to be our new server and the bar tender all stood over there taklking about us as if we were not there.  Basically saying they were going to refuse us service bc her little sugar daddy couldn't have my seat. Unprofessional moments #4-10. I wanted to stay and just hold the seats but my friends prefer service so we left.  Lets see if they like the letter to corporate, sounds like a case of discrimination to me.",https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=80,2.148,2.148,2.148,2.148,2.148
88,dominique m.,"Los Angeles, CA",79,258,100.0,1.0,2013-06-26,Maybe it was bcuz it was game night but there service was HORRIBLE no where to sit first off amd when we did sit the waitresses kept WALKING PAST US I was furious I felt as tho they were doing it purposely... I will never return to this location,https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=80,2.244,2.244,2.244,2.244,2.2440000000000007
89,P. E.,"Riverdale, GA",0,1,,1.0,2014-02-23,"One star, because no stars is not an option.  This USED to be the only restaurant on Camp Creek I would step foot in, because it WAS the only one not filled with ghetto hood rats working there.  Past: Food was good, good customer service, polite staff/hostess, decent wait time; in general a pleasant experience.  Today: Not sure how the food is (more on that later), dismal customer service, RUDE hostess, atrocious wait times; horrible experience.  We arrived around 11:30 pm and had to ask around to figure where the hostess was. When I expressed, to the hostess, my desire to not sit in the back, near the restrooms (which is apparently zone two, and evidently I should know this) I was assured, in the rudest manner possible, that will ""definitely make the wait a lot longer."" When our number was called, we returned to her to be seated. She looked at us and just held up a single finger as if to say wait, for what I'm not sure, but her gesture/demeanor was extremely rude.  We were seated just after midnight where Mark, our server, was very nice but obviously very over worked. He took our drink and food order immediately, two waters took 25 minutes to arrive. When five different parties arrived long after us were already eating their food, we decided to give him five more minutes to bring our food before we would leave. We ended up leaving at 1:28 am, having received only two waters, no refills, and no food. That was over an hour after we had ordered without a single apology or explanation for the wait, in fact I think we only saw our server 2-3 times.  It is obvious that management at this location either doesn't have the balls or the knowledge to run this place effectively. With the number of patrons who frequent this establishment (I used to be one of them), corporate better find new management before all of these customers, shelling out good money for no good results, wise up and find somewhere else to go, I know I'm looking. Also, the longer this goes on, the harder it will be to change the mentality of the employees who have learned, falsely, that their blatant disrespect toward customers is acceptable.",https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=80,2.244,2.244,2.244,2.244,2.2440000000000007
36,Jackie H.,"Atlanta, GA",316,419,286.0,3.0,2014-04-04,"Let me tell ya'll something.  Here it is:  Jack Daniels sauce.  As long as it is slathered on something I'll eat it.  They hit the jackpot with that sauce.  So I decided to stop at Friday's for some lunch.   I ordered the JD's chicken sandwich.  That thing was so on point, I can't even talk about it.  Okay, yes I can.  Grilled chicken cooked with the JD sauce, fried Cajun onion rings on the sandwich, lettuce, tomato, and BACON and cheese (please note the ingredients absolutely were not listed in any particular order of goodness).  That sandwich was bangin folks.  You need to try it.  I had to go to the bathroom to wash my hands after the meal because it got real at that table.   I'm gonna calm down now.  The service was good.  The nice lady was attentive and very kind.  Friday's is a chain, which you already know and I think the food beats out Applebee's and Chilli's.  I'm gonna give them 3.75 stars.   Sign up for their online program called Stripes and go ahead and get yourself a free appetizer.  Moreover, you earn points every time you dine with them. Get on it.   As I've said, the sandwich was great, but I want it to cost less than $9 and some change at lunch time.  If you get the burger prepare for over $10 on that one.  Too much.  Yet, I'll be back because Jack's got me wide open.",https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=40,2.476,2.476,2.476,2.476,2.476
64,Tunicia W.,"Atlanta, GA",532,280,92.0,3.0,2014-05-02,"So boo and I came here on a Saturday night to watch the Final Four. This TGI Friday's is one of the few left in the area. The next closest one is the airport and we all know you can't just post up in the airport. Anyhoo...the wait was ridiculous, which was to be expected for anything on the Camp Creek corridor. We realized that people were just sitting themselves in the bar area, including the tables around it. Luckily a manager walked by and said ""hey you guys have been here for a while, take a seat here."" #winning We ordered off of the 2 for $10 special they had going on and some drinks. Yall know that jack daniels sauce is fie (fire) right? My boyfriend had never had it and was in his own small piece of heaven. I was just about to leave our waitress a large tip because the runner mistakenly brought out boo the wrong food plate (he got a plate that should have cost him 10 more dollars for half that price) until she spilled ice cold water on me and my phone. Keep in mind it was like 45 degrees outside and she really didn't help me clean it up either...*cries*. I still tipped her because overall her service was good and that's just what you do...these people are making $2.13 an hour guys. Been there, done that, not pleasant when you work your butt off and the people don't tip. Urm. I don't come here often but if I have a random craving for a JD burger I'll be here with all the crowds.",https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=60,2.444,2.444,2.444,2.444,2.444
92,P S.,"Douglasville, GA",0,3,1.0,1.0,2014-05-12,Despite seemingly slow lunch crowd it took awhile to get greeted after were seated. My wife ordered an app as her meal while I ordered a lunch special. We made it clear the app was her meal. They brought her food out a full 10 minutes before mine. No one got that that was wrong. Then my food.. A BLT and salad. The BLT was awful. Very little bacon one strip torn in 2 placed on lettuce tomato and avacado on a half stale Italian roll very very lightly toasted . The bread had no butter and the bread had not been browned. A bad execution of a simple sandwich. The fries were stale and cold. Overall a bad experience but one that is par for the course for restaurants in this area.,https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=80,2.18,2.18,2.18,2.18,2.18
68,Edwin P.,"Fairburn, GA",14,18,2.0,4.0,2014-06-08,"This is ""my"" Fridays, it's close by my house and it's one of my go to spots.  First the good. .. I've never had subpar food or drink here ever. I mean this is Fridays so don't come here expecting top of the line doing. It is what it is. I highly recommend the Jack Daniels menu, that JD burger is FiYA!!!!! (That means good) Appetizers are a can't miss and I personally love the garlic parmesan wings. I've never had a problem with the bartenders and they've always been good and made my drinks decent. On certain nights they have a DJ and if you can get there before it gets crowded they usually get it poppin. The cons: Because of the location the place can get really crowded. It's good for business but for events like football, basketball or anything special event get there early or don't complain when you have to wait cause it does get crowded.  Like I said this has been a pretty reliable spot and I thoroughly enjoy it.",https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=60,2.512,2.512,2.512,2.512,2.5120000000000005
86,Kimberly S.,"Atlanta, GA",7,6,3.0,4.0,2014-08-08,"I enjoyed this restaurant. I visited with my daughter for my birthday, and we had a really nice time. I had a beer, and she had a smoothie. We ordered an appetizer, our food and dessert. Our server didn't rush us and let us take our time going through each course. The manager stopped by several times to make sure everything was OK. I really like this place, so we will return.",https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=80,2.416,2.416,2.416,2.416,2.416
83,Nikki L.,"Atlanta, GA",59,57,61.0,3.0,2014-09-08,"Went to this location last minute...it was late on a Saturday night and my friend was ""starving"" I don't remember the waitresses name but I'm not sure she even told us. She sucked to say the least...when the food finally arrived, we didn't have any utensils.  We had to hunt the waitress down to get water, napkins and a fork? Yes it was late (11:30-midnight) and yes it was crowded but can we get the basics to enjoy our meal? They get 3 stars:  2 for hot food and one for the waitress and waiter that served us since our designated waitress didn't",https://www.yelp.com/biz/tgi-fridays-atlanta-11?start=80,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998
