,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
48,T.J R.,"Hendersonville, TN",31,102,45.0,5.0,2012-10-18,"I  eat here a whole bunch, great staff.  We always eat in the bar area, so it's a little friendlier than if we were at a table.  The jack daniels menu rocks, and the staff is friendly as can be.  Only good things to say.",https://www.yelp.com/biz/tgi-fridays-aurora?start=60,3.0280000000000005,3.0280000000000005,3.0280000000000005,3.0280000000000005,3.0280000000000005
45,David B.,"Naperville, IL",26,17,3.0,3.0,2012-12-20,"I'm biased because I prefer Chili's. We go to Fridays because my brother uses his stripes membership for free chips and salsa and always has coupons. I am a huge fan of the Cajun Shrimp and Chicken Pasta and the Jack Daniels Sampler, but there is a lack of options for the regular sampler. The JD only has three items, but they are flexible with subbing other items. The main issue I have is the quality of their Three-for-all. I like getting samplers as my entree because of the variety, but theirs is lacking. The last time I visited I got chewy overcooked potato skins and bone dry boneless wings with no flavor. I fought through it because I hate complaining, but I tried to make the manager understand what the problem was. I didn't ask him for anything, I just wanted to provide feedback.  He looked like he was having a heart attack as I explained the low quality. The LOADED potato skins had burnt orange colored cheese product and 2 bits of bacon. He wouldn't even look at them as I was telling him about it. He just kept asking me if I wanted something else. This told me that this is the standard for them. Obviously they keep a ton of these items in the freezer and are made of the cheapest possible ingredients. The pretzels tasted like they were soaked in salt water for a week and there was grease dripping off of them that I couldn't wash off my hands. The boneless wings were buffalo sauce colored, but were dry and tasteless.  Don't order anything that comes out of a bag and is heated in the microwave. The waitstaff is friendly and helpful, but the management appears to be unprepared to deal with complaints. It's not hard. Listen, apologize, and offer a solution. Don't make it seem like I'm putting you out.",https://www.yelp.com/biz/tgi-fridays-aurora?start=60,2.7,2.7,2.7,2.7,2.7
51,Paula C.,"Aurora, IL",7,16,,4.0,2013-01-14,"I am not usually a big fan of chain restaurants.  However, the service here is terrific!  We went in on Saturday night when the football playoffs were on.  We went into the bar area and found a table.  Our waiter Donnie was prompt, friendly, gave great recommodations and just overall great service.  I had the salmon dish, which was really really good!  We had some jack daniels chicken strips for appetizer; a few beers and my husband had the steak and ribs.  We will definitely be back and ask for this same waiter again.",https://www.yelp.com/biz/tgi-fridays-aurora?start=60,2.7359999999999998,2.7359999999999998,2.7359999999999998,2.7359999999999998,2.736
54,Christina G.,"Sandwich, IL",0,21,,5.0,2013-05-16,I love coming to Friday's for a group gathering. The service is always fast and friendly. They are always able to accommodate larger groups with ease. The food is great and I've never had a bad experience at this location. I love their Jack Daniel's chicken!,https://www.yelp.com/biz/tgi-fridays-aurora?start=60,2.7399999999999998,2.7399999999999998,2.7399999999999998,2.7399999999999998,2.7399999999999998
53,James C.,"Naperville, IL",1,32,3.0,3.0,2013-10-17,"Chains are chains. I have eaten at different tgif's around the country for many years. Some good, some bad but mostly the same. I love the Jack Daniels sauce. Service here has always been outstanding! That's not easy for chain restaurants with low pay scales. The food is good. Can't say too much more, it's Fridays. One of the better locations.",https://www.yelp.com/biz/tgi-fridays-aurora?start=60,2.54,2.54,2.54,2.54,2.54
78,John S.,"Aurora, IL",126,438,5.0,4.0,2013-12-20,We all know what to expect when it comes to the food here. The food is boxed and heated up. If you are expecting gourmet food you have come to the wrong place. The Appetizer and  Entree deal for $10 is a good buy otherwise the food here is over priced for what you get. The pick 2 however is a great deal and a lot to eat for $10. Drink specials are also good on Thursday night. The service at this location is MUCH better then other Friday's locations I have been to. Our waiter was a saint to wait for a couple of members of our party to show up that were very late. My food was also served hot so kudos to the service at this location.,https://www.yelp.com/biz/tgi-fridays-aurora?start=40,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997
60,Melissa V.,"Aurora, IL",0,3,,1.0,2014-01-03,I was there for ma 2 time n it was horrible. first of all when me and ma husband walked in 2 guys were hostess and they didn't even greet us they just stared at us like if they had no clue what they where doing.. they said they was a wait for about 10 to 20 mins but they weren't even buzzy we waiting n got sat at the bar I didn't mind but y wait sooo long while there was tables wen we got there? we waited about 10 mins for our waitress to come to our table and ask us what we wanted to drink we just had water waited about another 10 mins for water are u serious I was already aggravated . I ordered steak I wanted it med well and they gave it to me burn It was so dry and hard it was small portions had no taste I had to put salt and pepper... ma waitress was a bar tender she was not around our table for a while I mean if a bartender cant handle y take tables? don't understand bad customer service and the thing is they weren't even buzzy.. I wont go back,https://www.yelp.com/biz/tgi-fridays-aurora?start=80,2.372,2.372,2.372,2.372,2.372
77,Timothy M.,"Naperville, IL",97,216,163.0,5.0,2014-03-25,"You know what to expect from a Fridays or any type of restaurant that plays in this arena. The big things you want to get are good food, service, price and atmosphere. Well Fridays is like Pizza Hut cause they deliver. Great specials daily and with Fridays points you can definitely get a good value at Fridays. What what",https://www.yelp.com/biz/tgi-fridays-aurora?start=40,2.804,2.804,2.804,2.804,2.804
73,Joshua E.,"Charlotte, NC",97,171,441.0,4.0,2014-07-10,"I really go here for the appetizers and drinks with friends on certain days of the week. Nice atmosphere for groups. The place had a lot of televisions for games. The servers and bartenders are really hospitable. They always have a lot of specials going on, so you always get a deal. There's a lot of construction going on in that area and right in front of the restaurant, besides that great place to go eat.",https://www.yelp.com/biz/tgi-fridays-aurora?start=40,2.576,2.576,2.576,2.576,2.576
46,Kevin S.,"Downers Grove, IL",8,104,,4.0,2014-08-10,"For a TGI Friday's I was shocked to find it a great experience, probably the best TGI's I've been to. The food was good and the waiter was excellent! I would recommend going to this location. We were their for lunch on a Sunday, it was busy but got seated right away. Both of our meals were great and waiter even got us to join the rewards club.",https://www.yelp.com/biz/tgi-fridays-aurora?start=60,2.48,2.48,2.48,2.48,2.48
