,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
100,Jasmin H.,"Hanover, MD",205,133,15.0,3.0,2012-03-07,"TGI Friday's holds a special place in my heart. Many times when my ex-bf/friend and I would go on dates we would go to DuClaw for the drinks and then Friday's for food since their kitchen stays open later and plenty of NFL Sundays were spent at the bar. They have pretty good food deals from time to time and the music is loud but it didn't really bother us, we were amused. I absolutely love love LOVE the Ultimate Mojito, its the only drink I usually get here. Other than that the drink specials aren't really good, so thats the one downside. I say if your looking for a little fun in good old Bowie, stop thru. I will say that although it stays crowded we've never had to wait more than 20 mins tops for a seat. Even though there are cops that stand guard I've never had an issue or felt unsafe here. GET THE CHICKEN COBB SALAD! Sorry that thing is perfect every time I get it, its quite amazing.",https://www.yelp.com/biz/tgi-fridays-bowie?start=100,2.1559999999999997,2.1559999999999997,2.1559999999999997,2.1559999999999997,2.1559999999999997
113,Jim P.,"North Canton, OH",1,12,2.0,3.0,2012-04-04,"Food was good, sat at the bar area and did not get the best of service. All and all a good experience",https://www.yelp.com/biz/tgi-fridays-bowie?start=100,2.0920000000000005,2.0920000000000005,2.0920000000000005,2.0920000000000005,2.0920000000000005
60,Mo A.,"Washington, DC",3757,414,2038.0,2.0,2012-05-15,"Everything about my original review still stands.  This place is super loud and the clientele tends to be on the rowdier side, even with a cop being stationed in the restaurant.   Service is ridiculously slow and our waitress went incognito on several occasions.   All that being said, I can bump this place up a star for their spinach dip and their new salted caramel cake.   The spinach dip is old faithful at Fridays.  Regardless of how bad the service is as well as the entrees, this appetizer is consistently good.  It features spinach, artichoke hearts, bell peppers and sauteed onions blended with Parmigiano and Romano cheeses, then topped with diced tomatoes.  Tostada chips are your dipping/scooping vehicles.  So creamy with a great cheesy flavor that is balanced without being overwhelming.  The dish comes together perfectly and is great for sharing.     The salted caramel cake is fantastic.  It is vanilla cake layered with vanilla bean pudding and caramel crunch, then drizzled with a salted caramel glaze.  The sweet/salty flavors complement each other well and offer a fun contrast.  The caramel crunch offers a nice texture change up.  The dessert was a little heavy on the caramel, which is a little assertive but just the way I like it.  Nice portion size that is very rich and filling.  My sweet tooth called and congratulated me on a great choice! If you can tolerate loud and obnoxious patrons, aloof servers, long waits for your orders and generally questionable menu options, these two choices may leave you mildly surprised.",https://www.yelp.com/biz/tgi-fridays-bowie?start=80,2.024,2.024,2.024,2.024,2.024
92,Maya P.,"Palm Beach Gardens, FL",122,62,1.0,4.0,2012-06-25,"Had a great time here on Friday. The drinks were pretty decently priced, very strong and came quickly. The food was good. I had the dragonfire salmon and it was amazing, perfectly cooked. I don't understand all the negative reviews. My date & I had a nice time, our waiter was very courteous and didn't even complain that we were there for nearly 2 hours. Overall, I had a great time and enjoyed the experience. I think people have to remember that this isn't a 5-star restaurant, it is a chain restaurant that cannot control who comes in to dine and drink. I will definitely be back for happy hour as I have heard great things about their HH specials.",https://www.yelp.com/biz/tgi-fridays-bowie?start=120,2.2239999999999998,2.2239999999999998,2.2239999999999998,2.2239999999999998,2.2239999999999998
85,Tawny E.,"Upper Marlboro, MD",6,35,,4.0,2012-09-12,"So folks if u follow me it appears it has been a while since I ve partaken in the fine world of restaurant dining. Well you would be absolutely correct. You might ask what do I win? Well your prize is the truth... its 2012 and it's the great recession. This past Friday I was lucky to have a super nice friend take me out and although it was just TGI Friday's we picked the best night. The server was super polite. Even gave us a to-go cup for our refill. I ordered the three course $12.99 special. First course, I ordered the stupid wedge salad. Really a wedge of iceberg lettuce on my plate. Even a rabbit wants a carrot every now and then. The entree was delicious I had the salmon which was succulent and out of sight. My wonderful friend had the fried shrimp with only Fridays quality seasoned fries. Yum-o was their reply when I asked how they liked their meal. To top it all off the Oreo desert was presented so cute I felt guilty devouring every lil morsel. The manager on shift stopped by at the end of our dinner and of course  I had to give compliments to the chef for a job well done although my jeans would say otherwise lol. I had to be honest and rag on the silly salad. All and all a great experience, but don't take my word for it. After the movies hop right over to TGI Friday's and you be the judge.",https://www.yelp.com/biz/tgi-fridays-bowie?start=120,2.16,2.16,2.16,2.16,2.16
95,Michelle K.,"Annapolis, MD",140,10,,1.0,2012-11-13,"On Veterans Day 2012, my dad, age 75, (a City of Bowie employee) wanted to go to TGI Fridays in Bowie for his ""free"" lunch that they were offering for Veterans.  So I picked up my dad at his house and off we went.  Unfortunately, it was very crowded with a 45 minute wait; so we went to the bar area and found 2 seats at the bar. It took the bartender 10 minutes to even look our way, it was like he was intentionally ignoring us.  He was busy, but not that busy as there was another helper.  So after 10 or so minutes he asked us for our drink order which we told him we were ready to order. My dad ordered the ""steak skewers with vegetables"" and I ordered the black bean burger with vegetables on the side (no fries).  After that, we sat there for about 35 minutes waiting and waiting for our food (the 2 ladies that came in after us go their food served before us).  Not once did the bartender (not so friendly guy with lots of tattoos on his arms and an attitude) ever check in with us or say anything to us at all. Finally about 45 minutes into sitting there the bartender brought over 2 plates of food.  One was a bacon cheeseburger with fries and the other was a blackbean burger with fries!!!  My father, who is a very gracious and kind person, told the bartender that wasn't what he ordered (not even close!), but that he would eat it.  Remember, he ordered steak and veggie skewers! My order was wrong too... I told the bartender that I ordered vegetables on the side (not fries), to which he replied they were out of ""all"" vegetables in the restaurant.  I told him I would like a side salad with blue cheese dressing then since they didn't have ""vegetables"".  He acted irritated with us.  I ate my black bean burger (it was okay, nothing great) and he never brought me my side salad and never acknowledged it again; nor did he check with us at all.  I had to ask him 3 times for ketchup for my father. It was hard to talk to him because it is so loud and noisy in there and he never looks in your direction or asks you how you are doing.  He was the most non-customer service, non-friendly, rude guy I ever encountered at a restaurant! Finally, I waved him down to get the check and he never gave me a ""check"", he simply says to me while standing in front of the cash register that the total is $18.  I paid the bill although I thought it was a little high for my dad having a ""free"" meal, but we did have 2 drinks (an iced tea and an O'Douls), so I just wanted to get out of there. As I paid the bill, the bartender took my iced tea away that I wasn't finished with so I asked him for a to go cup with a refill or a kids cup, to which he replied ""we don't have to go cups"". I find it hard to believe that a national chain restaurant doesn't have vegetables, to go cups and can't get orders straight!!!  Very unprofessional, disorganized, and a not very clean restaurant.   I will never eat there again!!!  It was a horrible experience. Spend your money somewhere else with a company that cares about their customers and hires friendly, professional, competent people. Normally, I would have gone right to the manager as all of these problems occurred, but my dad doesn't like confrontations or problems, so I bit my tongue and let it go.  However, I plan on calling the manager tomorrow to see what  he or she has to say. The worst $18 I ever spent!!!",https://www.yelp.com/biz/tgi-fridays-bowie?start=100,1.8280000000000003,1.8280000000000003,1.8280000000000003,1.8280000000000003,1.8280000000000005
75,Mike H.,"Bowie, MD",6,42,2.0,4.0,2013-01-04,"I was a little skeptical about this place due to this spot making the evening news back in Aug of 2012 (google it!), but I was really hungry...so thought I'd try my luck. Came here on a Thursday night to somewhat of a club-scene in terms of the music and crowd at the bar. Very lively, happenin' place. I preferred to sit in the dining room where it was quiet and calm... although doing so forfeited my right to 1/2 off appetizers (they only give 1/2 off apps after 10pm for patrons who sit at the bar). But I instantly liked my server when I saw her (Jirae Foster), and so decided to pay essentially double for my meal simply to be waited on by her. The service was excellent. She was very attentive, smiled often (bearing an amazing braces-laden grin), charming and good looking. She was quick with my order, kept my drinks a'coming often, and generally seemed happy to be working. When I was indecisive about my order, she even suggested that I try something - and if I didn't like it to return it for something I did like. I'm not the kind to return food at a sit down restaurant (unless the food is horrible), but did appreciate her making the offer. Jirae delivered the kind of service that is unfortunately not typical of an urban TGI Fridays... so seeing her smile and being served by her was totally refreshing. The manager was also very active and visible during my visit (and actually was the one who brought me my food); so seeing him greeting people and actually working made me feel like the joint had made some positive changes to better ensure order in the restaurant on busy nights since its late summer ""incident"". I'm a local and will be back again!!",https://www.yelp.com/biz/tgi-fridays-bowie?start=80,2.128,2.128,2.128,2.128,2.128
78,Miyuki L.,"Gaithersburg, MD",80,282,1137.0,1.0,2013-03-04,"Horrible food and served lukewarm.... Don't let the commercials fool you, they got worse! It was the most awful and downright nasty food experience I have had in ages.  The server advised me two of three things I ordered were no go good to order which I could take as honesty but they did nothing well in the end. I attempted to order the Korean tacos and then a shrimp meal but in the end based on the server went with a cheeseburger... (can't go wrong with that --WRONG!) Okay the chili cheese queso dip was ok but warm at best --- the chips they served with were crystalized with salt. The potstickers were warm as well -- temperature issues!! They might have been decent had they not been sitting or eek warmed up properly!!! Okay my daughter got the chicken fingers and barely ate the fries and in a way I am thankful who knows what I was exposing her too if the chicken fingers were lukewarm as well. Cheeseburger was charcoaled and lukewarm with a hint of fishiness... wth! The brownie sundae was mush...  While I may give the chain a chance... I will not be giving this location a second chance.. cut my losses.",https://www.yelp.com/biz/tgi-fridays-bowie?start=80,1.7320000000000002,1.7320000000000002,1.7320000000000002,1.7320000000000002,1.7320000000000002
106,Alycia W.,"Washington, DC",70,51,23.0,2.0,2013-03-06,The service here is hit or miss. Some days the servers know what they're doing other days they don't have a clue.,https://www.yelp.com/biz/tgi-fridays-bowie?start=100,1.832,1.832,1.832,1.832,1.8320000000000003
111,Xavier K.,"Silver Spring, MD",0,2,,1.0,2013-03-21,I will say this. .. they got a remodel but they still have terrible roaches.... especially in the bar area.  It's best to go to Smokey bones next door. ..and you won't have to worry about being shot.,https://www.yelp.com/biz/tgi-fridays-bowie?start=100,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000004
