,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
15,Russ M.,"Birmingham, AL",919,509,21.0,3.0,2012-05-03,Great spot for a quick dinner this evening. TGI Friday's has an open comfy decor with lots of tv's. Menu has tons of options I had a grilled chicken chopped salad. an outstanding choice!,https://www.yelp.com/biz/tgi-fridays-dothan-2,,,,,
16,Jason R.,"Ewa Beach, HI",35,16,1.0,1.0,2013-04-19,"Bad experience. Went a few weeks ago and have been itching to write a review since then.  It was crowded, and  of course its going to be crowded on a Friday night but the service and food sucked even when taking this into consideration.  The floors were filthy; the bathroom as well.  My date had the Jack Daniels Sampler it think it was, and it was horrible. The ribs were dry.  The fried food was dry and greasy at the same time.  The oil it had been cooked in was obviously old and should been changed out some time ago. Never going to this place again.",https://www.yelp.com/biz/tgi-fridays-dothan-2,,,,,
19,Ashley W.,"Dothan, AL",0,1,,5.0,2014-01-04,Great place for good food and drinks. The staff is amazing and the hours are so accommodating.,https://www.yelp.com/biz/tgi-fridays-dothan-2,,,,,
14,Jennifer S.,"Enterprise, AL",2,6,,1.0,2015-02-11,"Use to be great food. Not so much anymore. Chicken was so over cooked I didn't eat it. Service was slow they weren't busy at all! Went on weeknight. Manager said its new Cooks in training, maybe they should train them before they start cooking for customers.......",https://www.yelp.com/biz/tgi-fridays-dothan-2,,,,,
8,Brandon S.,"Fort Benning, GA",5,30,57.0,4.0,2015-06-05,"Excellent waitresses, loved the food.  I got the bacon wrapped jalapeños and the French dip sandwich. The jalapeños were not anywhere near as hot as I expected. But the flavor made up for it.  And the sandwich was amazing.",https://www.yelp.com/biz/tgi-fridays-dothan-2,,,,,
11,Jean L.,"Tallahassee, FL",132,53,57.0,4.0,2015-12-01,Typical TGI Fridays. Nothing to set it apart from the others.  That's what make it perfect. I can walk into any TGI Fridays and get the same level of service just about every time. The food is cooked and prepared the same way from Miami to Dothan and every where in between.,https://www.yelp.com/biz/tgi-fridays-dothan-2,,,,,
1,Kat D.,"Atlanta, GA",78,149,196.0,4.0,2016-04-09,"This is a very good TGI Fridays.  Our waitress, Amber, was knowledgable, fast, attentive, and energetic.  Our appetizer came out very quickly.  My husband's steak came out correctly.  I had the mahi mahi, which was delicious!  My first beer was a good temperature, but It took a while to get my second beer.  I saw it sitting at the bar for a while until I got it so it was not as cold.  The store looked clean overall, however I noticed they had an 88 health score.",https://www.yelp.com/biz/tgi-fridays-dothan-2,,,,,
13,Katie W.,"Columbia, SC",3,2,,1.0,2016-06-28,"Poor service. Came in for a nice lunch with my sister and was completely ignored. Took our server Kyle 10 minutes to greet us. Took our drink order and lunch order and we left to bathroom and he was on a computer. Watched us leave the bathroom, returned to table still no drinks. Poor excuse of a server as I am one myself. Table sat down next to us, he took their drink and brought them to his other table immediately. Pathetic excuse.",https://www.yelp.com/biz/tgi-fridays-dothan-2,,,,,
9,Mervin S.,"Fort Riley, KS",25,6,9.0,2.0,2016-07-08,Poor service!! Poor quality food.  I was there after 1pm they were not busy at all.  The waitress never came back after our food was delivered to see if everything was ok.  My water glass was empty for 12 min before she came back asking if I wanted a refill.  The bread on my sandwich was stale and to tough to bit into,https://www.yelp.com/biz/tgi-fridays-dothan-2,,,,,
6,Courtney B.,"Dothan, AL",131,124,77.0,5.0,2016-08-26,Can't beat the all you eat apps. 10 bucks for a redic amount of food! Great drinks and specials each night. Key lime shot is amazing!,https://www.yelp.com/biz/tgi-fridays-dothan-2,,,,,
