,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
55,M W.,"District Heights, MD",0,16,1.0,1.0,2013-03-13,"Our first visit was shortly after they opened and on New Years Day.  We waited for a table for 30 minutes and were then eventually seated at a table in the bar area -- that had been open and clean the entire time we waited.  After sitting at the table for an additional 15 minutes, with employees passing by us not even stopping to say ""someone will be right with you"", I had to go back to the ""hostess"" and ask for either a server OR a manager.  We were told that there was no manager on the premises (I called BS on that one immediately), but a server would be there within a minute.  After another 10 minutes sitting at the table with no server paying any attention to us, I yelled to the hostess ""IS THIS BECAUSE WE ARE WHITE AND GAY?!?!?""  Surprisingly, a manager appeared out of nowhere and was from one corner of the restaurant to our corner faster than I could blink!  Finally got to order a meal, it showed...but not what we ordered. We went back and forth with the server and manager just trying to get a meal and to give them a shot.  We never did get what we ordered and left with only a drink tab (the drinks were weak to boot!).  Fast forward 15 months and we decided to give them another shot.  I wanted a burger, bad, and we had received a coupon in the mail from them.  We showed up and, while they were busy, we were seated almost immediately.  Ironic as it was, it was the same table we were seated at on our prior visit.   Luckily, we ordered an appetizer platter of wings, cheese stick things and their new soft pretzels.  I only had the pretzels, but the partner cleared the platter of the wings and cheese rather quickly.  He was either hungry, or they were good.  The pretzels were OK (Smokey Bones are much, much, much better -- but these were edible).  The partner and I both ordered burgers, cooked medium.  While we waited and waited, I told my partner that I did not have a good feeling about the experience.  One thing was that one person took our drink order, another person brought it to us.  The first person took our appetizer order, someone else brought it to us.  First person took our food order and, well, you get the picture.  Our burgers finally arrived and they were way past well done and burnt.  ""Charred"" is one thing, burnt is another.  Our server zoomed past us at the speed of light, twice, to ask how the food was...but couldn't be bothered enough to wait for a response.  When she finally came back, to give us the check, we were told ""Oh, they won't cook any lower than medium well"". That's fine and dandy if that is their policy....BUT, tell me that when I order and I will make my own decision on that dish OR have the opportunity to order something else. I understand that TGIF is about fun, music, sports, etc. but maybe, just maybe, had they not been blaring music so loud that you cannot hear the person sitting across from you, dancing around, hugging each other and making balloon animals (yes, balloon animals!) -- you may be able to effectively provide decent service to your customers. Also, side note to the girl with the clipboard at the door:  You may think that your blue laser ring is ""cute"", but when it is periodically blinding people while you dance around to the music...not so cute. Don't even get me started on the parking lot!!  Let's just say ""ill conceived, tiny, and a little paint with arrows or lines would make it so that you have less accidents there"". (There were several while we were there). So, bottom line, if you have a hankering for T. G. I. Friday's -- stay far away from this s-hole and go to the one in Bowie, Greenbelt or Cap Center.  This one is a waste of building materials.",https://www.yelp.com/biz/tgi-fridays-forestville?start=80,1.7320000000000002,1.7320000000000002,1.7320000000000002,1.7320000000000002,1.7320000000000002
89,Pat G.,"Port St. Lucie, FL",139,179,55.0,4.0,2013-04-21,"Went to TGIF's after a night of bowling with friends!  It was almost midnight.  Service was great (how does a Waitress remember six orders at one time).  Drinks, strong and delicious ~ and we ran the gamut, from Cotton Candy Martini's to Mojito's to Tequila Sunrise and beer!  The appetizers, pretty run of the mill, were okay.  Yes, I will return, if for nothing other than the drinks!",https://www.yelp.com/biz/tgi-fridays-forestville?start=60,2.064,2.064,2.064,2.064,2.064
92,Hope L.,"Fort Washington, MD",494,284,847.0,4.0,2013-07-11,"OK so let's admit it. Yes, TGIF is a chain of restaurants but the quality of the food and the service can be a little hit or miss depending on location. So i stroll into this spot at basically the last minute. They closed at midnight I got there a little after 11pm. I had just finished chilling with my friends and needed a little something, something on my stomach before hitting the road to go home. I was starving like Marvin so I ordered a little of everything lol so here's the list; Seared Tuni Appetizer - oddly enough it was topped with a little guacomole and jalepeno pepper. I dont know what it was about that combination but it was pretty darn yummy and worth getting again. Meatballs Appetizer - oh these are just simply delicious! I get them every time I go to Fridays. They drench it in this yummy goodness marinara sauce with Parmesan cheese *drooling as I type* Mac N Cheese Bites - Appetizer - Aaaahhh one word AWESOME!! Fried perfectly on the outside, bite into a perfectly seasoned and cheesy mac and cheese - couldn't get any better than this!  Steak and Ribs Main Meal - The ribs were fall off tender and very tasty. I am VERY PICKY about my steak. I ordered it Medium and it was almost cooked well done. When I order medium I expect to see a little pink. Off the note the steak was ok.  Ultimate Margarita with Sugar Rim - good drink  Customer service was good. Our waiter was ok. Overall I would go here again. Kudos for not making me feel super rushed cause I came in so late.",https://www.yelp.com/biz/tgi-fridays-forestville?start=60,1.968,1.968,1.968,1.968,1.968
51,Jazzmin T.,"Suitland, MD",13,10,,2.0,2013-11-03,"The food is pretty great but don't expect nothing less since the bar area is right next to the dining area. Its hard to bask in the ambiance of date night, when there are people  yelling and screaming at the television screen. They should have made it a full bar instead. No peace and quiet.",https://www.yelp.com/biz/tgi-fridays-forestville?start=80,1.6720000000000002,1.6720000000000002,1.6720000000000002,1.6720000000000002,1.6720000000000002
71,Kim S.,"Temple Hills, MD",147,316,610.0,1.0,2013-12-08,"The worst! Called for a take out order at.  Sent my husband to pick up. He gets home at gives me the bag and the order is no where near correct.  I blame him, he should have checked the bag before leaving instead of trusting the server. It's late. It's cold and snowing. I'm hungry, because I slept my life away all day. Bad thing, many chain restaurants could care less about inconveniencing you. They just give you a sappy, ""I'm sorry"". Really? Are you sorry? If so, I need an appetizer, a dessert, a soda or something!",https://www.yelp.com/biz/tgi-fridays-forestville?start=20,1.5720000000000003,1.5720000000000003,1.5720000000000003,1.5720000000000003,1.5720000000000003
52,Tia G.,"Washington, DC",59,53,19.0,1.0,2013-12-31,"Worst Fridays location I've been to thus far.  I met up with some friends who were already seated and enjoying drinks and meals in a booth. I look for the waiter to order, he makes eye contact then walks over, I open my mouth he says ""hold on"" and walks off....hmmm, ok. He comes back 4 or 5 mins later I give him my order, ask for extra sauces off top as not to be a bother later on he nods walks off again before I can even ask for a drink or glass of water. Food comes 15 mins later, no extra sauces so I ask again, and ask for water as well, he nods, no apologies, comes back with sauces, no water *sigh*. I wait for him to come back. he doesn't until its check time...so this whole time I've been without a beverage. Checks come, I pay mine separately with my card, the others pay in cash, we wait for the receipts....manager comes over and asks whose card # ends with ****, I say me, he proceeds to tell me that the entire bill had been accidentally charged to my card by the waiter because he hasn't learned how to split checks, but its really like a hold so the money PROBABLY wont come out of the account, it just wont be available for 48 to 72 hours....Whatttt? So I tell him that's an inconvience for me and ask how he plans to remedy the situation, he tells me with a straight face ""there's nothing I can really do""...Sir, you tried it! There is plenty you can do. You can comp my food, offer me food, beverages, give a certificate etc....there are options, I shouldn't have even had to ask a manager with great customer service would have offered to options to show they were sorry and wanted to make the situation better for the customer. He then goes on to say ""free food wont put the money back on your card"" *gasp* I had to clutch my pearls to keep from laying into his ass. I demanded compensation for my inconvience and he reluctantly gave me two free appetizer cards....SMH...I was done battling. I've Tweeted Fridays and corporate and am still concidering writing a letter to corporate. DONT WASTE YOUR TIME HERE!!!!",https://www.yelp.com/biz/tgi-fridays-forestville?start=80,1.6360000000000001,1.6360000000000001,1.6360000000000001,1.6360000000000001,1.6360000000000001
54,Regina H.,"Suitland, MD",1,5,3.0,1.0,2014-01-23,"This place....where do I start!  Man I know how TGIF is suppose to operate as I've visited many locations.   I've tried to keep an open mind here. Every time I try to patron this establishment something always goes wrong.  Everyone in my household can vouch this place is not managed well at all.  How are they going to charge for extra condiments?  Excuse me I thought honey mustard and Jack Daniels sauce were complementary with the meal!  I wonder if the corporate office knows about this!  At any rate it doesn't matter if I'm placing a call in order or if I'm actually dining in the customer service is severely lacking.  This last visit I ""tried"" to dine in emphasis on tried!  The hostess kept calling others to be seated that had arrived much later than I.  Now I am generally a patient person, but dang I kept asking how much longer the hostess was like maybe ""5 more minutes"" so I waited and waited and you guessed it waited in all I waited 45 minutes.  Meanwhile people who came in after me got seated right away!  I was only a party of 2, so I don't get it!   And, to add insult to injury one of the waiters seated some customers that I know arrived much later than me.  It appeared he knew them, so laughingly he went ahead and seated them.  To hell with the wait list I guess. Oh well I ended up just leaving and visiting the Largo location.  I'm done with this location!!  I just can't do it!  Done!",https://www.yelp.com/biz/tgi-fridays-forestville?start=80,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000004
46,Amber J.,"Washington, DC",33,153,43.0,2.0,2014-02-12,Ghetto yet chill. I went on a Wednesday they had Karaoke which was fun. Food was typical Friday's food. I had a Veggie burger which was surprisingly good ! Bar was mad packed...with fatties...so get there early and be prepared to be patient and wait until someone leave sespecially if you are joining friends  .....I'd go again.,https://www.yelp.com/biz/tgi-fridays-forestville?start=80,1.864,1.864,1.864,1.864,1.864
44,TM B.,"Cordova, TN",1,34,,1.0,2014-03-08,"On March 4, 2014, my credit card number was fraudulently used at this Friday's in the amount of $118.45.  The thief using my card number was allowed to charge food, alcohol and a 25% tip without having my credit card or any ID.  When I contacted the manager, Aaron, and asked how that was possible his only reply was ""that's a good question.""  Fortunately, my credit union offers fraud protection and is investigating the charge.  At any rate, I would recommend paying with cash if eating at this restaurant.  Their business practices and management are questionable.",https://www.yelp.com/biz/tgi-fridays-forestville?start=80,1.8280000000000003,1.8280000000000003,1.8280000000000003,1.8280000000000003,1.8280000000000005
41,DelRica J.,"Washington, DC",3,50,,2.0,2014-04-30,"Who's bright idea was it to have karaoke in a restaurant that's not large enough to properly filter the sound?  It's too loud to enjoy your party. Being greeted, or rather ignored, by PG County police upon entering didn't quite make me feel comfortable.  Just the idea that there has to be police presence is a deterrent. The bathroom is a mess...stinky and grimy a d always out of paper towels.  Can't say I'll return to this location.",https://www.yelp.com/biz/tgi-fridays-forestville?start=80,1.9280000000000002,1.9280000000000002,1.9280000000000002,1.9280000000000002,1.9280000000000004
