,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
54,Jon L.,"Suffield, CT",37,15,,1.0,2012-01-20,"Worst food ever, I come here a lot because they are open late and have a full menu available, but man is this food horrendous, I can't even begin to explain how bad it is, I wish I could post a picture of my ""medium"" steak right now, man this place is filthy, disgusting, waste of money, Ive had nothing but bad experiences, but the manager always gives us a free appetizer to keep us coming back, no more, I will not return ever",https://www.yelp.com/biz/tgi-fridays-framingham?start=80,1.5720000000000003,1.5720000000000003,1.5720000000000003,1.5720000000000003,1.5720000000000003
44,Chris B.,"Northbridge, MA",373,14,,2.0,2012-03-02,"good people, cute waitresses in yoga pants, and ESPN's always on... what's not to love? oh right, the food. it has just gone down in quality and the menu is so bad that a friend and i went in sat down looked at the menu then got up and left",https://www.yelp.com/biz/tgi-fridays-framingham?start=80,2.6,2.6,2.6,1.768,2.6
90,Anne H.,"Manchester, NH",5,52,33.0,1.0,2012-07-13,"This place is FOUL! I ate here with my roommate and the food made us sick. We got a ""cup of dirt"" for dessert. It was definitely prepared days (if not weeks) before we ordered it. The pudding had skin and the gummy worms were disintegrating into the pudding. We didn't eat it. When we told showed the waitress, she smiled and siad ""that's supposed to be there"" in a tone that was clearly talking down to us. I actually ended up running to the bathroom and vomiting up my salad because it made me so violently ill. I explained to the manager what had happened and had to fight with him for several minutes in order to ge it taken off the bill. He still charged me for my drink.",https://www.yelp.com/biz/tgi-fridays-framingham?start=60,2.52,2.52,2.52,1.6680000000000001,2.52
93,Igor S.,"Newton, MA",67,25,27.0,1.0,2012-07-14,"""Ouch! What happend to this place? The Cesar salad came without dressing and was wilted beyond repair. The ribs were dry and my daughter couldn't eat the chicken fingers - something wasn't right. The mojitos were too sweet. TGIFound somewhere else to eat!",https://www.yelp.com/biz/tgi-fridays-framingham?start=60,2.52,2.52,2.52,1.7000000000000002,2.52
70,Scotty B.,"Southbridge, MA",19,1001,2088.0,2.0,2012-12-01,"Though I've eaten here a few times in the past, this review will simply be about tonight's take out order. Keep in mind, the fact that I work less then five minutes from here, and we showed up earlier then we were told, yet my food was ice cold by the time i got back to work with it. Apparently, special orders do upset them because it didn't arrive with the correct condiments. On the plus side, my Jack Daniels Burger was good tasting, though the skimpy amount of fries that came with it did nothing to enhance the value of my almost ten dollar meal.",https://www.yelp.com/biz/tgi-fridays-framingham?start=40,2.48,2.48,2.48,1.832,2.48
87,Chris N.,"Gardner, MA",0,1,,1.0,2013-01-05,"Got seated, waitress took 10 min to come get drink order... at which time we put in our full order.  she didn't write any of our order down, rolled her eyes at the meals we ordered, then turned around and talked to a family if 6 for 10 min while taking their dessert order. After a total 20 min wait we had been spoken to rudely, treated poorly, and had no parts of our food to show for it...first time either of us have ever walked out of a restaurant.",https://www.yelp.com/biz/tgi-fridays-framingham?start=60,2.4,2.4,2.4,1.7000000000000002,2.4
85,Jenna F.,"Marblehead, MA",49,9,,1.0,2013-02-05,"Rude, inept waitstaff. Bad food. Skip it.",https://www.yelp.com/biz/tgi-fridays-framingham?start=60,2.4,2.4,2.4,1.7000000000000002,2.4
84,Meg N.,"Waltham, MA",14,14,,1.0,2013-02-11,"After the blizzard of 2013 the staff will play! My roommate and I went to this Fridays Sunday 2/10 around 6pm after the blizzard. We were seated by a decent host in the resturaunt section. We first sat around for about 20 minutes before even meeting a server of any kind. Our server Stacey checked the hostess booth finally to realize they we were seated in her section. She came up and seemed attentive after the whole ""I didn't know who was serving you guys"" mishap. By the time we had met Stacey we had our drinks, appetizers and meals all ready to order. So we ordered our entire meal right away, asking for our appetizers and wedge salads out first. The food came out in a decent time frame, although at this time a mother and daughter were seated after us and they ended up getting there meals and left before we even got our meals. Stacey took awhile getting back to our table it always seemed like she was busy and unavailable. I continued to give her the benefit of the doubt until our dessert came. My roommate got the brownie obsession and halfway through eating it pulled out a long brown hair. now my roommate has brown hair so she thought it was hers and let it slide until after we finished our dessert and noticed our lovely waitress Stacey standing in the KITCHEN playing with her hair while the food was being prepped. My roommate watched this waitress close to 20 minutes while she played and brushed her hair in the kitchen chit chatting it up with other waitresses while we waited over 20 minutes for our dessert to be taken away and our check to be given to us. In the additional 15 minutes it took for her to take our check and payment, we witnessed the hostesses and waitresses in front of the resturaunt slapping each others asses. GREAT professionalism ladies. I still left Stacey a 12$ tip on a 57$ bill because my roommate so nicely put it ""some people have bad days, like a bad hair day!"" With my 12$ Stacey, invest in a hairbrush so you don't track your hair in others food! Will be contacting a manager today as well and I WILL not be returning! customer service and fooling around on the job is one thing but hygiene and santitation is a completely other thing.",https://www.yelp.com/biz/tgi-fridays-framingham?start=60,2.28,2.28,2.28,1.7640000000000002,2.28
86,Tim P.,"Framingham, MA",4,13,1.0,2.0,2013-02-12,"Eh. If you are into chain food, Uno's is across the street.",https://www.yelp.com/biz/tgi-fridays-framingham?start=60,2.24,2.24,2.24,1.9600000000000002,2.24
94,Scott J.,"Framingham, MA",1,19,1.0,1.0,2013-04-24,"Went here last weekend and no one came over, so we left after 10 minutes and took our business elsewhere. Have had multiple bad experiences here, but keep coming back for the convenience and value. Not anymore. I'll be going to the new Outback and Beer Works from now on!",https://www.yelp.com/biz/tgi-fridays-framingham?start=60,2.16,2.16,2.16,1.8280000000000003,2.16
