,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
91,Benjamin T.,"Oakhurst, CA",5,46,1.0,1.0,2012-01-23,"I used to love TGIFridays, but after my trip there for my last birthday, they won't be getting any more patronage from me. After seeing all their great specials on the TV i decided that would be a fun place for a birthday dinner. NOPE. The wait time was changed several times, the host was apologetic, thats fine, he can't control that. Our server was like a carbon copy of Seth from Superbad. and he was a super bad server. No personality, no idea how to interact with human beings. The portions were minuscule compared to the price. Skip TGIFridays and try Applebee's instead.",https://www.yelp.com/biz/tgi-fridays-fresno?start=120,2.5320000000000005,2.5320000000000005,2.5320000000000005,2.5320000000000005,2.5320000000000005
83,R E.,"Fresno, CA",0,82,,4.0,2012-04-07,"Good place for happy hour. Service is dependent on what day you go. Friday/Saturday service is average (approx 10-15 minutes for your drink to arrive, 20 or more for your food). I have been going here for years and will continue to go.",https://www.yelp.com/biz/tgi-fridays-fresno?start=120,3.04,3.04,3.04,2.8320000000000003,3.0400000000000005
139,I Love Food A.,"Fresno, CA",1,38,38.0,5.0,2012-06-27,They have the best happy hour! Great service provided by Josh the bartender:) and great food!,https://www.yelp.com/biz/tgi-fridays-fresno?start=100,3.12,3.12,3.12,2.9320000000000004,3.1200000000000006
136,Catherine M.,"Oxnard, CA",38,7,5.0,1.0,2012-09-30,I understand that thisis a college community and you think that all we look forward to comsuming is alcohol but sometimes college students need to eat. I will never ever choose to eat at tgif  again the quality of the meal is no longer what it use to be the portions no longer justify the price. You can completely tell that the manager is cutting corners as quality of food is definitely not what they were serving I got the sizzling chicken and shrimp and the chicken came out like jerky its no longer a breast of chicken but thinly sliced over cooked chicken served with shrimp cover with spaghetti sauce. And boxed mashed potatoes.  There are tons of choices here and tgif will never ever ever be on my list again,https://www.yelp.com/biz/tgi-fridays-fresno?start=100,3.04,3.04,3.04,2.5000000000000004,3.0400000000000005
73,Lisa H.,"San Francisco, CA",168,60,63.0,3.0,2013-03-04,"I've only been here during the night time when all the rowdy college kids come out. Weekend dinner to late night can be pretty busy so make sure you come early and get a table. It can be a hefty wait time. If you come during late night, don't expect it to be quiet and relaxing. A lot of groups, including my own, can get really loud.  Staff is okay. They get the job done.  Food is so-so. You can't expect much from these chain restaurants but if you have a great crowd, the food won't be such a big deal. However, they have a great happy hour! If you're a lightweight, (like myself) it won't cost you more than $10 to get a good buzz. Along with the drink deals, all appetizers are half off.",https://www.yelp.com/biz/tgi-fridays-fresno?start=80,3.04,3.04,3.04,2.7960000000000003,3.0400000000000005
128,Meagan E.,"Fresno, CA",518,112,53.0,3.0,2013-07-01,"Every time I come here (unless I'm with a birthday dinner party or something) I sit at the bar, and I've always gotten great service. The bartenders are super friendly and they remember you! It's a pretty typical place to get a drink and some appetizers, but I give it 3 stars, because I've got nothing to complain about!",https://www.yelp.com/biz/tgi-fridays-fresno?start=100,3.04,3.04,3.04,2.8600000000000003,3.0400000000000005
133,Sam C.,"San Diego, CA",43,96,214.0,4.0,2013-07-11,A good place to go some grub on with friends and family. All time favorite is the Jack Daniel Ribs and shrimp!  And of course drinks are good too.,https://www.yelp.com/biz/tgi-fridays-fresno?start=100,3.08,3.08,3.08,2.8960000000000004,3.0800000000000005
45,Ameenah M.,"Sacramento, CA",414,210,1517.0,3.0,2013-11-08,Service eh. Food eh. Love happy hour !!!! Ordered the cheese dip which was good. Chicken wings were normal. Sliders were ok as well. Dessert was great!!! Love the Oreo madness.,https://www.yelp.com/biz/tgi-fridays-fresno?start=60,3.04,3.04,3.04,2.7960000000000003,3.0400000000000005
66,PatrickJ T.,"Bakersfield, CA",193,2922,14307.0,4.0,2013-11-15,"Do not have a TGI Friday's in my hometown so when I see a branch, I'll stop by once in awhile.  Saw this branch in Fresno so decided to drop by for a quick snack. Came in sometime between 2 and 3 pm on a week day.  Was seated quickly and served quickly also.  Since I was not really hungry, I just ordered my all-time favorite food from TGIFs. I ordered the Loaded Potato Skins appetizer!  TGIF is where I first discovered this treat, and nobody does it better than TGIF.  Something about those potatoes loaded with melted cheese, bacon bits, sour cream, and green onions just tastes so very very good.  They just do not taste the same buying them from the frozen food section at the grocery store. I'm not too crazy about anything else on the menu.  The potato skins are enough to make me a fan though.",https://www.yelp.com/biz/tgi-fridays-fresno?start=80,3.04,3.04,3.04,2.9600000000000004,3.0400000000000005
120,Aaron H.,"Fresno, CA",0,8,,1.0,2013-11-27,"Bad service!! We went in and before we even ordered drinks we are asked if we wanted full dinner menus.. When they brought our drinks back they didn't ask what we wanted to get for dinner.. They came back a few minutes later (and keep in mind they asked if we wanted dinner menus) they said, ""oh...,, we stoped serving dinner two minutes ago and completely wasted my time, my girlfriends time and more importantly her brothers time who happened to be the birthday boy & he didn't get to eat dinner that night on his own birthday...... Way to go TGI Fridays.... Never going back... EVER!",https://www.yelp.com/biz/tgi-fridays-fresno?start=100,3.0,3.0,3.0,2.5960000000000005,3.0000000000000004
