,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
36,Susan B.,"Port St. Lucie, FL",0,63,2.0,3.0,2012-04-01,"JD bacon burger was terrific and grilled chicken sandwich my husband had was juicy and tender. The fries were crispy and well seasoned.  Our only issue was with our server, Jaime B.  She  needs to get more/better training.  She couldn't keep straight what the two of us ordered and started clearing plated while the other was still eating.",https://www.yelp.com/biz/tgi-fridays-jacksonville-6?start=40,2.508,2.508,2.508,2.508,2.508
55,Tim M.,"Jacksonville, FL",128,386,347.0,3.0,2013-07-10,"Food is ok, Staff could be better.",https://www.yelp.com/biz/tgi-fridays-jacksonville-6?start=20,2.444,2.444,2.444,2.444,2.444
32,Stuart G.,"Baltimore, MD",21,17,46.0,1.0,2013-10-14,"Now here's the thing. I use to frequently enjoy libations at this place. Two of my  favorite bartenders in all of JAX are here. So it's with some regret that I'll say, I'll NEVER go back.  Last Saturday, after a wedding and previous nibbles, figured hey, stop by, laugh with some friends, have a drink, cool.  Pull up to the place, ALL the lights outside are off. It's only like 12am, they close at 2am, what gives? Drive into the lot, see some employees on the patio, ask they are closed, ""nope."" Park, attempt to open main door, locked, WTF? Employee outside says, ""oh, she locked that one, go around to the other side."" WTF?  We walk around, get in, walk to the bar. All the bottles are capped off, I see one of my faves, ""hey what's up?!"" as I mozy upon a barstool. At which point I'm advised they are closing early. ""Why?"" I ask.  And almost on cue, the manager appears at the top of the bar with her arms folded with a look on her face as if, I, the paying customer, who normally runs large tabs and tips 30%+ is inconveniencing her.  I'm told that the opening person for Sunday was hurt, so she, the manager with the crossed arms looking at me and my guests sternly as if we are not getting the hint, wants to close up early, so the kitchen is closed etc., etc.  Essentially, to hell with the longtime faithful customer supporting your business, and your staff. She wants to go home and now, we must too. I looked at the manager, and very audibly said ""I guess the customer is never right or welcomed around here, I'll go where I'm welcomed"". Some patrons remaining in bar area finishing up, cheered me as we walked out.  So I look at the situation like this, if that manager would rather lose money than stay open til the scheduled time, turn customers away by turning off the signage, turning business away that you clearly need, you don't deserve my dollars or patronage again ...EVER!   The Ale House around the corner, greeted me with open arms, warm, friendly, attentive attitudes and a cold glass. To make matters worse, some of the patrons at the bar, that were shooed from Fridays, by that epically well mannered and trained manager (yeah, that's sarcasm), ended up at the Ale House showing me love at the bar.   Maybe, just maybe, that unpleasant, non-customer focused, person, will think about the impact of her actions. Because now, I will share this story with the next 11 people I meet, every day,  for the next year or so, or until I can stand face to face and have a folded arm stare-off with that manager. Guess I'll be telling 11 people a day!",https://www.yelp.com/biz/tgi-fridays-jacksonville-6?start=40,2.212,2.212,2.212,2.212,2.212
38,Mark A.,"Lutz, FL",3,10,,3.0,2013-11-07,Good food like always. Staff need to be a little more friendly. Other than that good place to watch a game.,https://www.yelp.com/biz/tgi-fridays-jacksonville-6?start=40,2.476,2.476,2.476,2.476,2.476
52,Morgan H.,"Jacksonville, FL",51,337,830.0,3.0,2013-12-02,"My husband and I were looking for somewhere to grab a light dinner on Thanksgiving. We had been to lunch at the family's house but underestimated the fact that we would be hungry again later and neglected to take home any leftovers, so we spent a long time riding around looking for any place that would be open...TGI Fridays it was! There's nothing really special about the décor of this place just your standard franchise restaurant here, but the food was pretty good.  They have a tasting menu now where you can order 3 items for $16 or 5 items for $26 (I may be off on this price point but it's close) so we opted to do the 5 item one but we selected duplicates of 2 of the items...2 orders of the Ahi Tuna Crisps, 2 orders of the Thai Pork Tacos and 1 order of the Cornbeff Sliders.  I was pleasantly surprised with how good everything was. I would definitely order all 3 of those items again. And it was the perfect amount of food!",https://www.yelp.com/biz/tgi-fridays-jacksonville-6?start=20,2.444,2.444,2.444,2.444,2.444
47,Athena C.,"Jacksonville, FL",423,179,788.0,3.0,2014-02-20,"Walked in on a whim to get some lunch. Today it will be free because I joined their stripes club a while back.  I was immediately encountered by the hostess and was seated at a booth. I'm alone, oh so lonely with no one to share this booth, but they weren't too busy. I could have sat at the bar, but I'm not a"" sit at the bar"" kinda girl if I'm going to eat. I sat back by the bar area and ordered a Long Island Iced tea ($3 Thursday on the 2fer drinks) and took a moment to peruse the menu.  I decided on the new Philly Cheese stackburger. And when the manager brought out the food (assumed it was him because of his grey TGIFridays shirt and slacks) he warned me that the plate was hot...  Let me just say, I was unimpressed by the presentation. Too much empty space on my plate... but it's Friday's. I should have ordered a different entree if I wanted presentation. The burger seemed eh, but it was very succulent and juicy. Medium well and empty gooey cheese and cremini mushrooms dabbled in it. This is one good sandwich. Given it might give me a heart attack but yummy. The fries were kind of cold which I don't like but I ate them anyway...  The burger was so good. I'm glad I didn't skimp on getting a burger party removed because it definitely filled me up and had me satisfied.  Overall, I come to this location because it is close to home, service is decent (won't say amazing, because my server was not overly friendly but maybe she read my cues of the fact I was in my phone and gave me space)and the drinks are strong enough for me at a decent price. I will continue to come back as long as I keep having positive experiences.  Thanks Fridays!",https://www.yelp.com/biz/tgi-fridays-jacksonville-6?start=20,2.38,2.38,2.38,2.38,2.38
46,T.J. G.,"Jacksonville, FL",34,11,108.0,4.0,2014-02-21,"UNDER NEW MANAGEMENT!!  I went last night and a new manager was there. He and our server, Ashley, know how to do customer service! Come enough to know they are there for us, but not too much to be annoying. Ashley refilled our drinks in perfect timing with us finishing our cups. She was happy, smiling, friendly....well you get the picture. So let's get to the meat of this review.  PROS: -Customer service done right! -Delicious Food! (Did you see my Dragon fire Salmon pic? Or appetizers?) -Open spaced atmosphere. Very Chill. -Open late (2am baby!!) -Drinks...you go...you'll see ;-) CONS: -Menu seems a little lack luster. 2 for $23 or 2 for $15 are good deals but how about two meals and not an appetizer and meal. Like 3 for $30 or something. I wouldn't compare it to Applebee's or Chilis b/c the food and ingredients are different.  -Seats aren't as comfortable as I'd like...just a little more cushion. Overall, that was a great experience! I saw the reviews and wasn't expecting things to be that good, but I'm a happy camper! I'm not sure if the new manager will be there often, but if he is the reason for the new change in service, then I hope he keeps up the good work.  I'm Tajuan and I thank YOU for reading this review! (Trying out new sign offs)",https://www.yelp.com/biz/tgi-fridays-jacksonville-6?start=20,2.512,2.512,2.512,2.512,2.5120000000000005
31,Khristopher B.,"Jacksonville, FL",133,93,95.0,3.0,2014-04-14,"I have to say that in general I like TGI Friday's. But at this particular location, I've gone twice. The first time was a terrible experience, but the second time was ideal. In a February review, T.J. G. notes that this location is under new management. Perhaps that's the reason why I had great service during my most recent visit and an awful experience the first time. Now, away from the level of service, I can't find too much to complain about for TGI Friday's. The atmosphere, whether the place is packed or scarce, is always calm and the noise level allows me to speak to the person across the table. The interior isn't over classy and elegant and it's not a complete dive bar hole in the ground. It finds that happy middle and just is what it is. Onto the food, a tiny part of me feels like it takes my meals too long to come out. But when they finally arrive, I'm never dissatisfied. Somehow, they're able to feed me the perfect portion size where I'm not super stuffed and I'm not starving 45 minutes later. So, if the facts are true and this TGI Friday's is under new management, please give this location another chance.",https://www.yelp.com/biz/tgi-fridays-jacksonville-6?start=40,2.444,2.444,2.444,2.444,2.444
24,Chelsea S.,"Jacksonville, FL",229,257,109.0,4.0,2014-06-01,Always a good experience cheap burgers cheap beer. great service.,https://www.yelp.com/biz/tgi-fridays-jacksonville-6?start=40,2.48,2.48,2.48,2.48,2.48
50,Aja M.,"Pooler, GA",9,37,18.0,2.0,2014-06-26,"TGI is a rare commodity to me and my mother but this TGI was just the opposite.  Pros: Absolutely amazing Customer service!  Cons: -The ribs as well as the shrimp were overcooked to the point where they were inedible.     Next visit to Jacksonville , we will definitely have to try the other TGIF located on Southside Blvd.",https://www.yelp.com/biz/tgi-fridays-jacksonville-6?start=20,2.184,2.184,2.184,2.184,2.184
