,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
44,Jessica W.,"Plainfield, IL",21,8,,1.0,2012-08-12,"I've been to a lot of TGI Friday's in the past, and always thought it was decent food in a fun atmosphere. Well, this was my first visit to the one located at Louis Joliet Mall - and it was my last.  The food was pretty generic, and considering they're charging at least $10 for an entree, it felt like we were getting ripped off.  Our server did manage to smile a couple of times when speaking to us, but we hardly ever saw the guy. The place was pretty slow & I can understand if a place is really busy that the wait staff might get a little behind, so I'm not sure why our server was never around.  They forgot a side item my husband ordered, and when he asked for it we were told, ""Well, sometimes not everything you order will go through on the computer..""  ---- Huh??? ----We waited another 10 minutes to get finally get it.  My husband had to get back to work, so I told him to go on ahead and that I would close out the tab. Yep....waited another 10 minutes to get the check. If you're thinking about eating here for a quick lunch, you'll have better luck going to Panera Bread across the hall instead.",https://www.yelp.com/biz/tgi-fridays-joliet?start=40,2.5000000000000004,2.5000000000000004,2.5000000000000004,2.5000000000000004,2.5000000000000004
49,Yvette C.,"Shorewood, IL",0,15,4.0,5.0,2013-01-13,"I really like this TGIFriday's. My servers have always been really polite and even remembered that we had some food allergy issues to contend with. I was pleasantly surprised with the changes in the menu from a few years ago and the variety. There are also a number of healthy options for the kids menu and I find that the chicken on the skewer always goes over well with my children. Overall, I enjoy eating here and would highly recommend it.",https://www.yelp.com/biz/tgi-fridays-joliet?start=40,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004
31,Angela P.,"Aurora, IL",440,1743,13.0,3.0,2013-05-24,"Friday's has been low on my list of family-oriented chain restaurants.  I'm much more of a Chili's kind of gal.  But when I got some coupons in the mail, I held onto them for one of those ""we need to get out of the house for dinner, but we need to do it cheap"" kinds of nights. And that was yesterday.  It was surprisingly busy for a Thursday evening, but then I saw the $3 drink and appetizer specials.  The Long Island was just okay, I'd probably pass next time, but what do you really expect for $3?  The white queso was delicious, and well worth the $3. Our burgers arrived, and they were really sad-looking.  I know meat doesn't have emotions, but the burger patties appeared dry, and they were skimpy on the toppings.  They tasted fine though.  Fries were also limp. The service was friendly, but our server left dirty plates on our table when we were finished with our appetizer.  When he delivered our burgers, he still left the dirty dishes and walked away.  He later came back with some additional condiments for us, and just plopped those on top of the dirty dish instead of taking them away.  Three opportunities to clean those babies up, but they remained until we were done with our meal. I know I don't have to say that Friday's isn't a fine dining establishment.  But I wouldn't recommend this even for a date night.  Maybe a quick happy hour after work with some appetizers, or to use that coupon like we did. $29 for 2 alcoholic beverages, 1 appetizer, 1 bowl of soup, and 2 burgers with fries.  I can't complain too much about that.",https://www.yelp.com/biz/tgi-fridays-joliet?start=20,2.668,2.668,2.668,2.668,2.668
38,Alisha M.,"Palos Heights, IL",157,257,149.0,4.0,2013-11-10,"I rarely go into restaurant food franchises but my boyfriend insisted we go here and I'm really glad we did. We've been here like 4 times so far and they are so consistent every time; the Food comes out just the way we ordered it, very good and hot. Can't really ask for much more. we come here when were a little short on cash and get the 2 for $10 meals, I always start with a classic wedge salad and it is SO good! Iceberg wedge topped with tomato, lots of bacon, blue cheese and blue cheese dressing. It's perfect. Today we went and were promptly seated but had no service for 12 minutes (we timed them lol) we brought it to the managers attention and he gave us our drinks and desert for free and discounted our remaining bill 50%. The staff was wonderful. We will definitely be coming back.",https://www.yelp.com/biz/tgi-fridays-joliet?start=20,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997
37,Anna N.,"Naperville, IL",2,56,,2.0,2013-12-09,"The food is ok but I am upset at the waiter we had today.   My husband and I were out Christmas shopping and after we looked at the menu I decided it would be a great idea for us to call ahead to two stores to ask if items were in stock.  If not, then we'd save a trip or two!    Just as my husband and I got on our phones the smart ass waiter said ""You're supposed to talk to each other"" Well ha, ha, he's so clever.   Like I had never thought of that!    We're not one of those families that allow all our kids to be on phones at the table, in fact 2 of my kids don't even have phones!   Next time Mr. Waiter, just try and bring our food on time!",https://www.yelp.com/biz/tgi-fridays-joliet?start=20,2.504,2.504,2.504,2.504,2.504
46,Roy H.,"Joliet, IL",18,33,2.0,3.0,2014-02-21,Love the Jack Daniels sauce but the cut of meat is too cheap and tough. Green bean fries are great though with ranch sauce,https://www.yelp.com/biz/tgi-fridays-joliet?start=40,2.668,2.668,2.668,2.668,2.668
47,Dolores U.,"Channahon, IL",291,14,10.0,1.0,2014-03-24,"Probably the slowest and worst service I have ever had. Came for lunch today with my fiance, we were immediately led to a booth by a nice hostess. We were greeted five minutes later by a waitress who whispered what we'd like to drink. Very unfriendly. My fiance opted for a bacon cheeseburger which he devoured and said was very delicious. I on the other hand, opted for potato skins and the BBQ chicken flatbread. The food came pretty quickly, but unfortunately my flat bread was ice cold.  I basically flagged down my server to send it back and ask for a side of ranch. She took it and said it would be remade. Twenty minutes later it comes out with onions. Too many to pick off. 15 minutes later the server asked if everything was okay, i told her no, because of the onions and she took the plate without apologizing and we were now on our third try to get the flat bread right. I reminded her that I still didn't have ranch when it was going on twenty mminutes of me asking. What happened next blew my mind. She went to the table behind us and chit chatted with them for about five minutes. Came back and put the ranch on the table. Finally third flat bread came out, warmer than the first one and with no onion. Still not hot. I just ate quickly and waited for the check. Took another ten minutes because the manager was comping the flat bread. Got the check, the remade flatbread was comped but still charged me for the first one. We weren'toffered a single refull the entire hour and a half we spent at lunch. i myself am a server and regularly tip 30% for good service but this was not worth a tip. Awful.",https://www.yelp.com/biz/tgi-fridays-joliet?start=40,2.404,2.404,2.404,2.404,2.404
25,Marie N.,"Villa Park, IL",35,368,182.0,3.0,2014-05-18,"My husband and I are T.G. I. Friday fans and we've been to several locations in Illinois and other states.  Service at this location was not as good as the service we received at other locations.  I had to ask twice for silverware.   One suggestion I have is that when the food runners deliver the food to the table, before leaving, ask ""Is there anything else I can get for you?""  I saw the food runners just dropping off the plates to the tables and then walking away.  Our food runner left so quickly I didn't get a chance to say ""May I have silverware, please?.""  FYI, normally if the table does not have enough silverware, I will grab one off of a empty nearby table but all of the nearby tables did not have silverware. Fries were room temperature.  If I was planning to eat all of the fries, I would have asked for them to be replaced with hot, or at least warm, fries.  The room temperature fries made it easy for me to do my own portion control and just eat a few of them. Other than the fries, all of our appetizers and entrees tasted good.",https://www.yelp.com/biz/tgi-fridays-joliet?start=20,2.732,2.732,2.732,2.732,2.7320000000000007
42,Lexy V.,"Montclare, Chicago, IL",0,4,2.0,2.0,2014-07-02,"Me and two friends call in around 10:45 on a Wednesday evening. We were originally thinking of going to MoJoe's, but they weren't serving the whole menu at that time, so we ended up here.  Our hostess gave our group of 3(a few younger under-age college students) a seat at a small table by the..completely crowded bar? Right away I could tell that the section I  was in was understaffed and overwhelmed. Our waitress-half of the reason for this 2 star rating- was doing her best to be attentive to not only the aforementioned completely crowded bar as well as the several tables she had to wait.  The manager seemed completely useless. He would start small chat then abruptly walk away..rude..and he came up to us noticing my friends' empty drink, and abruptly left without taking then cup or bringing her any beverage.  Ok..the drunk adults. I really don't know what kind of sad breed of Jolietian spends their Wednesday evenings taking shots of shitty, overpriced shots, washing it down with shitty, tap beer while ""Higher Love"" plays at a volume too high for regular vocal human interaction. Whoever they are, they are really loud and annoying. I'm not exactly trying to chastise their behavior-but don't seat my group of younger people by the bar. The biggest disgrace of all was the food. The Tennessee Whiskey Cake-the second half of this 2 star rating- was some of the best shit I've seen this side of the Mississippi. I won't go too much into detail, as it was only a glimmer on the sad December that was my dining experience tonight.. Ok, the bruchetta should have been brought out fresh before everything else was done being cooked. But no- The oil made the bread too soggy after sitting out. For shame. The pot stickers, meh. THEN..the sizzling chicken and shrimp. The sauce for the shrimp was a chunky, flavorless nightmare. The overcooked chicken added to this flavor-hating dish, and the microwave powdered mashed potatoes were certainly the finishing touch. I felt meek when i wanted a refund..at least for the disgusting entree, but I didn't want to make a fuss and paid and left.  I pissed away damn near $40 on not only repulsive, nearly in edible meal, but on a crowded, obnoxious environment and a flustered manager who didn't know how to conduct a business. Hope you guys fix your shit before they turn your sad asses into a more respectable, delectable, red robin.",https://www.yelp.com/biz/tgi-fridays-joliet?start=40,2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005
45,Tedi M.,"Ashland, KY",2,5,,4.0,2014-07-25,"Went for my boyfriends 22nd birthday and we had a blast. They were fairly pricey. But, more than accommodating.",https://www.yelp.com/biz/tgi-fridays-joliet?start=40,2.8320000000000003,2.8320000000000003,2.8320000000000003,2.8320000000000003,2.8320000000000007
