,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
13,Jason C.,"Lawton, MI",34,110,7.0,4.0,2012-12-27,"Had the potstickers and jack Daniels sirloin. Both were prepared well and were delicious. Service was quick and friendly. I know it's a chain, but is one of my favorites and seems to churn out actual good food.",https://www.yelp.com/biz/tgi-fridays-kalamazoo-3,,,,,
14,Heather W.,"Allendale, MI",0,46,2.0,2.0,2013-07-29,"Service was not at all friendly (smile, people!)..I've definitely been to better TGI Fridays locations. Their parking was a bit of a turn off as well.",https://www.yelp.com/biz/tgi-fridays-kalamazoo-3,,,,,
10,Lee R.,"Wayland, MI",0,6,,1.0,2014-02-18,"The service was not good. She offered no refills on coffee. She was nice just not a proficient server and this was during a slow time.  The burger was ok. The fries were soggy, seasoned poorly and cold. Pot Stickers were good, pretzel rolls ok but the cheese dip was awful.  Vanilla cheesecake was not at all what I expected. Does not fit description. Not a cheesecake trust me and I do not recommend. Carmel cake with ice cream was ok. Very dry but ok. Nothing like the description.  I have no intentions of going back to that particular one.",https://www.yelp.com/biz/tgi-fridays-kalamazoo-3,,,,,
0,Ryan M.,"Carrick, Pittsburgh, PA",1,24,3.0,5.0,2014-06-14,"I was visiting friends in Kalamazoo and stopped at Fridays for a bite to eat. It was a Saturday afternoon. Upon entering the restaurant I was greeted immediately and seated within a couple minutes. My waitress was Lindsey and she did a great job. Shortly after being seated she asked for a drink order or any appetizers. She also gave the specials for the day.  We placed our order and the food came out exactly as ordered. I am a picky eater so I usually get mad if my order is not correct. The food was great. The service was fast.  It was afternoon so it wasn't as busy. I definitely recommend this place. If you do stop make sure to ask if Lindsey is working. She did a great job.   Thank you Friday's and Lindsey for a great afternoon Meal. Ryan Pittsburgh, PA",https://www.yelp.com/biz/tgi-fridays-kalamazoo-3,,,,,
12,Michael R.,"Kalamazoo, MI",3,3,1.0,5.0,2014-12-30,"I visit this place usually once a week. I always have excellent service. I read a lot of bad reviews about this place, but I have never experienced those issues here. I usually sit at the bar, where Ian is #1 in town!",https://www.yelp.com/biz/tgi-fridays-kalamazoo-3,,,,,
9,Shawn B.,"Mattawan, MI",56,152,115.0,5.0,2015-01-22,"I used to be a regular at this Friday's when I was in college. This though, was probably my first visit in at least five years. We stopped by on a Saturday around six, seated right away, no wait. The menu was very different, tons of good choices though and some old favorites. Always love the Jack Daniels chicken or steak. Highlight was the new drink menu! So many new and interesting drinks. It was hard to decide what to get. I opted for the blackberry Long Island and it was delicious. Came in a shaker and was easily the size of three regular drinks. Both my hubby and I had the jack Daniels chicken sandwich, fantastic, no complaints. We'll be back :)",https://www.yelp.com/biz/tgi-fridays-kalamazoo-3,,,,,
11,Julene A.,"Columbia, KY",1,19,2.0,4.0,2015-04-13,"Went here for a late lunch and split an order of the baby back ribs.  Definitely the best ribs we've ever had.  It took all of our resolve and discipline not to pick the bones clean with our teeth right there.  Before that we decided to try the new appetizers - the Thai pork tacos, ahi tuna crisps and the meat skewers.  All were delish, especially the Thai pork tacos.  For dessert we tried the Whiskey cake and it was okay.   Would have liked it to be more flavorful and less rich but we still enjoyed it.  My only complaint is that a table across from us was covered in dirty dishes and stayed that way the entire time we were there.  There was no excuse for that mess to be left there for so long.",https://www.yelp.com/biz/tgi-fridays-kalamazoo-3,,,,,
8,George S.,"Battle Creek, MI",3,7,,1.0,2016-02-20,Well I cam back for more punishment.  Never again.  Two hours and still setting here. Our food took forever and when it got here half of it was dried out from setting under the heat lamp for a long time. My shrimp showed up after we were done eating.  The table besides us complained as well.  We are done wit this location.,https://www.yelp.com/biz/tgi-fridays-kalamazoo-3,,,,,
5,Carl J.,"Ypsilanti Township, MI",0,13,2.0,1.0,2016-02-22,Came here Saturday afternoon was not crowded and there was only seating on one side of the restaurant. We ordered our food and it took about forty minutes to get it.  I ordered the sizzling chicken and shrimp. It might have sizzled 30 minutes ago when it was made but the food must have been sitting under the heating lamps because what used to be melted was now a semi solid blob with some dried out chicken. Since we had been waiting so long to get our food I ate what I could because somebody we were with had to leave by a certain time. We never got refills on our drinks as well. We had to track down our server because we never saw her so we could ask for our check.,https://www.yelp.com/biz/tgi-fridays-kalamazoo-3,,,,,
7,Red P.,"Kalamazoo, MI",58,2,,1.0,2016-07-18,"Severely going downhill. Short staffed, beer issues... like no beer on tap... Manager kept giving excuses... It was once an ok place",https://www.yelp.com/biz/tgi-fridays-kalamazoo-3,,,,,
