,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
31,Josh M.,"Lexington, KY",87,183,181.0,3.0,2012-12-29,Tuesday day off with a little Friday before I shop!,https://www.yelp.com/biz/tgi-fridays-lexington-3?start=20,2.0280000000000005,2.0280000000000005,2.0280000000000005,2.0280000000000005,2.0280000000000005
32,M M.,"Arroyo Grande, CA",0,16,,1.0,2013-10-20,"just wanted to sit at the bar to watch football, but the bartender was so rude, we decided to leave.  normally love tgi Fridays.  we wont be back to this location!",https://www.yelp.com/biz/tgi-fridays-lexington-3?start=20,1.7640000000000002,1.7640000000000002,1.7640000000000002,1.7640000000000002,1.7640000000000002
27,Marcus R.,"Lexington, KY",3,28,1.0,2.0,2014-06-08,Apparently the bar is not open seating.  If you just walk in and sit down you can expect to barely receive any service.  Sure we broke the rules but what restaurant doesn't have open seating in the bar.  Doesn't mean we should get crapped service.,https://www.yelp.com/biz/tgi-fridays-lexington-3?start=20,1.864,1.864,1.864,1.864,1.864
16,Dennis W.,"Lexington, KY",246,163,626.0,4.0,2014-06-30,"I ordered the Cajun Shrimp & Chicken Pasta. It was delicious and had a nice amount of heat for the dish. It comes with tender chicken pieces, shrimp, red peppers and shaved parm. cheese atop linguine noodles and the Cajun parm. sauce. The dish was garnished with parsley flakes, in abundance, but it was quite good.",https://www.yelp.com/biz/tgi-fridays-lexington-3,2.096,2.096,2.096,2.096,2.096
28,Darian N.,"Lexington, KY",0,11,2.0,1.0,2014-07-03,"Slow service, rude service, and the food was dry and flavorless. Do not recommend at all.",https://www.yelp.com/biz/tgi-fridays-lexington-3?start=20,1.7320000000000002,1.7320000000000002,1.7320000000000002,1.7320000000000002,1.7320000000000002
19,Olwen C.,"Lexington, KY",340,630,4127.0,3.0,2014-08-14,"It's TGI Fridays. Food is decent, but nothing special. This location has a nice outdoor patio. I've only been to this one once but service was good that day. Join their email club and they send out coupons for free appetizers and such. What else can be said about a big chain restaurant? You know what you're getting when you walk in.",https://www.yelp.com/biz/tgi-fridays-lexington-3,1.9320000000000002,1.9320000000000002,1.9320000000000002,1.9320000000000002,1.9320000000000004
30,Melanie M.,"Lexington, KY",1,37,,2.0,2014-09-01,"I really wish lexington casual dinning restaurants would get there stuff together. The breeders Cup is coming in a year. Lets go Went in at 2:30 for a snack with my husband most of the staff was hanging out on the side of the bar with at least 3 dirty tables and food on the floor, nice. We had to wait to order drinks but our food came in 5 -7 minutes ice cold so not something i expect from FRidays, my husband told the manager who was busy texting and really didnt care",https://www.yelp.com/biz/tgi-fridays-lexington-3?start=20,1.768,1.768,1.768,1.768,1.7680000000000002
24,Elisha R.,"Berea, KY",0,21,,4.0,2014-10-04,We are regulars at this TGI Fridays and of course the food is not 5 star quality dining they usually do pretty good at our dishes. We may be bias to this location because we stop in fairly regularly so they know us fairly well but even from the first few visits we were treated great. There have been a few instances when the food wasn't quite on par or there was a new waiter or waitress who was new and not quite up on their game but that's easily overlooked since we are regulars.  I would recommend this place to anyone near by the mall looking for a nice hot dinner after a long day of shipping. Fridays is also great for their points reward system and after a few meals you can easily build up to get a free entree or desert of your choice. I have been to several other Fridays which disappointed even in Lexington but this is one to check out if you want a good quality.,https://www.yelp.com/biz/tgi-fridays-lexington-3?start=20,2.032,2.032,2.032,2.032,2.032
26,Katherine R.,"Nicholasville, KY",0,13,5.0,2.0,2014-10-28,"Came for French onion soup and it was under-toasted,  thick and very salty.  Ordered boneless wings and the breading was hard as a rock.  The jack daniels chicken strips were tough but the pot stickers were good.  Service was very good.  Manager offered a free dessert in lieu of the problems and comped most of our check.",https://www.yelp.com/biz/tgi-fridays-lexington-3?start=20,1.832,1.832,1.832,1.832,1.8320000000000003
29,John E. F.,"Lexington, KY",0,47,2.0,1.0,2015-01-03,"Have you been to Friday's on a Friday after shopping?  Don't bother if you are not a regular. If you are not grossed out by the skinny greasy guy serving you a drink, you will be angry when 17 minutes after your first drink & menu-you asked if you ""ready to order food?"" The two bartenders are pitiful. Food was over priced but okay. Obviously under bad management, never saw one to complain to.  Unless you just can't find any place else to eat, don't bother...",https://www.yelp.com/biz/tgi-fridays-lexington-3?start=20,,,,,
22,Kyle A.,"Covington, KY",0,2,,1.0,2015-03-14,Only 1 Star because that is the minimum.  Poor and Rude service. Food isn't worth the price or the wait.  Took over 2 1/2 hours to get drinks food and bill. Hostess was very rude we didn't even get menus had to get those ourself.,https://www.yelp.com/biz/tgi-fridays-lexington-3?start=20,,,,,
20,Bonnie K.,"Lexington, KY",87,65,134.0,3.0,2015-06-03,"Shared an appetizer trio, traditional wings, potato skins, and mozzarella sticks.  We ordered a beer and a strawberry daiquiri but the waitress told us they were out of strawberry mix - what???  I had to settle for a glass of moscato instead.  Really disappointed that I couldn't have what I wanted.  Food was very good but I was looking forward to a strawberry daiquiri after work.  Service was acceptable although a little slow because there were only a few tables when we were there.",https://www.yelp.com/biz/tgi-fridays-lexington-3?start=20,,,,,
23,Brittaney C.,"Nicholasville, KY",0,4,,1.0,2015-08-01,"This is an awful place and the only reason it's getting 1 star was because the food was semi-decent.  When we got there we were sat at a dirty table that had someone else's food all over it!  Then we sat for 15 minutes without any silverware or waiter.  Our waiter barely talked to us and found any reason he could to leave.  I understand that it's a busy day but this was ridiculous.  We had to chase down a server several times.  I understand that you have a ""flexible"" dress code but the hostess's outfit was so not acceptable or appropriate.  I will not be back at all!",https://www.yelp.com/biz/tgi-fridays-lexington-3?start=20,,,,,
15,Amy R.,"Lexington, KY",27,134,56.0,1.0,2015-08-31,"I should've read the reviews. Service was pretty bad. The hostess recognized us from a ""career"" standpoint and said as much, which is considerably rude when we are trying to be ""regular"" customers. (EVERYONE deserves the right to a personal life, people!). We had to ask for refills and it took forever. The worst part is that our waitress was obviously high. The food was okay, but I can't haggle with the drug scene. This one's off the list for good.",https://www.yelp.com/biz/tgi-fridays-lexington-3,,,,,
21,Brian S.,"Paris, KY",0,79,9.0,1.0,2015-09-06,Not a fan. Stop slapping the Jack Daniels sauce on everything. By next year itll be their house salad dressing.,https://www.yelp.com/biz/tgi-fridays-lexington-3?start=20,,,,,
25,Michael H.,"Fort Mitchell, KY",0,10,,1.0,2015-10-24,"We came to Lexington for the weekend and had our entire family stopped at TGIF . The absolute worse service and food quality . I asked for no blue cheese , blue cheese was all over . Server was not interested in hearing my concern . I would recommend to never eat at this location",https://www.yelp.com/biz/tgi-fridays-lexington-3?start=20,,,,,
14,Kristina P.,"Lexington, KY",34,99,22.0,3.0,2016-01-18,"This particular location of the popular chain used to be really hit-and-miss. It's location adjacent the mall no doubt means they have some really heavy traffic at times and the servers might get tired or things might run out, but often the food was overcooked and dry. My husband loves this place so a couple of times a year for some reason we don't go to the Hamburg location and instead are on this end of town. They seem to have improved at this location recently. The food has been hot and fresh. It's not mind-blowing food, but it is good TGIFriday's food. I've also noticed that the service has improved significantly. The waitstaff still seem like they have to cover too many tables, but they are more professional and attempt to be attentive. If I had to rate this place 2 years ago I would have given it 1 star, but in the last few months it has earned a solid 3.",https://www.yelp.com/biz/tgi-fridays-lexington-3,,,,,
17,Kevin F.,"Lexington, KY",35,24,3.0,2.0,2016-01-27,"Well to start with there prices are ridicules anymore. It's $20 per person or more for most of there meals. Almost $3 for a Coke??? Last night I got the sizzling chicken, and the chicken had a odd texture and tasted odd. I hope I don't get sick. The meal was $14 and I had to spit out half of it because it was so fatty. So save your $ and try something better.",https://www.yelp.com/biz/tgi-fridays-lexington-3,,,,,
18,Cynthia L.,"Lexington, KY",1,2,,4.0,2016-01-30,"We really enjoy coming to this TGIF. The staff is always friend and the service is always exceptional. Today while waiting on our food, I believe, the manager, which had a blue shirt, screamed at a staff member, loud enough for everyone to hear ""Is this the way you train your staff!? To watch the tv!? Hu!? You just lost your job!"" How embarrassing this must be! As a local restaurant owner, this is definitely not something your customers would like to hear. This should be addressed.",https://www.yelp.com/biz/tgi-fridays-lexington-3,,,,,
13,Stella P.,"Hazard, KY",15,79,4.0,1.0,2016-08-07,"So I originally had given this location four stars years ago. The last two times I have been to Friday's at this location, services has been awful. Yesterday my husband and I sat for 20 minutes at a table while a server floated about from tables all around us, we were ignored. Our drink orders were not taken, we were not acknowledged at all. Extremely disappointed! Although I love their ribs so much, I will never return. All respect has been lost.",https://www.yelp.com/biz/tgi-fridays-lexington-3,,,,,
12,Kelly S.,"Georgetown, KY",28,15,19.0,1.0,2016-11-05,"As others have stated: Listen to the reviews! I normally enjoy Fridays, and visit the Hamburg location here in Lexington. The 474 menu affords me a cheaper option to enjoy the Jack Daniels chicken that I really enjoy. This is the entree that both people in my party ordered today and it was sadly lacking. The chicken was severely dry and the complete underside was burnt. To compensate the fish was drowned in JD sauce which did nothing but accentuate the charred dish.  In addition to the poor food quality we also had service issues making the entire visit a total flop. We waited far too long for our order to be taken and once we were being helped getting drinks was a hassle.  Spend your hard earned dollars at another Lexington spot and pass on this one.",https://www.yelp.com/biz/tgi-fridays-lexington-3,,,,,
8,Casey S.,"Lexington, KY",70,124,376.0,5.0,2017-02-20,What a cool looking place ... They have Great scenery in this place from a canoe to a bike to all kinds of cool stuff. They are doing UNLIMITED APPETIZERS FOR $10 BUCKS ... I ATE 6 DIFFERENT APPS AND IT WAS ONLY $10 BUCKS .. The service was great ..A special thanks to our waitress Jordan ... I will be back and I do recommend. ..,https://www.yelp.com/biz/tgi-fridays-lexington-3,,,,,
