,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
99,Janelle B.,"Miami, FL",186,200,32.0,1.0,2012-01-20,"This place doesn't deserve a single star. The service was horrific and the food, when it finally arrived at our table, was cold.",https://www.yelp.com/biz/tgi-fridays-miami?start=120,1.6360000000000001,1.6360000000000001,1.6360000000000001,1.6360000000000001,1.6360000000000001
63,Vane V.,"Miami, FL",141,60,54.0,3.0,2012-02-05,So I had the pick 3 for $16.99 and it was alright. I picked a broccoli and cheese soup to start my meal and it was really good. Super tasty. Then I had the 10 oz sirloin steak with parmesan steak fries and mashed potatoes. The steak wasn't good at all but the parmesan fries were really good.  The best part was desert. I had the vanilla bean cheesecake which was fantastic. I actually want another slice. So yeah. Everything was really good except the steak.,https://www.yelp.com/biz/tgi-fridays-miami?start=100,1.9000000000000001,1.9000000000000001,1.9000000000000001,1.9000000000000001,1.9000000000000004
81,Daniel R.,"Miami, FL",35,144,71.0,4.0,2012-02-23,"Alright boys & Girls, I came here about a couple of weeks ago and I gave this place two stars, the main reason was that the food me and my friends ordered were bad and didn't live up to its expectations, plus the service took forever to get our orders and get our food out to us. So to be fair & unbiased - I gave them the benefit of the doubt like my favorite old saying ""every dog has its day"" that day wasn't theirs... So i got there around 2200 (10:00pm) met up a couple of friends... the server got there quick, and she was very attentive. The appetizer spinach dip was excellent freshly made, the tortillas didn't taste stale at all. My friends ordered half rack ribs, sirloin steak & half rack rib with fries, and i ordered of course the healthy petite USDA 6oz steak with asparagus (gotta watch my figure) ... the food came out perfect! Everything was cooked properly, nothing was stale as it was before and it actually tasted good. The bad side was that we ordered the brownie sundae thing for desert it was good but to find out there was 2 pieces of long hair melted inside the brownie (YUCKKKK)... but the manager apologized and got us another literally 2 minutes later... very good A+ BIG IMPROVEMENT!!!",https://www.yelp.com/biz/tgi-fridays-miami?start=120,1.936,1.936,1.936,1.936,1.936
57,Mandy L.,"West Miami, FL",275,89,47.0,4.0,2012-05-29,This rating is solely based on the bar during Happy Hour.  I will admit that I don't really like the food here. It's not that it's terrible. It's just nothing to write home about.  The babes and I used to come here often for the late night Happy Hour specials. Their Happy Hour ends at 7pm but begins again at 9pm until closing at 2am.  Sweet! The bartenders are down to earth and know their stuff! The service at the bar is always quick and friendly. It's always entertaining to watch them practicing juggling bottles. Most of the bartenders here will remember your drink of choice if you frequent the location. They're good like that!,https://www.yelp.com/biz/tgi-fridays-miami?start=80,1.936,1.936,1.936,1.936,1.936
107,L.J. H.,"Miami, FL",1,46,2.0,3.0,2012-07-22,"I tried the mozarella and tomatoe salad, it was ok I've had better. We also had a trio of dip with fresh warm tortilla chips. It had Mediterranean hummus, cheese dip, and salsa. Very good appetizer! The drinks were great, we had a few rounds of Long Island Iced Tea and chilled Patron. Great bartenders",https://www.yelp.com/biz/tgi-fridays-miami?start=140,1.7400000000000002,1.7400000000000002,1.7400000000000002,1.7400000000000002,1.7400000000000004
106,Jessica C.,"Miami, FL",0,31,,1.0,2012-08-21,"Disgusting. It stinks very bad as soon as u walk in. The server didn't want to honor the $5 coupon we had because I ordered the 3 for $16.99, so he said he would give 2 checks to be able to honor it. Well he took extremely long for everything. Took his sweet time was so bad the customers next to us got sick of waiting and left. He never brought those 2 separate checks. I decided to tip him $0. Never going to that location again. You have been warned.",https://www.yelp.com/biz/tgi-fridays-miami?start=140,2.68,2.68,2.68,1.4760000000000002,2.68
118,Katrina L.,"College Park, MD",562,198,638.0,3.0,2012-11-18,"Our server was the best part of the meal. Fridays is my usual no-fail restaurant...I have been to numerous locations across the U.S. so I know what to expect. I have favorites on the menu that never disappoint. However, this particular location wasn't the greatest. I had several problems with my order (no fault of my server, rather the kitchen) and the bathroom was horrid.  I understand Dolphin Mall serves a lot of people but they need their cleaning people to be in the bathroom round the clock...if that is where the kitchen staff is washing their hands....(yuck)! Food/experience was so-so. Could have been better. TGI is a chain so I would never complain about the overall menu items but my personal experience at their various locations and this particular one was less than stellar.  2.5 stars, generous enough to round to 3.",https://www.yelp.com/biz/tgi-fridays-miami?start=60,2.72,2.72,2.72,1.6760000000000002,2.72
52,Michael R.,"Miami, FL",44,37,1.0,5.0,2012-11-25,"This review is not about the food, or the service. I think anyone who has been to a chain like Chilli's or Applebee's pretty much gets an idea of what this place is like in terms of the menu.  My review is solely about the happy hour. This place, by far, has one of the best happy hours of all restaurant/bars. Well drinks are $2.50 (how can you beat that?).. and many of the appetizers are half off as well (including wings).  Normally when I go out for drinks I try and check out a new spot but lets face it.. sometimes you just want to go to a place that is safe and easy and requires minimal effort. This place does just that. I've come in many times with the guys to kick back a few and chill.  Awesome place for happy hour.",https://www.yelp.com/biz/tgi-fridays-miami?start=80,2.84,2.84,2.84,1.8760000000000001,2.84
98,JULI L.,"Lehigh Acres, FL",35,26,3.0,1.0,2013-02-11,"a couple of co workers & i headed out there for happy hour at 4pm since a couple of us had never been there.. & after about 2 hours, they refused to serve us any more drinks...get this..UNTIL WE ORDERED FOOD. Not going to lie, we were feeling good, but not enough to be DRUNK yet.  we had just ate a huge lunch before we got there , so we only wanted drinks. but they insisted we buy something to eat, even though we told them we were not hungry. so we decided to order the cheapest thing on the menu, bread sticks. & we decided to close the tab & head over to the doral ale house where we had a blast!!! .will not be back ever again to that location!! :)",https://www.yelp.com/biz/tgi-fridays-miami?start=120,2.84,2.84,2.84,1.4120000000000001,2.84
84,Uri G.,"Miami, FL",8,9,1.0,1.0,2013-03-12,"The service was extremely poor. My server didn't even notice that I needed silverware when she gave me my food. She left and I thought she was getting some and when she came back she was empty handed. I had to ask her for silverware for my entire party. The food was not cooked how I asked. The manager was extremely rude and does not know the meaning of customer service. You want food from here, take it to go! I'm normally an easy to please person and I don't ever write bad reviews. I guess there's a first for everything.",https://www.yelp.com/biz/tgi-fridays-miami?start=120,2.8,2.8,2.8,1.5080000000000002,2.8
