,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
20,Jason R.,"Davenport, FL",205,96,37.0,3.0,2012-11-13,"As tgi Fridays go, this one is a little lacking... I mean unlike on I drive, your not as rushed to finish your meal and leave so they can turn table over and over... But again, your also kinda left sitting there waiting for food to come out of the kitchen a bit to long. Overall, maybe chilies has them beat, by just a few",https://www.yelp.com/biz/tgi-fridays-orlando-14?start=40,2.252,2.252,2.252,2.252,2.252
29,Tom T.,"Orlando, FL",8,96,31.0,3.0,2013-02-25,"Fattening but tasty. 1/2 price appetizers are the deal so get yourself that. Not the best place to go by any means, just if youre in the area.",https://www.yelp.com/biz/tgi-fridays-orlando-14?start=40,2.284,2.284,2.284,2.284,2.284
27,Sarah H.,"Orlando, FL",124,215,5.0,4.0,2013-03-09,"The bartenders and staff are super nice and super friendly. I love their food, but my problem with T.G.I.F is that they advertise their Happy Hour $4 Absolut drinks and they should serve them at $4 but charge extra for juice without telling customers. My bestfriend and I ordered 2 drinks. Mine was an Absolut with Cranberry and Pineapple. My bestfriend had an Absolut and Cran. Our order came to $9.50. Any other bar we go to always tells us if juices are extra. They do not. It's their ""policy"" (which is fine...but TELL YOUR CUSTOMERS THAT!). I will continue my pregaming at Applebees with their 2-4-1's where their juices are INCLUDED in their advertised price. Just saying.",https://www.yelp.com/biz/tgi-fridays-orlando-14?start=40,2.352,2.352,2.352,2.352,2.352
39,Fernanda D.,"Campeche, Mexico",30,216,755.0,1.0,2013-08-05,"This is a chain and the last time we were there about a month ago we had the most horrible experience. We got there and the place was empty but they didn't have a highchair available. Then we got their special that I think is something like 2 for $10. The flat bread appetizer was cold, the cheese was hard and the manager passed by our table several times and didn't say anything or I would show him the horrible food we were served.  My friend ordered a chicken that was dry and horrible. I really don't know what is happening with this place but I don't plan on ever going back....",https://www.yelp.com/biz/tgi-fridays-orlando-14?start=20,2.02,2.02,2.02,2.02,2.02
32,Randy M.,"Calgary, Canada",0,2,,1.0,2013-08-19,Stopped in after long flight with family-was less than impressed. Maybe caught them on a bad night but seating took 30 min in less than full restaurant and food took forever as well. I do have to say hostess and waitress were pleasant but other than that-not great.,https://www.yelp.com/biz/tgi-fridays-orlando-14?start=40,2.02,2.02,2.02,2.02,2.02
48,Doug W.,"Orlando, FL",1,21,,1.0,2013-10-26,"By far the WORST TGIF I have ever been to; but that's typical of all the chain restaurants in Hunter's Creek. My wife and I used to live literally 2 mins away. We would usually order salads and sometimes a French onion soup. The soup always took 10 minutes to bring out and was never anything even bordering on hot. It's pre-made, how long does it take to spoon into a bowl?   Our salads were also never right and they were simple chicken cobb salads. They also took a baffling amount of time, 35-40 minutes, and the restaurant wouldn't even be busy. After 5 or 6 tries, and only because the place was so convenient, we finally gave up and never went back.",https://www.yelp.com/biz/tgi-fridays-orlando-14?start=20,2.148,2.148,2.148,2.148,2.148
24,Britt C.,"Orlando, FL",91,76,8.0,4.0,2014-01-10,"Surprisingly good experience at this location.  Went the night of 1/9 and the bartenders were friendly and gave great service.  We both had the beer cheese burger with fresh jalapenos, fried jalapenos, and guacamole. I was pleasantly surprised at how good it was. The bun on mine could have been a little more fresh and I'm pretty sure they use frozen and not fresh burger meat, I would still probably order it again. The Peach Sangria was good but I wasn't impressed enough to ever get it again at $11. I'm more of a whiskey or tequila drinker (should have stuck with what I like) but I wanted to venture out and get something I normally wouldn't.",https://www.yelp.com/biz/tgi-fridays-orlando-14?start=40,2.512,2.512,2.512,2.512,2.5120000000000005
47,Carol T.,"Denver, CO",52,150,178.0,2.0,2014-04-12,"My Mom wanted to go here and I was good with that. Cameron was a polite and attentive host. He is gracious and was considerate of my elderly Mom's need to sit near the door due to her frail walking status. The waitress was completely opposite. Erica failed to notice we were seated next to her other table that she also had not waited on. She commented impolitely to Cameron ""don't tell me how to do my job."" All Audible to diners as it was post lunch crowd.  When she came to the table next to us for taking their food order, she finally said she would be right there. then proceeded to take order & walk by our table again headed to the back. when she did come to take an order for drinks she didn't seem to know what was on draft. She carded me for my age when I ordered a cocktail (no biggie) but since I am 49 and my mom is 77, I hardly think my husband needed to be id'd when he got back to the table. I am no cougar out with a man 30 years younger. He had to go retrieve it from the car b4 he could order. And yet it was my drink she failed to retrieve from the bar. At least the bartender was prompt. The Thai pork tacos were delicious and less than 300 calories - Perfect for a lighter fare. My Mom enjoyed the Jack Daniel's chicken sandwich. Chicken tenders were good but the fries seemed too old to enjoy.   Waitress removed my silverware and plate a minute after I finished and didn't bother to ask but simply reached over and took it all. Why be a waitress if you are unconcerned with the experience you create for your guests? Really have to wonder how she is  when it is BUSY. Maybe she needs someone to show her how to do a service oriented job with courtesy and a more positive attitude to make people want to come back.",https://www.yelp.com/biz/tgi-fridays-orlando-14?start=20,2.2800000000000002,2.2800000000000002,2.2800000000000002,2.2800000000000002,2.2800000000000002
55,Naydi H.,"Kissimmee, FL",0,11,1.0,2.0,2014-04-25,"2 of the people in our party sent food back (one under cooked the other was cold). Slow service, dirty establishment lots of young people who jut want to have fun and could care less about customer service. Definitely not visiting this location again.",https://www.yelp.com/biz/tgi-fridays-orlando-14?start=20,2.248,2.248,2.248,2.248,2.248
22,Stephannie M.,"Chicago, IL",86,32,6.0,1.0,2014-07-09,"Came here to watch the Brazil vs. Germany game. The bartender/server told us their big flat screen was broken, yet half an hour later, a manager came & turned it on. It was pretty slow when my party of 3 showed up & it still took us almost 10 minutes to receive or drinks & have our orders be taken. We ordered the bottomless appetizers & every time they came out, they were cold as if they had been sitting under a heat lamp for several minutes.... our server sucked.. they need to consider scheduling another server with the bartender so that customers are kept happy....",https://www.yelp.com/biz/tgi-fridays-orlando-14?start=40,2.116,2.116,2.116,2.116,2.116
