,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
37,Nonya B.,"Aurora, IL",0,15,,1.0,2012-02-21,"The hostess greeted us with much apathy and proceeded to tell us what an awful night she was having (this is the main reason why im reviewing this restaurant poorly and made me want to leave immediately but it was late and we were very hungry). Our waitress was nice enough but was very pressing about getting us to order. The food was ok but not worth what was paid. Save a trip and go to the store to make your own meal, it will be about the same price with no disgruntled employees or ""annoying restaurant waitresses""",https://www.yelp.com/biz/tgi-fridays-oswego?start=20,2.7880000000000003,2.7880000000000003,2.7880000000000003,2.7880000000000003,2.7880000000000003
39,Roxanne L.,"Oswego, IL",0,4,,5.0,2012-08-21,Never had a bad meal here. The menu selection is ginormous and it's all at a great price!! We always sit at the bar and love talking with Danny! He is the bartender there and does an awesome job! They have good drink specials too!,https://www.yelp.com/biz/tgi-fridays-oswego?start=20,3.188,3.188,3.188,3.188,3.188
38,Kristie R.,"Aurora, IL",27,3,,5.0,2012-09-11,"I dined here this past Sunday with my family, husband and 2 kids.  The service was amazing, our servers name was Kaela (SP) she was awesome.  She made our experience very memorable it was our daughters first time ordering her own food, she was patient and kind.  Her knowledge of the menu was great, she even remembered that I wanted sriracha with my bruschetta chicken pasta!  She was attentive in every way! We have been to this location before and received poor service, Kaela more than made up for it!!  Thanks again Friday's you made our night special!",https://www.yelp.com/biz/tgi-fridays-oswego?start=20,3.188,3.188,3.188,3.188,3.188
32,T.J R.,"Hendersonville, TN",31,102,45.0,5.0,2012-10-09,"Watched a couple of games here on Sunday, I've never watched games here, only eaten lunch or dinner.  It was awesome!  They get a pretty cool crowd to watch which i didn't expect.  Good staff, good conversation with the others, great food as always  and an array of games to watch - many TVs going at the same time.  Good Times.",https://www.yelp.com/biz/tgi-fridays-oswego?start=20,3.0920000000000005,3.0920000000000005,3.0920000000000005,3.0920000000000005,3.092000000000001
34,Gerrit G.,"Naperville, IL",9,7,,4.0,2013-07-29,Just a short review: We've had lunch here yesterday with our small kids and family visiting from Argentina. While the food was exactly what you expect at TGI Fridays the service at this location was outstandingly good!!! Both our waitress as well as the manager made everything possible in order to make us feel well served!!! We'll return for sure!!,https://www.yelp.com/biz/tgi-fridays-oswego?start=20,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004
31,Jay R.,"Aurora, IL",143,10,3.0,2.0,2014-03-24,"The service has really gone downhill here as of late. Either they don't have enough staff, or the staff they do have doesn't pay close enough attention. Aside from that, the food is typical Fridays food, decent for this type of chain...",https://www.yelp.com/biz/tgi-fridays-oswego?start=20,2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005
26,John B.,"Oswego, IL",45,95,248.0,4.0,2014-03-26,"The Fam and I eat here pretty often.  Over all the chain has re-branded itself by getting much better food choices and updating the old Fridays look.  The staff at this location is pretty solid, never came across bad service.  I have to say, I am most impressed by the stripes program! This rewards program they have set up really adds up quick. It's almost every time I go I can get something free or discounted! Love that!  Also, most days they have a special that is half off of something and it turns out to be a great bargain!  Lately I've been ordering from the new small plates menu, the portions are still decent and food is some of the better Fridays fair!  Try the Pretzel sticks, Hibachi steak and flat breads!",https://www.yelp.com/biz/tgi-fridays-oswego?start=20,2.768,2.768,2.768,2.768,2.768
30,Malachi M.,"Yorkville, IL",0,5,33.0,1.0,2014-06-02,I would not recommend this place to eat at the food is ok but the supervising staff is disrespectful and dishonest,https://www.yelp.com/biz/tgi-fridays-oswego?start=20,2.372,2.372,2.372,2.372,2.372
16,Rachael Z.,"Aurora, IL",231,392,27.0,4.0,2014-07-30,"I've been here multiple times, and I'm typically not much of a fan of reviewing corporate locations. However, I can't help but plug the amazing service we had here on the last occasion! Since I've been here, we've had wrong orders, bad service, missing orders, etc etc. But this time, it was like a new business! Our server, Mike, was in training, but fantastic. We even stopped to let the manager know how great he was. Very kind, quick, friendly, and all around great experience! I do like what they've done to the menu, as well. Rustic look with lots of photos, and it makes it look like there are more options. However, TGIF needs to determine if they're a family-friendly restaurant or a place for late nights. The first SIX pages of the menu are drinks and appetizers. What about having two menu's - one for the bar (with those in the front) and one for dining (with those in the back)? Gotta know your target audience!",https://www.yelp.com/biz/tgi-fridays-oswego,2.768,2.768,2.768,2.768,2.768
21,Diana I.,"Aurora, IL",45,17,21.0,5.0,2014-10-31,We have been here multiple times and the service is always great. What really impresses me is the manager. He is on the floor asking people how their food is and even bussing tables. That is a real manager! Definitely recommend coming here.,https://www.yelp.com/biz/tgi-fridays-oswego?start=20,2.804,2.804,2.804,2.804,2.804
