,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
0,Marcus O.,"Palatine, IL",2,58,6.0,3.0,2012-06-18,"The food was good, the waiter that we had wasn't the greatest though which hampered the experience. Good for a late night eat though",https://www.yelp.com/biz/tgi-fridays-valparaiso-2?start=20,2.1559999999999997,2.1559999999999997,2.1559999999999997,2.1559999999999997,2.1559999999999997
5,Jeff S.,"Aurora, OH",33,1,,2.0,2012-08-13,The service was terrible and the food cold with small portions.  We stopped here while staying in Valpo on the way to Chicago.  Fridays are usually decent but this one was really poor.  Our server had an attitude with us and with her fellow staff.  I hated to send food back because it was cold and did so any ways.  It came back still cold.  Sta away from here.,https://www.yelp.com/biz/tgi-fridays-valparaiso-2?start=20,,,,,
4,David C.,"Portage, IN",25,27,,1.0,2012-10-13,"First off, when we were seated, we were alerted to the new menu items and treated as new customers to the chain, we weren't.  No biggie though.  What pissed me off, was that our server denied a 2 for 10 special was going on (there were commercials on at the time for the deal, and was the whole reason we went.) So they were off to a bad start, my girlfriend and I ordered what we usually do, a salad and boneless wings to start, jack burgers for an entree.  The salad was fine (not a shocker), but there was a boneless wing that was unrecognizable and cooked just enough to not be deadly.  We left that wing for the chef.  Also, TGIF's wings have considerably gone down in quality over the past year, not food quality, just poor cooking of said wings. Before we were even halfway done with our appetizers, some girl, who was not our waitress, delivered our burgers and made a quirky remark as to how fast the chef was.  I just wanted to yell at her, but didn't, should have, but then there would be spit on our burgers.  TO ALL WHO WORK IN A RESTAURANT! THERE IS NO FRIGGIN GUEST ALIVE THAT WANTS ALL THEIR FOOD AT ONCE! IF THEY DID, THEY WOULD ASK FOR IT! So the bad start at this point was becoming a bad meal and was kinda infuriating.  My only solace at this point was the fact that clearly the burgers had been cheapened up to sell on the two for ten menu, so I thought they would be cheap.  WRONG! Each burger was ten dollars each!  which used to be a thing I didn't mind. The burgers were not 1/2 lb patties like they used to be.  Instead I got a cheap (school lunch lookin) 1/4 lb patty.  They switched the bun to a cheaper bun. Burnt my bacon, undercooked my ladies bacon (HOW!?). And put the sauce on the bottom bun, so the bun was literally mush by the time it got to our table (which apparently wasn't long). I ended up paying the almost 50 dollar bill, and am never going back there again. Mark my words, if I do decide to try again, I will be VERY VOCAL about shitty service and food even if there is a full table of kids right next to me(which by the way, empty restaurant +young couple +family time at the next table = super f***** annoying).",https://www.yelp.com/biz/tgi-fridays-valparaiso-2?start=20,,,,,
2,Russell T.,"Valparaiso, IN",2,8,5.0,1.0,2013-03-24,This T.G.I is horrible. First watch what you order. I ordered Cajun shrimp dinner and when the bartender took my order she asked what I would like with that soup or salad without telling me that was extra cost. You also can get a Ale Sam Adams or any other ale in a tall glass way cheaper any place else like Semento's charges 4.25. Oh and Head over to Applebee's if you want a great variety of food that frankly taste better then here and way better prices. You are not in Chicago and even if you were you would not be worth that price. T.G.I. Fridays where they steal your money for subpar food. They sure have gone to crap over the years.,https://www.yelp.com/biz/tgi-fridays-valparaiso-2?start=20,,,,,
1,Andy K.,"Westville, IN",0,3,,1.0,2014-07-28,"Service was very poor. 20 minutes before server came out to take the order. Almost 40 minutes to get our food. All 6 of our dinners were lukewarm to cool.  4 tables that sat down 10 to 20 minutes after us received their food before us and 1 table ate and left as we received our order. We complained to the server, she told us she would get the manager and never seen her again. Manager was very attentive, offered to have all food to be remade.  We decided to not take our chances as they had their chance. Ended up at a Chinese buffet. Pretty pathetic. We will not be back.",https://www.yelp.com/biz/tgi-fridays-valparaiso-2?start=20,,,,,
26,Angela S.,"Valparaiso, IN",0,16,,2.0,2015-03-27,The service is poor. The establishment isn't as clean as it should be and could be. Food is just OK. Nothing to write home about.,https://www.yelp.com/biz/tgi-fridays-valparaiso-2,,,,,
23,Madi L.,"Valparaiso, IN",1,12,2.0,1.0,2015-10-17,"Tonight we decided to come here. BAD IDEA!  So first of all I ordered the California Club sandwich, the bread was chewy, there was barely any lettuce on it, it was just gross. Then someone got a kids chicken sandwich, and the chicken was so chewy and burnt she didn't even eat it. Then another family member got a burger with barely any lettuce again! and said it was burnt and she ordered sweet potato fries and said there was so much salt and pepper on them she didn't eat them either.(and they cost an additional $1 then regular fries) Lastly for the  entrees there was also a chicken sandwich ordered and he said the sandwich was burnt and chewy again. The drinks and meals didn't come together either. THIS WAS A GROSS MEAL!!! Lastly I ordered a refill for Dr. Pepper, and found a DEAD BUG in it I would definitely never come here again unless it was for the free wifi. Defiantly would recommend Red Robin instead of here! In the end we didn't get charged for the Dr. Pepper or the kids meal. But yet the meal still cost $50!! that meal was NOT a $50 quality.",https://www.yelp.com/biz/tgi-fridays-valparaiso-2,,,,,
24,Rodney L.,"Valparaiso, IN",14,26,1.0,1.0,2015-10-31,If I could give them a zero I would.   Heavily salted and processed food.  My tongue hurt from all the salt. Service fair but the food was nasty.   To many other choices in the area.   I am done with Fridays.,https://www.yelp.com/biz/tgi-fridays-valparaiso-2,,,,,
22,Parry P.,"Merrillville, IN",2,4,,1.0,2016-05-23,"We had bartender with a crappy attitude that was upset when I asked for a different drink because I didn't like my margarita (it literally tasted like watered down tequila snow cone). When I asked for food, she didn't even place my food order until 45 mins of me waiting. Now typically if it's busy I wouldn't care but it was at 10pm on a Monday. It was pretty dead. The bartender barely came by so I had to ask a waitress about it and she told me the kitchen was now ""working on it."" (Heads up, I ordered the $5 potato skins app which is 4 pieces so there's no way that should've taken that long) We had to ask for the manager for our check. Overall, we were here for a few hours and the bartender only came to see us s few times. If I could give this location 0 stars I would. But I can't.",https://www.yelp.com/biz/tgi-fridays-valparaiso-2,,,,,
25,Guy C.,"Valparaiso, IN",0,7,,1.0,2016-07-21,"I was there at 4 pm, all the wait staff and the manager was busy talking about pokemon. I got my and my son's order and being the only ones in there you would think they could get the 2 orders right... But NOPE, wrong on both. The the waitress argued with me saying I got what I ordered. Never again will I return.",https://www.yelp.com/biz/tgi-fridays-valparaiso-2,,,,,
