,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
137,Aaryn P.,"Cedar Park, TX",296,722,190.0,2.0,2012-01-07,"This particular CcF is dramatically beautiful - inside and out. Unfortunately, the meals, (mainly) ho-hum service and  general experience did not match the grand decor of the place.  We came in for lunch today and were seated right away which was a plus. Our waiter came by a few minutes later and took our drink order. In true CcF fashion, it took us about 15-20 minutes to pour over the exhaustingly huge menu. Our waiter came back and took our order - we had: 2 Pizza/Salad Lunch Specials 1 Wild Mushroom Bread 1 Order of Sliders 1 Order TexMex Eggrolls Everything came out fairly quickly and the food was alright. So, what was my big problem here? For some reason, our waiter had memory problems, and unfortunately they were directed towards one particular person in our party. This person initially ordered coffee. When he was done with his coffee the waiter came over and asked him if he wanted a refill, and he said, ""No, but I think I'll switch to Coke."" We waited for that Coke... the waiter even came back and refilled everyone else's drinks without bringing that Coke or re-asking the person if they wanted anything else to drink. So, someone had an extra water, and they gave it to that person... but there was no straw. The same guy asks the waiter for a straw...and we wait for the straw...and wait. His girlfriend finally had to ask a second time for a straw. It was just a little wtf, that's all.  Anyways... I'd give this place 3 stars for A-Ok because..ehh it was anything special, but it was alright...but the service needs to improve before I add that third star. Meh, I've had better service.",https://www.yelp.com/biz/the-cheesecake-factory-austin?start=200,2.92,3.27,3.27,2.8560000000000003,3.13
836,Stephan D.,"Los Angeles, United States",57,30,2.0,4.0,2012-01-10,"We have been to Cheesecake factory a few times now and I have to admit that we got very lucky after reading some of the reviews I can honestly say it all depends on the waiter you get. Luckily we had not had any bad experience as of yet, I do think their prices are a bit high, but the food is great. but paying 3$ for ice tea is a bit much...but in general its a good environment and their new french toast are absolutely AMAZING but dont look at the calories lol.... Im french Canadian and they use REAL maple syrup but their syrup tasted differently it was a lot sweeter.. so I ask our waitress; she was very friendly to us (her name was Noel) and she told us that they put butter in their maple syrup and I have to admit it was VERY VERY VERY good. again fatning as hell Im sure.. but once in a blue moon we need to spoil ourselves right :)",https://nz.yelp.com/biz/the-cheesecake-factory-austin?start=360,3.04,3.27,3.27,3.056,3.178
358,AJ E.,"Austin, TX",0,15,,4.0,2012-01-14,"I'm a huge fan of Cheescake Factories, and this one is a tad better than the rest.  It's got an immaculate interior (and exterior), the whole standard CF line-up is there, the quality is what you'd expect (especially at these prices).  I notice that presentation of your dinner varies with time and Cheescake Factories, and this one has not disappointed me yet with its subtle changes over time. One star down for the timeliness of service, which has consistently been a fault here, EVEN before/after peak hours.  We once went 15 minutes before getting our drinks in.  I'd chalk it up to bad luck, but I've been here nearly a dozen times in half a year so I wonder.  Nevertheless, the food portions, quality, and atmosphere generally make CF well worth the visit.",https://www.yelp.com/biz/the-cheesecake-factory-austin?start=400,3.04,3.27,3.27,2.9920000000000004,3.178
857,AJ E.,"Austin, United States",0,15,,4.0,2012-01-14,"I'm a huge fan of Cheescake Factories, and this one is a tad better than the rest.  It's got an immaculate interior (and exterior), the whole standard CF line-up is there, the quality is what you'd expect (especially at these prices).  I notice that presentation of your dinner varies with time and Cheescake Factories, and this one has not disappointed me yet with its subtle changes over time. One star down for the timeliness of service, which has consistently been a fault here, EVEN before/after peak hours.  We once went 15 minutes before getting our drinks in.  I'd chalk it up to bad luck, but I've been here nearly a dozen times in half a year so I wonder.  Nevertheless, the food portions, quality, and atmosphere generally make CF well worth the visit.",https://nz.yelp.com/biz/the-cheesecake-factory-austin?start=400,3.08,3.3,3.3,2.9920000000000004,3.2120000000000006
454,Tammy S.,"Round Rock, TX",16,26,5.0,4.0,2012-02-12,"I love this place for their cheesecake. My favorite would have to the White Chocolate Raspberry Truffle. Food wise, I love their appetizers, especially the fire roasted artichokes. I also like their salads, because it's HUGE!!! And it is filling.  I'm not particularly impress wiith their pastas, because it's not ""special.""  The burgers are pretty good. But I don't come here to eat a meal per se. Honestly, this place is for hanging out with great friends, having good drinks and you HAVE to order dessert(s)!!  You can't come here and not eat a cheesecake.",https://www.yelp.com/biz/the-cheesecake-factory-austin?start=300,3.12,3.3,3.3,2.9920000000000004,3.2280000000000006
453,Amanda K.,"Austin, TX",27,33,,3.0,2012-02-14,"This is where you want to go when you've got a big group, or don't know what those you're dining out with like--the menu is HUGE.  And while I wouldn't say that any of their dishes comes close to the ""best"" version of anything I've had, none have ever been bad either.  The portions are huge, plus they've added a new lower calorie section with nutritional info for those of us who just crossed our fingers and spent an extra hour at the gym before. And the cheesecake, which you MUST try, is pretty darn good.  Again, no rival to my favorite (Carnegie Deli), but they have a gazillion truly creative and delicious flavors--carrot cake, tiramisu and cookie dough are some of my faves.",https://www.yelp.com/biz/the-cheesecake-factory-austin?start=300,3.2,3.31,3.31,2.9240000000000004,3.266
792,Amanda K.,"Austin, United States",27,33,,3.0,2012-02-14,"This is where you want to go when you've got a big group, or don't know what those you're dining out with like--the menu is HUGE.  And while I wouldn't say that any of their dishes comes close to the ""best"" version of anything I've had, none have ever been bad either.  The portions are huge, plus they've added a new lower calorie section with nutritional info for those of us who just crossed our fingers and spent an extra hour at the gym before. And the cheesecake, which you MUST try, is pretty darn good.  Again, no rival to my favorite (Carnegie Deli), but they have a gazillion truly creative and delicious flavors--carrot cake, tiramisu and cookie dough are some of my faves.",https://nz.yelp.com/biz/the-cheesecake-factory-austin?start=300,3.28,3.32,3.32,2.9880000000000004,3.3040000000000003
351,Heather B.,"Hutto, TX",0,53,,4.0,2012-02-16,"This is the place to go for big groups! I came with a party of 20+ people the other day, Half of which were children. They seated us quickly and at a perfect spot to accommodate 5 high chairs. My kids loved the food and I'm a fan of their drinks. We all were able to hang out for 2 1/2 hours enjoying ourselves. Food portions are very large. The menu is large and I found it a bit overwhelming, but I'm just simple haha! I couldn't figure out what to order. My only REAL complaint is the calorie content of their foods. I can eat nearly 2 days worth of calories in 1 meal here! But who goes out to a place called The Cheesecake Factory if they are counting calories anyway?",https://www.yelp.com/biz/the-cheesecake-factory-austin?start=400,3.36,3.32,3.32,3.12,3.3360000000000003
850,Heather B.,"Hutto, United States",0,53,,4.0,2012-02-16,"This is the place to go for big groups! I came with a party of 20+ people the other day, Half of which were children. They seated us quickly and at a perfect spot to accommodate 5 high chairs. My kids loved the food and I'm a fan of their drinks. We all were able to hang out for 2 1/2 hours enjoying ourselves. Food portions are very large. The menu is large and I found it a bit overwhelming, but I'm just simple haha! I couldn't figure out what to order. My only REAL complaint is the calorie content of their foods. I can eat nearly 2 days worth of calories in 1 meal here! But who goes out to a place called The Cheesecake Factory if they are counting calories anyway?",https://nz.yelp.com/biz/the-cheesecake-factory-austin?start=400,3.32,3.33,3.33,3.12,3.326
939,Savannah E.,"Austin, United States",29,4,,4.0,2012-02-21,"Went here for Valentine's Day. The wait was obviously long, but the staff was really friendly. The menu is definitely a little overwhelming. We had the avocado egg-rolls, the steak dianne &  herb crusted salmon, and the original cheesecake with strawberries. Everything was AMAZING!  I ordered a margarita, and I was a little disappointed in how tiny the glass was but it was still yummy. This is a great place for date night! I will return again.",https://nz.yelp.com/biz/the-cheesecake-factory-austin?start=320,3.4,3.34,3.34,3.056,3.3640000000000003
