,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
98,Walter M.,"Bay Shore, NY",34,207,5.0,4.0,2015-01-01,"Whoever designed the new Cheesecake Factory at the Westfield Mall in Bay Shore should be given a large bonus. Unmistakably CF it is at the same time modernized and new. Absolutely a beautiful restaurant and a terrific use of space. The menu and food is standardized - but at a high level. Everything eaten was prepared properly, looked good, and tasted better. Prices are moderate and I always feel that I am getting good value. The servers are still learning, but everyone we dealt with was cheery and trying to please. Our meal was not without a problem or two, but this is to be expected when a restaurant has only been open for two weeks.  Bottom line - a great addition to the Bay Shore restaurant scene.",https://www.yelp.com/biz/the-cheesecake-factory-bay-shore?start=80,3.024,3.024,3.024,3.024,3.024
92,Nicole K.,"Brooklyn, NY",0,7,,1.0,2015-01-04,"I'd like to start off by saying that I am a HUGE fan of cheesecake factory, having been to over ten different locations and receiving nothing but amazing food and service. My experience pertains to this Bay Shore location only and I would highly recommend any other location as one of my favorite restaurants.  I went out for a dinner with my friend last night and waited almost two hours, which of course was our choice. Upon getting seated, we waited quite a long time for someone to come over. Our server who wasn't particularly friendly took our order and never brought the usual bread. Our food came suspiciously quickly. (before the bread so we had to ask for it to eat with the meal out of order)....like 5 minutes quickly and made me feel like it was sitting under a food lamp or something weird. Boy was I right. After my friend had eaten half of her food, she pulls out a GIANT CLOTHING TAG that says ""Made In China"" that was mashed in with the potatoes! Seeing as this is one of the worst things that could happen at a restaurant short of a bug in your food, we thought the management would be taking it seriously. Our server blamed the kitchen, apologized and then we waited an unbelievable 30 minutes for a replacement. You would have thought this would be a priority to fix but no one cared. A manager came over and gave us a ""Guys I'm so sorry"" then never followed up once we got our replacement! You would think he would personally bring it out and that this would be customer service 101.... We then made friends with the table next to us who waited almost an hour for their food and then was brought the wrong dish 3 times in a row. She asked a manager for some cheese and then he never came back with it. We both thought it was a joke that night because everyone around us had everything possible going wrong. When we ordered dessert, no forks so we had to ask and wait again. Then our server came over and actually asked us if the manager said he would comp just the meal or the meal and the dessert! Um wouldn't you ask him directly? I absolutely couldn't believe that she asked us that and then had the nerve not to take the dessert off when we said he never mentioned anything about the bill.  I probably wouldn't have written this review if they had recovered properly with good customer service, follow up and compensation but that just was not the case. Now i""m left wondering what happens in that kitchen that allows clothing tags to fall into food. Their back of house operations are not on their feet and I would never come back here, though I feel if they get proper guidance and training, in a few months they may be able to work out the kinks.  Tip: Dig through your food for foreign objects before eating.",https://www.yelp.com/biz/the-cheesecake-factory-bay-shore?start=100,2.6600000000000006,2.6600000000000006,2.6600000000000006,2.6600000000000006,2.6600000000000006
61,Anthony O.,"Long Island, NY",793,86,761.0,4.0,2015-01-07,"I decided to give this new one a shot for Sunday brunch. First thing I loved, the doors were actually unlocked when they are supposed to be! I have been to the other 3 locations on the island and they NEVER open on time. I always have to call them, and yes they are on speed dial! This one has a nice modern twist on the typical cheesecake factory design. We were seated promptly and our waitress Gianna followed shortly. She was very friendly.  We ordered the sausage ricotta flat bread & Chicken Maderia. The flat bread came out hot & fresh. It was delish. For the Chicken Maderia me and my cohort got the same. We always get it with carrots instead of mashed potatoes. Gotta save some calories for the desserts LoL! The dishes came out great, and unlike the other 3 locations, a cook in the kitchen didn't dump a 5lb container on the carrots!  So for dessert we split the banana cream cheesecake and that was delish as well. I can say this is my new favorite cheesecake factory for Sunday brunch!",https://www.yelp.com/biz/the-cheesecake-factory-bay-shore?start=60,2.9920000000000004,2.9920000000000004,2.9920000000000004,2.9920000000000004,2.992000000000001
105,Miss Y.,"East Islip, NY",15,86,15.0,4.0,2015-01-08,"Normally I don't go for chain restaurants, seriously they are just over priced and everything comes in pre mixed - no bueno.  However, the Cheesecake factory is fantastic, I am obsessed with the large menu and I try to have something new every time.   The staff at this location is great - love the bartenders Matt was a sweetheart and I wish I remembered the girl that was there right before him same shift because she was also awesome.  As were both of them with drink making.   Buffalo bites are a MUST try if you like spicy food, there are many of them so if you're not sharing they better be your meal.  Spicy Chicken Chipotle Pasta is very good, as is the Chicken Costaletta (probably spelling it wrong) burgers, and pretty much everything I have tasted there lol.  If you have not been, you should go.  I don't really like sweets so Cheesecake isn't my thing but the caramel macchiato is on point.",https://www.yelp.com/biz/the-cheesecake-factory-bay-shore?start=80,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004
101,Beth L.,"Bellmore, NY",278,556,475.0,4.0,2015-01-09,"If you think this place is expensive you're an idiot. Its CCF they all open on time and the Vanilla Bean cheesecake is on point. Sara is the best server by far there. Hope it doesn't go downhill like the Westbury location did. Wear your kevlar to that one,,,scary.",https://www.yelp.com/biz/the-cheesecake-factory-bay-shore?start=80,2.9280000000000004,2.9280000000000004,2.9280000000000004,2.9280000000000004,2.928000000000001
88,Frank D.,"Suffolk, NY",35,297,19.0,3.0,2015-01-12,"Buffalo Bites.  They are great.  Had the lemon meringue cheesecake, delicious.  Other than that, I haven't really been to cheesecake factory, so those are the only 2 things i can tell you about.  Those are delicious though.",https://www.yelp.com/biz/the-cheesecake-factory-bay-shore?start=100,2.8600000000000003,2.8600000000000003,2.8600000000000003,2.8600000000000003,2.8600000000000003
97,Stacys M.,"Massapequa Park, NY",1,8,1.0,4.0,2015-01-12,"its pretty good, Love there bloody mary and chicken and waffles, waiter was very friendly.",https://www.yelp.com/biz/the-cheesecake-factory-bay-shore?start=100,2.9280000000000004,2.9280000000000004,2.9280000000000004,2.9280000000000004,2.928000000000001
67,Duane S.,"Brooklyn, NY",50,220,1276.0,4.0,2015-01-17,"""Timing is everything"" should've the second half of the Cheesecake Factory name.. In the past, We'd just walk by the locations due to the huge amounts of people waiting. finally tho, gave in and made a real attempts to go. First attempt, 80 mins wait..  BYE! Second attempt, 15 mins, which was reasonable, so here we go..  Huge menu, very diner-esque with unique & interesting dishes sprinkled throughout. The food was excellent, especially considering this is a franchise chain. Will definitely be back! The dessert menu is just as huge - 35 types of cheesecakes, PLUS a few other goodies. Our excellent server Britany advised us to choose by type of cheesecake we liked - creamy, or more like a drier, firm consistency.. We're creamy lovers, The Snickers Bar Cheesecake was outrageous!!  Would be solid five star if the wait times were more reasonable.. When leaving mid afternoon, crowd thinned out considerably, so 3-4 pm on weekdays may be just my next visit!",https://www.yelp.com/biz/the-cheesecake-factory-bay-shore?start=60,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004
104,Tomeka R.,"Bay Shore, NY",11,7,,2.0,2015-01-18,"Let me start this review by saying, I have been to several Cheesecake Factories and Grand Lux Cafes for brunch and have never been disappointed until today. The service here is awful!!  We were seated for over 20 min before we were even offered water. The table next to me waited even longer. There were a bunch of waiters just roaming around talking to each other and not paying attention to the customers at all.  When we were finally waited on, the waitress had no real knowledge of the brunch drink options. It took several tries before we could get a drink. However, the food was very good.  Not saying I would never come back to this location, but certainly isn't at the top of my list.",https://www.yelp.com/biz/the-cheesecake-factory-bay-shore?start=80,2.6320000000000006,2.6320000000000006,2.6320000000000006,2.6320000000000006,2.6320000000000006
91,Nicholas P.,"Bay Shore, NY",25,5,,4.0,2015-01-18,Good food as always for thus chain...slow service with lots of waiters standing around...like a dozen.,https://www.yelp.com/biz/the-cheesecake-factory-bay-shore?start=100,2.8640000000000003,2.8640000000000003,2.8640000000000003,2.8640000000000003,2.8640000000000003
