,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
114,Tina M.,"Hayden, ID",7,11,18.0,5.0,2012-02-17,"Excellent service! Our waitress was honest about her likes and dislikes in a respectable way. Tried the Crispy Chicken Costoletta. DELICIOUS!!! Very big portions. Not greasy, not too heavy. Also had the Red Velvet Cheesecake. Another great recommendation. I debated between that & Key lime or Vanilla Bean. I will definitely go back!",https://www.yelp.com/biz/the-cheesecake-factory-boise?start=100,3.7,3.7,3.7,3.7,3.7000000000000006
96,C M.,"Contra Costa, CA",125,111,12.0,4.0,2012-03-08,"WHY WAS THERE NO CELL SERVICE IN THIS RESTAURANT! Otherwise, food was delicious. I got the chicken salad sandwich and a baked potato soup. Yummy! I also tried the jambalaya, which was so freaking good, better than I've ever tasted. A little on the spicy side, but I love spicy! Waitress was super nice and helpful in making my  lunch selection. I got a coffee cheesecake. YUM! Really good, never liked this restaurant so much until now.",https://www.yelp.com/biz/the-cheesecake-factory-boise?start=80,3.504,3.504,3.504,3.504,3.5040000000000004
120,Randy S.,"Bend, OR",40,201,26.0,3.0,2012-04-17,"Had lunch while travelling, the place was empty for its size, but it took 15 minutes to get a seat, then the service was slow.  The food portions are large, the food is prepared correctly.  The staff needs an education on people skills and the waitress's and waiters need to tend to the clientele not themselves.",https://www.yelp.com/biz/the-cheesecake-factory-boise?start=120,3.436,3.436,3.436,3.436,3.436
107,Marcia G.,"Canoga Park, Los Angeles, CA",45,242,150.0,5.0,2012-06-12,"Cheesecake Factory always has something to fill your hungry tummy. We sat at the bar and has some appetizers. The service was so amazing. Our server was so nice and even offered me a warm wet towel to clean my ""sticky fingers"" from my appetizers. I was impressed!!  Potatoes bravas=YUMMMMMMMM!!",https://www.yelp.com/biz/the-cheesecake-factory-boise?start=100,3.668,3.668,3.668,3.668,3.668
116,Danielle B.,"Meridian, ID",26,44,3.0,5.0,2012-08-29,I love coming here!  the service is great and the food was fabulous.  The decor is neat and the bar was very well maintained and open for people to see the bartenders at work.  Bring whoever you want here for good times and good eats.,https://www.yelp.com/biz/the-cheesecake-factory-boise?start=100,3.636,3.636,3.636,3.636,3.636
98,Callum S.,"Seattle, WA",4,150,7.0,4.0,2012-08-30,"Okay, I LOVE the Cheesecake Factory restaurants. The menu is immense and everything I've tried on it is delicious. The atmosphere is great too. Feels very upper class almost.  The servers are very knowledgeable and easy to joke around with. My only complaint is that my waitress got my order wrong. They brought me the complete wrong thing. I don't know what she heard me say... I corrected them and they were happy to bring me what I ordered. Its just annoying to watch everyone else you're with start to eat while you're waiting. It's not going to deter me from returning or anything though.",https://www.yelp.com/biz/the-cheesecake-factory-boise?start=80,3.44,3.44,3.44,3.44,3.4400000000000004
109,H D.,"Independence, OR",8,6,2.0,5.0,2012-09-01,"My husband ordered the lemon and herb roasted chicken and it was AMAZING!  The sauce was very tangy:). I ordered sheppards pie, which I had never had before, it was very good:) Make sure you give yourself plenty of time to order as the menu is GIGANTIC! Lastly, but not least, make sure you don't leave without some cheesecake, it's amazing!",https://www.yelp.com/biz/the-cheesecake-factory-boise?start=100,3.4440000000000004,3.4440000000000004,3.4440000000000004,3.4440000000000004,3.4440000000000004
118,Doug D.,"Meridian, ID",15,274,39.0,4.0,2012-10-16,My first review was three stars and I find myself going back on regular occasions therefore I am revising my review to four stars.   They now have a skinny menu that is fantastic!,https://www.yelp.com/biz/the-cheesecake-factory-boise?start=100,3.3440000000000003,3.3440000000000003,3.3440000000000003,3.3440000000000003,3.3440000000000003
101,Richard R.,"Oxnard, CA",102,196,62.0,4.0,2013-01-22,"The service was top notch and the food was really great.  Had an issue with a drink ordered, but the waiter and manager handled it professionally.  Wait time was a little long, but guess it is to be expected on a Friday night.",https://www.yelp.com/biz/the-cheesecake-factory-boise?start=100,3.2800000000000002,3.2800000000000002,3.2800000000000002,3.2800000000000002,3.2800000000000007
117,Wayne Y.,"Boise, ID",3,6,1.0,4.0,2013-03-15,"I'm a fan of the bar..been searching for the ultimate lemon drop, they make one that's a double with a little extra sugar that pretty good and the cheesecake isn't bad either...",https://www.yelp.com/biz/the-cheesecake-factory-boise?start=100,3.248,3.248,3.248,3.248,3.248
