,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
492,I Love Food F.,"Brentwood, CA",3,60,4.0,2.0,2012-01-03,"great cheesecake blah pasta, blah salad, blah appetizer, blah blah blah would only go here for the cheescake, everything else? tastes like some frozen dish off of costco's",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=780,3.12,3.42,3.42,3.0800000000000005,3.3000000000000007
410,Ricardo C.,"Los Angeles, CA",61,88,,3.0,2012-01-04,"I think their name says it all, cheesecake factory. Their modern decor, friendly service,  and deserts are the highlight.  But the food, wait time to be seated, and noise level, sorely lacking! I had watered down 4 cheese chicken pasta, that basically was microwaved, along withmost of the orders for everyone else. Would not recommend the food, unless your ok with non freshly prepared meals.... Stick to the cheesecake and eat at Bj's which serves better food!",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=680,3.12,3.41,3.41,3.2120000000000006,3.294
699,Yolanda r.,"Orange, CA",1,16,1.0,3.0,2012-01-05,"Reasonable prices.  Salads have gotten smaller even the whipped cream amounts with the cheesecake but its still good food.  Quick, friendly service with nice clean decor.  And the best passion fruit iced tea ever found.  Go enjoy!",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=860,3.04,3.4,3.4,3.2760000000000007,3.2560000000000007
708,Elaine Y.,"Diamond Bar, CA",37,138,304.0,5.0,2012-01-10,"This has to be my all time favorite chain restaurant.  Food is consistently good, as well as service.  Noisy enough to bring a baby and a toddler into the mix.  Best is their shrimp scampi, baja chicken tacos (now on skinnylicious menu too), pasta da vinci, maui salad and avacado egg rolls.",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=760,3.08,3.42,3.42,3.4760000000000004,3.2840000000000007
715,Todd H.,"La Mirada, CA",14,58,21.0,4.0,2012-01-12,"Nice day today, so sat out on the patio.. Had the turkey sandwich and salad...my friends had the crab cakes and spicey tuna rolls..followed by being forced to having a piece of cheese cake and they still have one of the best..  Everything down to the ice teas were great... service was exceptionally good... What can I say, nice place, good food, with good friends, a very cool day..  Would highly recommend and will definitely be back...",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=760,3.12,3.43,3.43,3.248,3.306
674,Liz H.,"Irvine, CA",15,167,22.0,4.0,2012-01-13,"My girlfriend and I eat here constantly because it's the halfway meet-up point between us.  We have found over the course of multiple visits that the enormous menu is hit-and-miss. We've found a handful of dishes that we enjoy and just order those over and over. Her favorite is the Orange Chicken, which always comes out hot and delicious and with just the right amount of rice. I prefer the Barbecue Chicken Salad. Their pasta dishes are generally very tasty, but if you order anything with chicken or shrimp in it they seriously skimp on it. The only thing I've ever ordered at CF that I could not finish eating because it was so disgusting was the Chicken di Pana. It tasted like feet. Avoid it. The service is generally very polite and friendly, if at times a little slow. We usually don't notice unless our drinks get exceptionally low and nobody comes to refill them. My friend loves their strawberry lemonade and I am very fond of their good strong Mojitos.  Their desserts are delicious, naturally. To be honest I've never bothered with the cheesecake, I love the Black-Out cake and the Bowl of Fresh Strawberries option. Of course it's much better to get the strawberries when they're in season.",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=620,3.16,3.43,3.43,3.248,3.322
891,Ralph O.,"Chino Hills, CA",253,620,67.0,4.0,2012-01-20,"Cheesecake Factory is one of those tried and true places.  The place was packed and we ended sitting at the bar. I got the turkey burger with a side salad to try and eat healthier.  It was very good, didn't really notice it wasn't beef.  Then I ended up sharing a sundae with the wife, I did say I was trying to eat healthy didn't say I was actually succeeding!  The vanilla ice cream was good but the fudge was room temperature not hot.  The service was friendly and fast.",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=740,3.2,3.44,3.44,3.2800000000000002,3.3440000000000007
512,Scott D.,"Petaluma, CA",0,16,,2.0,2012-01-21,"Maybe because I am not a fan of chain restaurants, but this was just okay. Servers are not into you and smile when they bring the check. The food was what you expect at a chain, and not hot when brought to the table. Salad is great though. I think I can find better for the money. they probably just do well because of the location being next to the mall. Plenty of hungry shoppers who forgot why they don't really like cheesecake factory.",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=800,3.16,3.42,3.42,3.0800000000000005,3.3160000000000007
384,Aleyna L.,"Fullerton, CA",103,125,7.0,4.0,2012-01-24,"I'm a huge fan of The cheesecake factory. I've been going here for more than 3 years and i usually come twice a month.  When i first tried this place, they used to be better for some reason. I always order strawberry lemonade and it just go way too sweet like few months ago and it didn't change till the last visit.  Their portions are mind boggling large at dinner time and just right when you order lunch portion. I recommend spicy chicken chipotle pasta and Fettucini with chicken and sun dried tomatoes and garlic noodles. I've also tried Evelyn's favorite pasta and it was meh.. something that you could make at home! They give you white and brown oatmeal bread before the main food. But lately i discovered that they only give you brown bread now! Or was that just me..? i don't think so because i saw so many bread coming in and out only with those brown bread in the basket. Well but i guess that's pretty reasonable because brown bread was the most popular bread and people always asked for that over and over again.  Their service is very good. Never caught a day when they were mean or inattentive!  Just my favorite place to eat for decent price! I can't really say anything about dessert menu because i get stuffed when i finish eating pastas.. But I've tried original cheesecake and obviously the best because it says in their sign board.. ""The Cheesecake Factory"" *Pizzas are good too!*",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=640,3.28,3.43,3.43,3.3760000000000003,3.37
681,Elaine S.,"Pomona, CA",36,22,3.0,4.0,2012-01-26,"for a sat, night my husband and i did not have a long wait. but the place was so crowded and loud we could not really enjoy eachother company!! maybe next time but the food was off the hook!!",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=860,3.32,3.44,3.44,3.408,3.3920000000000003
878,L. P. M.,"Orange County, CA",4,208,1.0,2.0,2012-01-31,"A tough review because I like the chain and have found the food options plentiful and wait staff pleasant.  At all other locations -- and then there's Brea, and the below is not the first example of inattentive service at this location. Hello, Bartender, over here, please.  Don't act like you don't see me sitting here at your bar.  You know, I'm the dude with the empty beer glass that has been empty for, oh, I don't know, 10 minutes?!?  Right, just look right through me and my empty glass and just stare up at the ceiling, because that's where you'll find bar patrons wanting to order some food and a drink before heading home.  The thirsty, hungry types always hang out on the ceiling.   Better than that, a shift change at 5:00 PM during Happy Hour that ends at 6:00 PM?  Perfect scheduling, because Bartender A who has a shift ending isn't taking orders but instead cleaning bar glasses so she can end her shift vs. Bartender B who stares at the ceiling like he can't be bothered serving patrons really is a smart management decision and great way to handle customers willing to part with money for food and drink. While my glass still sits empty I devise a quick plan to ensure I don't interfere with the flow of this bar:  Me, money, and willingness to part with some cash, perform a magic trick that should surprise no one:  I paid for my beer (with tip) and left leaving behind others still sitting with empty glasses.  Before heading home, hunger and money still in tow, I spent some money at another local chain being served by a bartender that interacted and smiled and brought food and beverage. Hopefully those patrons on the ceiling got better service.",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=600,3.28,3.41,3.41,3.1440000000000006,3.358
598,Pam A.,"Alta Loma, CA",4,69,2.0,1.0,2012-01-31,"I had a veggie salad a few weeks ago (skinny menu) at the Rancho CF, and it was amazing.  Ordered it tonight at Brea, and it was just gross, all pushed down into a ball, and it tasted old! I didn't even eat half of it.  The dining room service wasn't good, either; everyone's plates just looked disappointing.",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=840,3.16,3.38,3.38,3.108,3.2920000000000007
665,Min S.,"Los Angeles, CA",24,158,48.0,2.0,2012-02-08,"It seems like this location is way worse than the one in LA. I've only been to the one in LA three times so I thought all the locations provide same level of service and the food. No, it was not. Even though the wait was much shorter than LA one's, from sitting us to serving and the taste of the food were all below expectation. The chicken dish( fried and stirred) was way too sweet and it was covered with sweet syrup. All  of my friends said it was way too sweet. Imagine To tell you the truth, they added more syrup and bell peppers to the Orange chicken from Panda Express. Spaghettis was okay and a it was a huge dish, but I would not order it again. Another Asian dish we ordered was about average. Now I am gonna only order American dish or Italian dish at Another location. Server didn't seem to much care about , nor she seemed to be interested in serving us.",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=620,3.16,3.36,3.36,3.208,3.2800000000000007
339,Imran K.,"Walnut, CA",3711,725,48.0,4.0,2012-02-14,"This is a beautiful location just next to interstate 57 on Imperial in Brea. Excellent parking as its next to the Mall. Well lit interiors and always has a crowd.  My wife ordered fire cracker salmon rolls, CRISPY TAQUITOS have Spiced Fresh Salmon Rolled in Spinach and Onion, Served with Fried Crisp in Wonton Wrappers a Sweet Hot Chili Sauce. This may be the best dish in this restaurant for 11.95. We had FRENCH COUNTRY SALAD has  Mixed Greens, Grilled Asparagus, Fresh Beets, Goat Cheese, Candied Pecans and Vinaigrette taste is very good if you add olive oil on top it becomes delecious. Enjoyed this and it fills you up. This is not a place to order burgers as you will regret it, I did so on a previous visit and had to leave the Burger as is. We also had Chicken taco wraps. Enjoyed the Lunch on Valentines day.",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=580,3.24,3.37,3.37,3.472,3.318
236,Monica N.,"Alhambra, CA",395,673,453.0,4.0,2012-02-20,"If you must eat at a chain restaurant the Cheesecake isn't so bad. It's a testament to ever-widening waistband of America with it's high-calorie enormous portion sizes.  Save some money, save some time, save some calories. Come at happy hour. $5 appetizzers, $5 drink specials including glasses of wine and maybe take a walk in the mall afterwards you big ol fatty.",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=480,3.2,3.36,3.36,3.44,3.2960000000000007
485,Megan Y.,"Irvine, CA",21,126,,4.0,2012-02-23,"Cheesecake Factory is Cheesecake Factory. The food is good, but I wouldn't say anything extradionary. Though with typical food like this I would give it 3 stars, but what puts this at 4 was really the service. They tend to overestimate your wait, which I find better because then you're glad when it turns out that the wait is shorter than expected.  For a Saturday night, at around 7:30pm, a 30-40 minute wait wasn't too bad. The other part was our server was awesome. He was always constantly making sure we had refills when we were half way done with the drink. He always kept checking on us, despite the busy night. And it never felt like we had to search for him when we did need something from him.",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=780,3.2,3.36,3.36,3.44,3.2960000000000007
903,Mrs. T.,"Arroyo Grande, CA",6,178,12.0,3.0,2012-02-25,"Service here isn't as great as the Anaheim one. It's hit or miss. Since it's a chain restaurant, the food is the same at each place. I like the sandwiches, salads, and pasta dishes here. I sure wish they'd build a cheesecake factory in San Luis Obispo!",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=740,3.28,3.36,3.36,3.2440000000000007,3.3280000000000003
884,Roselle T.,"Atwood, CA",107,24,26.0,5.0,2012-02-28,I love coming to this place esp for lunch..a couple of my favs are the simply grilles salmon and the orange chicken. Lunch portions are big and very filling.,https://www.yelp.com/biz/the-cheesecake-factory-brea?start=740,3.44,3.37,3.37,3.4760000000000004,3.398
877,Macchiato C.,"Los Angeles, CA",21,135,11.0,4.0,2012-03-03,I like The Cheesecake Factory because I like Sheldon Cooper ... Nuff said. LOL,https://www.yelp.com/biz/the-cheesecake-factory-brea?start=600,3.4,3.37,3.37,3.2800000000000002,3.382
672,Dr. Catherine L.,"Moreno Valley, CA",519,128,94.0,5.0,2012-03-06,"I am never disappointed when I come here!! I love their ambiance and lighting I love their service and how the waiters introduce themselves or when they switch off I love their unlimited sour dough and honey wheat bread with butter I love their huge portions I love their very reasonable prices I love their cheesecake menu The chicken madeira and ceasar chicken salad are my all time favorites!!!  This is a perfect place to be at with friends, for an important meeting with colleague, or a romantic date!",https://www.yelp.com/biz/the-cheesecake-factory-brea?start=620,3.56,3.38,3.38,3.2840000000000003,3.4520000000000004
500,Ron L.,"ASTORIA, NY",84,83,3.0,4.0,2012-03-07,The food is very good at this Factory. They serve very large portions of food. The unsweet Green ice Tea is amazing.,https://www.yelp.com/biz/the-cheesecake-factory-brea?start=800,3.56,3.38,3.38,3.088,3.4520000000000004
