,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
478,Jim S.,"Los Angeles, CA",1,175,82.0,5.0,2015-10-29,Beautiful new location in the Los Cerritos Center opening 11-2 at 11am. I am thrilled to have a location so close to home! There is also a brand new Harkins Theater opening up right next door in the near future. This will be a super dinner and a movie location.  Can't wait !,https://www.yelp.com/biz/the-cheesecake-factory-cerritos?start=460,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004
436,Tanaya G.,"Los Angeles, CA",243,27,7.0,5.0,2015-10-29,"I came to the newest Cheesecake Factory for their soft opening, and was met with super hospitable, friendly service and a tour of the restaurant. The staff was training, but did an a great job with our food. They officially open for business on 11/3/15 so come check it out. They're eager to please and the food is on point! Thai lettuce wraps are amazing, as well as the tuna tataki salad... and I've never met a cheesecake I don't like here!",https://www.yelp.com/biz/the-cheesecake-factory-cerritos?start=420,2.868,2.868,2.868,2.868,2.868
719,Thyra M.,"Buena Park, CA",0,10,2.0,5.0,2015-11-03,First time at the Los Cerritos mall.  Fabulous get food and service great. Will be back for sure. I am glad there is finally one near by.,https://www.yelp.com/biz/the-cheesecake-factory-cerritos?start=700,2.7399999999999998,2.7399999999999998,2.7399999999999998,2.7399999999999998,2.7399999999999998
413,Jonathan P.,"Signal Hill, CA",204,22,2.0,1.0,2015-11-03,"This beautiful location had so much potential to be a great dining experience. It had the standard decor as seen at all other cheesecake factories. Pleasant, modern Tuscan. The first issues started with our waiter who seemed sarcastically rude the entire time.  I won't share any names because maybe he was just having a tough grand opening and I'll give him the benefit of the doubt. The bread came to our table cold and quite infrequently.  There was no problem with our drinks but the food felt like it took awhile and the waiter didn't give us any update as to why the food was taking awhile. When the food finally came, it looked great. Unfortunately only half our table was served. The rest of the food didn't come out until 15min later and one of our friends didn't get their food until 10mim after that. Prior to their food coming out came the biggest issue of all. I subbed out the fries that came with the rib eye steak with Mac and cheese. It looked great. 3 bites into the Mac, I bit down on a broken piece of plate. Might have chipped my tooth. They offered to file a report with corporate. Depending on how my mouth feels in the next week, I may come back to speak with Kelly, the manager. She was perfect in her accommodations and hospitality. I was comp'ed for my steak and they gave me a free slice of cheesecake. I appreciated that. But the waiter kept throwing his rude behavior at us, even as we were paying the check. Making this dining experience quite unpleasant. He even mixed up all the take out boxes.",https://www.yelp.com/biz/the-cheesecake-factory-cerritos?start=400,2.34,2.34,2.34,2.34,2.34
763,Flip C.,"Cerritos, CA",0,13,3.0,4.0,2015-11-04,"I came here for lunch with my mom, 2nd day officially open and excited because a Cheesecake  Factory Restaurant opened so close to my home.  The Cheesecake maybe my nephew CJ'S favorite restaurant or one of them.  And my family has enjoyed the food for years more so my sister's family who have gone more frequently.  The Cheesecake Factory has a reputation for being a little pricier for a family casual restaurant but they do make up for it with their large portions.  It is very rare that diners dont go home without the doggy bag.  As my mom and me came for lunch we figured less expensive and smaller portions you would expect.  I was correct about the less expensive but was pleasantly suprised at the portions. Our meal did start of with the complimentary bread with butter, the brown loaf especially tasty though it could have been warmed, isn't it supposed to be?  We were offered refills, which we accepted of course.  My mom ordered the Chicken and Mushroom Lettuce Wraps off the Skinnylicious menu, yes listed as an appetizer but my mom being 85 yrs old wanted something light.  I ordered one of their famous pastas, the Louisiana which had Chicken and Farafelle pasta in a spicy cream sauce.  The food was delicious but enjoyment was tempered a little by the fact the food was served warm not really hot.  But the portions were huge, surprised at the size and couldn't finish it all. My mom understandable but me, I'm a big guy.  So of course had a doggy bag or two. Service was very good, I believe our waitress' name was Madeline?  She was very attentive and very cordial.  Also answered our questions about the opening of the restaurant and the operations.  The price for two for lunch no more than Twenty bucks before tax and tip.  My mom and I enjoyed our first experience here enough that we will probably bring the rest of my family here, including my nephew, this coming Sunday for dinner.  Oh the place looked beautiful of course, and all the staff we encountered were very friendly and helpful.  Being new there were a few mis-steps to be expected, but once this place hits it's stride as time goes by may rate a 5 star rather than 4.  This being the Cheesecake factory expect it to be busy, especially at dinner, found out they do take reservations.  Lunch is a good time to go if you can, though busy not crowded and did not have to wait to be seated.  A very enjoyable experience.",https://www.yelp.com/biz/the-cheesecake-factory-cerritos?start=760,2.384,2.384,2.384,2.384,2.384
283,Cynthia A.,"Bellflower, CA",39,29,32.0,5.0,2015-11-04,I had the endive salad stuffed mushroom and cheese burger it was all DELICIOUS I love the location and I'm so happy they opned one in cerritos  Servers hostess and waiters were great although they didn't bring my bread and butter out on time it was all good love it here  Outdoor seating is the best Wow the waiter brought our bill he said the cheesecake was on them because the burger wasn't cooked the way we ordred it  Wow he was so nice we didn't even noticed our burger wasn't cooked the way we ordered it  THANK YOU SO MUCH THAT WAS VERY NICE ERIC  BTW HE WAS OUR waiter he was so nice polite and smiled a lot,https://www.yelp.com/biz/the-cheesecake-factory-cerritos?start=280,2.612,2.612,2.612,2.612,2.6120000000000005
456,Amar P.,"Cerritos, CA",86,13,5.0,1.0,2015-11-05,"This place just opened the other day. So one would thing it would have their shit together . The location is nice but very small. I was very disappointed by the drink I ordered. Order a regular Mojito, very week. I watched the guy make it and he was training . Service is not that great. The hosts seat our party down and it took 20 minutes for the server to come to our table. He was good but did not really know the menu. I go to Cheesecake Factory often so I know what is good or what not but the staff didn't study the menu dissatisfaction on the service",https://www.yelp.com/biz/the-cheesecake-factory-cerritos?start=440,2.148,2.148,2.148,2.148,2.148
744,Susan B.,"Downey, CA",59,48,23.0,1.0,2015-11-05,I phoned in an order for pick up with Stephanie. Within a few minutes she called me back and left a message that what I wanted (turkey burger) was not available and to call back and update my order.  I called right back and was in hold for 8 minutes (I have a timer on my work phone). The girl who answered the phone when I called back was said Steohannir was on the other line.  I told her I need to clock out for lunch and asked her if she can pls tell Stephanie my new order. She said she can't take orders. I said that's fine but can she then give my new order to stephanie....she said no. Ugh! Wth! Seriously!?! I've been waiting for a Cheesecake Factory to open up around here and my first encounter sucked!!! My workers have already gone to this location and say it's slow and sucks! Today's experience confirmed that!!! Very disappointed! I guess I'll have to keep on making that drive to Brea .  I hope their management is better than their staff!!!,https://www.yelp.com/biz/the-cheesecake-factory-cerritos?start=740,2.02,2.02,2.02,2.02,2.02
667,Melina G.,"Bellflower, CA",31,31,14.0,5.0,2015-11-05,"So this place is new and i understand that the employees are still learning the menu, as a past waitress I get it. Anywho, the white chocolate raspberry truffle cheesecake here is super good! And the staff is super friendly. Will go again soon. (:",https://www.yelp.com/biz/the-cheesecake-factory-cerritos?start=640,2.548,2.548,2.548,2.548,2.548
734,Mildred H.,"Compton, CA",0,3,3.0,1.0,2015-11-06,"What a totally awful experience!!! Poor service, cold food and a rude waitress, Irlanda. She removed our appetizer without even asking if we were done. The only semi-bright spot was the manager Mark. He kept coming over apologizing and trying to make things better but things never really improved. After waiting an hour for a table,  another hour for our appetizers we canceled our meal and headed to the bakery for cheesecake to go.  That took another 30 mins. There were four employees standing around while we waited. I will never come back to this location. I've been to others and love this chain. This new location left a bad taste in my mouth.",https://www.yelp.com/biz/the-cheesecake-factory-cerritos?start=720,2.02,2.02,2.02,2.02,2.02
