,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
1437,Bear A.,"Honolulu, HI",0,2,,1.0,2012-01-07,"Although the food is not that special, I like to go here once in a while.  But today, I was totally disappointed.  We waited in line to be on the waiting list. The two Caucasian guys in front of us were told that the waiting time will be 30min. But when we went to put our names down after them, the girl told us that the waiting time for two of us will be 1hour and 20min. How could it be 1 hour and 20 min wait when it was only 30 min for the two guys right in front of us!???? I felt that it was a discrimination. Btw, we are local Chinese and Japanese. Later on, I went back here to look at their cheesecakes, and I over heard the same girl telling two Caucasian customers that the waiting time would be 30min and told the two middle eastern customers that the waiting minutes will be 1 hour and 20min!!!!! What is up with that!? That is a discrimination! She totally ruined my night!",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1320,3.36,3.76,3.664,2.9160000000000004,3.5999999999999996
904,Connie M.,"Honolulu, HI",71,417,3826.0,2.0,2012-01-07,"Service was extremely slow. I was there on a weekday afternoon. I was seated immediately going in, but once I got my table that's when the trouble started. The waiter took forever to take our orders (remember, it was not a busy day) then the bread, water and our pasta dishes all came out at the same time. I find that to be unacceptable even if it's a chain restaurant.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=740,3.24,3.74,3.66,2.9840000000000004,3.540000000000001
1054,Billy W.,"Honolulu, HI",63,111,12.0,4.0,2012-01-08,"I've always avoided this restaurant over the years because of the long lines. Is it really worth the long wait? But today, enough is enough! Attempted to beat the lines and went at 10:45-ish. Sure enough, no wait! The menu was incredibly long but I ordered the Louisiana Chicken and my friend got the Crusted Chicken Romano. They were both really good! I especially loved their chicken seasoning, best chicken I've ever had. HOWEVER, I found a long piece of saran wrap stuck to the chicken but the manager promptly came out to apologize. No biggie I guess as long as it isn't bugs in my food. The service was pretty good too; drinks were always kept full. SIDE NOTE: Their iced teas are the ""literally iced tea"" kind of ice tea! If you like your sweet tea, it's better for you to order something else to drink. Next is dessert! If you're here for lunch, I'd highly recommend their smaller lunch specials (available til 5 p.m.) because you'd have more room for dessert! Now this is the reason why (I believe) people brave the long lines for this place: cheesecake! There were so many choices (cheesecakes themselves were 1.5 pages long accompanied by another 1.5 pages of other desserts) that it'd be cool if they had some sort of cheesecake sampler. Ordered the Chocolate Raspberry Truffle and the Vanilla Bean. They were both very sweet but VERY good. I've tried the frozen Cheesecake Factory cheesecake from Costco but these are entirely of another quality. Couldn't finish either cheesecake because was too full (even with the lunch-sized specials!), be sure to have a glass of water on hand. All in all, it was a great experience and I'd come back again! For lunch. No wait if you're there really early. Smaller portions. For the cheesecake of course.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=960,3.32,3.75,3.664,3.248,3.5780000000000003
1374,J J.,"Yorba Linda, CA",4,137,30.0,4.0,2012-01-08,"Sunday Brunch review.....Yes....you can get Cheesecake Factory anywhere....but, from someone who travels to Waikiki a lot on biz, you aren't going to find a cheaper Sunday brunch with better food anywhere.  Brunch is expensive in Waikiki if you want quality, and for the price I would def recommend CF. oh, and not everyone knows they open early on Sunday, so very little crowd, unlike dinner.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1240,3.4,3.75,3.664,3.3120000000000003,3.6100000000000003
868,Erika R.,"Salem, OR",124,238,247.0,4.0,2012-01-08,"Yes, there's a long wait most of the time. No, they won't seat you unless your entire party is present and ready. But I just love their novel length menu, even though I choose one of three same dishes every time I go, Steak Diane with mashed potatoes or Chicken Parmesan sandwich or Pasta with chicken and sundried tomatoes, I love having options! And the desserts!!!! Red Velvet Cake Cheesecake, Black Out Cake, or Chocolate Chip Cookie Dough Cheesecake!!  Wear your stretchy pants and go for it!",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=720,3.32,3.75,3.668,3.248,3.5780000000000003
84,Teresa S.,"Honolulu, HI",1,19,1.0,3.0,2012-01-09,"I agree that this Cheesecake Factory holds up it's reputation as good, reliable and fun. They do have tasty and pricey cheesecake. With the wait time up to more than an hour at peak times such as dinner and lunch.... I prefer others, I like to live a little and try something new. If you haven't been to a Cheesecake factory the one in Redondo Beach, Calif is the one to try. Right on the ocean, outside seating or the regular noisey indoor seating as the this one. The Honolulu location is like any other indoor restaurant. If you sit outdoors on the patio have people staring at you as they walk down the busiest sidewalk  on any of the Hawaiian islands.  No view unless you like to look at badly dressed tourists...Chucks and Shorebird both have views and in the same area in Honolulu.  You're on a Island don't spend your time waiting for a table that won't remind you you're in the tropics but will make you think you're back in the city. If you're the typical tourist not looking for adventure this is a safe bet and if you have kids that are loud they won't bother anyone here.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1300,3.36,3.73,3.66,3.1480000000000006,3.5820000000000003
1427,Googleone G.,"Pearl City, HI",4,58,28.0,5.0,2012-01-10,"Great Steak, Tex Mex Eggrolls and fried Artichoke is good.  Full bar, Daiquiris taste great.  Never had the Desert cause was full after eating the main course. Dinner for two cost about 100 dollars including tip.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1260,3.4,3.73,3.664,3.3800000000000003,3.5980000000000003
26,Carmen C.,"Chicago, IL",5,32,,4.0,2012-01-11,we came at 7:15pm and were told we had to wait for more than one   i decided to sit in bar area.this is the third cheesecake factory i   is also good.,https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1420,3.48,3.73,3.668,3.248,3.6300000000000003
1134,Allison D.,"Newark, NJ",57,225,115.0,2.0,2012-01-12,"This place is a trip! The wait is always long...plan on waiting about 2 hours for a table at dinner time. However, its a prime spot for people watching which can make the time go by quickly. The bar is open seating, but people are like vultures in there, so keep an eye out and act fast if you see a table! Note: although they are in the bar area, the low tables are not open seating, just the high tables and the bar stools. The portions are HUGE. The food is mediocre; not great, not horrible. I got the chicken and biscuits and made THREE meals out of it. My boyfriend got the jambalaya and made two meals out of it. This place is great for a big group of picky eaters, everyone should be able to find something they like on the extensive, diverse menu. Service is pretty standard. Even if you recieve somewhat bad service, its hard to be angry as you watch your server sprinting around trying to give personal service to the never ending guests without skipping a beat or even stopping to catch their breath. Although ""romantically"" lit, the place is super noisy, so don't go if you are looking for a nice quiet dinner.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1000,3.44,3.71,3.664,3.0480000000000005,3.6020000000000003
1116,Zoe C.,"Las Vegas, NV",5,166,164.0,4.0,2012-01-13,"We went there again last Sunday and I just want to simply say that choosing Cheesecake Factory can never go wrong. We never have any bad experience with Cheesecake Factory, service is always good and sincere, we always feel that we are being welcomed. Even if we go there at late night time, they would check with us if we need anything else before the closing time so that we get to order anything that we have in mind (especially the dessert!). After trying many places on this island, I think I would stick with Cheesecake Factory whenever we have no idea what to eat and not having the time to cook. The long line is worth it. We love Cheesecake Factory!!!!!",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=980,3.52,3.71,3.664,3.3120000000000003,3.6340000000000003
30,G M.,"Denver, CO",0,48,,3.0,2012-01-14,We have been there a few times over the years and it is always consistent: after a very long wait for a table you get good service and PLENTY of good solid food. We tried a variety of things on the extensive menu and no one was disappointed. Only complaint I have is they bring the entres too fast after the appetizer (but that seems to be a failing with all Hawaii restaurants) and then try to cram all the dishes onto the small tables. We were celebrating a birthday and the birthday boy got a rousing rendition of happy birthday from several waiters which was very nice.   They do however have surprisingly lousy cheesecake ( we have tried a half dozen different ones)  and the strawberry shortcake was rated not so hot either.,https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1420,3.44,3.69,3.66,3.1800000000000006,3.5900000000000003
1339,Alvin P.,"Mililani, HI",6,7,,4.0,2012-01-16,"Okay, as someone who lives quite far from the hustle and bustle of Waikiki, I come out here once in a while to eat at The Cheesecake Factory (mainly because a lot of my friends like going here and it's either this or Zippy's.) Anyways, besides what everyone else is saying about the (at-times) ridiculous wait times, the food and service here is pretty good! There has never been a time when I was utterly dissatisfied with the food and/or service we got. Hosts and waiters are extremely friendly (my host made a joke about how she wouldn't be able to fit into my skinny jeans as she led us to our table) and the waiters are very friendly, are quick to answer any questions you may have on their diverse menu, and don't pester you to hurry up and scram once you finish your meal (we were still eating even though the restaurant was closed.) I got the Chicken Bellagio, which wasn't HOLY SH*T(!) spectacular, and a bit bland for my taste, but it was still the same level of quality I've come to expect from The Cheesecake Factory. Here's a tip: if you're here for the first time, you may think that their dishes are a bit pricey for what you're seemingly getting, but damn, it's like the restaurant is planning on fattening you up to cook you, because the portions here are HUGE. Therefore, if you and your friend are both ""eh...kinda hungry but not really,"" then I highly suggest splitting an entree because both of you will probably be full, happy, content, and all that jazz. If not, just ask your waiter to pack up the rest of your food in a doggy bag and heat it up the next day at work or something. Every single time I've been here, I never been able to finish all my food in one sitting. And trust me, I have the appetite of a ravenous gorilla. Parking is also super convenient. Free with validation at the Royal Hawaiian Shopping Center. I haven't really tried their cheesecake before so I can't really comment on that (which would probably defeat the purpose of this entire review) but oh well! Happy eating!",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1180,3.44,3.69,3.656,3.216,3.5900000000000003
97,Cheryl H.,"Pearl City, HI",2,17,,4.0,2012-01-31,"I had an appetizer and cheesecake. The appetizer kalua pork pizza it was ok, wild blueberry and white chocolate cheesecake awesome! The service was also great. I think it was one of the only times I went that we were seated right away, usually I've had to wait over an hour to be seated.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1300,3.52,3.7,3.664,3.248,3.6280000000000006
1158,Pip Y.,Australia,0,24,,3.0,2012-01-31,"Always a pleasure to have a meal at the Cheesecake Factory :) Things to be aware of:  it starts to get busy around 5pm for dinner and they will assign you with a buzzer that goes off when your table is ready - the wait can be more than an hour!  Also once seated the restaurant is so busy and can acommodate so many people that it is very noisy so don't expect to be able to have an intimate conversation because you have to speak loud to be heard. Apart from that - the menu is massive and there are so many choices - be warned that the portions are ridiculously large and the staff will also let you know.  But if there is a smaller portion of your item on offer - I suggest you go for it because I can eat ... and i have never finished anything I have ordered there.  Salads are even huge ;) The service is attentive and staff are friendly.  It's an experience you have to go and try - meals are yum and I can recommend:  the spicy chicken sliders, BBQ chicken salad, chicken & biscuits and the seeded brown bread that you get at your table when you are seated!  All great :) PS always to full to sample the cheesecakes - so have never actually tasted them ... but they look good (!)",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1020,3.48,3.68,3.668,3.1480000000000006,3.6000000000000005
1236,Estelle T.,"Honolulu, HI",36,97,215.0,4.0,2012-02-03,"I love this place. The line may be long, but there's great entertainment wherever you turn in Waikiki. The one thing I always get is the Shrimp and Chicken Gumbo. And why come to Cheesecake Factory without a slice of cheesecake right? I'm old fashioned and I like to stick to the original. The white chocolate cheesecake was amazing, but it was too sweet for my tastebuds. There's so much to choose from, but I always stick to the good ol' gumbo. It's really worth it since they give you a huge portion of that. There's always enough to take home and savor the next day. It sucks that there's no reservations but i guess if you really do love the food, you'd wait and I did.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1040,3.56,3.68,3.668,3.216,3.6320000000000006
