,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
371,Helen W.,"Jersey City, NJ",46,277,2.0,3.0,2012-02-24,They were really nice. We asked for MSG channel and the waiter went to ask his boss.  They tried to be accommodating even though they didn't have the channel.  Service was good but the food is just usual like the other cheesecake factories.,https://www.yelp.com/biz/the-cheesecake-factory-king-of-prussia?start=300,3.72,3.72,3.72,3.0840000000000005,3.7200000000000006
300,GoBlue G.,"Wilmington, DE",7,118,223.0,3.0,2012-03-08,"Sunday brunch is the only time we've been, never have to wait for a table at 10:45. Food has always been delivered hot and flavorful. Service can be laid back at times, I hate the standard "" how are you guys, can I start you off with some drinks"". Last time I checked my wife and mother aren't  guys!!! Picky I guess. Menu will satisfy anyone, I am a fan of the egg white omelette and the tamale cakes. Cheese cake not bad either. Coffee is very good. Hostess very pleasant. Hate the faded white work uniforms, oxyclean =ever heard of it ... Use it. We'll be back of course!",https://www.yelp.com/biz/the-cheesecake-factory-king-of-prussia?start=320,3.72,3.72,3.72,3.1160000000000005,3.7200000000000006
341,Mary M.,"Chesterbrook, PA",0,20,,2.0,2012-03-15,"Met a friend here for lunch about a month ago....maybe it was our early arrival, but we were seated right away.   With so many empty tables, we were disappointed with the table we were given...so close to the servers' station.  Anyway, the menu here is extensive and the portions huge.  Fortunately, our server made sure we saw the ""skinny"" menu (calories under a certain number).  We ordered from there...my friend getting a salad with chicken and I had the burger with side salad.  It was delicious and satisfying without breaking the calorie bank.  The atmosphere is a bit chaotic, which keeps me from frequenting this restaurant, but I will go back at some point for another savory low-calorie burger.",https://www.yelp.com/biz/the-cheesecake-factory-king-of-prussia?start=360,3.6,3.6,3.6,2.9840000000000004,3.6000000000000005
322,Katie F.,"Philadelphia, PA",31,17,,5.0,2012-03-26,"I have never ever ever ever had a bad meal here EVER. This is easily my favorite restaurant, partially because Im such a huge cheesecake fan. But it's not just the cheesecakes that are fabulous- it's EVERYTHING. They have such a wide range of entrees- Asian cuisine, Burgers, Italian, Mexican, you name it. Its all fabulous. Even the Tropical Tea is to die for. I can't think of anything negative about any of my experiences here, besides maybe the wait for a table. It's annoying that they don't take reservations. But my solution to that issue is to just come at the off hours. You'll be busy shopping at the mall anyway, so come at your leisure. Like or between lunch and dinner (3 or 4:00). Just forget Friday/Saturday nights unless you're doing takeout or are willing to wait around 1.5 hours. Also, the meals are very high in caloric content so be prepared to workout for a couple days afterwards if you want your pants to fit haha. But to me, thats just a sign of amazing food- 5 STARS!!",https://www.yelp.com/biz/the-cheesecake-factory-king-of-prussia?start=340,3.64,3.64,3.64,3.3480000000000003,3.6400000000000006
353,ben c.,"Newtown Square, PA",136,356,359.0,4.0,2012-04-10,"I have been here many times and love the food portions here!  My only problem coming here every time is deciding what to get.  They have so many selections from the menu it can be a bit overwhelming sometimes.  I came here with a friend and Rich was our waiter.  He was fantastic and was very professional.  He was very detailed even when pouring my drink and placing it back on the coaster and not on the table like most wait staff i've experienced.  He recommended buffalo blast as an appetizer which was delicious and a very popular item.  The shrimp taco from skinnylicious menu was also very yummy (my friend ordered this...FYI).  Regardless of what you order, there is a high chance that you won't be able to finish everything.  That's good cause don't.  Save room for the cheesecakes and desserts.  Again, the selections will make you wanting all of them.  Try to go with a few friends and share different cheesecakes so you can try more flavors!   If only the waiting time to get seated wasn't so long.  Go early, put your name down and shop some...it'll make the time go faster...",https://www.yelp.com/biz/the-cheesecake-factory-king-of-prussia?start=300,3.64,3.64,3.64,3.152,3.6400000000000006
289,Tina C.,"Reading, PA",193,161,7.0,4.0,2012-04-11,I really enjoy the Cheesecake Factory. People say its overrated and overpriced but I really disagree. I think the food is great and it is always a good time!  Servers are areally on top of their game too. Very helpful and very knowledgeable on the menu. They give you plenty of food so you will always have lunch the next day! Portions are great for what your paying. I love the turkey club sandwich and the dynamite (i think thats what its called?) shrimp! Very tasty! The vanilla bean cheesecake is to die for and so is the strawberry infused vodka martini.  Definitely try it out! Very good.   WARNINGl be prepared to wait at any time! this place is always croweded and there is always a wait! I think well worth the wait though! :-),https://www.yelp.com/biz/the-cheesecake-factory-king-of-prussia?start=260,3.72,3.72,3.72,3.088,3.7200000000000006
235,Sunia T.,"Manhattan, NY",76,160,,2.0,2012-05-05,"I strongly dislike how this Cheesecake Factory is doing things because clearly something is wrong. They do not take reservations and people are constantly camped outside of it like teenage girls camping out to see their favorite boy band. It's just cheesecake factory, a 5 hour wait on a good day is just unacceptable. I think cheesecake factory is a great chain that never disappoints but this one is in dire need of allowing people to make reservations to fix the mess outside of it. People are literally sitting on the floor in a line outside and this particular one is located in one of the classiest and upscale malls in America. Simply ridiculous.",https://www.yelp.com/biz/the-cheesecake-factory-king-of-prussia?start=220,3.64,3.64,3.64,2.8880000000000003,3.6400000000000006
280,Kelly M.,"Philadelphia, PA",3,9,6.0,3.0,2012-06-11,"Cheesecake factory is a star above a chain; great menu and prices with huge (beyond huge) portions.  Their food presentation is great, then the taste is just mediocre. Nothing to wow about, but def good enough to go back. The chicken lettuce wraps were on average of most I've tasted. The burrito I got was the size and weight of my chihuahua..really it was, but it was bland and dry.  Their artichoke hearts are wonderful.",https://www.yelp.com/biz/the-cheesecake-factory-king-of-prussia?start=260,3.72,3.72,3.72,3.0520000000000005,3.7200000000000006
368,Thomas I.,"Henderson, NV",46,205,6.0,4.0,2012-06-27,People love to give chain restaurants bad reviews just because its not cool local and hippy. I like to judge based on if it taste good when it touches my toungue. Got a burger here and a cheesecake and everything just tasted delicious. Service was stellar 2. What I got to say for cheesecake factory is let the haters hate,https://www.yelp.com/biz/the-cheesecake-factory-king-of-prussia?start=300,3.68,3.68,3.68,3.216,3.6800000000000006
257,E Peter D.,"Bayside, NY",2,67,68.0,5.0,2012-06-28,I have to say I was surprised. Great burgers that were actually cooked to order and not overpriced.  Obviously the cheesecake is delicious. We had the Hershey cheesecake that had cake surrounding cheesecake and covered with syrup and chocolate chips.  How can you go wrong with that?,https://www.yelp.com/biz/the-cheesecake-factory-king-of-prussia?start=240,3.72,3.72,3.72,3.3160000000000003,3.7200000000000006
