,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
234,Sarah W.,"Joliet, IL",8,10,2.0,3.0,2012-02-10,"Recently had a business lunch there recently. They don't have any tables that are not half booth half chairs. When you have a group it's not fun to scoot all the way across a booth to the corner. The server was not very friendly and every person who asked a question about the menu was answered with a ""No"" and not a single suggestion. My biggest complaint is that we didn't get our food at the same time. 1 person received his food, then a few minutes later (after helping another table) she brought 2 more plates, then a bit more waiting until the final 2 plates arrived. Not cool. The only redeeming quality was the food and the fact that my water was constantly refilled. The veggie burger was delicious!",https://www.yelp.com/biz/the-cheesecake-factory-lincolnshire?start=160,3.88,3.88,3.88,3.2760000000000007,3.88
166,Patrycja K.,"Skokie, IL",0,4,,5.0,2012-02-16,"The food here is always amazing.  The avocado egg rolls are the best!  We go there all the time because of the menu, it has numerous choices and you can always pick a different meal everyday of the week. I am not going to even mention the cheescake because it is the best I've ever had!",https://www.yelp.com/biz/the-cheesecake-factory-lincolnshire?start=220,3.88,3.88,3.88,3.4440000000000004,3.88
72,E M.,"Mundelein, IL",0,31,3.0,3.0,2012-02-19,"Let me start off by saying that on Yelp, three stars is ""A-OK."" For me, it's more like, ""Ehhhh...it was okay.""   Secondly, I am truly befuddled by the people that pack these places every night, and all I can think of is that they are the same relatively small cross-section of the populations that come over and over again -- unimaginative, chain-restaurant dwellers.  This place's biggest appeal in their food is that most of the dishes are comfort food with lots of ingredients, which definitely makes people feel like they are getting their money's worth.  (??)  Sorry, but an over-over-sized bowl of mushy noodles with red AND yellow peppers AND three kinds of cheese instead of one is not worth my $17.00.  I've probably been to various Cheesecake Factories in the area a total of ten times over the the years; after a many-year hiatus, we went to the one in Lincolnshire to meet a friend and had the same ""why did we come here?"" experience as always.  Let's start with the food, which was okay, and go one to the service, which was dismal.  The bread they bring to the table was actually fantastic...yippee!  As we wrestled through the ridiculously long menu, we had an order of chips with spinach dip, which was fine, but what wouldn't be with mounds of cheese and oil literally floating on top? I'm a rich-food junkie, but this was too much even for me.  Also had the chicken croquettes which were fried balls of mush. Again, I can see where someone who had never ventured to a (*gasp!*) real ethnic restaurant, such as Cuban or Spanish, might think this was a passable example of that dish.  However, we are talking about a chain restaurant in ""the soul-less suburbs,"" so I guess I have to adjust my thinking for that.  Next up was my Louisiana pasta dish.  I pretty much ordered exactly the kind of dish I associate with this place -- an inventive (lots of ingredients!!!) rich dish that was executed at about 65%.  The chicken was thin and tender, but heavily breaded. The bow tie pasta was alright but overcooked and had almost no sauce on it -- it was quite unexpectedly dry (but hey...on the menu it listed lots of ingredients!!!!)   Also at the table was a chicken club, a burger, pasta with meat sauce, chicken tenders, and the romano chicken.  Out of the six of us, three liked their dish, and three didn't.  The cheesecake was, I guess, as good or bad as one makes it.  In other words, it looks fantastic, they have every combo of cheesecake under the sun, and it's all rich and smack-you-over the head sweet, but in varying degrees. You should order as over the top as you think you can handle....I got carried away and ordered too far over the top (Dulce de Leche.)  I really liked my husband's Original, and if there was a next time, I'd probably get the Cherry cheesecake.  Now, the service.  The list is long but somewhat entertaining in a sad way, so read on.  At least if you stick with my review, you can come out of it feeling good that at least it happened to me and not you (hopefully.)  This place HAS to have a high turnover -- no one looks happy or like they know what's going on.  Our waiter was the type that makes me want to go back later and smack once I think about how bad he was, especially considering he added our 18% tip in automatically.  My friend (a very apologetic person by nature) had to screech at him three separate times for new (alcoholic, i.e., expensive, i.e. more money for the restaurant and waiter) drinks as he whizzed by without a glance.  He took my daughter's water glass away for some reason while we were in the bathroom, and later when she wanted water I asked where her glass went and my husband said ""the waiter spilled it in my lap.""  Huh?? Was he picking it up to take away, or to refill? We don't know, but after he disposed of it on my husband, he never came back with another.  When I told him we all wanted waters (they had all disappeared) he said ""How many?""  Umm....we ALL want them.  All means ALL.  Waters all around.  Ten minutes later, he comes back -- one water short.  Now, you may think I'm picking on our poor guy, but no....there are many more people that can share the blame on this one!  Ever heard of the phrase ""Ship of fools?""  Read on to the next review, as 5000 characters can't do this place justice!",https://www.yelp.com/biz/the-cheesecake-factory-lincolnshire?start=180,3.84,3.84,3.84,3.2120000000000006,3.84
79,J W.,"Philadelphia, PA",0,65,,3.0,2012-03-18,Love the ambience. Its so pretty in there. And of course the desserts are delicious. But the rest is just ok. We went to the bar to get some drinks first because we had to wait 30 minutes for a table. Which is the minimum for a saturday night.  The bartenders were really rude and didnt serve us right away. And they said they couldnt transfer the bill to our table which I thought wasnt ok.  Our waitress was clueless when I asked her questions about certain meals she couldnt answer them and she didnt seem to know the menu. Maybe she was just very unexperienced.  My dinner was good not great. I wish my steak would have been a little bit more tender. The salad was ok but a little dry. And like I said the dessert was very good. We ordered cheesecake of course (I think we had the one with lime in it) and tiramisu.  Another thing is if you are looking for a more quiet/ romantic place this is not the place to go to. It gets very crowded and very loud in there.,https://www.yelp.com/biz/the-cheesecake-factory-lincolnshire?start=180,3.84,3.84,3.84,3.2440000000000007,3.84
49,Kelly C.,"Nashville, TN",26,100,2.0,4.0,2012-03-26,"Yes it is a chain restaurant and living in Chicago I try to avoid them because there are so many good restaurants.  But I work in the burbs where chain restaurants rule.  I'm not going to lie if people want to do lunch Cheesecake Factory is always the top of my list.   They have a VERY extensive menu...you could spend your entire lunch hour trying to figure out what to order!  I'm boring and always get the same thing: tuna tataki salad.  It's devine with seared tuna, avocado, tomatoes and a spring mix salad.  Healthy and filling.  I could eat this for lunch everyday. I dine with other people who get a variety of items and wow the portions are huge - even the half/lunch portion salad is enough for 2 meals - I wonder what the full one looks like! I don't get the cheesecake often but when I do the red velvet cheesecake is to die for.  It seriously is the best thing ever. The service at this location for lunch have always been good and the food comes out quick.  I would recommend doing lunch a little earlier than the typical lunch crowd (around 1130 is when i go).",https://www.yelp.com/biz/the-cheesecake-factory-lincolnshire?start=140,3.92,3.92,3.92,3.3760000000000003,3.92
75,Johnny B.,"Austin, TX",3,93,,4.0,2012-03-31,"My 1st time at The Cheesecake Factory. I've never been to Hooters either, but driving up to this place, I thought I was in Las Vegas. The place looked like the Taj Mahal. As I entered, it was like a Taj Mahal inside! Tell me they ain't making $$$$. I also didn't know they had  free standing restaurants. Had a short wait as we got there b4 6:00. That seems to be the breaking point. Sat at a table with a beautiful view. Ordered an appetizer of Tahini. Great choice. Very fresh and garlicky. Sweet. My companion ordered a huge salad. She is on a diet again! I had the Americana Burger. Great toasted bun with all the fillings (onion, tomato lettuce, 1000 island dressing). Fries accompany the burger. BUT, the reason I came- DESSERT!!!!! I had the white choc, macadamia nut, caramel cheesecake. WOW! Oh, do not forget the whipped cream liberally used for the topping. GREAT.  All in all, good circus, good service, good food and GREAT DESSERTS. Will return after my diet! Johnny Chitown",https://www.yelp.com/biz/the-cheesecake-factory-lincolnshire?start=180,3.88,3.88,3.88,3.3440000000000003,3.88
221,Lindsey W.,"Vernon Hills, IL",2,41,1.0,5.0,2012-06-13,"I really like this place.  I have been to a number of locations, but I like this one because it is never crowded enough to have to wait to be seated when I come here.  They have a very extensive menu, and I've never had anything bad from it.  The crusted chicken Romano with white sauce is my absolute favorite. This past visit, I had stuffed chicken tortillas, and they were awesome.  My favorites for cheesecake are adam's peanut butter cup fudge ripple and red velvet, but they are probably all good.  If a lunch portion of what you want is available, order it.  The portion will still be huge and you will still have leftovers.  Service is always spot on, which is major for me.  Yes, it's a chain.  They have yummy food though, so get over it!",https://www.yelp.com/biz/the-cheesecake-factory-lincolnshire?start=160,3.88,3.88,3.88,3.4440000000000004,3.88
63,Louie S.,"Chicago, IL",1,19,48.0,5.0,2012-06-27,"The Kobe Burger... best burger I've ever had.  Perfectly done, juicy and great customer service.  Simply fantastic!",https://www.yelp.com/biz/the-cheesecake-factory-lincolnshire?start=180,3.96,3.96,3.96,3.3160000000000003,3.96
32,Dave J.,"Wheeling, IL",47,226,83.0,4.0,2012-07-08,"The menu is HUGE...so much to choose from. If you don't know what you're in the mood for, there's a good chance you'll find something to enjoy here. Salads, pasta, beef, chicken, fish, Thai, Viet, American, Mexican, Italian...so much food to choose from! The service was very good. We were offered drink refills frequently and our table was cleared of dirty dishes frequently as well. Prices are reasonable too. My wife and I started off with the ""Vietnamese Tacos"", which is a bit of a misnomer.  These were steamed buns filled with pork and pickled veggies.  They were trying to be cute with the name, but to call it a ""taco"" is a bit misleading IMHO.  Our main courses consisted of the Factory Chopped Salad for me, and grilled Salmon for the Mrs.  Hers came with a side of pasta.  Mine was a hearty blend of lettuce, corn, veggies, and roasted chicken.  It was very good.  And to be honest, you can't come to Cheesecake Factory without having a piece of cheesecake.  We opted to share a slice of Chocolate Coconut Cream Cheesecake.  It was outstanding. Fresh, creative, and delicious. A great way to finish off a meal.",https://www.yelp.com/biz/the-cheesecake-factory-lincolnshire?start=100,4.0,4.0,4.0,3.088,4.0
74,Joann L.,"Skokie, IL",0,14,,5.0,2012-07-09,"I love this place.  You can go there after a movie for just desserts or enjoy meal.  No matter what you have the service has always been top notch.  The food is awesome.  And with the wide menu there is something for everyone.  The portions tend to be on the large size so if you choose not to share you can always request the lunch portion.  Or, you can just save it for the next day which is just as yummy.",https://www.yelp.com/biz/the-cheesecake-factory-lincolnshire?start=180,4.04,4.04,4.04,3.156,4.04
