,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
270,Eli H.,"Peoria, AZ",373,586,208.0,5.0,2012-01-26,"I'm a fan and always will be, the food is always good here and the selection is unbelievable.  I know it is a franchise but a kick ass one if I may say.  I love all the martinis....and I do mean all.  I love the strawberry lemonade, I love the cheesecake (of course), I love the service, the atmosphere is definitely high end but you can still go casual.  I have had several meals hear and could not possibly remember them all but I have never not liked my dish....except that I can never finish because their portions are HUGE.",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=260,3.28,3.28,3.28,3.8600000000000003,3.2800000000000002
278,Elaine H.,"Surprise, AZ",0,67,,4.0,2012-01-30,"Cheesecake Factory offers good food and reliable, attentive service. I like that they offer reduced calorie items. Try the French Country salad and split a dessert to control the caloric damage. They have a tasty skinny margarita. They make good coffee. Also like the burgers and the sweet corn tamales. Exercise after. One thing - I wish they'd wipe down their menus more often.",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=260,3.36,3.36,3.36,3.7600000000000002,3.3600000000000003
240,Shaina T.,"Peoria, AZ",356,68,23.0,4.0,2012-02-15,I love this place. I like the dim lights while I eat it's very relaxing. The bread is great! I like the variety. My favorite meal I like to get there is the Thai chicken pasta! Oh my gosh to die for. And any of their cheesecakes are worth getting! :),https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=240,3.44,3.44,3.44,3.7600000000000002,3.4400000000000004
238,Nick R.,"Phoenix, AZ",62,156,24.0,5.0,2012-03-21,"It is tough to find a restaurant with a 20 page menu.  Even tougher to find one that does it ALL exceptionally well.   I've been here dozens of times and never, EVER, had a meal that wasn't great. I haven't been much in the last few years because I really try to stay away from chains but went back again for the first time in at least two years last week.  Friggin awesome as usual.  In the past, the only part of their food that I wasn't in love with was their shoestring fries, and they no no longer offer them.  YES!  My meal came with normal perfectly cooked and seasoned fries. The Navajo chicken sandwich is SO GOOD.  Pastas - SO GOOD.  Also, this might sound lame, but their chicken fingers are outstanding. If you or your date are ever not sure what type of food you want, go here. The selection and quality are unbelievable.  So is the service.  5 stars all the way around.",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=220,3.56,3.56,3.56,3.8280000000000003,3.5600000000000005
264,Dwight T.,"Phoenix, AZ",13,46,58.0,4.0,2012-04-21,"Really enjoyed the Factory Meatloaf. I usually do not care for gravy, but the roux on this meatloaf made a good sauce forthr meat.  The side of corn with red and green peppers with zucchini cut into it was a nice flavor mash up.",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=260,3.64,3.64,3.64,3.664,3.6400000000000006
176,Aura C.,"Monterey Park, CA",509,463,11.0,4.0,2012-07-24,"Talk about options!  It's almost unfair to have so many items on a menu.   Especially when the food is so good.  I have gone to the Cheesecake Factory several times and have not been able to even put a dent in the menu. So, I wasn't too hungry this time, so I decided to order from the small plates menu.  We started with the corn fritters.  Then I ordered the shrimp and grits and my husband ordered the hibachi steak.   The only reason I didn't give them five stars is because we didn't get our appetizer until the our food was ready.  And by that time, we had already stuffed our faces with bread and butter (which is delicious)!  The server apologized for delay in bringing our app and the manager came by and didn't charge us for the corn fritters.  That was much appreciated!  We only had one of the fritters since our other dishes were in front of us and we didn't want those to get cold.   I really like the shrimp and grits.  I think the dish came with a little too much sauce...but that's just me....I just really liked the taste of the cheddar grits.  My husbands steak was really really good!  The hibachi steak is what I normally ordered.  I will go back again!",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=160,3.72,3.72,3.72,3.6,3.7200000000000006
236,Floyd C.,"Monterey Park, CA",1572,435,368.0,4.0,2012-07-25,"I love the Hibachi steak on the menu.  I usually have a good meal here and it is a very nice restaurant.  I wish the menu was smaller so I would not have to read through the 10 to 20 pages of selection.  Overall, great location, plenty of menu options that can be rated good, and nice atmosphere.",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=220,3.8,3.8,3.8,3.6,3.8
261,Kenneth V.,"Phoenix, AZ",14,37,10.0,5.0,2012-08-19,"Today I went to this Cheesecake Factory for brunch. An event was being coordinated by the Wounded Warrior Project organization and I was to meet with other wounded warriors for a little what I thought was a meet and greet. Once I met the coordinator, she mentioned there were to be 70 attendees. Yes. Seven, zero. I braced myself for the worst. At the strike of ten the doors opened and the games began. But what happened threw me off in a good way. The manager asked for the party of 70 right off the bat and immediately had us seated in a very large area of the restaurant designated just for our event. Servers were swarming, the manager was always present, water pitchers were pouring.  Good things were happening and I was truly impressed. I don't know if they had a pep talk in the back before we came in the door and said something like,""There is a group of 70 combat injured guests and their families coming in today. Get them whatever they want and do whatever they ask"" because that is exactly what I felt like was happening. First class service. Now the food. I grabbed the Monte Cristo brunch sandwich which was egg, ham, bacon, and Swiss cheese between two thick pieces of French toast and dusted with powdered sugar. It was just as salty and sweet as you can imagine it was. It was in fact to sweet for me. Thankfully, my wife was having the Baja Chicken Hash meal which was ""Two Crisp Tortillas Topped with Chicken Chorizo, Poblano Chiles, Potatoes, Corn, Peppers, Onions and Cheese. Topped with Eggs and Hollandaise Sauce.""  I copied that from the website so hopefully they don't care but I can't explain all of what was in the meal. It was simply awesome. It was spicy and hearty with the hash browns and I loved it. So my wife and I switched dishes and were officially set. My daughter had a three pancake and bacon meal which she loved. Simple palate simply pleased. One thing to note. The orange juice was truly fresh squeezed and along with the pulp even had that slight bitter rind taste to go with it. The virtual cherry on top of the breakfast. Really, truly, good. It all really came together. 70 of us sat down and there was not a single beat missed by the staff this morning. My coffee and water never went empty. My food came promptly piping hot and tasty. There was a smile on everybody's face and I met some other great Americans and their families. I have been to this Cheesecake Factory in the past and had good service but maybe a little unremarkable. Today was an opportunity for this location to shine and indeed it did.",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=260,3.84,3.84,3.84,3.7,3.84
267,Troy N.,"Peoria, AZ",116,95,78.0,4.0,2012-08-19,"Big portions, Great food, excellent Cheesecake and beautiful decor. If you haven't been here should  definitely put it on the try list",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=260,3.84,3.84,3.84,3.536,3.84
276,Rich C.,"Peoria, AZ",22,2,,5.0,2012-08-30,"Went here for dinner last night, I had the Shepherds pie and my wife had the Cuban sandwich, both were very good and filling. The place was busy even at 8:30 pm when we arrived. The food was very good and the staff was very friendly, the only thing I could find that I didn't like was the poor lighting.",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=260,3.88,3.88,3.88,3.636,3.88
292,Angela G.,"Scottsdale, AZ",0,48,1.0,4.0,2012-09-01,Stopped in for lunch. Had the chopped salad. Awesome!! Cannot say enough about this place! Beautiful restaurant and excellent service!  Will see you again soon!,https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=280,3.88,3.88,3.88,3.536,3.88
245,Kyle H.,"El Mirage, AZ",0,61,,4.0,2012-09-02,"First, I can almost guarantee that you will not find better service in the Valley that tops The Cheesecake Factory. Every visit, every time; this place has it together.  The only reason it gets four (4) stars is due to the price. Taking my family out here and I am sure to get a bill topping one hundred bucks ($100) easily.  However, aside from price, the staff is great and I have never had an issue with any of the waiters/waitresses that work there. The food, albeit a wide variety of it, it always good (with the exception of a steak that I felt was a little dry). If we are looking for a great place to eat and have a little extra cash to spend, this place gets our first looks.",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=240,3.88,3.88,3.88,3.568,3.88
243,Marty F.,"Scottsdale, AZ",265,314,13.0,4.0,2012-09-05,"The food always seems to get better with each trip.  Of course when I leave Im stuffed and feel like Im going to explode.  That's my own fault.. I like this location.  We are always seated pretty quickly.  If we have to wait it's maybe 10min average.  Not too bad at all. Service has always been great here.  If you ask for extra's they bring it and never say anything.  When it comes to the food, Cheesecake has pretty much anything you could imagine.  Breakfast burrito? they have it.. Chinese food? they have it..  You name it, they have it. I found that sometimes, you can order an appetizer and it's the size of a regular meal.  I love their buffalo blast chicken appetizers.  it's a ton of food and it will fill you up with no problems. the one thing Ive never had luck with is their club sandwich.  Always been dry for me.   And now we talk about the cheesecake itself.  The pieces are huge and super rich. I recommend splitting it with someone.  They are great though.",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=240,3.88,3.88,3.88,3.536,3.88
226,Christopher B.,"Miami Beach, FL",294,571,606.0,5.0,2012-09-23,"Sure it's a chain, but every individual establishment has its quirks. However, this Cheesecake Factory delivers with gastronomic fireworks.  The quality of service and food were reflective of a five-star restaurant without mirroring the small portions and high prices. For instance, the pizza with salad lunch special combo was so big, even a Wooly Mammoth probably couldn't get it all down.  The burgers are also so big, I even had trouble getting my big mouth around it.  The food was exceptionally delicious.  I also highly recommend the Thai Chicken Pasta, which I usually get almost every time. Of course the ambiance inside is also very nice.  I think about 5 staff members said ""thanks for coming"" on the way out.  Hands down, this is one of my favorite chain-locations to dine at!",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=220,3.92,3.92,3.92,3.636,3.92
266,Brenda B.,"Phoenix, AZ",79,509,293.0,4.0,2012-10-26,"I love their cheese cake , ..to death. Most of what I have tried from the menu is very good as well, even tho it is a chain, certainly give it a try.",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=260,3.96,3.96,3.96,3.472,3.96
255,Cassie N.,"Huntington Beach, CA",77,62,55.0,5.0,2012-11-25,Too busy to make dessert for that special at home dinner - stop by Cheesecake Factory and pick up some dessert to go and you will be a dessert hero!  Don't forget to try the Pumpkin Pecan while it is available!,https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=240,4.12,4.12,4.12,3.4760000000000004,4.12
268,Adam K.,"Sedona, AZ",3,22,4.0,5.0,2012-12-15,I sat at the bar the bartender offered good service,https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=260,4.16,4.16,4.16,3.4760000000000004,4.16
235,Luciana L.,"Buckeye, AZ",77,771,40.0,4.0,2012-12-26,"Can't complain ... great service, great cheesecake, decent food.",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=220,4.2,4.2,4.2,3.3440000000000003,4.2
214,Bill J.,"Glendale, AZ",44,173,660.0,3.0,2012-12-30,"This is another toughie for me to review, for a variety of reasons.  First of all, I like the decor and I like the ambiance of this place. It's not like most of the other restaurants (especially chains) in the area, and while pretentious, it at least outwardly appears fancier than you'd otherwise expect. There's also the lighting and a lot of windows, which is typically a plus in the early evening, so you can catch some of the sunset or watch the wind batting around the palm branches.  Food and service, however, have never really impressed me at this location. I don't know if it is specific to this restaurant or if the entire chain is this way, but after multiple visits, my honest opinion is that their menu is way, way too big. They have immense variety, but as they say, jack of all trades and master of none. Case in point, nothing I have had here has been the best, or even remotely close, compared to what I've gotten elsewhere.  I've tried the pulled pork, but I've had better almost everywhere else. Tried the burgers, but better can be had for far less money elsewhere. Appetizers are pretty much on the same page, things like pot stickers are literally no better than what you can buy in the frozen food section of your grocery store, there was nothing special about them. I've also given their pizza a try and it was some of the worst I've ever had anywhere -horrible, tasteless crust, nasty sauce and cheese that was just.. yuck. I will concede that their dessert menu does offer a few delights that I have been happy with. The milkshakes, and the strawberry one in particular, were always sinfully good. I never could finish them because they were so huge, but at least they were delicious, unlike most of the food I've had there.   In terms of service, there has been a lot of inconsistency in my visits. More often than not, it's below average service, slow drink refills and the like. Really gets my goat when I see the ""drink refill guy"" topping off every table but mine, despite the empty glass on the corner of the table, begging to be refilled. But then, he's not the server, so do you factor this into your tip? This is why I hate when restaurants job-share tables, it puts you in a position to have to punish a good server for a crappy drink service that was someone else's fault. Sigh. Bottom line, I think, is that this place is trying to be too many things at once, with the not at all unexpected result of poor execution. Their menu has to be close to 20 pages, and it really doesn't help that there are paid advertisements in it on every page too. I don't know why they see the need to generate revenue that way, but it reeks of desperation and detracts horribly from the experience of dining in a faux-upscale restaurant, even more so than half-baked service. My advice? Stay away until they slim down the menu and try to specialize, or at least only go for the desserts. The rest of their food is just adequate, at best, and definitely overpriced for what it is. Combined with the unpredictable service, I just don't see any reason to go back here.",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=200,4.12,4.12,4.12,3.2440000000000007,4.12
279,Brian W.,"Glendale, AZ",3,3,,5.0,2013-01-01,"awesome tacos and salsa. oh the cheesecake took, well, the cake i guess",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=260,4.16,4.16,4.16,3.508,4.16
237,Rosquete B.,"Belmont, CA",17,950,366.0,4.0,2013-01-10,"3 1/2* The Cheesecake Factory Peoria, AZ Great happy hour menu Loved the Skinlicious menu that had a chicken salad & burger Desserts are fab Friendly food service by Michael",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=220,4.16,4.16,4.16,3.2800000000000002,4.16
262,Jeff L.,"Phoenix, AZ",18,281,,4.0,2013-01-20,Not disappointed by this location.  The typical high quality service and food I would expect. HATE the chairs!!  You lean back and you slide off.,https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=260,4.2,4.2,4.2,3.184,4.2
159,Shannon E.,"Gilbert, AZ",323,322,205.0,4.0,2013-01-28,"We stopped here for lunch with the baby on Saturday.   We were seated immediately and the server got us our drinks and some warm bread and butter right away.  Our server was very friendly (in fact just a little too sugary sweet) and she did her job well. We ordered from the lunch menu.  I got the Miso Salmon and my husband ordered the cheese pizza.  Our food was out within 15 minutes and mine was delicious, but my husband said his pizza was just so-so and about the same quality as a cheese pizza from Sam's Club.  (OUCH!) Anyway, our bill for two passion fruit iced teas, a lunch pizza, a lunch salmon and a slice of the pina colada cheesecake (to go) was $42, before gratuity.  The baby just ate off of my plate because she is too little for her own plate still. I ate the pina colada cheesecake slice later that night and it was just okay.  It may just be me, but I think that their more exotic cheesecake flavors aren't nearly as good as the plain old vanilla bean cheesecake.  Maybe it's because the other ingredients in the more exotic cheesecake varieties detract from their perfect vanilla cheesecake recipe...?  I dunno what it is, but I've experienced this phenomenon more than once.  Sadly this time I thought it'd be different with the promising pina colada flavor, but it just didn't deliver.  It didn't taste very tropical, or very cheese-cakey.  I'll just remind myself to order the plain vanilla cheesecake next time and stop being drawn in by the tempting siren song of the exotic cheesecake flavors.",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=140,4.2,4.2,4.2,3.152,4.2
157,Tam F.,"San Ramon, CA",489,1397,253.0,3.0,2013-03-02,"I met a girlfriend here around 8pm on a Wednesday night. She was in need of a nosh and I was in need of an adult beverage. We knew CF was open later than a lot of places and I have typically had decent luck here. This location is better than some and not as good as others. I think it is probably hit or miss depending on what time of year and what time of day you come. It was during this visit that my friend and I realized we have been legal to drink for 20 years now but have had been ""drinking"" together since we were 15 or so(shshsh-don't tell my folks). I am a cheap drunk-or shall I say a lightweight. My friend ordered Vodka/Cranberry (aka-a Cape Cod) and I decided to join her but to make it a better vodka for both of us. The drinks were weak. Seriously weak. I am typically a 2 sip and buzzed gal and yes, I said something. Our waiter apologized, made sure my friend had extra goodies for her meal and for just a meager $2.00 extra, I added a shot (split between our cocktails) and voila, we were able to make a decent drink.  Don't worry CF-I am sure I will be back though you are located in the same vicinity of nearly every chain restaurant. If only I could get Grandma to come here with me instead of Red Lobster...but CF doesn't do coupons!",https://www.yelp.com/biz/the-cheesecake-factory-peoria?start=140,4.2,4.2,4.2,3.0200000000000005,4.2
